rsi_period,rsi_oversold,rsi_overbought,bb_period,bb_std_dev,stop_loss_pct,take_profit_pct
14,25,70,20,2.0,0.020,0.030
14,28,70,20,2.0,0.020,0.030
14,30,70,20,2.0,0.020,0.030
14,32,70,20,2.0,0.020,0.030
14,35,70,20,2.0,0.020,0.030
14,30,65,20,2.0,0.020,0.030
14,30,68,20,2.0,0.020,0.030
14,30,72,20,2.0,0.020,0.030
14,30,75,20,2.0,0.020,0.030
14,30,70,20,1.50,0.020,0.030
14,30,70,20,1.75,0.020,0.030
14,30,70,20,2.25,0.020,0.030
14,30,70,20,2.50,0.020,0.030
14,30,70,20,2.0,0.015,0.030
14,30,70,20,2.0,0.018,0.030
14,30,70,20,2.0,0.022,0.030
14,30,70,20,2.0,0.025,0.030
10,30,70,20,2.0,0.020,0.030
12,30,70,20,2.0,0.020,0.030
16,30,70,20,2.0,0.020,0.030
18,30,70,20,2.0,0.020,0.030
14,30,70,15,2.0,0.020,0.030
14,30,70,18,2.0,0.020,0.030
14,30,70,22,2.0,0.020,0.030
14,30,70,25,2.0,0.020,0.030
14,25,70,20,2.0,0.015,0.030
14,25,70,20,2.0,0.025,0.030
14,28,70,20,2.0,0.015,0.030
14,28,70,20,2.0,0.025,0.030
14,32,70,20,2.0,0.015,0.030
14,32,70,20,2.0,0.025,0.030
14,35,70,20,2.0,0.015,0.030
14,35,70,20,2.0,0.025,0.030
14,25,65,20,2.0,0.020,0.030
14,25,75,20,2.0,0.020,0.030
14,35,65,20,2.0,0.020,0.030
14,35,75,20,2.0,0.020,0.030
14,30,70,20,1.5,0.015,0.030
14,30,70,20,1.5,0.025,0.030
14,30,70,20,2.5,0.015,0.030
14,30,70,20,2.5,0.025,0.030
14,28,68,20,1.75,0.018,0.030
14,32,72,20,2.25,0.022,0.030
14,25,65,18,1.75,0.018,0.030
14,35,75,22,2.25,0.022,0.030
14,30,70,20,2.0,0.020,0.025
14,30,70,20,2.0,0.020,0.035
14,30,70,20,2.0,0.020,0.040
14,30,70,20,2.0,0.015,0.025
14,30,70,20,2.0,0.025,0.035
