rsi_period,rsi_oversold,rsi_overbought,bb_period,bb_std_dev,ema_fast_period,ema_slow_period,stop_loss_pct,take_profit_pct,position_size_level1,position_size_level2,position_size_level3
14,25,70,20,2.0,9,21,0.015,0.015,0.6,0.25,0.15
14,25,70,20,2.0,9,21,0.015,0.02,0.6,0.25,0.15
14,25,70,20,2.0,9,21,0.015,0.025,0.6,0.25,0.15
14,25,70,20,2.0,9,21,0.02,0.015,0.6,0.25,0.15
14,25,70,20,2.0,9,21,0.02,0.02,0.6,0.25,0.15
14,25,70,20,2.0,9,21,0.02,0.025,0.6,0.25,0.15
14,25,70,20,2.0,9,21,0.025,0.02,0.6,0.25,0.15
14,25,70,20,2.0,9,21,0.025,0.025,0.6,0.25,0.15
14,25,70,20,2.0,9,21,0.025,0.03,0.6,0.25,0.15
14,30,70,20,2.0,9,21,0.015,0.02,0.6,0.25,0.15
14,30,70,20,2.0,9,21,0.02,0.02,0.6,0.25,0.15
14,30,70,20,2.0,9,21,0.02,0.025,0.6,0.25,0.15
14,30,70,20,2.0,9,21,0.025,0.025,0.6,0.25,0.15
14,25,70,20,2.0,9,21,0.015,0.02,0.7,0.2,0.1
14,25,70,20,2.0,9,21,0.02,0.02,0.7,0.2,0.1
14,25,70,20,2.0,9,21,0.02,0.025,0.7,0.2,0.1
14,25,70,20,2.0,9,21,0.025,0.025,0.7,0.2,0.1
14,25,70,20,2.0,9,21,0.025,0.03,0.7,0.2,0.1
14,30,70,20,2.0,9,21,0.02,0.02,0.7,0.2,0.1
14,30,70,20,2.0,9,21,0.02,0.025,0.7,0.2,0.1
14,25,70,20,2.0,9,21,0.015,0.02,0.8,0.15,0.05
14,25,70,20,2.0,9,21,0.02,0.02,0.8,0.15,0.05
14,25,70,20,2.0,9,21,0.02,0.025,0.8,0.15,0.05
14,25,70,20,2.0,9,21,0.025,0.025,0.8,0.15,0.05
14,30,70,20,2.0,9,21,0.02,0.025,0.8,0.15,0.05
18,20,79,29,1.5,8,20,0.015,0.02,0.6,0.25,0.15
18,20,79,29,1.5,8,20,0.015,0.025,0.6,0.25,0.15
18,20,79,29,1.5,8,20,0.02,0.02,0.6,0.25,0.15
18,20,79,29,1.5,8,20,0.02,0.025,0.6,0.25,0.15
18,20,79,29,1.5,8,20,0.025,0.025,0.6,0.25,0.15
18,20,79,29,1.5,8,20,0.015,0.02,0.7,0.2,0.1
18,20,79,29,1.5,8,20,0.02,0.02,0.7,0.2,0.1
18,20,79,29,1.5,8,20,0.02,0.025,0.7,0.2,0.1
18,20,79,29,1.5,8,20,0.025,0.025,0.7,0.2,0.1
18,20,79,29,1.5,8,20,0.02,0.025,0.8,0.15,0.05
12,28,72,25,1.8,10,25,0.015,0.02,0.6,0.25,0.15
12,28,72,25,1.8,10,25,0.02,0.02,0.6,0.25,0.15
12,28,72,25,1.8,10,25,0.02,0.025,0.6,0.25,0.15
12,28,72,25,1.8,10,25,0.025,0.025,0.6,0.25,0.15
12,28,72,25,1.8,10,25,0.02,0.02,0.7,0.2,0.1
12,28,72,25,1.8,10,25,0.02,0.025,0.7,0.2,0.1
12,28,72,25,1.8,10,25,0.025,0.025,0.7,0.2,0.1
12,28,72,25,1.8,10,25,0.02,0.025,0.8,0.15,0.05
16,22,75,22,2.0,9,21,0.015,0.02,0.6,0.25,0.15
16,22,75,22,2.0,9,21,0.02,0.02,0.6,0.25,0.15
16,22,75,22,2.0,9,21,0.02,0.025,0.6,0.25,0.15
16,22,75,22,2.0,9,21,0.025,0.025,0.6,0.25,0.15
16,22,75,22,2.0,9,21,0.02,0.02,0.7,0.2,0.1
16,22,75,22,2.0,9,21,0.02,0.025,0.7,0.2,0.1
16,22,75,22,2.0,9,21,0.025,0.025,0.8,0.15,0.05
