rsi_period,rsi_oversold,rsi_overbought,bb_period,bb_std_dev,stop_loss_pct,take_profit_pct,ema_fast_period,ema_slow_period,position_size_level1,position_size_level2,position_size_level3,trailing_stop_pct
18,26,74,29,1.5,0.012,0.018,8,20,0.55,0.28,0.17,0.015
18,27,73,29,1.5,0.012,0.018,8,20,0.55,0.28,0.17,0.015
18,28,72,29,1.5,0.012,0.018,8,20,0.55,0.28,0.17,0.015
18,29,71,29,1.5,0.012,0.018,8,20,0.55,0.28,0.17,0.015
18,28,72,29,1.5,0.010,0.015,8,20,0.55,0.28,0.17,0.015
18,28,72,29,1.5,0.012,0.020,8,20,0.55,0.28,0.17,0.015
18,28,72,29,1.5,0.015,0.022,8,20,0.55,0.28,0.17,0.015
18,28,72,29,1.5,0.012,0.018,8,20,0.55,0.28,0.17,0.012
18,28,72,29,1.5,0.012,0.018,8,20,0.55,0.28,0.17,0.018
18,28,72,29,1.5,0.012,0.018,8,20,0.55,0.28,0.17,0.020
18,28,72,29,1.5,0.012,0.018,8,20,0.60,0.25,0.15,0.015
18,28,72,29,1.5,0.012,0.018,8,20,0.50,0.30,0.20,0.015
18,28,72,29,1.5,0.012,0.018,8,20,0.65,0.22,0.13,0.015
18,28,72,29,2.0,0.012,0.018,8,20,0.55,0.28,0.17,0.015
18,28,72,20,1.5,0.012,0.018,8,20,0.55,0.28,0.17,0.015
18,28,72,29,1.5,0.012,0.018,9,21,0.55,0.28,0.17,0.015
16,28,72,29,1.5,0.012,0.018,8,20,0.55,0.28,0.17,0.015
20,28,72,29,1.5,0.012,0.018,8,20,0.55,0.28,0.17,0.015
18,28,72,29,1.5,0.012,0.018,8,20,0.55,0.28,0.17,0.0
18,28,72,29,1.5,0.015,0.025,8,20,0.55,0.28,0.17,0.015
