combination_id,breakout_bars,rsi_momentum_min,rsi_momentum_max,rsi_exit_overbought,rsi_exit_oversold,position_size,stop_loss_pct,take_profit_pct,trailing_stop_pct,ema_fast_period,ema_slow_period,require_volume_spike,notes
1,3,50,50,75,25,0.60,0.01,0.015,0.015,9,21,false,"Baseline: 3-bar breakout, RSI 50 confirmation"
2,2,50,50,75,25,0.60,0.01,0.015,0.015,9,21,false,"Faster: 2-bar breakout"
3,4,50,50,75,25,0.60,0.01,0.015,0.015,9,21,false,"Slower: 4-bar breakout"
4,5,50,50,75,25,0.60,0.01,0.015,0.015,9,21,false,"Conservative: 5-bar breakout"
5,3,45,55,75,25,0.60,0.01,0.015,0.015,9,21,false,"Looser RSI filter: 45/55"
6,3,55,45,75,25,0.60,0.01,0.015,0.015,9,21,false,"Tighter RSI filter: 55/45"
7,3,40,60,75,25,0.60,0.01,0.015,0.015,9,21,false,"Very loose RSI: 40/60"
8,3,50,50,80,20,0.60,0.01,0.015,0.015,9,21,false,"Extended exit: 80/20"
9,3,50,50,70,30,0.60,0.01,0.015,0.015,9,21,false,"Quicker exit: 70/30"
10,3,50,50,75,25,0.50,0.01,0.015,0.015,9,21,false,"Smaller position: 50%"
11,3,50,50,75,25,0.70,0.01,0.015,0.015,9,21,false,"Larger position: 70%"
12,3,50,50,75,25,0.60,0.008,0.012,0.012,9,21,false,"Tighter stops: 0.8%/1.2%"
13,3,50,50,75,25,0.60,0.015,0.02,0.02,9,21,false,"Wider stops: 1.5%/2%"
14,3,50,50,75,25,0.60,0.01,0.02,0.015,9,21,false,"Higher target: 2%"
15,3,50,50,75,25,0.60,0.01,0.015,0.01,9,21,false,"Tighter trailing: 1%"
16,3,50,50,75,25,0.60,0.01,0.015,0.02,9,21,false,"Wider trailing: 2%"
17,3,50,50,75,25,0.60,0.01,0.015,0.015,5,13,false,"Faster EMA: 5/13"
18,3,50,50,75,25,0.60,0.01,0.015,0.015,12,26,false,"Slower EMA: 12/26"
19,3,50,50,75,25,0.60,0.01,0.015,0.015,9,21,true,"Volume spike required"
20,2,45,55,70,30,0.60,0.01,0.02,0.015,9,21,false,"Aggressive combo: 2-bar, loose RSI, quick exit"
21,4,55,45,80,20,0.50,0.015,0.02,0.02,12,26,false,"Conservative combo: 4-bar, tight RSI, wider stops"
22,3,50,50,75,25,0.60,0.005,0.01,0.01,9,21,false,"Scalping: tight 0.5%/1%/1%"
23,2,40,60,75,25,0.70,0.01,0.015,0.015,5,13,false,"Day trading: fast signals"
24,5,55,45,80,20,0.40,0.02,0.03,0.025,12,26,false,"Swing-ish: slower, wider"
