combination_id,rsi_oversold,rsi_overbought,stop_loss_pct,take_profit_pct,require_volume_spike,volume_spike_mult,position_size_level1,trailing_stop_pct,notes
1,25,75,0.020,0.04,true,1.5,0.50,0.0,"RSI 25, 2% stop, 4% target, volume required"
2,25,75,0.025,0.05,true,1.5,0.50,0.0,"RSI 25, 2.5% stop, 5% target, volume required"
3,25,75,0.030,0.06,true,1.5,0.50,0.0,"RSI 25, 3% stop, 6% target (2:1 R), volume required"
4,28,72,0.020,0.04,true,1.5,0.50,0.0,"RSI 28 (best v1.7), 2% stop, 4% target, volume required"
5,28,72,0.025,0.05,true,1.5,0.50,0.0,"RSI 28 (best v1.7), 2.5% stop, 5% target, volume required"
6,28,72,0.030,0.06,true,1.5,0.50,0.0,"RSI 28 (best v1.7), 3% stop, 6% target, volume required"
7,30,70,0.020,0.04,true,1.5,0.50,0.0,"RSI 30, 2% stop, 4% target, volume required"
8,30,70,0.025,0.05,true,1.5,0.50,0.0,"RSI 30, 2.5% stop, 5% target, volume required"
9,30,70,0.030,0.06,true,1.5,0.50,0.0,"RSI 30, 3% stop, 6% target, volume required"
10,35,65,0.020,0.04,true,1.5,0.50,0.0,"RSI 35 (relaxed), 2% stop, 4% target, volume required"
11,35,65,0.025,0.05,true,1.5,0.50,0.0,"RSI 35 (relaxed), 2.5% stop, 5% target, volume required"
12,35,65,0.030,0.06,true,1.5,0.50,0.0,"RSI 35 (relaxed), 3% stop, 6% target, volume required"
13,28,72,0.025,0.05,true,2.0,0.50,0.0,"RSI 28, 2.5% stop, stricter volume (2x)"
14,28,72,0.025,0.05,true,1.25,0.50,0.0,"RSI 28, 2.5% stop, looser volume (1.25x)"
15,28,72,0.025,0.05,false,1.5,0.50,0.0,"RSI 28, 2.5% stop, NO volume requirement (control)"
16,28,72,0.030,0.075,true,1.5,0.50,0.0,"RSI 28, 3% stop, 7.5% target (2.5:1 R)"
17,28,72,0.025,0.05,true,1.5,0.60,0.0,"RSI 28, 2.5% stop, larger position 60%"
18,28,72,0.025,0.05,true,1.5,0.40,0.0,"RSI 28, 2.5% stop, smaller position 40%"
19,28,72,0.025,0.05,true,1.5,0.50,0.02,"RSI 28, 2.5% stop, 2% trailing stop"
20,28,72,0.025,0.05,true,1.5,0.50,0.025,"RSI 28, 2.5% stop, 2.5% trailing stop"
21,25,75,0.025,0.0625,true,1.5,0.50,0.0,"RSI 25, 2.5% stop, 6.25% target (2.5:1 R)"
22,30,70,0.025,0.0625,true,1.5,0.50,0.0,"RSI 30, 2.5% stop, 6.25% target (2.5:1 R)"
23,28,72,0.02,0.06,true,1.5,0.50,0.0,"RSI 28, 2% stop, 6% target (3:1 R)"
24,28,72,0.03,0.09,true,1.5,0.50,0.0,"RSI 28, 3% stop, 9% target (3:1 R)"
