combination_id,algorithm_name,zscore_lookback,entry_zscore,exit_zscore,stop_zscore,position_size,stop_loss_pct,max_hold_minutes,min_bars_between,notes
1,TQQQSQQQPairsAlgorithm,30,1.5,0.3,3.0,0.50,0.03,0,3,"Short lookback (30 bars ~2.5hr), standard Z thresholds"
2,TQQQSQQQPairsAlgorithm,50,1.5,0.3,3.0,0.50,0.03,0,3,"Medium lookback (50 bars ~4hr), standard Z thresholds"
3,TQQQSQQQPairsAlgorithm,78,1.5,0.3,3.0,0.50,0.03,0,3,"Full day lookback (78 bars ~6.5hr), standard Z thresholds"
4,TQQQSQQQPairsAlgorithm,50,1.0,0.3,2.5,0.50,0.03,0,3,"Looser entry (Z=1.0), tighter stop (Z=2.5)"
5,TQQQSQQQPairsAlgorithm,50,2.0,0.5,3.5,0.50,0.03,0,3,"Stricter entry (Z=2.0), wider exit (Z=0.5)"
6,TQQQSQQQPairsAlgorithm,50,1.5,0.0,3.0,0.50,0.03,0,3,"Exit at mean (Z=0), let it fully revert"
7,TQQQSQQQPairsAlgorithm,50,1.5,0.3,3.0,0.60,0.03,0,3,"Larger position (60%)"
8,TQQQSQQQPairsAlgorithm,50,1.5,0.3,3.0,0.40,0.03,0,3,"Smaller position (40%)"
9,TQQQSQQQPairsAlgorithm,50,1.5,0.3,3.0,0.50,0.02,0,3,"Tighter stop loss (2%)"
10,TQQQSQQQPairsAlgorithm,50,1.5,0.3,3.0,0.50,0.04,0,3,"Wider stop loss (4%)"
11,TQQQSQQQPairsAlgorithm,50,1.5,0.3,3.0,0.50,0.03,120,3,"Max hold 2 hours"
12,TQQQSQQQPairsAlgorithm,50,1.5,0.3,3.0,0.50,0.03,60,3,"Max hold 1 hour"
13,TQQQSQQQPairsAlgorithm,50,1.5,0.3,3.0,0.50,0.03,0,1,"Fast trading (1 bar between)"
14,TQQQSQQQPairsAlgorithm,50,1.5,0.3,3.0,0.50,0.03,0,5,"Slower trading (5 bars between)"
15,TQQQSQQQPairsAlgorithm,100,1.5,0.3,3.0,0.50,0.03,0,3,"Long lookback (100 bars ~8hr)"
16,TQQQSQQQPairsAlgorithm,50,1.25,0.25,2.75,0.50,0.025,0,3,"Balanced - moderate all params"
17,TQQQSQQQPairsAlgorithm,50,1.75,0.4,3.25,0.55,0.035,0,3,"Aggressive entry/position"
18,TQQQSQQQPairsAlgorithm,40,1.5,0.3,3.0,0.50,0.03,90,2,"Quick turnover - short lookback, 90min hold"
19,TQQQSQQQPairsAlgorithm,60,2.0,0.3,3.5,0.45,0.03,0,4,"Conservative - strict Z, smaller size"
20,TQQQSQQQPairsAlgorithm,50,1.5,0.3,3.0,0.50,0.03,0,3,"Control - default parameters (duplicate of #2)"
