combination_id,breakout_bars,rsi_momentum_min,rsi_momentum_max,rsi_exit_overbought,rsi_exit_oversold,position_size,stop_loss_pct,take_profit_pct,trailing_stop_pct,ema_fast_period,ema_slow_period,require_volume_spike,notes
1,3,50,50,85,15,0.50,0.02,0.04,0.0,12,26,false,"2% stop, 4% target (2:1 R), no trailing"
2,3,50,50,85,15,0.50,0.02,0.06,0.0,12,26,false,"2% stop, 6% target (3:1 R), no trailing"
3,3,50,50,85,15,0.50,0.03,0.06,0.0,12,26,false,"3% stop, 6% target (2:1 R), no trailing"
4,3,50,50,85,15,0.50,0.03,0.09,0.0,12,26,false,"3% stop, 9% target (3:1 R), no trailing"
5,3,50,50,85,15,0.50,0.04,0.08,0.0,12,26,false,"4% stop, 8% target (2:1 R), no trailing"
6,3,50,50,85,15,0.50,0.04,0.12,0.0,12,26,false,"4% stop, 12% target (3:1 R), no trailing"
7,3,50,50,85,15,0.50,0.05,0.10,0.0,12,26,false,"5% stop, 10% target (2:1 R), no trailing"
8,3,50,50,85,15,0.50,0.05,0.15,0.0,12,26,false,"5% stop, 15% target (3:1 R), no trailing"
9,3,50,50,90,10,0.50,0.03,0.09,0.0,12,26,false,"3% stop, 9% target, extreme RSI exit (90/10)"
10,3,50,50,90,10,0.50,0.04,0.12,0.0,12,26,false,"4% stop, 12% target, extreme RSI exit"
11,4,50,50,85,15,0.50,0.03,0.09,0.0,12,26,false,"4-bar breakout, 3% stop, 9% target"
12,5,50,50,85,15,0.50,0.03,0.09,0.0,12,26,false,"5-bar breakout, 3% stop, 9% target"
13,3,50,50,85,15,0.40,0.03,0.09,0.0,12,26,false,"Smaller position 40%, 3:1 R"
14,3,50,50,85,15,0.60,0.03,0.09,0.0,12,26,false,"Larger position 60%, 3:1 R"
15,3,45,55,85,15,0.50,0.03,0.09,0.0,12,26,false,"Looser RSI filter 45/55, 3:1 R"
16,3,55,45,85,15,0.50,0.03,0.09,0.0,12,26,false,"Tighter RSI filter 55/45, 3:1 R"
17,3,50,50,85,15,0.50,0.03,0.09,0.025,12,26,false,"3:1 R + 2.5% trailing stop"
18,3,50,50,85,15,0.50,0.03,0.09,0.03,12,26,false,"3:1 R + 3% trailing stop"
19,3,50,50,85,15,0.50,0.04,0.16,0.0,12,26,false,"4% stop, 16% target (4:1 R)"
20,3,50,50,85,15,0.50,0.05,0.20,0.0,12,26,false,"5% stop, 20% target (4:1 R) - swing trade"
21,3,50,50,0,0,0.50,0.03,0.09,0.0,12,26,false,"No RSI exit - pure target/stop only"
22,3,50,50,0,0,0.50,0.04,0.12,0.0,12,26,false,"No RSI exit - 4% stop, 12% target"
23,3,50,50,85,15,0.50,0.025,0.075,0.0,9,21,false,"Faster EMA (9/21), 2.5% stop, 7.5% target"
24,3,50,50,85,15,0.50,0.035,0.105,0.0,20,50,false,"Slower EMA (20/50), 3.5% stop, 10.5% target"
