zscore_lookback,entry_zscore,exit_zscore,stop_zscore,position_size,stop_loss_pct
# Focused optimization around winning parameters (v3.0 best: lookback=50, entry=1.5, exit=0.3, stop_z=3.0, pos=0.50, stop=0.02)
# Testing tighter variations to find absolute optimal
# Row 1-9: Vary lookback and entry_zscore (most impactful)
45,1.4,0.30,3.0,0.50,0.02
45,1.5,0.30,3.0,0.50,0.02
45,1.6,0.30,3.0,0.50,0.02
50,1.4,0.30,3.0,0.50,0.02
50,1.5,0.30,3.0,0.50,0.02
50,1.6,0.30,3.0,0.50,0.02
55,1.4,0.30,3.0,0.50,0.02
55,1.5,0.30,3.0,0.50,0.02
55,1.6,0.30,3.0,0.50,0.02
# Row 10-18: Best lookback/entry combos with varied exit_zscore
45,1.5,0.25,3.0,0.50,0.02
45,1.5,0.35,3.0,0.50,0.02
50,1.5,0.25,3.0,0.50,0.02
50,1.5,0.35,3.0,0.50,0.02
55,1.5,0.25,3.0,0.50,0.02
55,1.5,0.35,3.0,0.50,0.02
48,1.5,0.28,3.0,0.50,0.02
52,1.5,0.32,3.0,0.50,0.02
50,1.5,0.28,3.0,0.50,0.02
# Row 19-27: Test position size variations on best params
50,1.5,0.30,3.0,0.55,0.02
50,1.5,0.30,3.0,0.60,0.02
50,1.5,0.30,3.0,0.65,0.02
45,1.5,0.30,3.0,0.55,0.02
55,1.5,0.30,3.0,0.55,0.02
48,1.5,0.30,3.0,0.55,0.02
52,1.5,0.30,3.0,0.55,0.02
50,1.4,0.30,3.0,0.55,0.02
50,1.6,0.30,3.0,0.55,0.02
# Row 28-36: Fine-tune stop parameters
50,1.5,0.30,2.75,0.50,0.02
50,1.5,0.30,3.25,0.50,0.02
50,1.5,0.30,3.0,0.50,0.015
50,1.5,0.30,3.0,0.50,0.025
50,1.5,0.30,2.75,0.55,0.02
50,1.5,0.30,3.25,0.55,0.02
48,1.45,0.28,3.0,0.50,0.02
52,1.55,0.32,3.0,0.50,0.02
50,1.45,0.32,3.0,0.55,0.02
