zscore_lookback,entry_zscore,exit_zscore,stop_zscore,position_size,stop_loss_pct,notes
43,1.5,0.30,3.0,0.55,0.02,"lookback=43 test"
44,1.5,0.30,3.0,0.55,0.02,"lookback=44 test"
46,1.5,0.30,3.0,0.55,0.02,"lookback=46 test"
47,1.5,0.30,3.0,0.55,0.02,"lookback=47 test"
45,1.5,0.30,3.0,0.52,0.02,"pos=52% test"
45,1.5,0.30,3.0,0.53,0.02,"pos=53% test"
45,1.5,0.30,3.0,0.57,0.02,"pos=57% test"
45,1.5,0.30,3.0,0.58,0.02,"pos=58% test"
45,1.5,0.32,3.0,0.55,0.02,"exit=0.32 test"
45,1.5,0.33,3.0,0.55,0.02,"exit=0.33 test"
45,1.5,0.35,3.0,0.55,0.02,"exit=0.35 test"
44,1.5,0.32,3.0,0.55,0.02,"combo: lookback=44, exit=0.32"
44,1.5,0.30,3.0,0.57,0.02,"combo: lookback=44, pos=57%"
46,1.5,0.32,3.0,0.55,0.02,"combo: lookback=46, exit=0.32"
46,1.5,0.30,3.0,0.57,0.02,"combo: lookback=46, pos=57%"
45,1.45,0.30,3.0,0.55,0.02,"entry=1.45 test"
45,1.55,0.30,3.0,0.55,0.02,"entry=1.55 test"
44,1.5,0.32,3.0,0.57,0.02,"best combo candidate A"
45,1.5,0.32,3.0,0.57,0.02,"best combo candidate B"
46,1.5,0.32,3.0,0.57,0.02,"best combo candidate C"
