Symbol,Timestamp,Open,High,Low,Close,Volume,TradeCount,VWAP
QQQ,2026-01-01 00:00:00+00:00,614.33,614.36,614.33,614.36,693.0,27.0,614.340527
QQQ,2026-01-01 00:01:00+00:00,614.29,614.29,614.29,614.29,134.0,15.0,614.29
QQQ,2026-01-01 00:02:00+00:00,614.31,614.31,614.31,614.31,276.0,9.0,614.31
QQQ,2026-01-01 00:03:00+00:00,614.29,614.29,614.29,614.29,281.0,5.0,614.29
QQQ,2026-01-01 00:04:00+00:00,614.29,614.35,614.29,614.35,343.0,10.0,614.336154
QQQ,2026-01-01 00:07:00+00:00,614.31,614.31,614.283,614.283,136.0,10.0,614.296271
QQQ,2026-01-01 00:08:00+00:00,614.3,614.3,614.3,614.3,147.0,6.0,614.3
QQQ,2026-01-01 00:10:00+00:00,614.3,614.3496,614.3,614.3496,718.0,19.0,614.331535
QQQ,2026-01-01 00:12:00+00:00,614.31,614.31,614.31,614.31,91.0,12.0,614.31
QQQ,2026-01-01 00:15:00+00:00,614.36,614.36,614.36,614.36,343.0,10.0,614.36
QQQ,2026-01-01 00:16:00+00:00,614.36,614.36,614.36,614.36,458.0,16.0,614.36
QQQ,2026-01-01 00:17:00+00:00,614.35,614.36,614.35,614.36,286.0,13.0,614.356183
QQQ,2026-01-01 00:18:00+00:00,614.36,614.36,614.3,614.35,1677.0,29.0,614.313397
QQQ,2026-01-01 00:19:00+00:00,614.35,614.35,614.35,614.35,218.0,16.0,614.35
QQQ,2026-01-01 00:20:00+00:00,614.35,614.35,614.25,614.34,1409.0,31.0,614.319009
QQQ,2026-01-01 00:21:00+00:00,614.35,614.35,614.35,614.35,90.0,2.0,614.35
QQQ,2026-01-01 00:23:00+00:00,614.33,614.33,614.33,614.33,116.0,8.0,614.33
QQQ,2026-01-01 00:24:00+00:00,614.3009,614.3009,614.3009,614.3009,179.0,18.0,614.3009
QQQ,2026-01-01 00:25:00+00:00,614.3,614.3,614.3,614.3,1461.0,15.0,614.3
QQQ,2026-01-01 00:26:00+00:00,614.3,614.3,614.3,614.3,250.0,14.0,614.3
QQQ,2026-01-01 00:27:00+00:00,614.31,614.31,614.29,614.29,240.0,21.0,614.296757
QQQ,2026-01-01 00:28:00+00:00,614.29,614.29,614.29,614.29,151.0,22.0,614.29
QQQ,2026-01-01 00:31:00+00:00,614.3,614.3,614.3,614.3,160.0,8.0,614.3
QQQ,2026-01-01 00:32:00+00:00,614.24,614.24,614.24,614.24,807.0,7.0,614.24
QQQ,2026-01-01 00:33:00+00:00,614.3,614.3,614.3,614.3,826.0,13.0,614.3
QQQ,2026-01-01 00:34:00+00:00,614.3,614.3,614.3,614.3,122.0,17.0,614.3
QQQ,2026-01-01 00:35:00+00:00,614.2984,614.2984,614.24,614.24,247.0,17.0,614.274353
QQQ,2026-01-01 00:37:00+00:00,614.3001,614.3001,614.3,614.3,158.0,18.0,614.300063
QQQ,2026-01-01 00:39:00+00:00,614.32,614.32,614.2639,614.2639,230.0,13.0,614.291245
QQQ,2026-01-01 00:44:00+00:00,614.3,614.3,614.3,614.3,129.0,12.0,614.3
QQQ,2026-01-01 00:45:00+00:00,614.28,614.28,614.28,614.28,257.0,15.0,614.28
QQQ,2026-01-01 00:46:00+00:00,614.32,614.32,614.32,614.32,133.0,10.0,614.32
QQQ,2026-01-01 00:47:00+00:00,614.3192,614.3192,614.3192,614.3192,153.0,7.0,614.3192
QQQ,2026-01-01 00:48:00+00:00,614.3,614.3,614.2999,614.2999,161.0,9.0,614.29995
QQQ,2026-01-01 00:49:00+00:00,614.31,614.31,614.3085,614.3085,287.0,7.0,614.309342
QQQ,2026-01-01 00:50:00+00:00,614.2903,614.3,614.29,614.29,1592.0,20.0,614.292522
QQQ,2026-01-01 00:52:00+00:00,614.25,614.25,614.23,614.23,1551.0,45.0,614.236419
QQQ,2026-01-01 00:53:00+00:00,614.27,614.2782,614.23,614.2782,1433.0,43.0,614.243732
QQQ,2026-01-01 00:54:00+00:00,614.24,614.24,614.24,614.24,142.0,20.0,614.24
QQQ,2026-01-01 00:55:00+00:00,614.24,614.24,614.23,614.23,799.0,34.0,614.232734
QQQ,2026-01-01 00:56:00+00:00,614.26,614.27,614.22,614.22,716.0,24.0,614.254746
QQQ,2026-01-01 00:57:00+00:00,614.21,614.21,614.2,614.2,1721.0,32.0,614.202329
QQQ,2026-01-01 00:58:00+00:00,614.2,614.21,614.2,614.2,1710.0,26.0,614.202727
QQQ,2026-01-01 00:59:00+00:00,614.2,614.2699,614.2,614.26,959.0,24.0,614.246712
QQQ,2026-01-02 09:00:00+00:00,619.0,620.69,619.0,620.59,24104.0,321.0,620.578187
QQQ,2026-01-02 09:01:00+00:00,620.59,620.99,620.57,620.89,8559.0,119.0,620.87485
QQQ,2026-01-02 09:02:00+00:00,620.92,620.97,620.81,620.81,1415.0,40.0,620.913513
QQQ,2026-01-02 09:03:00+00:00,620.85,620.86,620.78,620.78,2874.0,38.0,620.837675
QQQ,2026-01-02 09:04:00+00:00,620.74,620.79,620.71,620.74,1816.0,41.0,620.723112
QQQ,2026-01-02 09:05:00+00:00,620.8,620.85,620.79,620.85,1194.0,36.0,620.840248
QQQ,2026-01-02 09:06:00+00:00,620.85,620.9,620.85,620.9,1811.0,20.0,620.851302
QQQ,2026-01-02 09:07:00+00:00,620.79,620.79,620.72,620.72,3536.0,54.0,620.761695
QQQ,2026-01-02 09:08:00+00:00,620.74,621.05,620.74,621.05,6644.0,119.0,620.966786
QQQ,2026-01-02 09:09:00+00:00,621.01,621.04,620.97,620.97,923.0,22.0,620.999283
QQQ,2026-01-02 09:10:00+00:00,620.97,621.14,620.97,621.12,4459.0,73.0,621.054681
QQQ,2026-01-02 09:11:00+00:00,621.15,621.33,621.13,621.24,11147.0,211.0,621.216238
QQQ,2026-01-02 09:12:00+00:00,621.32,621.33,621.19,621.23,1983.0,56.0,621.29462
QQQ,2026-01-02 09:13:00+00:00,621.22,621.24,621.15,621.21,824.0,24.0,621.202724
QQQ,2026-01-02 09:14:00+00:00,621.22,621.29,621.21,621.26,2031.0,33.0,621.251546
QQQ,2026-01-02 09:15:00+00:00,621.16,621.16,621.03,621.03,2015.0,39.0,621.057367
QQQ,2026-01-02 09:16:00+00:00,620.91,621.0,620.91,620.98,889.0,26.0,620.972727
QQQ,2026-01-02 09:17:00+00:00,620.96,620.96,620.9,620.94,9304.0,75.0,620.944819
QQQ,2026-01-02 09:18:00+00:00,620.85,620.85,620.81,620.82,1078.0,29.0,620.825274
QQQ,2026-01-02 09:19:00+00:00,620.91,621.0,620.89,620.99,2617.0,41.0,620.9256
QQQ,2026-01-02 09:20:00+00:00,621.04,621.06,620.97,620.97,799.0,19.0,621.021832
QQQ,2026-01-02 09:21:00+00:00,621.0,621.11,620.98,621.11,5850.0,63.0,621.012018
QQQ,2026-01-02 09:22:00+00:00,621.05,621.05,621.0,621.0,683.0,21.0,621.040604
QQQ,2026-01-02 09:23:00+00:00,620.95,620.96,620.94,620.94,1671.0,28.0,620.941552
QQQ,2026-01-02 09:24:00+00:00,620.99,621.0,620.84,620.84,5585.0,87.0,620.974451
QQQ,2026-01-02 09:25:00+00:00,620.91,620.93,620.83,620.88,1928.0,35.0,620.89067
QQQ,2026-01-02 09:26:00+00:00,620.89,620.9,620.89,620.89,472.0,12.0,620.891
QQQ,2026-01-02 09:27:00+00:00,620.92,621.01,620.92,621.01,1310.0,15.0,620.996066
QQQ,2026-01-02 09:28:00+00:00,621.1,621.1,621.01,621.01,2691.0,50.0,621.066864
QQQ,2026-01-02 09:29:00+00:00,621.05,621.18,621.05,621.16,3914.0,65.0,621.138507
