Symbol,Timestamp,Open,High,Low,Close,Volume,TradeCount,VWAP
TQQQ,2026-01-01 00:00:00+00:00,52.7005,52.7005,52.7005,52.7005,137.0,6.0,52.7005
TQQQ,2026-01-01 00:01:00+00:00,52.72,52.72,52.7,52.7,555.0,20.0,52.705602
TQQQ,2026-01-01 00:02:00+00:00,52.7,52.71,52.7,52.7088,3396.0,31.0,52.705738
TQQQ,2026-01-01 00:03:00+00:00,52.7199,52.7199,52.7001,52.71,2354.0,14.0,52.704503
TQQQ,2026-01-01 00:04:00+00:00,52.71,52.71,52.7097,52.71,755.0,9.0,52.70986
TQQQ,2026-01-01 00:05:00+00:00,52.71,52.71,52.71,52.71,335.0,9.0,52.71
TQQQ,2026-01-01 00:06:00+00:00,52.71,52.7397,52.7,52.7009,25750.0,16.0,52.710933
TQQQ,2026-01-01 00:07:00+00:00,52.7,52.7,52.7,52.7,1265.0,46.0,52.7
TQQQ,2026-01-01 00:08:00+00:00,52.7,52.7,52.7,52.7,1027.0,11.0,52.7
TQQQ,2026-01-01 00:09:00+00:00,52.7,52.7,52.7,52.7,898.0,15.0,52.7
TQQQ,2026-01-01 00:10:00+00:00,52.7,52.7,52.6998,52.6998,461.0,17.0,52.699867
TQQQ,2026-01-01 00:11:00+00:00,52.69,52.69,52.69,52.69,1321.0,19.0,52.69
TQQQ,2026-01-01 00:12:00+00:00,52.6898,52.7,52.6808,52.6808,1751.0,19.0,52.689759
TQQQ,2026-01-01 00:13:00+00:00,52.68,52.69,52.68,52.6809,5323.0,14.0,52.689086
TQQQ,2026-01-01 00:14:00+00:00,52.68,52.69,52.68,52.69,1252.0,15.0,52.683439
TQQQ,2026-01-01 00:15:00+00:00,52.69,52.69,52.68,52.69,2870.0,18.0,52.688576
TQQQ,2026-01-01 00:16:00+00:00,52.68,52.69,52.68,52.69,885.0,13.0,52.6825
TQQQ,2026-01-01 00:17:00+00:00,52.68,52.69,52.68,52.6803,2786.0,13.0,52.684896
TQQQ,2026-01-01 00:18:00+00:00,52.6899,52.69,52.6899,52.69,1320.0,11.0,52.689953
TQQQ,2026-01-01 00:19:00+00:00,52.68,52.68,52.68,52.68,583.0,22.0,52.68
TQQQ,2026-01-01 00:20:00+00:00,52.69,52.69,52.69,52.69,1210.0,5.0,52.69
TQQQ,2026-01-01 00:21:00+00:00,52.69,52.69,52.69,52.69,748.0,5.0,52.69
TQQQ,2026-01-01 00:22:00+00:00,52.69,52.69,52.69,52.69,424.0,12.0,52.69
TQQQ,2026-01-01 00:25:00+00:00,52.6801,52.6899,52.68,52.68,4212.0,14.0,52.680293
TQQQ,2026-01-01 00:26:00+00:00,52.69,52.69,52.68,52.68,1961.0,20.0,52.681176
TQQQ,2026-01-01 00:27:00+00:00,52.6898,52.69,52.6803,52.6884,1800.0,17.0,52.687041
TQQQ,2026-01-01 00:28:00+00:00,52.69,52.69,52.6884,52.6884,1529.0,12.0,52.689867
TQQQ,2026-01-01 00:29:00+00:00,52.69,52.7,52.69,52.6999,3139.0,18.0,52.694304
TQQQ,2026-01-01 00:30:00+00:00,52.7,52.7,52.69,52.69,2106.0,11.0,52.697293
TQQQ,2026-01-01 00:31:00+00:00,52.6999,52.6999,52.69,52.69,2825.0,18.0,52.690945
