Symbol,Timestamp,Open,High,Low,Close,Volume,TradeCount,VWAP
QQQ,2026-01-01 00:00:00+00:00,614.33,614.36,614.33,614.36,693.0,27.0,614.340527
TQQQ,2026-01-01 00:00:00+00:00,52.7005,52.7005,52.7005,52.7005,137.0,6.0,52.7005
QQQ,2026-01-01 00:01:00+00:00,614.29,614.29,614.29,614.29,134.0,15.0,614.29
TQQQ,2026-01-01 00:01:00+00:00,52.72,52.72,52.7,52.7,555.0,20.0,52.705602
QQQ,2026-01-01 00:02:00+00:00,614.31,614.31,614.31,614.31,276.0,9.0,614.31
TQQQ,2026-01-01 00:02:00+00:00,52.7,52.71,52.7,52.7088,3396.0,31.0,52.705738
QQQ,2026-01-01 00:03:00+00:00,614.29,614.29,614.29,614.29,281.0,5.0,614.29
TQQQ,2026-01-01 00:03:00+00:00,52.7199,52.7199,52.7001,52.71,2354.0,14.0,52.704503
QQQ,2026-01-01 00:04:00+00:00,614.29,614.35,614.29,614.35,343.0,10.0,614.336154
TQQQ,2026-01-01 00:04:00+00:00,52.71,52.71,52.7097,52.71,755.0,9.0,52.70986
SQQQ,2026-01-01 00:05:00+00:00,68.42,68.42,68.42,68.42,300.0,4.0,68.42
TQQQ,2026-01-01 00:05:00+00:00,52.71,52.71,52.71,52.71,335.0,9.0,52.71
TQQQ,2026-01-01 00:06:00+00:00,52.71,52.7397,52.7,52.7009,25750.0,16.0,52.710933
QQQ,2026-01-01 00:07:00+00:00,614.31,614.31,614.283,614.283,136.0,10.0,614.296271
SQQQ,2026-01-01 00:07:00+00:00,68.4,68.4,68.4,68.4,109.0,4.0,68.4
TQQQ,2026-01-01 00:07:00+00:00,52.7,52.7,52.7,52.7,1265.0,46.0,52.7
QQQ,2026-01-01 00:08:00+00:00,614.3,614.3,614.3,614.3,147.0,6.0,614.3
TQQQ,2026-01-01 00:08:00+00:00,52.7,52.7,52.7,52.7,1027.0,11.0,52.7
TQQQ,2026-01-01 00:09:00+00:00,52.7,52.7,52.7,52.7,898.0,15.0,52.7
QQQ,2026-01-01 00:10:00+00:00,614.3,614.3496,614.3,614.3496,718.0,19.0,614.331535
TQQQ,2026-01-01 00:10:00+00:00,52.7,52.7,52.6998,52.6998,461.0,17.0,52.699867
SQQQ,2026-01-01 00:11:00+00:00,68.4436,68.4436,68.4436,68.4436,150.0,2.0,68.4436
TQQQ,2026-01-01 00:11:00+00:00,52.69,52.69,52.69,52.69,1321.0,19.0,52.69
QQQ,2026-01-01 00:12:00+00:00,614.31,614.31,614.31,614.31,91.0,12.0,614.31
