datetime,ticker,open,high,low,close,volume,vwap,transactions
2026-02-03 04:00:00-05:00,TQQQ,55.93,56.04,55.87,56.0,34447.0,55.9868,357
2026-02-03 04:01:00-05:00,TQQQ,55.99,56.05,55.99,56.05,13383.0,56.0424,161
2026-02-03 04:02:00-05:00,TQQQ,56.05,56.07,56.03,56.03,7415.0,56.0515,121
2026-02-03 04:03:00-05:00,TQQQ,56.03,56.03,55.95,55.98,10073.0,55.9966,93
2026-02-03 04:04:00-05:00,TQQQ,55.98,56.0,55.98,55.99,4582.0,55.9901,92
2026-02-03 04:05:00-05:00,TQQQ,56.02,56.12,56.02,56.12,4530.0,56.0893,74
2026-02-03 04:06:00-05:00,TQQQ,56.11,56.12,56.08,56.08,9658.0,56.1071,114
2026-02-03 04:07:00-05:00,TQQQ,56.07,56.08,56.07,56.08,2583.0,56.0761,61
2026-02-03 04:08:00-05:00,TQQQ,56.09,56.1,56.08,56.08,2046.0,56.0935,48
2026-02-03 04:09:00-05:00,TQQQ,56.05,56.06,56.05,56.05,4736.0,56.0508,84
2026-02-03 04:10:00-05:00,TQQQ,56.0,56.0,55.96,55.99,4551.0,55.9824,92
2026-02-03 04:11:00-05:00,TQQQ,55.99,55.99,55.94,55.94,1482.0,55.9639,42
2026-02-03 04:12:00-05:00,TQQQ,55.95,55.96,55.95,55.96,1944.0,55.9506,45
2026-02-03 04:13:00-05:00,TQQQ,55.96,55.96,55.92,55.92,777.0,55.9359,42
2026-02-03 04:14:00-05:00,TQQQ,55.93,55.94,55.93,55.94,8193.0,55.9337,79
2026-02-03 04:15:00-05:00,TQQQ,55.93,55.93,55.9,55.92,3851.0,55.9196,75
2026-02-03 04:16:00-05:00,TQQQ,55.91,55.98,55.91,55.98,3279.0,55.9279,44
2026-02-03 04:17:00-05:00,TQQQ,55.98,55.98,55.97,55.98,3366.0,55.9784,61
2026-02-03 04:18:00-05:00,TQQQ,55.97,55.97,55.94,55.96,1823.0,55.96,39
2026-02-03 04:19:00-05:00,TQQQ,55.95,55.98,55.95,55.98,1902.0,55.959,34
2026-02-03 04:20:00-05:00,TQQQ,55.96,55.98,55.95,55.95,12320.0,55.9673,94
2026-02-03 04:21:00-05:00,TQQQ,55.94,55.99,55.93,55.99,8866.0,55.9524,58
2026-02-03 04:22:00-05:00,TQQQ,55.98,55.98,55.95,55.95,3422.0,55.9729,48
