sma_fast,sma_slow,bull_allocation,bear_allocation,use_cash_zone,mixed_allocation,rebalance_threshold,max_drawdown_exit,confirmation_days,signal_mode,breakout_lookback
50,150,0.90,0,TRUE,0,0.05,0,1,breakout,10
50,150,0.90,0,TRUE,0,0.05,0,1,breakout,20
50,150,0.90,0,TRUE,0,0.05,0,1,breakout,30
50,150,0.90,0,TRUE,0,0.05,0,1,breakout,40
50,150,0.90,0,TRUE,0,0.05,0,1,breakout,55
50,200,0.90,0,TRUE,0,0.05,0,1,breakout,10
50,200,0.90,0,TRUE,0,0.05,0,1,breakout,20
50,200,0.90,0,TRUE,0,0.05,0,1,breakout,30
50,200,0.90,0,TRUE,0,0.05,0,1,breakout,40
50,200,0.90,0,TRUE,0,0.05,0,1,breakout,55
20,100,0.90,0,TRUE,0,0.05,0,1,breakout,10
20,100,0.90,0,TRUE,0,0.05,0,1,breakout,20
20,100,0.90,0,TRUE,0,0.05,0,1,breakout,30
20,200,0.90,0,TRUE,0,0.05,0,1,breakout,10
20,200,0.90,0,TRUE,0,0.05,0,1,breakout,20
20,200,0.90,0,TRUE,0,0.05,0,1,breakout,30
100,200,0.90,0,TRUE,0,0.05,0,1,breakout,20
100,200,0.90,0,TRUE,0,0.05,0,1,breakout,40
