sma_fast,sma_slow,bull_allocation,bear_allocation,use_cash_zone,mixed_allocation,rebalance_threshold,max_drawdown_exit,confirmation_days,signal_mode
50,200,0.9,0,TRUE,0,0.05,0,1,price
50,200,0.9,0,TRUE,0,0.05,0,3,price
50,200,0.9,0,FALSE,0,0.05,0,1,price
50,200,0.9,0,FALSE,0,0.05,0,3,price
50,300,0.9,0,TRUE,0,0.05,0,1,price
50,300,0.9,0,TRUE,0,0.05,0,3,price
100,200,0.9,0,TRUE,0,0.05,0,1,price
100,200,0.9,0,TRUE,0,0.05,0,3,price
100,300,0.9,0,TRUE,0,0.05,0,1,price
100,300,0.9,0,TRUE,0,0.05,0,3,price
20,100,0.9,0,TRUE,0,0.05,0,1,price
20,200,0.9,0,TRUE,0,0.05,0,1,price
50,150,0.9,0,TRUE,0,0.05,0,1,price
50,200,0.9,0,TRUE,0,0.05,0,1,crossover
50,200,0.9,0,TRUE,0,0.05,0,3,crossover
50,300,0.9,0,TRUE,0,0.05,0,1,crossover
50,300,0.9,0,TRUE,0,0.05,0,3,crossover
100,200,0.9,0,TRUE,0,0.05,0,1,crossover
100,200,0.9,0,TRUE,0,0.05,0,3,crossover
100,300,0.9,0,TRUE,0,0.05,0,1,crossover
100,300,0.9,0,TRUE,0,0.05,0,3,crossover
20,100,0.9,0,TRUE,0,0.05,0,1,crossover
20,200,0.9,0,TRUE,0,0.05,0,1,crossover
50,150,0.9,0,TRUE,0,0.05,0,1,crossover
