session_id,hash,zscore_lookback,entry_zscore,exit_target_zscore,stop_loss_pct,position_size,max_hold_days,min_days_between,trailing_stop_atr,atr_period,use_rsi_filter,rsi_period,rsi_oversold,rsi_overbought,use_vol_scaling,vol_scale_threshold,vol_scale_factor,algorithm_name,total_return,sharpe_ratio,max_drawdown,win_rate,total_trades,profit_factor,cagr,avg_win,avg_loss,calmar_ratio
DAILYMR_20260207_161101_a4f5e45e,e0486ca5988f,30,2.0,0.0,0.05,0.5,20,1,0.0,14,False,14,30,70,False,1.5,0.5,TQQQDailyMeanReversionAlgorithm,-0.4007,-0.1434,0.531,0.3837,86,0.6989,-0.0649,2818.6476,-2511.0094,-0.7559
DAILYMR_20260207_161123_c67eb26a,643436e37545,20,2.0,0.0,0.05,0.5,20,1,0.0,14,False,14,30,70,False,1.5,0.5,TQQQDailyMeanReversionAlgorithm,-0.6223,-0.2225,0.674,0.3765,85,0.5673,-0.11981,2549.3728,-2713.3642,-0.8337
DAILYMR_20260207_161150_7f04d2a8,ff1294a342d8,40,2.0,0.0,0.05,0.5,20,1,0.0,14,False,14,30,70,False,1.5,0.5,TQQQDailyMeanReversionAlgorithm,-0.25579999999999997,-0.087,0.451,0.3889,72,0.8037,-0.037989999999999996,3740.23,-2961.5875,-0.5674
DAILYMR_20260207_161215_bddda55c,9af89925eb73,60,2.0,0.0,0.05,0.5,20,1,0.0,14,False,14,30,70,False,1.5,0.5,TQQQDailyMeanReversionAlgorithm,-0.1624,-0.0514,0.349,0.3429,70,0.8682,-0.02297,4459.5683,-2679.8687,-0.466
DAILYMR_20260207_161242_807620d8,f235b24f8215,30,1.5,0.0,0.05,0.5,20,1,0.0,14,False,14,30,70,False,1.5,0.5,TQQQDailyMeanReversionAlgorithm,-0.42590000000000006,-0.0958,0.635,0.3514,148,0.7785,-0.07014999999999999,2878.449,-2002.7788,-0.6082
DAILYMR_20260207_161312_212cd818,d2a2c2b8af9f,30,2.5,0.0,0.05,0.5,20,1,0.0,14,False,14,30,70,False,1.5,0.5,TQQQDailyMeanReversionAlgorithm,-0.1405,-0.0998,0.245,0.4286,28,0.7844,-0.01965,4260.485,-4073.44,-0.6274
DAILYMR_20260207_161335_bdc997b8,e3966230f21a,30,3.0,0.0,0.05,0.5,20,1,0.0,14,False,14,30,70,False,1.5,0.5,TQQQDailyMeanReversionAlgorithm,0.1435,0.5264,0.092,0.8,5,3.3079,0.01773,5141.06,-6216.75,2.3079
DAILYMR_20260207_161358_0d179332,461a1688fff1,30,2.0,0.5,0.05,0.5,20,1,0.0,14,False,14,30,70,False,1.5,0.5,TQQQDailyMeanReversionAlgorithm,-0.41340000000000005,-0.1556,0.579,0.3837,86,0.6766,-0.06753,2621.2358,-2412.0834,-0.6679
DAILYMR_20260207_161423_1ab0bbf4,5d171a16a2b1,30,2.0,-0.5,0.05,0.5,20,1,0.0,14,False,14,30,70,False,1.5,0.5,TQQQDailyMeanReversionAlgorithm,-0.4396,-0.1539,0.575,0.3529,85,0.679,-0.07309,3100.0217,-2490.1827,-0.7265
DAILYMR_20260207_161449_f993a25c,3e0edcfd2abb,30,2.0,0.0,0.03,0.5,20,1,0.0,14,False,14,30,70,False,1.5,0.5,TQQQDailyMeanReversionAlgorithm,-0.2107,-0.0636,0.45799999999999996,0.3438,96,0.8447,-0.030529999999999998,3473.4894,-2153.8479,-0.4584
DAILYMR_20260207_161518_be00133e,238a1878476a,30,2.0,0.0,0.08,0.5,20,1,0.0,14,False,14,30,70,False,1.5,0.5,TQQQDailyMeanReversionAlgorithm,-0.37689999999999996,-0.1312,0.496,0.4342,76,0.7268,-0.060129999999999996,3038.7833,-3208.6637,-0.797
DAILYMR_20260207_161541_fe0afbb8,dd660defae55,30,2.0,0.0,0.1,0.5,20,1,0.0,14,False,14,30,70,False,1.5,0.5,TQQQDailyMeanReversionAlgorithm,-0.4364,-0.1768,0.557,0.4328,67,0.6476,-0.0724,2765.7203,-3258.9974,-0.7866
DAILYMR_20260207_161608_75dcc48e,ea03222410c0,30,2.0,0.0,0.05,0.3,20,1,0.0,14,False,14,30,70,False,1.5,0.5,TQQQDailyMeanReversionAlgorithm,-0.2484,-0.1246,0.354,0.3837,86,0.7341,-0.03673,2077.7109,-1762.2645,-0.7193
DAILYMR_20260207_161634_3bb2d29d,3ba2041e6322,30,2.0,0.0,0.05,0.7,20,1,0.0,14,False,14,30,70,False,1.5,0.5,TQQQDailyMeanReversionAlgorithm,-0.5440999999999999,-0.1679,0.6729999999999999,0.3837,86,0.6518,-0.09784000000000001,3086.1761,-2948.2025,-0.793
DAILYMR_20260207_161659_1b05e2a1,de168b48e460,30,2.0,0.0,0.05,0.5,10,1,0.0,14,False,14,30,70,False,1.5,0.5,TQQQDailyMeanReversionAlgorithm,-0.5504,-0.2414,0.63,0.3563,87,0.5139,-0.09949,1877.1487,-2022.082,-0.8654
DAILYMR_20260207_161724_eeb69bd6,e28f8b4492e4,30,2.0,0.0,0.05,0.5,40,1,0.0,14,False,14,30,70,False,1.5,0.5,TQQQDailyMeanReversionAlgorithm,-0.4183,-0.1409,0.565,0.3721,86,0.7058,-0.06856,3136.5912,-2633.4094,-0.6916
DAILYMR_20260207_161749_9115875d,114c5291a6b7,30,2.0,0.0,0.05,0.5,0,1,0.0,14,False,14,30,70,False,1.5,0.5,TQQQDailyMeanReversionAlgorithm,-0.4183,-0.1409,0.565,0.3721,86,0.7058,-0.06856,3136.5912,-2633.4094,-0.6916
DAILYMR_20260207_161815_79afd4a8,c8935fcfe9d1,30,2.0,0.0,0.05,0.5,20,1,2.0,14,False,14,30,70,False,1.5,0.5,TQQQDailyMeanReversionAlgorithm,-0.444,-0.1602,0.536,0.3793,87,0.6691,-0.07405,2719.9745,-2484.4015,-0.8286
DAILYMR_20260207_161840_51926a8c,1f864fec1e4a,30,2.0,0.0,0.05,0.5,20,1,3.0,14,False,14,30,70,False,1.5,0.5,TQQQDailyMeanReversionAlgorithm,-0.4007,-0.1434,0.531,0.3837,86,0.6989,-0.0649,2818.6476,-2511.0094,-0.7559
DAILYMR_20260207_161905_a8d5e103,3fb2932df7bf,30,2.0,0.0,0.05,0.5,20,1,0.0,14,True,14,30,70,False,1.5,0.5,TQQQDailyMeanReversionAlgorithm,-0.18109999999999998,-0.2298,0.251,0.25,16,0.5226,-0.025840000000000002,4954.865,-3160.5575,-0.7167
DAILYMR_20260207_161932_574c5773,abdec4c0294c,30,2.0,0.0,0.05,0.5,20,1,0.0,14,True,14,25,75,False,1.5,0.5,TQQQDailyMeanReversionAlgorithm,-0.26890000000000003,-1.1524,0.275,0.0,8,0.0,-0.040220000000000006,0.0,-3360.7875,-1.0
DAILYMR_20260207_162000_7b5be993,4f6a39c44770,30,2.0,0.0,0.05,0.5,20,1,0.0,14,False,14,30,70,True,1.5,0.5,TQQQDailyMeanReversionAlgorithm,-0.2875,-0.1157,0.413,0.3837,86,0.7561,-0.04346,2700.803,-2224.1225,-0.7149
DAILYMR_20260207_162025_9a0b59d9,58c4504e446f,30,2.0,0.0,0.05,0.5,20,1,0.0,14,False,14,30,70,True,1.2,0.5,TQQQDailyMeanReversionAlgorithm,-0.3475,-0.162,0.423,0.3837,86,0.6744,-0.05442,2180.7127,-2013.3921,-0.8379
DAILYMR_20260207_162048_5d75a868,a354fdddc829,20,1.5,0.0,0.05,0.5,20,1,0.0,14,False,14,30,70,False,1.5,0.5,TQQQDailyMeanReversionAlgorithm,-0.39399999999999996,-0.0689,0.6579999999999999,0.4061,165,0.8343,-0.06354,2960.8984,-2426.3358,-0.481
DAILYMR_20260207_162115_b2b22015,3fdf0416f360,20,2.5,0.0,0.03,0.5,10,1,0.0,14,False,14,30,70,False,1.5,0.5,TQQQDailyMeanReversionAlgorithm,-0.0454,-0.054,0.213,0.4348,23,0.8695,-0.00607,3022.225,-2673.7077,-0.2101
DAILYMR_20260207_162139_fbc373e5,3293c464aabc,40,2.0,0.0,0.08,0.5,40,1,0.0,14,False,14,30,70,False,1.5,0.5,TQQQDailyMeanReversionAlgorithm,-0.49219999999999997,-0.1877,0.541,0.3667,60,0.6514,-0.085,4180.8232,-3715.7737,-0.9099
DAILYMR_20260207_162206_b06f4adb,95e179d210e1,60,2.5,0.0,0.05,0.5,20,1,0.0,14,False,14,30,70,False,1.5,0.5,TQQQDailyMeanReversionAlgorithm,0.1941,0.0882,0.215,0.3333,27,1.2842,0.02352,9745.82,-3794.565,0.6897
DAILYMR_20260207_162231_11c15dd2,9f8cfc33c864,30,2.0,0.0,0.05,0.5,20,2,0.0,14,False,14,30,70,False,1.5,0.5,TQQQDailyMeanReversionAlgorithm,-0.42590000000000006,-0.1602,0.529,0.4026,77,0.6631,-0.07014999999999999,2703.3745,-2747.6228,-0.823
DAILYMR_20260207_162254_7e1bfe10,8ae21b8a68f8,30,2.0,0.0,0.05,0.5,20,1,0.0,14,True,14,30,70,True,1.5,0.5,TQQQDailyMeanReversionAlgorithm,-0.0797,-0.1148,0.18100000000000002,0.25,16,0.7227,-0.01083,5193.89,-2395.62,-0.4416
DAILYMR_20260207_162323_4930800c,2bd577f09673,20,2.0,0.0,0.05,0.5,10,1,2.0,14,False,14,30,70,False,1.5,0.5,TQQQDailyMeanReversionAlgorithm,-0.5916,-0.2136,0.638,0.3647,85,0.5714,-0.11076000000000001,2544.4716,-2556.3343,-0.8642
DAILYMR_20260207_162346_27b3e0fa,ac2e788e8d98,40,2.5,0.5,0.05,0.5,20,1,0.0,14,True,14,25,75,False,1.5,0.5,TQQQDailyMeanReversionAlgorithm,-0.0683,-1.0988,0.091,0.0,3,0.0,-0.00923,0.0,-2276.5,-1.0
DAILYMR_20260207_162410_a01bb1ab,017c2be9ce4f,60,3.0,0.0,0.1,0.3,0,1,0.0,14,False,14,30,70,False,1.5,0.5,TQQQDailyMeanReversionAlgorithm,-0.19269999999999998,-1.0759,0.20800000000000002,0.1667,6,0.0964,-0.02766,2056.25,-4264.53,-1.0
DAILYMR_20260207_173852_78a7eafe,398213ac46e6,30,2.0,0.0,0.05,0.5,20,1,0.0,14,False,14,30,70,False,1.5,0.5,TQQQDailyMeanReversionAlgorithm,0.0222,0.0442,0.126,0.3846,13,1.1061,0.02145,4626.84,-2614.3012,0.2025
DAILYMR_20260207_173908_1a886263,fa8e556a56d1,20,2.0,0.0,0.05,0.5,20,1,0.0,14,False,14,30,70,False,1.5,0.5,TQQQDailyMeanReversionAlgorithm,-0.198,-0.3698,0.23399999999999999,0.2727,11,0.3662,-0.19204999999999997,3813.6833,-3905.1988,-0.8702
DAILYMR_20260207_173925_85bafdb4,6732244fe3bf,40,2.0,0.0,0.05,0.5,20,1,0.0,14,False,14,30,70,False,1.5,0.5,TQQQDailyMeanReversionAlgorithm,-0.17550000000000002,-0.5248,0.257,0.2,10,0.2783,-0.17018999999999998,3385.485,-3040.7238,-0.7217
DAILYMR_20260207_173938_cb955362,5f203588f32c,60,2.0,0.0,0.05,0.5,20,1,0.0,14,False,14,30,70,False,1.5,0.5,TQQQDailyMeanReversionAlgorithm,0.0132,0.0267,0.151,0.3,10,1.0651,0.012769999999999998,7211.1733,-2901.6371,0.1072
DAILYMR_20260207_173953_d1e95723,95b89c872cd6,30,1.5,0.0,0.05,0.5,20,1,0.0,14,False,14,30,70,False,1.5,0.5,TQQQDailyMeanReversionAlgorithm,0.030600000000000002,0.03,0.205,0.35,20,1.079,0.029580000000000002,5972.4143,-2980.3846,0.1233
DAILYMR_20260207_174006_a2ed1351,43c0c232bac8,30,2.5,0.0,0.05,0.5,20,1,0.0,14,False,14,30,70,False,1.5,0.5,TQQQDailyMeanReversionAlgorithm,-0.09519999999999999,-0.5849,0.13,0.25,4,0.163,-0.09215,1853.6,-3790.76,-0.837
DAILYMR_20260207_174023_f8ade0f2,697ca9900188,30,3.0,0.0,0.05,0.5,20,1,0.0,14,False,14,30,70,False,1.5,0.5,TQQQDailyMeanReversionAlgorithm,0.0209,0.0,0.043,1.0,1,10.0,0.02021,2091.6,0.0,10.0
DAILYMR_20260207_174039_3d4cabe2,f4170ccdd4ef,30,2.0,0.5,0.05,0.5,20,1,0.0,14,False,14,30,70,False,1.5,0.5,TQQQDailyMeanReversionAlgorithm,0.060899999999999996,0.1132,0.14300000000000002,0.3846,13,1.3037,0.05878,5226.706,-2505.7425,0.4882
DAILYMR_20260207_174052_af75e50d,abf097b58488,30,2.0,-0.5,0.05,0.5,20,1,0.0,14,False,14,30,70,False,1.5,0.5,TQQQDailyMeanReversionAlgorithm,0.056600000000000004,0.1008,0.126,0.3846,13,1.2684,0.05463,5347.362,-2634.8388,0.5097
DAILYMR_20260207_174109_0560c22b,fdc3a4abd575,30,2.0,0.0,0.03,0.5,20,1,0.0,14,False,14,30,70,False,1.5,0.5,TQQQDailyMeanReversionAlgorithm,0.0338,0.0639,0.126,0.3333,15,1.1692,0.03262,4666.392,-1995.505,0.2934
DAILYMR_20260207_174130_280c16ae,b1da13f15406,30,2.0,0.0,0.08,0.5,20,1,0.0,14,False,14,30,70,False,1.5,0.5,TQQQDailyMeanReversionAlgorithm,-0.0268,-0.0507,0.147,0.3846,13,0.8913,-0.025920000000000002,4396.46,-3082.8638,-0.2291
DAILYMR_20260207_174147_6f07912c,ab9c92c7c925,30,2.0,0.0,0.1,0.5,20,1,0.0,14,False,14,30,70,False,1.5,0.5,TQQQDailyMeanReversionAlgorithm,0.0762,0.1165,0.125,0.4444,9,1.4009,0.07357,6658.225,-3802.166,0.8203
DAILYMR_20260207_174202_f25f5f6d,45e58174a488,30,2.0,0.0,0.05,0.3,20,1,0.0,14,False,14,30,70,False,1.5,0.5,TQQQDailyMeanReversionAlgorithm,0.015700000000000002,0.0512,0.076,0.3846,13,1.1244,0.01517,2838.306,-1577.7075,0.2389
DAILYMR_20260207_174220_daefcdd4,278c715303c1,30,2.0,0.0,0.05,0.7,20,1,0.0,14,False,14,30,70,False,1.5,0.5,TQQQDailyMeanReversionAlgorithm,0.0259,0.0375,0.174,0.3846,13,1.0892,0.025019999999999997,6327.644,-3631.0425,0.1694
DAILYMR_20260207_174239_38f6e330,ff22a0943700,30,2.0,0.0,0.05,0.5,10,1,0.0,14,False,14,30,70,False,1.5,0.5,TQQQDailyMeanReversionAlgorithm,-0.0223,-0.0414,0.17800000000000002,0.3846,13,0.9049,-0.021589999999999998,4251.23,-2936.1463,-0.1393
DAILYMR_20260207_174254_2f9ea3bb,fd6986cf97c1,30,2.0,0.0,0.05,0.5,40,1,0.0,14,False,14,30,70,False,1.5,0.5,TQQQDailyMeanReversionAlgorithm,0.0189,0.0374,0.126,0.3846,13,1.0889,0.01822,4619.076,-2651.145,0.1675
DAILYMR_20260207_174307_f66bebb0,dc2b5d2eeb03,30,2.0,0.0,0.05,0.5,0,1,0.0,14,False,14,30,70,False,1.5,0.5,TQQQDailyMeanReversionAlgorithm,0.0189,0.0374,0.126,0.3846,13,1.0889,0.01822,4619.076,-2651.145,0.1675
DAILYMR_20260207_174320_190d6c85,91f7d4d97217,30,2.0,0.0,0.05,0.5,20,1,2.0,14,False,14,30,70,False,1.5,0.5,TQQQDailyMeanReversionAlgorithm,-0.0127,-0.0241,0.135,0.3571,14,0.9466,-0.0123,4506.814,-2645.1367,-0.1054
DAILYMR_20260207_174337_bac65269,4f9c915f2eb2,30,2.0,0.0,0.05,0.5,20,1,3.0,14,False,14,30,70,False,1.5,0.5,TQQQDailyMeanReversionAlgorithm,0.0222,0.0442,0.126,0.3846,13,1.1061,0.02145,4626.84,-2614.3012,0.2025
DAILYMR_20260207_174355_c33ffd46,1ac124663b62,30,2.0,0.0,0.05,0.5,20,1,0.0,14,True,14,30,70,False,1.5,0.5,TQQQDailyMeanReversionAlgorithm,-0.13449999999999998,-3.6078,0.151,0.0,5,0.0,-0.13033,0.0,-2690.594,-1.0
DAILYMR_20260207_174410_db797ac5,3a732fb3c7e3,30,2.0,0.0,0.05,0.5,20,1,0.0,14,True,14,25,75,False,1.5,0.5,TQQQDailyMeanReversionAlgorithm,-0.1183,-5.7408,0.14,0.0,4,0.0,-0.11458,0.0,-2957.83,-1.0
DAILYMR_20260207_174427_18b2b277,1ddbf3d72169,30,2.0,0.0,0.05,0.5,20,1,0.0,14,False,14,30,70,True,1.5,0.5,TQQQDailyMeanReversionAlgorithm,-0.0076,-0.0164,0.126,0.3846,13,0.9636,-0.00736,4030.528,-2614.3012,-0.0695
DAILYMR_20260207_174442_dd88dc4f,97876ef1f781,30,2.0,0.0,0.05,0.5,20,1,0.0,14,False,14,30,70,True,1.2,0.5,TQQQDailyMeanReversionAlgorithm,-0.0233,-0.057,0.1,0.3846,13,0.8737,-0.02249,3217.632,-2301.8188,-0.2403
DAILYMR_20260207_174457_564f9a3a,bf6229b34845,20,1.5,0.0,0.05,0.5,20,1,0.0,14,False,14,30,70,False,1.5,0.5,TQQQDailyMeanReversionAlgorithm,0.0484,0.0393,0.204,0.4583,24,1.0996,0.04678,4861.4973,-3740.9369,0.2261
DAILYMR_20260207_174517_4dc9d789,6c2e18262558,20,2.5,0.0,0.03,0.5,10,1,0.0,14,False,14,30,70,False,1.5,0.5,TQQQDailyMeanReversionAlgorithm,0.0553,0.3699,0.037000000000000005,0.3333,3,3.7364,0.05341,7553.0,-1010.725,2.7364
DAILYMR_20260207_174536_ed51b537,6d689a5be87a,40,2.0,0.0,0.08,0.5,40,1,0.0,14,False,14,30,70,False,1.5,0.5,TQQQDailyMeanReversionAlgorithm,-0.2421,-0.623,0.317,0.2222,9,0.2311,-0.23498000000000002,3637.505,-4497.2786,-0.7689
DAILYMR_20260207_174555_fe09af1e,ad7011c53ce2,60,2.5,0.0,0.05,0.5,20,1,0.0,14,False,14,30,70,False,1.5,0.5,TQQQDailyMeanReversionAlgorithm,-0.0748,-0.3299,0.14800000000000002,0.25,4,0.4354,-0.07236,5767.2,-4414.7633,-0.5646
DAILYMR_20260207_174610_b29e0e22,2bc3f2f13742,30,2.0,0.0,0.05,0.5,20,2,0.0,14,False,14,30,70,False,1.5,0.5,TQQQDailyMeanReversionAlgorithm,0.0507,0.1062,0.126,0.4167,12,1.2765,0.048949999999999994,4680.658,-2619.1871,0.5044
DAILYMR_20260207_174625_37af1760,13747acace66,30,2.0,0.0,0.05,0.5,20,1,0.0,14,True,14,30,70,True,1.5,0.5,TQQQDailyMeanReversionAlgorithm,-0.13449999999999998,-3.6078,0.151,0.0,5,0.0,-0.13033,0.0,-2690.594,-1.0
DAILYMR_20260207_174642_832fbcaf,7111f5b34204,20,2.0,0.0,0.05,0.5,10,1,2.0,14,False,14,30,70,False,1.5,0.5,TQQQDailyMeanReversionAlgorithm,-0.1887,-0.3507,0.23399999999999999,0.2727,11,0.3788,-0.18295999999999998,3835.2833,-3796.6362,-0.8633
DAILYMR_20260207_174656_be83dc36,2ef5bd449fd7,40,2.5,0.5,0.05,0.5,20,1,0.0,14,True,14,25,75,False,1.5,0.5,TQQQDailyMeanReversionAlgorithm,-0.013600000000000001,0.0,0.061,0.0,1,0.0,-0.01317,0.0,-1362.9,-1.0
DAILYMR_20260207_174715_04488f7a,a18bbe186dcc,60,3.0,0.0,0.1,0.3,0,1,0.0,14,False,14,30,70,False,1.5,0.5,TQQQDailyMeanReversionAlgorithm,-0.0482,0.0,0.055,0.0,1,0.0,-0.04665,0.0,-4822.82,-1.0
DAILYMR_20260207_194040_fc373753,e0486ca5988f,30,2.0,0.0,0.05,0.5,20,1,0.0,14,False,14,30,70,False,1.5,0.5,TQQQDailyMeanReversionAlgorithm,OPT_20260207_194040,-0.4007,-0.1434,0.531,0.3837,86,0.6989,-0.0649,2818.6476,-2511.0094,-0.7559
DAILYMR_20260207_194115_89d357e3,643436e37545,20,2.0,0.0,0.05,0.5,20,1,0.0,14,False,14,30,70,False,1.5,0.5,TQQQDailyMeanReversionAlgorithm,OPT_20260207_194040,-0.6223,-0.2225,0.674,0.3765,85,0.5673,-0.11981,2549.3728,-2713.3642,-0.8337
DAILYMR_20260207_194143_fab6ef74,ff1294a342d8,40,2.0,0.0,0.05,0.5,20,1,0.0,14,False,14,30,70,False,1.5,0.5,TQQQDailyMeanReversionAlgorithm,OPT_20260207_194040,-0.25579999999999997,-0.087,0.451,0.3889,72,0.8037,-0.037989999999999996,3740.23,-2961.5875,-0.5674
DAILYMR_20260207_194208_aab5a28e,9af89925eb73,60,2.0,0.0,0.05,0.5,20,1,0.0,14,False,14,30,70,False,1.5,0.5,TQQQDailyMeanReversionAlgorithm,OPT_20260207_194040,-0.1624,-0.0514,0.349,0.3429,70,0.8682,-0.02297,4459.5683,-2679.8687,-0.466
DAILYMR_20260207_194235_fc10b087,f235b24f8215,30,1.5,0.0,0.05,0.5,20,1,0.0,14,False,14,30,70,False,1.5,0.5,TQQQDailyMeanReversionAlgorithm,OPT_20260207_194040,-0.42590000000000006,-0.0958,0.635,0.3514,148,0.7785,-0.07014999999999999,2878.449,-2002.7788,-0.6082
DAILYMR_20260207_194302_6196fb0a,d2a2c2b8af9f,30,2.5,0.0,0.05,0.5,20,1,0.0,14,False,14,30,70,False,1.5,0.5,TQQQDailyMeanReversionAlgorithm,OPT_20260207_194040,-0.1405,-0.0998,0.245,0.4286,28,0.7844,-0.01965,4260.485,-4073.44,-0.6274
