session_id,hash,sma_fast,sma_slow,bull_allocation,bear_allocation,use_cash_zone,mixed_allocation,rebalance_threshold,max_drawdown_exit,confirmation_days,signal_mode,breakout_lookback,data_resolution,algorithm_name,_optimization_run_id,total_return,sharpe_ratio,max_drawdown,win_rate,total_trades,profit_factor,cagr,avg_win,avg_loss,calmar_ratio
GLDTREND_20260210_020344_ea7c32e7,25615310db2c,50,150,0.9,0,True,0,0.05,0,1,breakout,10,minute,GLDPositionTrendAlgorithm,GLD_OPT_20260210_020344,0.0757,0.0498,0.226,0.4118,34,1.1547,0.00813,4029.2221,-2442.5055,0.2938
GLDTREND_20260210_071246_610449a0,25615310db2c,50,150,0.9,0,True,0,0.05,0,1,breakout,10,minute,GLDPositionTrendAlgorithm,GLD_OPT_20260210_071246,0.0757,0.0498,0.226,0.4118,34,1.1547,0.00813,4029.2221,-2442.5055,0.2938
GLDTREND_20260210_071318_9fc58676,b42972ef54dd,50,150,0.9,0,True,0,0.05,0,1,breakout,20,minute,GLDPositionTrendAlgorithm,GLD_OPT_20260210_071246,-0.0395,-0.0489,0.324,0.3529,17,0.8874,-0.00447,5200.2067,-3196.3691,-0.149
GLDTREND_20260210_071343_68b50bf7,88a818339711,50,150,0.9,0,True,0,0.05,0,1,breakout,30,minute,GLDPositionTrendAlgorithm,GLD_OPT_20260210_071246,-0.040999999999999995,-0.0487,0.355,0.3333,12,0.8775,-0.00464,7358.0525,-4192.635,-0.1227
GLDTREND_20260210_071414_bcc85ce8,2ed2e86c3b77,50,150,0.9,0,True,0,0.05,0,1,breakout,40,minute,GLDPositionTrendAlgorithm,GLD_OPT_20260210_071246,-0.0084,-0.0206,0.273,0.4444,9,0.9481,-0.00094,3891.795,-3283.904,-0.0559
GLDTREND_20260210_071441_b60c1ddd,f69760dd1fad,50,150,0.9,0,True,0,0.05,0,1,breakout,55,minute,GLDPositionTrendAlgorithm,GLD_OPT_20260210_071246,-0.09970000000000001,-0.2265,0.33799999999999997,0.3333,9,0.5844,-0.0116,4678.1367,-4002.665,-0.4156
GLDTREND_20260210_071529_d8f64a26,de9fb77c4aae,50,200,0.9,0,True,0,0.05,0,1,breakout,10,minute,GLDPositionTrendAlgorithm,GLD_OPT_20260210_071246,0.08289999999999999,0.0519,0.285,0.375,32,1.155,0.00888,5146.3292,-2673.4005,0.2241
GLDTREND_20260210_071556_638d6fcf,f49fbc7eaccd,50,200,0.9,0,True,0,0.05,0,1,breakout,20,minute,GLDPositionTrendAlgorithm,GLD_OPT_20260210_071246,0.0424,0.051,0.305,0.5,16,1.1322,0.0046300000000000004,4544.4637,-4013.8738,0.1653
GLDTREND_20260210_071627_44a35d46,90ed9be3f020,50,200,0.9,0,True,0,0.05,0,1,breakout,30,minute,GLDPositionTrendAlgorithm,GLD_OPT_20260210_071246,-0.051399999999999994,-0.0604,0.36200000000000004,0.3333,12,0.8513,-0.00584,7357.7625,-4321.5275,-0.1489
GLDTREND_20260210_071654_87412341,50ba1401b9f2,50,200,0.9,0,True,0,0.05,0,1,breakout,40,minute,GLDPositionTrendAlgorithm,GLD_OPT_20260210_071246,-0.0518,-0.1137,0.305,0.4,10,0.7497,-0.00588,3875.35,-3446.0983,-0.2644
GLDTREND_20260210_071719_1d422a89,a49902c86b78,50,200,0.9,0,True,0,0.05,0,1,breakout,55,minute,GLDPositionTrendAlgorithm,GLD_OPT_20260210_071246,-0.1668,-0.3242,0.387,0.3,10,0.457,-0.020059999999999998,4678.1367,-4387.2514,-0.543
GLDTREND_20260210_071749_25fd0ff9,a464792c9662,20,100,0.9,0,True,0,0.05,0,1,breakout,10,minute,GLDPositionTrendAlgorithm,GLD_OPT_20260210_071246,0.0179,-0.0096,0.252,0.3939,33,0.9733,0.00197,3690.1185,-2464.2985,-0.0492
GLDTREND_20260210_071834_fa2de6da,579ab04bbd90,20,100,0.9,0,True,0,0.05,0,1,breakout,20,minute,GLDPositionTrendAlgorithm,GLD_OPT_20260210_071246,0.030600000000000002,-0.0015,0.287,0.4706,17,0.9964,0.00335,4157.7512,-3709.0644,-0.0057
