session_id,hash,sma_fast,sma_slow,bull_allocation,bear_allocation,use_cash_zone,mixed_allocation,rebalance_threshold,max_drawdown_exit,confirmation_days,data_resolution,algorithm_name,_optimization_run_id,total_return,sharpe_ratio,max_drawdown,win_rate,total_trades,profit_factor,cagr,avg_win,avg_loss,calmar_ratio
GLDTREND_20260210_011726_b96f4fbb,bd4559f511f4,50,200,0.9,0,True,0,0.05,0,1,minute,GLDPositionTrendAlgorithm,GLD_OPT_20260210_011726,0.1177,0.0605,0.301,0.3778,45,1.1984,0.01244,3438.6071,-1742.0936,0.3608
GLDTREND_20260210_012112_3ce2e631,b10530ad54d6,50,200,0.9,0,True,0,0.05,0,1,minute,GLDPositionTrendAlgorithm,GLD_OPT_20260210_012111,0.1702,0.2,0.115,0.381,21,2.0672,0.05377,3751.4975,-1116.8,3.3277
GLDTREND_20260210_012222_54d91518,c171be8cbad8,50,200,0.9,0,True,0,0.05,0,1,minute,GLDPositionTrendAlgorithm,GLD_OPT_20260210_012221,0.7748,0.1304,0.204,0.36,50,1.7017,0.09855,3821.2183,-1263.1322,1.876
GLDTREND_20260210_012345_05708699,8239ca03d119,50,200,0.9,0,True,0,0.05,0,1,minute,GLDPositionTrendAlgorithm,GLD_OPT_20260210_012345,1.1924,0.1225,0.301,0.3679,106,1.5771,0.04994,4100.3431,-1513.431,2.1814
GLDTREND_20260210_014139_c8d71326,25ff00a48f5c,50,200,0.9,0,True,0,0.05,0,1,price,minute,GLDPositionTrendAlgorithm,GLD_OPT_20260210_014139,0.1177,0.0605,0.301,0.3778,45,1.1984,0.01244,3438.6071,-1742.0936,0.3608
GLDTREND_20260210_014204_5f32ac50,5a1023bb4c59,50,200,0.9,0,True,0,0.05,0,3,price,minute,GLDPositionTrendAlgorithm,GLD_OPT_20260210_014139,-0.0268,-0.0263,0.349,0.4091,22,0.9344,-0.00301,4568.3178,-3384.6862,-0.0857
GLDTREND_20260210_014236_68c8a297,7a98084010f1,50,200,0.9,0,False,0,0.05,0,1,price,minute,GLDPositionTrendAlgorithm,GLD_OPT_20260210_014139,0.1177,0.0605,0.301,0.3778,45,1.1984,0.01244,3438.6071,-1742.0936,0.3608
GLDTREND_20260210_014305_ddf8e3a5,3cb37d5c2a66,50,200,0.9,0,False,0,0.05,0,3,price,minute,GLDPositionTrendAlgorithm,GLD_OPT_20260210_014139,-0.0268,-0.0263,0.349,0.4091,22,0.9344,-0.00301,4568.3178,-3384.6862,-0.0857
GLDTREND_20260210_014356_33ab73b4,60d2f3a00180,50,300,0.9,0,True,0,0.05,0,1,price,minute,GLDPositionTrendAlgorithm,GLD_OPT_20260210_014139,0.0508,0.032,0.306,0.3922,51,1.1127,0.005520000000000001,2398.395,-1390.5965,0.1786
GLDTREND_20260210_014425_65130855,48f9d2a7f429,50,300,0.9,0,True,0,0.05,0,3,price,minute,GLDPositionTrendAlgorithm,GLD_OPT_20260210_014139,-0.0723,-0.0653,0.373,0.4348,23,0.8318,-0.008289999999999999,3574.051,-3305.1154,-0.1961
GLDTREND_20260210_014454_4906af3b,7627502c4c7a,100,200,0.9,0,True,0,0.05,0,1,price,minute,GLDPositionTrendAlgorithm,GLD_OPT_20260210_014139,0.1166,0.0542,0.281,0.3617,47,1.2239,0.01232,3076.6994,-1424.5577,0.3392
GLDTREND_20260210_014528_76f3c979,8ba04beed00c,100,200,0.9,0,True,0,0.05,0,3,price,minute,GLDPositionTrendAlgorithm,GLD_OPT_20260210_014139,-0.0663,-0.055,0.38,0.3,20,0.8392,-0.00758,5933.96,-3030.5264,-0.1779
GLDTREND_20260210_014555_d1e755be,b177625eedfb,100,300,0.9,0,True,0,0.05,0,1,price,minute,GLDPositionTrendAlgorithm,GLD_OPT_20260210_014139,0.0783,0.0449,0.281,0.3469,49,1.2102,0.008409999999999999,2575.2759,-1130.48,0.2717
GLDTREND_20260210_014622_0b45f22f,6796f63887ec,100,300,0.9,0,True,0,0.05,0,3,price,minute,GLDPositionTrendAlgorithm,GLD_OPT_20260210_014139,-0.0599,-0.0489,0.375,0.25,20,0.8488,-0.006840000000000001,6727.004,-2641.7333,-0.1583
GLDTREND_20260210_014655_16ee175b,b64830a6898f,20,100,0.9,0,True,0,0.05,0,1,price,minute,GLDPositionTrendAlgorithm,GLD_OPT_20260210_014139,0.2557,0.0705,0.156,0.3516,91,1.2945,0.02561,2786.6762,-1167.5788,1.3085
GLDTREND_20260210_014722_2c3253b2,f4d0d4ad418d,20,200,0.9,0,True,0,0.05,0,1,price,minute,GLDPositionTrendAlgorithm,GLD_OPT_20260210_014139,0.2928,0.0971,0.134,0.4024,82,1.4197,0.028929999999999997,2752.7121,-1305.771,1.8332
GLDTREND_20260210_014754_3ca81478,5725789809c9,50,150,0.9,0,True,0,0.05,0,1,price,minute,GLDPositionTrendAlgorithm,GLD_OPT_20260210_014139,0.1421,0.0655,0.306,0.3061,49,1.2264,0.014870000000000001,3861.858,-1389.2153,0.3934
GLDTREND_20260210_014823_6090feda,44ed38028f77,50,200,0.9,0,True,0,0.05,0,1,crossover,minute,GLDPositionTrendAlgorithm,GLD_OPT_20260210_014139,0.1461,0.122,0.324,0.3333,6,1.5158,0.015260000000000001,21467.64,-7081.205,0.5158
GLDTREND_20260210_014848_2cbbd36e,d4816aba885f,50,200,0.9,0,True,0,0.05,0,3,crossover,minute,GLDPositionTrendAlgorithm,GLD_OPT_20260210_014139,0.09910000000000001,0.0808,0.348,0.1667,6,1.3048,0.010549999999999999,42437.9,-6504.73,0.3048
GLDTREND_20260210_014922_d8426ade,3c72df7cf6c2,50,300,0.9,0,True,0,0.05,0,1,crossover,minute,GLDPositionTrendAlgorithm,GLD_OPT_20260210_014139,-0.0331,-0.0389,0.38299999999999995,0.2,5,0.898,-0.00373,29107.72,-8103.415,-0.102
