symbols,rsi_period,rsi_entry,rsi_exit,trend_sma,use_trend_filter,allocation,max_hold_days,data_resolution
QQQ,2,15,90,200,True,0.90,0,minute
SPY,2,15,90,200,True,0.90,0,minute
IWM,2,15,90,200,True,0.90,0,minute
DIA,2,15,90,200,True,0.90,0,minute
QQQ,2,15,90,200,False,0.90,0,minute
SPY,2,15,90,200,False,0.90,0,minute
IWM,2,15,90,200,False,0.90,0,minute
DIA,2,15,90,200,False,0.90,0,minute
"QQQ,SPY",2,15,90,200,True,0.90,0,minute
"QQQ,SPY",2,15,90,200,False,0.90,0,minute
"QQQ,SPY,IWM",2,15,90,200,True,0.90,0,minute
"QQQ,SPY,IWM",2,15,90,200,False,0.90,0,minute
"QQQ,SPY,IWM,DIA",2,15,90,200,True,0.90,0,minute
"QQQ,SPY,IWM,DIA",2,15,90,200,False,0.90,0,minute
