zscore_lookback,entry_zscore,exit_target_zscore,stop_loss_pct,position_size,max_hold_days,min_days_between,trailing_stop_atr,atr_period,use_rsi_filter,rsi_period,rsi_oversold,rsi_overbought,use_vol_scaling,vol_scale_threshold,vol_scale_factor
30,2.0,0.0,0.05,0.5,20,1,0.0,14,False,14,30,70,False,1.5,0.5
20,2.0,0.0,0.05,0.5,20,1,0.0,14,False,14,30,70,False,1.5,0.5
40,2.0,0.0,0.05,0.5,20,1,0.0,14,False,14,30,70,False,1.5,0.5
60,2.0,0.0,0.05,0.5,20,1,0.0,14,False,14,30,70,False,1.5,0.5
30,1.5,0.0,0.05,0.5,20,1,0.0,14,False,14,30,70,False,1.5,0.5
30,2.5,0.0,0.05,0.5,20,1,0.0,14,False,14,30,70,False,1.5,0.5
30,3.0,0.0,0.05,0.5,20,1,0.0,14,False,14,30,70,False,1.5,0.5
30,2.0,0.5,0.05,0.5,20,1,0.0,14,False,14,30,70,False,1.5,0.5
30,2.0,-0.5,0.05,0.5,20,1,0.0,14,False,14,30,70,False,1.5,0.5
30,2.0,0.0,0.03,0.5,20,1,0.0,14,False,14,30,70,False,1.5,0.5
30,2.0,0.0,0.08,0.5,20,1,0.0,14,False,14,30,70,False,1.5,0.5
30,2.0,0.0,0.1,0.5,20,1,0.0,14,False,14,30,70,False,1.5,0.5
30,2.0,0.0,0.05,0.3,20,1,0.0,14,False,14,30,70,False,1.5,0.5
30,2.0,0.0,0.05,0.7,20,1,0.0,14,False,14,30,70,False,1.5,0.5
30,2.0,0.0,0.05,0.5,10,1,0.0,14,False,14,30,70,False,1.5,0.5
30,2.0,0.0,0.05,0.5,40,1,0.0,14,False,14,30,70,False,1.5,0.5
30,2.0,0.0,0.05,0.5,0,1,0.0,14,False,14,30,70,False,1.5,0.5
30,2.0,0.0,0.05,0.5,20,1,2.0,14,False,14,30,70,False,1.5,0.5
30,2.0,0.0,0.05,0.5,20,1,3.0,14,False,14,30,70,False,1.5,0.5
30,2.0,0.0,0.05,0.5,20,1,0.0,14,True,14,30,70,False,1.5,0.5
30,2.0,0.0,0.05,0.5,20,1,0.0,14,True,14,25,75,False,1.5,0.5
30,2.0,0.0,0.05,0.5,20,1,0.0,14,False,14,30,70,True,1.5,0.5
30,2.0,0.0,0.05,0.5,20,1,0.0,14,False,14,30,70,True,1.2,0.5
20,1.5,0.0,0.05,0.5,20,1,0.0,14,False,14,30,70,False,1.5,0.5
20,2.5,0.0,0.03,0.5,10,1,0.0,14,False,14,30,70,False,1.5,0.5
40,2.0,0.0,0.08,0.5,40,1,0.0,14,False,14,30,70,False,1.5,0.5
60,2.5,0.0,0.05,0.5,20,1,0.0,14,False,14,30,70,False,1.5,0.5
30,2.0,0.0,0.05,0.5,20,2,0.0,14,False,14,30,70,False,1.5,0.5
30,2.0,0.0,0.05,0.5,20,1,0.0,14,True,14,30,70,True,1.5,0.5
20,2.0,0.0,0.05,0.5,10,1,2.0,14,False,14,30,70,False,1.5,0.5
40,2.5,0.5,0.05,0.5,20,1,0.0,14,True,14,25,75,False,1.5,0.5
60,3.0,0.0,0.1,0.3,0,1,0.0,14,False,14,30,70,False,1.5,0.5
