sma_fast,sma_slow,bull_allocation,bear_allocation,use_cash_zone,mixed_allocation,mixed_instrument,rebalance_threshold,max_drawdown_exit,confirmation_days,bear_confirmation_days,bear_sma_margin,bear_momentum_lookback
50,200,0.90,0.00,True,0.30,tqqq,0.05,0.0,1,5,0.02,10
50,200,0.90,0.30,True,0.30,tqqq,0.05,0.0,1,3,0.02,10
50,200,0.90,0.30,True,0.30,tqqq,0.05,0.0,1,5,0.02,10
50,200,0.90,0.30,True,0.30,tqqq,0.05,0.0,1,7,0.02,10
50,200,0.90,0.30,True,0.30,tqqq,0.05,0.0,1,5,0.00,10
50,200,0.90,0.30,True,0.30,tqqq,0.05,0.0,1,5,0.03,10
50,200,0.90,0.30,True,0.30,tqqq,0.05,0.0,1,5,0.05,10
50,200,0.90,0.30,True,0.30,tqqq,0.05,0.0,1,5,0.02,5
50,200,0.90,0.30,True,0.30,tqqq,0.05,0.0,1,5,0.02,20
50,200,0.90,0.50,True,0.30,tqqq,0.05,0.0,1,3,0.02,10
50,200,0.90,0.50,True,0.30,tqqq,0.05,0.0,1,5,0.02,10
50,200,0.90,0.50,True,0.30,tqqq,0.05,0.0,1,7,0.02,10
50,200,0.90,0.50,True,0.30,tqqq,0.05,0.0,1,5,0.00,10
50,200,0.90,0.50,True,0.30,tqqq,0.05,0.0,1,5,0.03,10
50,200,0.90,0.50,True,0.30,tqqq,0.05,0.0,1,5,0.05,10
50,200,0.90,0.50,True,0.30,tqqq,0.05,0.0,1,5,0.02,5
50,200,0.90,0.50,True,0.30,tqqq,0.05,0.0,1,5,0.02,20
50,200,0.90,0.70,True,0.30,tqqq,0.05,0.0,1,3,0.02,10
50,200,0.90,0.70,True,0.30,tqqq,0.05,0.0,1,5,0.02,10
50,200,0.90,0.70,True,0.30,tqqq,0.05,0.0,1,7,0.02,10
50,200,0.90,0.70,True,0.30,tqqq,0.05,0.0,1,5,0.00,10
50,200,0.90,0.70,True,0.30,tqqq,0.05,0.0,1,5,0.03,10
50,200,0.90,0.70,True,0.30,tqqq,0.05,0.0,1,5,0.05,10
50,200,0.90,0.70,True,0.30,tqqq,0.05,0.0,1,5,0.02,5
50,200,0.90,0.70,True,0.30,tqqq,0.05,0.0,1,5,0.02,20
50,200,0.90,0.90,True,0.30,tqqq,0.05,0.0,1,3,0.02,10
50,200,0.90,0.90,True,0.30,tqqq,0.05,0.0,1,5,0.02,10
50,200,0.90,0.90,True,0.30,tqqq,0.05,0.0,1,7,0.02,10
50,200,0.90,0.90,True,0.30,tqqq,0.05,0.0,1,5,0.00,10
50,200,0.90,0.90,True,0.30,tqqq,0.05,0.0,1,5,0.03,10
50,200,0.90,0.90,True,0.30,tqqq,0.05,0.0,1,5,0.05,10
50,200,0.90,0.90,True,0.30,tqqq,0.05,0.0,1,5,0.02,5
50,200,0.90,0.90,True,0.30,tqqq,0.05,0.0,1,5,0.02,20
