entry_period,exit_period,atr_period,risk_per_trade,atr_stop_multiple,max_units,pyramid_atr_step,max_position_pct,max_hold_days,use_qqq_filter
20,10,20,0.005,2.0,3,0.5,0.8,0,False
20,10,20,0.01,2.0,3,0.5,0.8,0,False
20,10,20,0.005,1.5,3,0.5,0.8,0,False
20,10,20,0.005,2.5,3,0.5,0.8,0,False
20,10,20,0.005,2.0,2,0.5,0.8,0,False
20,10,20,0.005,2.0,4,0.5,0.8,0,False
10,5,20,0.005,2.0,3,0.5,0.8,0,False
10,5,20,0.01,2.0,3,0.5,0.8,0,False
40,20,20,0.005,2.0,3,0.5,0.8,0,False
40,20,20,0.01,2.0,3,0.5,0.8,0,False
55,20,20,0.005,2.0,3,0.5,0.8,0,False
20,10,14,0.005,2.0,3,0.5,0.8,0,False
20,10,20,0.005,2.0,3,1.0,0.8,0,False
20,10,20,0.005,2.0,3,0.25,0.8,0,False
20,10,20,0.005,2.0,1,0.5,0.5,0,False
20,10,20,0.005,2.0,3,0.5,0.6,0,False
20,10,20,0.005,2.0,3,0.5,0.8,60,False
20,10,20,0.005,2.0,3,0.5,0.8,30,False
20,10,20,0.005,2.0,3,0.5,0.8,0,True
40,20,20,0.005,2.0,3,0.5,0.8,0,True
10,5,14,0.005,1.5,3,0.5,0.8,0,False
10,5,14,0.01,1.5,3,0.5,0.8,0,False
55,20,20,0.005,2.5,3,0.5,0.8,0,False
55,20,20,0.01,2.0,2,0.5,0.8,0,False
40,10,20,0.005,2.0,3,0.5,0.8,0,False
20,5,20,0.005,2.0,3,0.5,0.8,0,False
40,20,14,0.01,2.0,3,1.0,0.8,0,False
10,10,20,0.005,2.0,3,0.5,0.8,0,False
20,10,20,0.015,2.0,3,0.5,0.8,0,False
20,10,20,0.005,3.0,3,0.5,0.8,0,False
55,20,20,0.005,2.0,3,0.5,0.8,0,True
40,10,20,0.01,1.5,4,0.5,0.8,0,False
