rsi_period,rsi_oversold,rsi_overbought,bb_period,bb_std_dev,ema_fast_period,ema_slow_period,stop_loss_pct,take_profit_pct,position_size_level1,position_size_level2,position_size_level3
18,20,79,29,1.5,8,20,0.008,0.012,0.55,0.28,0.17
18,20,79,29,1.5,8,20,0.008,0.015,0.55,0.28,0.17
18,20,79,29,1.5,8,20,0.008,0.018,0.55,0.28,0.17
18,20,79,29,1.5,8,20,0.01,0.012,0.55,0.28,0.17
18,20,79,29,1.5,8,20,0.01,0.015,0.55,0.28,0.17
18,20,79,29,1.5,8,20,0.01,0.018,0.55,0.28,0.17
18,20,79,29,1.5,8,20,0.012,0.012,0.55,0.28,0.17
18,20,79,29,1.5,8,20,0.012,0.015,0.55,0.28,0.17
18,20,79,29,1.5,8,20,0.012,0.018,0.55,0.28,0.17
18,20,79,29,1.5,8,20,0.008,0.012,0.6,0.25,0.15
18,20,79,29,1.5,8,20,0.008,0.015,0.6,0.25,0.15
18,20,79,29,1.5,8,20,0.008,0.018,0.6,0.25,0.15
18,20,79,29,1.5,8,20,0.01,0.012,0.6,0.25,0.15
18,20,79,29,1.5,8,20,0.01,0.015,0.6,0.25,0.15
18,20,79,29,1.5,8,20,0.01,0.018,0.6,0.25,0.15
18,20,79,29,1.5,8,20,0.012,0.012,0.6,0.25,0.15
18,20,79,29,1.5,8,20,0.012,0.015,0.6,0.25,0.15
18,20,79,29,1.5,8,20,0.012,0.018,0.6,0.25,0.15
18,20,79,29,1.5,8,20,0.008,0.012,0.65,0.22,0.13
18,20,79,29,1.5,8,20,0.008,0.015,0.65,0.22,0.13
18,20,79,29,1.5,8,20,0.01,0.012,0.65,0.22,0.13
18,20,79,29,1.5,8,20,0.01,0.015,0.65,0.22,0.13
18,20,79,29,1.5,8,20,0.01,0.018,0.65,0.22,0.13
18,20,79,29,1.5,8,20,0.012,0.015,0.65,0.22,0.13
