rsi_period,rsi_oversold,rsi_overbought,bb_period,bb_std_dev,stop_loss_pct,take_profit_pct,ema_fast_period,ema_slow_period,position_size_level1,position_size_level2,position_size_level3,trailing_stop_pct
18,30,70,29,1.5,0.012,0.018,8,20,0.55,0.28,0.17,0.0
18,35,65,29,1.5,0.012,0.018,8,20,0.55,0.28,0.17,0.0
18,40,60,29,1.5,0.012,0.018,8,20,0.55,0.28,0.17,0.0
18,45,55,29,1.5,0.012,0.018,8,20,0.55,0.28,0.17,0.0
18,35,65,29,1.5,0.010,0.015,8,20,0.55,0.28,0.17,0.0
18,35,65,29,1.5,0.015,0.020,8,20,0.55,0.28,0.17,0.0
18,40,60,29,1.5,0.010,0.015,8,20,0.55,0.28,0.17,0.0
18,40,60,29,1.5,0.015,0.020,8,20,0.55,0.28,0.17,0.0
18,35,65,29,2.0,0.012,0.018,8,20,0.55,0.28,0.17,0.0
18,40,60,29,2.0,0.012,0.018,8,20,0.55,0.28,0.17,0.0
18,35,65,20,1.5,0.012,0.018,8,20,0.55,0.28,0.17,0.0
18,40,60,20,1.5,0.012,0.018,8,20,0.55,0.28,0.17,0.0
14,35,65,20,2.0,0.012,0.018,9,21,0.55,0.28,0.17,0.0
14,40,60,20,2.0,0.012,0.018,9,21,0.55,0.28,0.17,0.0
14,35,65,20,2.0,0.015,0.025,9,21,0.60,0.25,0.15,0.0
14,40,60,20,2.0,0.015,0.025,9,21,0.60,0.25,0.15,0.0
18,35,65,29,1.5,0.012,0.018,8,20,0.65,0.22,0.13,0.0
18,40,60,29,1.5,0.012,0.018,8,20,0.65,0.22,0.13,0.0
18,35,65,29,1.5,0.008,0.012,8,20,0.55,0.28,0.17,0.0
18,40,60,29,1.5,0.008,0.012,8,20,0.55,0.28,0.17,0.0
