zscore_lookback,entry_zscore,exit_zscore,stop_zscore,position_size,stop_loss_pct,notes
45,1.4,0.30,3.0,0.50,0.02,"lookback=45, entry=1.4"
45,1.5,0.30,3.0,0.50,0.02,"lookback=45, entry=1.5"
45,1.6,0.30,3.0,0.50,0.02,"lookback=45, entry=1.6"
50,1.4,0.30,3.0,0.50,0.02,"lookback=50, entry=1.4"
50,1.5,0.30,3.0,0.50,0.02,"BASELINE (v3.0 best)"
50,1.6,0.30,3.0,0.50,0.02,"lookback=50, entry=1.6"
55,1.4,0.30,3.0,0.50,0.02,"lookback=55, entry=1.4"
55,1.5,0.30,3.0,0.50,0.02,"lookback=55, entry=1.5"
55,1.6,0.30,3.0,0.50,0.02,"lookback=55, entry=1.6"
45,1.5,0.25,3.0,0.50,0.02,"exit_z=0.25 (tighter)"
45,1.5,0.35,3.0,0.50,0.02,"exit_z=0.35 (looser)"
50,1.5,0.25,3.0,0.50,0.02,"exit_z=0.25 (tighter)"
50,1.5,0.35,3.0,0.50,0.02,"exit_z=0.35 (looser)"
55,1.5,0.25,3.0,0.50,0.02,"exit_z=0.25 (tighter)"
55,1.5,0.35,3.0,0.50,0.02,"exit_z=0.35 (looser)"
48,1.5,0.28,3.0,0.50,0.02,"fine-tune lookback=48"
52,1.5,0.32,3.0,0.50,0.02,"fine-tune lookback=52"
50,1.5,0.28,3.0,0.50,0.02,"fine-tune exit=0.28"
50,1.5,0.30,3.0,0.55,0.02,"position 55%"
50,1.5,0.30,3.0,0.60,0.02,"position 60%"
50,1.5,0.30,3.0,0.65,0.02,"position 65%"
45,1.5,0.30,3.0,0.55,0.02,"lookback=45, position 55%"
55,1.5,0.30,3.0,0.55,0.02,"lookback=55, position 55%"
48,1.5,0.30,3.0,0.55,0.02,"lookback=48, position 55%"
52,1.5,0.30,3.0,0.55,0.02,"lookback=52, position 55%"
50,1.4,0.30,3.0,0.55,0.02,"entry=1.4, position 55%"
50,1.6,0.30,3.0,0.55,0.02,"entry=1.6, position 55%"
50,1.5,0.30,2.75,0.50,0.02,"stop_z=2.75 (tighter)"
50,1.5,0.30,3.25,0.50,0.02,"stop_z=3.25 (looser)"
50,1.5,0.30,3.0,0.50,0.015,"stop_loss=1.5%"
50,1.5,0.30,3.0,0.50,0.025,"stop_loss=2.5%"
50,1.5,0.30,2.75,0.55,0.02,"stop_z=2.75, position 55%"
50,1.5,0.30,3.25,0.55,0.02,"stop_z=3.25, position 55%"
48,1.45,0.28,3.0,0.50,0.02,"fine-tune combo A"
52,1.55,0.32,3.0,0.50,0.02,"fine-tune combo B"
50,1.45,0.32,3.0,0.55,0.02,"fine-tune combo C"
