zscore_lookback,entry_zscore,exit_zscore,stop_zscore,position_size,stop_loss_pct,trend_filter_enabled,sma_fast_period,sma_slow_period,daily_loss_limit_pct,max_drawdown_pct,drawdown_position_scale,enable_vol_scaling,warmup_days,notes
46,1.5,0.32,3,0.57,0.02,TRUE,20,50,0.02,0.25,0.5,FALSE,210,BASELINE — v3.2 best + trend filter ON
46,1.5,0.32,3,0.57,0.02,FALSE,20,50,0.02,0.25,0.5,FALSE,210,NO trend filter (compare vs baseline)
44,1.5,0.32,3,0.57,0.02,TRUE,20,50,0.02,0.25,0.5,FALSE,210,lookback=44
45,1.5,0.32,3,0.57,0.02,TRUE,20,50,0.02,0.25,0.5,FALSE,210,lookback=45
48,1.5,0.32,3,0.57,0.02,TRUE,20,50,0.02,0.25,0.5,FALSE,210,lookback=48
50,1.5,0.32,3,0.57,0.02,TRUE,20,50,0.02,0.25,0.5,FALSE,210,lookback=50
46,1.4,0.32,3,0.57,0.02,TRUE,20,50,0.02,0.25,0.5,FALSE,210,entry=1.4 (more trades)
46,1.6,0.32,3,0.57,0.02,TRUE,20,50,0.02,0.25,0.5,FALSE,210,entry=1.6 (fewer trades)
46,1.5,0.25,3,0.57,0.02,TRUE,20,50,0.02,0.25,0.5,FALSE,210,exit=0.25 (tighter exit)
46,1.5,0.4,3,0.57,0.02,TRUE,20,50,0.02,0.25,0.5,FALSE,210,exit=0.40 (looser exit)
46,1.5,0.32,2.5,0.57,0.02,TRUE,20,50,0.02,0.25,0.5,FALSE,210,stop_z=2.5 (tighter Z-stop)
46,1.5,0.32,3.5,0.57,0.02,TRUE,20,50,0.02,0.25,0.5,FALSE,210,stop_z=3.5 (looser Z-stop)
46,1.5,0.32,3,0.5,0.02,TRUE,20,50,0.02,0.25,0.5,FALSE,210,position=50%
46,1.5,0.32,3,0.65,0.02,TRUE,20,50,0.02,0.25,0.5,FALSE,210,position=65%
46,1.5,0.32,3,0.57,0.015,TRUE,20,50,0.02,0.25,0.5,FALSE,210,stop_loss=1.5%
46,1.5,0.32,3,0.57,0.025,TRUE,20,50,0.02,0.25,0.5,FALSE,210,stop_loss=2.5%
46,1.5,0.32,3,0.57,0.03,TRUE,20,50,0.02,0.25,0.5,FALSE,210,stop_loss=3% (v3.0 original)
46,1.5,0.32,3,0.57,0.02,TRUE,20,50,0.02,0.25,0.5,FALSE,60,SMA 20/50 (faster trend)
46,1.5,0.32,3,0.57,0.02,TRUE,20,50,0.02,0.25,0.5,FALSE,160,SMA 50/150 (medium trend)
46,1.5,0.32,3,0.57,0.02,TRUE,20,50,0.015,0.25,0.5,FALSE,210,daily halt=1.5% (tighter)
46,1.5,0.32,3,0.57,0.02,TRUE,20,50,0.03,0.25,0.5,FALSE,210,daily halt=3.0% (looser)
46,1.5,0.32,3,0.57,0.02,TRUE,20,50,0.02,0.15,0.5,FALSE,210,max DD=15% (tighter)
46,1.5,0.32,3,0.57,0.02,TRUE,20,50,0.02,0.2,0.5,FALSE,210,max DD=20%
46,1.5,0.32,3,0.57,0.02,TRUE,20,50,0.02,0.25,0.3,FALSE,210,DD scale=30% (more aggressive cut)
46,1.5,0.32,3,0.57,0.02,TRUE,20,50,0.02,0.25,0.7,FALSE,210,DD scale=70% (less aggressive cut)
46,1.5,0.32,3,0.57,0.02,TRUE,20,50,0.02,0.25,0.5,TRUE,210,vol-scaling ON
46,1.4,0.3,3,0.57,0.02,TRUE,20,50,0.02,0.25,0.5,TRUE,210,"vol-scaling + entry=1.4, exit=0.30"
46,1.5,0.32,3,0.5,0.02,TRUE,20,50,0.02,0.25,0.5,TRUE,210,vol-scaling + position=50%
44,1.5,0.32,3,0.57,0.02,TRUE,20,50,0.02,0.2,0.5,FALSE,210,best combo A: lb=44 + DD=20%
46,1.4,0.32,3,0.57,0.02,TRUE,20,50,0.02,0.2,0.5,FALSE,210,best combo B: entry=1.4 + DD=20%
46,1.5,0.32,3,0.57,0.02,TRUE,20,50,0.015,0.2,0.3,FALSE,210,max protection: halt=1.5% + DD=20% + scale=30%
46,1.5,0.32,3,0.65,0.02,TRUE,20,50,0.03,0.3,0.7,FALSE,210,max aggression: pos=65% + halt=3% + DD=30% + scale=70%
