label,zscore_lookback,entry_zscore,exit_zscore,stop_zscore,stop_loss_pct,position_size,max_hold_minutes,min_bars_between,exit_confirmation_bars,exit_target_zscore
# ======================================================================
# Phase 2B v7.0 Test Matrix
# ======================================================================
# Goals:
# 1. Test entry_zscore variations (NOW FIXED - was bugged in v6.0)
# 2. Test exit_target_zscore (new: zero-crossing vs partial reversion)
# 3. Test exit_confirmation_bars (Phase 1 winner - confirm=5 best)
# 4. Test lookback variations with fixed entry threshold
# 5. Cross-combinations of best params
# ======================================================================
#
# SECTION 1: CONTROL - v3 baseline equivalent (no Phase 2B features)
# ======================================================================
control_baseline,50,1.5,0.3,3.0,0.02,0.50,0,3,1,0.3
# ======================================================================
# SECTION 2: ENTRY Z-SCORE (BUG FIX TEST - these should now differ!)
# ======================================================================
entry_z_1.0,50,1.0,0.3,3.0,0.02,0.50,0,3,5,0.0
entry_z_1.2,50,1.2,0.3,3.0,0.02,0.50,0,3,5,0.0
entry_z_1.3,50,1.3,0.3,3.0,0.02,0.50,0,3,5,0.0
entry_z_1.4,50,1.4,0.3,3.0,0.02,0.50,0,3,5,0.0
entry_z_1.5,50,1.5,0.3,3.0,0.02,0.50,0,3,5,0.0
entry_z_1.6,50,1.6,0.3,3.0,0.02,0.50,0,3,5,0.0
entry_z_1.7,50,1.7,0.3,3.0,0.02,0.50,0,3,5,0.0
entry_z_1.8,50,1.8,0.3,3.0,0.02,0.50,0,3,5,0.0
entry_z_2.0,50,2.0,0.3,3.0,0.02,0.50,0,3,5,0.0
# ======================================================================
# SECTION 3: EXIT TARGET Z-SCORE (zero-crossing vs partial reversion)
# ======================================================================
exit_target_0.0,50,1.5,0.3,3.0,0.02,0.50,0,3,5,0.0
exit_target_0.05,50,1.5,0.3,3.0,0.02,0.50,0,3,5,0.05
exit_target_0.1,50,1.5,0.3,3.0,0.02,0.50,0,3,5,0.1
exit_target_0.15,50,1.5,0.3,3.0,0.02,0.50,0,3,5,0.15
exit_target_0.2,50,1.5,0.3,3.0,0.02,0.50,0,3,5,0.2
exit_target_0.3,50,1.5,0.3,3.0,0.02,0.50,0,3,5,0.3
exit_target_neg0.1,50,1.5,0.3,3.0,0.02,0.50,0,3,5,-0.1
exit_target_neg0.2,50,1.5,0.3,3.0,0.02,0.50,0,3,5,-0.2
# ======================================================================
# SECTION 4: EXIT CONFIRMATION BARS (validate Phase 1 finding)
# ======================================================================
confirm_1,50,1.5,0.3,3.0,0.02,0.50,0,3,1,0.0
confirm_2,50,1.5,0.3,3.0,0.02,0.50,0,3,2,0.0
confirm_3,50,1.5,0.3,3.0,0.02,0.50,0,3,3,0.0
confirm_4,50,1.5,0.3,3.0,0.02,0.50,0,3,4,0.0
confirm_5,50,1.5,0.3,3.0,0.02,0.50,0,3,5,0.0
confirm_6,50,1.5,0.3,3.0,0.02,0.50,0,3,6,0.0
confirm_7,50,1.5,0.3,3.0,0.02,0.50,0,3,7,0.0
confirm_8,50,1.5,0.3,3.0,0.02,0.50,0,3,8,0.0
confirm_10,50,1.5,0.3,3.0,0.02,0.50,0,3,10,0.0
# ======================================================================
# SECTION 5: Z-SCORE LOOKBACK PERIOD
# ======================================================================
lookback_30,30,1.5,0.3,3.0,0.02,0.50,0,3,5,0.0
lookback_40,40,1.5,0.3,3.0,0.02,0.50,0,3,5,0.0
lookback_45,45,1.5,0.3,3.0,0.02,0.50,0,3,5,0.0
lookback_50,50,1.5,0.3,3.0,0.02,0.50,0,3,5,0.0
lookback_55,55,1.5,0.3,3.0,0.02,0.50,0,3,5,0.0
lookback_60,60,1.5,0.3,3.0,0.02,0.50,0,3,5,0.0
lookback_75,75,1.5,0.3,3.0,0.02,0.50,0,3,5,0.0
# ======================================================================
# SECTION 6: STOP LOSS WIDTH
# ======================================================================
stop_1.0pct,50,1.5,0.3,3.0,0.01,0.50,0,3,5,0.0
stop_1.5pct,50,1.5,0.3,3.0,0.015,0.50,0,3,5,0.0
stop_2.0pct,50,1.5,0.3,3.0,0.02,0.50,0,3,5,0.0
stop_2.5pct,50,1.5,0.3,3.0,0.025,0.50,0,3,5,0.0
stop_3.0pct,50,1.5,0.3,3.0,0.03,0.50,0,3,5,0.0
# ======================================================================
# SECTION 7: POSITION SIZING
# ======================================================================
pos_30pct,50,1.5,0.3,3.0,0.02,0.30,0,3,5,0.0
pos_40pct,50,1.5,0.3,3.0,0.02,0.40,0,3,5,0.0
pos_50pct,50,1.5,0.3,3.0,0.02,0.50,0,3,5,0.0
pos_60pct,50,1.5,0.3,3.0,0.02,0.60,0,3,5,0.0
pos_70pct,50,1.5,0.3,3.0,0.02,0.70,0,3,5,0.0
# ======================================================================
# SECTION 8: CROSS-COMBOS (best params from each section)
# ======================================================================
# Best entry_z x best confirm
cross_ez1.3_c5,50,1.3,0.3,3.0,0.02,0.50,0,3,5,0.0
cross_ez1.4_c5,50,1.4,0.3,3.0,0.02,0.50,0,3,5,0.0
cross_ez1.7_c5,50,1.7,0.3,3.0,0.02,0.50,0,3,5,0.0
cross_ez2.0_c5,50,2.0,0.3,3.0,0.02,0.50,0,3,5,0.0
# Entry z x exit target
cross_ez1.3_et0.1,50,1.3,0.3,3.0,0.02,0.50,0,3,5,0.1
cross_ez1.5_et0.1,50,1.5,0.3,3.0,0.02,0.50,0,3,5,0.1
cross_ez1.7_et0.1,50,1.7,0.3,3.0,0.02,0.50,0,3,5,0.1
cross_ez2.0_et0.1,50,2.0,0.3,3.0,0.02,0.50,0,3,5,0.1
# Lookback x entry z
cross_lb40_ez1.3,40,1.3,0.3,3.0,0.02,0.50,0,3,5,0.0
cross_lb40_ez1.5,40,1.5,0.3,3.0,0.02,0.50,0,3,5,0.0
cross_lb40_ez1.7,40,1.7,0.3,3.0,0.02,0.50,0,3,5,0.0
cross_lb60_ez1.3,60,1.3,0.3,3.0,0.02,0.50,0,3,5,0.0
cross_lb60_ez1.5,60,1.5,0.3,3.0,0.02,0.50,0,3,5,0.0
cross_lb60_ez1.7,60,1.7,0.3,3.0,0.02,0.50,0,3,5,0.0
# Best confirm x lookback x stop
cross_c5_lb40_s1.5,40,1.5,0.3,3.0,0.015,0.50,0,3,5,0.0
cross_c5_lb50_s1.5,50,1.5,0.3,3.0,0.015,0.50,0,3,5,0.0
cross_c5_lb60_s1.5,60,1.5,0.3,3.0,0.015,0.50,0,3,5,0.0
cross_c7_lb50_s2.0,50,1.5,0.3,3.0,0.02,0.50,0,3,7,0.0
cross_c7_lb50_s1.5,50,1.5,0.3,3.0,0.015,0.50,0,3,7,0.0
# Negative exit target combos (overshoot = let winners run past zero)
cross_etneg0.1_c5,50,1.5,0.3,3.0,0.02,0.50,0,3,5,-0.1
cross_etneg0.1_c7,50,1.5,0.3,3.0,0.02,0.50,0,3,7,-0.1
cross_etneg0.2_c5,50,1.5,0.3,3.0,0.02,0.50,0,3,5,-0.2
# High entry z (very selective) combos
cross_ez2.0_c7_et0,50,2.0,0.3,3.0,0.02,0.50,0,3,7,0.0
cross_ez2.0_c5_s1.5,50,2.0,0.3,3.0,0.015,0.50,0,3,5,0.0
cross_ez1.8_c5_lb40,40,1.8,0.3,3.0,0.02,0.50,0,3,5,0.0
cross_ez1.8_c7_lb40,40,1.8,0.3,3.0,0.02,0.50,0,3,7,0.0
