session_id,hash,sma_fast,sma_slow,bull_allocation,bear_allocation,use_cash_zone,mixed_allocation,mixed_instrument,rebalance_threshold,max_drawdown_exit,confirmation_days,algorithm_name,total_return,sharpe_ratio,max_drawdown,win_rate,total_trades,profit_factor,cagr,avg_win,avg_loss,calmar_ratio
POSTREND_20260207_170117_82156879,d41b4b07c07c,50,200,0.9,0.5,True,0.3,tqqq,0.05,0.0,1,TQQQPositionTrendAlgorithm,0.40409999999999996,0.454,0.281,0.5556,9,3.6269,0.3882,12156.874,-4189.87,3.8303
POSTREND_20260207_170137_0e332998,f80749a2da9f,50,200,0.9,0.5,True,0.3,tqqq,0.05,0.0,3,TQQQPositionTrendAlgorithm,0.2208,0.2444,0.312,0.5,6,2.5954,0.21265,14804.39,-5704.16,2.8061
POSTREND_20260207_170156_fb9604aa,df1195ea4323,50,200,0.9,0.5,False,0.3,tqqq,0.05,0.0,1,TQQQPositionTrendAlgorithm,0.4496,0.5461,0.294,0.7333,15,4.6713,0.43164,5601.6045,-3297.7,4.2133
POSTREND_20260207_170211_91793117,4b07aab6e60b,50,200,0.95,0.6,True,0.3,tqqq,0.05,0.0,1,TQQQPositionTrendAlgorithm,0.39840000000000003,0.421,0.32799999999999996,0.5556,9,3.2586,0.38274,12593.504,-4830.815,3.17
POSTREND_20260207_170230_53a9fc72,e6fc94987a8a,50,200,0.8,0.4,True,0.3,tqqq,0.05,0.0,1,TQQQPositionTrendAlgorithm,0.37520000000000003,0.4785,0.231,0.5556,9,3.9645,0.36060000000000003,10875.234,-3428.9225,4.438
POSTREND_20260207_170245_399f13f5,8a3408f0bbd4,50,200,0.9,0.5,True,0.3,tqqq,0.05,0.25,1,TQQQPositionTrendAlgorithm,-0.0359,-0.3167,0.248,0.3333,3,0.4098,-0.03467,2489.4,-3037.35,-0.5902
POSTREND_20260207_170302_3af39a30,ffe6cfe0fce4,50,200,0.9,0.5,True,0.3,tqqq,0.05,0.3,1,TQQQPositionTrendAlgorithm,0.40409999999999996,0.454,0.281,0.5556,9,3.6269,0.3882,12156.874,-4189.87,3.8303
POSTREND_20260207_170322_332e551a,e2d2a7358e3f,50,200,0.9,0.0,True,0.0,tqqq,0.05,0.0,1,TQQQPositionTrendAlgorithm,0.5429999999999999,0.8265,0.184,0.6667,6,11.0697,0.52075,16016.0175,-2893.68,10.0697
POSTREND_20260207_170339_b7a39437,a376d1faaa7f,50,250,0.9,0.5,True,0.3,tqqq,0.05,0.0,1,TQQQPositionTrendAlgorithm,0.21719999999999998,0.1942,0.297,0.375,8,1.8101,0.20923999999999998,18514.4333,-6136.97,0.9517
POSTREND_20260207_170356_44b0a3ae,1df3e5d7a88d,50,250,0.9,0.5,True,0.3,tqqq,0.05,0.0,3,TQQQPositionTrendAlgorithm,-0.0611,-0.0194,0.33299999999999996,0.2,5,0.9411,-0.05907,33360.96,-8862.15,-0.0701
