session_id,hash,rsi_period,rsi_entry,rsi_exit,trend_sma,use_trend_filter,allocation,max_hold_days,data_resolution,algorithm_name,_optimization_run_id,total_return,sharpe_ratio,max_drawdown,win_rate,total_trades,profit_factor,cagr,avg_win,avg_loss,calmar_ratio
QQQMREV_20260210_123611_2212f617,1efb40edd30d,2,5,65,200,True,0.9,0,minute,QQQMeanReversionAlgorithm,QQQ_OPT_20260210_123611,0.46990000000000004,0.2655,0.128,0.7222,72,1.8939,0.01486,1914.596,-2628.4395,6.1753
QQQMREV_20260210_123715_ac7bcd2e,a73b5ceb2297,2,5,75,200,True,0.9,0,minute,QQQMeanReversionAlgorithm,QQQ_OPT_20260210_123611,0.5745,0.2846,0.13,0.6944,72,2.0061,0.01753,2290.9392,-2595.4277,6.7606
QQQMREV_20260210_123819_aeab1287,bec814318568,2,5,85,200,True,0.9,0,minute,QQQMeanReversionAlgorithm,QQQ_OPT_20260210_123611,0.6527,0.2797,0.177,0.6769,65,1.9436,0.01942,3055.3555,-3293.7176,2.4015
QQQMREV_20260210_123958_56f6bd4d,17ee7151d8ca,2,5,90,200,True,0.9,0,minute,QQQMeanReversionAlgorithm,QQQ_OPT_20260210_123611,0.9081999999999999,0.3169,0.191,0.6935,62,2.2237,0.02505,3838.3133,-3906.4726,5.5383
QQQMREV_20260210_124132_0b600778,8df6e364d7d0,2,10,65,200,True,0.9,0,minute,QQQMeanReversionAlgorithm,QQQ_OPT_20260210_123611,1.1759,0.3063,0.128,0.7181,149,2.2292,0.030219999999999997,1989.2977,-2273.4783,9.028
QQQMREV_20260210_124256_f303edd3,fdb18ba22f60,2,10,75,200,True,0.9,0,minute,QQQMeanReversionAlgorithm,QQQ_OPT_20260210_123611,1.6284,0.3368,0.13,0.7014,144,2.3931,0.0377,2765.0116,-2713.8347,11.3439
QQQMREV_20260210_124451_26d689ae,49624503c25f,2,10,85,200,True,0.9,0,minute,QQQMeanReversionAlgorithm,QQQ_OPT_20260210_123611,1.2897,0.2586,0.174,0.7355,121,1.9663,0.03223,2943.4221,-4163.4316,4.7157
QQQMREV_20260210_124610_55c0f296,ba8568c7d322,2,10,90,200,True,0.9,0,minute,QQQMeanReversionAlgorithm,QQQ_OPT_20260210_123611,1.673,0.2985,0.192,0.7411,112,2.1516,0.03836,3759.7224,-5001.119,7.7174
QQQMREV_20260210_124719_87613eb0,1fb664bb7729,2,15,65,200,True,0.9,0,minute,QQQMeanReversionAlgorithm,QQQ_OPT_20260210_123611,1.8321,0.2953,0.128,0.7163,208,2.1848,0.04066,2419.2371,-2796.3686,9.9818
QQQMREV_20260210_124812_ad31596f,ceb97b91a8f8,2,15,75,200,True,0.9,0,minute,QQQMeanReversionAlgorithm,QQQ_OPT_20260210_123611,2.1873,0.3081,0.13,0.7165,194,2.23,0.045380000000000004,3033.0718,-3437.3442,11.6301
QQQMREV_20260210_124951_c1b15004,3e07aa18c6af,2,15,85,200,True,0.9,0,minute,QQQMeanReversionAlgorithm,QQQ_OPT_20260210_123611,2.2666999999999997,0.3016,0.168,0.7423,163,2.2182,0.046369999999999995,3624.1608,-4706.9043,8.3541
QQQMREV_20260210_125055_948fa522,0793e522fccc,2,15,90,200,True,0.9,0,minute,QQQMeanReversionAlgorithm,QQQ_OPT_20260210_123611,3.153,0.3602,0.198,0.7755,147,2.5782,0.056029999999999996,4776.523,-6400.07,12.2031
QQQMREV_20260210_125239_44373774,cf7ee089d2f1,2,20,65,200,True,0.9,0,minute,QQQMeanReversionAlgorithm,QQQ_OPT_20260210_123611,2.5603,0.2742,0.139,0.7027,259,2.1492,0.04982,2789.4603,-3067.741,13.727
