2026-02-01 17:33:37,651 - INFO - [WEBHOOK #1] SIGNAL | TQQQ @ 54.24 | BUY_L1 signal detected
2026-02-01 17:33:37,698 - INFO - [WEBHOOK #2] SIGNAL | TQQQ @ 54.58 | TAKE_PROFIT signal detected
2026-02-01 17:33:37,703 - INFO - [WEBHOOK #3] SIGNAL | TQQQ @ 53.66 | BUY_L1 signal detected
2026-02-01 17:33:37,935 - INFO - [WEBHOOK #4] SIGNAL | TQQQ @ 54.70 | BUY_L1 signal detected
2026-02-01 17:33:37,975 - INFO - [WEBHOOK #5] SIGNAL | TQQQ @ 54.98 | TAKE_PROFIT signal detected
2026-02-01 17:33:37,985 - INFO - [WEBHOOK #6] SIGNAL | TQQQ @ 54.38 | BUY_L1 signal detected
2026-02-01 17:33:38,039 - INFO - [WEBHOOK #7] SIGNAL | TQQQ @ 54.35 | BUY_L1 signal detected
2026-02-01 17:33:38,043 - INFO - [WEBHOOK #8] SIGNAL | TQQQ @ 54.68 | TAKE_PROFIT signal detected
2026-02-01 17:33:38,049 - INFO - [WEBHOOK #9] SIGNAL | TQQQ @ 53.96 | BUY_L1 signal detected
2026-02-01 17:33:38,051 - INFO - [WEBHOOK #10] SIGNAL | TQQQ @ 54.61 | TAKE_PROFIT signal detected
2026-02-01 17:33:38,145 - INFO - [WEBHOOK #11] SIGNAL | TQQQ @ 55.47 | BUY_L1 signal detected
