2026-02-01 17:56:49,321 - INFO - [WEBHOOK #1] SIGNAL | TQQQ @ 54.24 | BUY_L1 signal detected
2026-02-01 17:56:49,384 - INFO - [WEBHOOK #2] SIGNAL | TQQQ @ 54.58 | TAKE_PROFIT signal detected
2026-02-01 17:56:49,393 - INFO - [WEBHOOK #3] SIGNAL | TQQQ @ 53.66 | BUY_L1 signal detected
2026-02-01 17:56:49,411 - INFO - [WEBHOOK #4] ALERT | TQQQ @ 52.93 | Stop loss triggered at -1.36%
2026-02-01 17:56:49,744 - INFO - [WEBHOOK #5] SIGNAL | TQQQ @ 54.76 | BUY_L1 signal detected
2026-02-01 17:56:49,798 - INFO - [WEBHOOK #6] SIGNAL | TQQQ @ 54.97 | TAKE_PROFIT signal detected
2026-02-01 17:56:49,808 - INFO - [WEBHOOK #7] SIGNAL | TQQQ @ 54.38 | BUY_L1 signal detected
2026-02-01 17:56:49,829 - INFO - [WEBHOOK #8] ALERT | TQQQ @ 53.71 | Stop loss triggered at -1.22%
2026-02-01 17:56:49,901 - INFO - [WEBHOOK #9] SIGNAL | TQQQ @ 54.46 | BUY_L1 signal detected
2026-02-01 17:56:49,924 - INFO - [WEBHOOK #10] SIGNAL | TQQQ @ 54.74 | TAKE_PROFIT signal detected
2026-02-01 17:56:50,123 - INFO - [WEBHOOK #11] SIGNAL | TQQQ @ 55.47 | BUY_L1 signal detected
