2026-02-01 18:04:38,766 - INFO - [WEBHOOK #1] SIGNAL | TQQQ @ 54.24 | BUY_L1 signal detected
2026-02-01 18:04:38,815 - INFO - [WEBHOOK #2] SIGNAL | TQQQ @ 54.58 | TAKE_PROFIT signal detected
2026-02-01 18:04:38,821 - INFO - [WEBHOOK #3] SIGNAL | TQQQ @ 53.66 | BUY_L1 signal detected
2026-02-01 18:04:38,932 - INFO - [WEBHOOK #4] SIGNAL | TQQQ @ 53.23 | BUY_L1 signal detected
2026-02-01 18:04:38,941 - INFO - [WEBHOOK #5] SIGNAL | TQQQ @ 53.53 | TAKE_PROFIT signal detected
2026-02-01 18:04:39,117 - INFO - [WEBHOOK #6] SIGNAL | TQQQ @ 54.76 | BUY_L1 signal detected
2026-02-01 18:04:39,156 - INFO - [WEBHOOK #7] SIGNAL | TQQQ @ 54.97 | TAKE_PROFIT signal detected
2026-02-01 18:04:39,166 - INFO - [WEBHOOK #8] SIGNAL | TQQQ @ 54.38 | BUY_L1 signal detected
2026-02-01 18:04:39,224 - INFO - [WEBHOOK #9] SIGNAL | TQQQ @ 54.46 | BUY_L1 signal detected
2026-02-01 18:04:39,234 - INFO - [WEBHOOK #10] SIGNAL | TQQQ @ 54.74 | TAKE_PROFIT signal detected
2026-02-01 18:04:39,341 - INFO - [WEBHOOK #11] SIGNAL | TQQQ @ 55.47 | BUY_L1 signal detected
