2026-02-01 18:53:28,825 - INFO - [WEBHOOK #1] SIGNAL | TQQQ @ 54.24 | BUY_L1 signal detected
2026-02-01 18:53:28,925 - INFO - [WEBHOOK #2] SIGNAL | TQQQ @ 54.58 | TAKE_PROFIT signal detected
2026-02-01 18:53:28,934 - INFO - [WEBHOOK #3] SIGNAL | TQQQ @ 53.66 | BUY_L1 signal detected
2026-02-01 18:53:28,944 - INFO - [WEBHOOK #4] ALERT | TQQQ @ 52.93 | Stop loss triggered at -1.36%
2026-02-01 18:53:28,946 - INFO - [WEBHOOK #5] SIGNAL | TQQQ @ 52.97 | BUY_L1 signal detected
2026-02-01 18:53:29,319 - INFO - [WEBHOOK #6] SIGNAL | TQQQ @ 54.38 | BUY_L1 signal detected
2026-02-01 18:53:29,327 - INFO - [WEBHOOK #7] ALERT | TQQQ @ 53.82 | Stop loss triggered at -1.02%
2026-02-01 18:53:29,334 - INFO - [WEBHOOK #8] SIGNAL | TQQQ @ 54.01 | BUY_L1 signal detected
2026-02-01 18:53:29,421 - INFO - [WEBHOOK #9] SIGNAL | TQQQ @ 54.16 | BUY_L1 signal detected
2026-02-01 18:53:29,428 - INFO - [WEBHOOK #10] SIGNAL | TQQQ @ 54.68 | TAKE_PROFIT signal detected
2026-02-01 18:53:29,590 - INFO - [WEBHOOK #11] SIGNAL | TQQQ @ 55.18 | BUY_L1 signal detected
