2026-02-01 19:14:36,975 - INFO - [WEBHOOK #1] SIGNAL | TQQQ @ 54.24 | BUY_L1 signal detected
2026-02-01 19:14:37,030 - INFO - [WEBHOOK #2] SIGNAL | TQQQ @ 54.58 | TAKE_PROFIT signal detected
2026-02-01 19:14:37,038 - INFO - [WEBHOOK #3] SIGNAL | TQQQ @ 53.66 | BUY_L1 signal detected
2026-02-01 19:14:37,484 - INFO - [WEBHOOK #4] SIGNAL | TQQQ @ 54.70 | BUY_L1 signal detected
2026-02-01 19:14:37,555 - INFO - [WEBHOOK #5] SIGNAL | TQQQ @ 54.98 | TAKE_PROFIT signal detected
2026-02-01 19:14:37,566 - INFO - [WEBHOOK #6] SIGNAL | TQQQ @ 54.38 | BUY_L1 signal detected
2026-02-01 19:14:37,704 - INFO - [WEBHOOK #7] SIGNAL | TQQQ @ 54.35 | BUY_L1 signal detected
2026-02-01 19:14:37,712 - INFO - [WEBHOOK #8] SIGNAL | TQQQ @ 54.68 | TAKE_PROFIT signal detected
2026-02-01 19:14:37,718 - INFO - [WEBHOOK #9] SIGNAL | TQQQ @ 53.96 | BUY_L1 signal detected
2026-02-01 19:14:37,722 - INFO - [WEBHOOK #10] SIGNAL | TQQQ @ 54.61 | TAKE_PROFIT signal detected
2026-02-01 19:14:37,945 - INFO - [WEBHOOK #11] SIGNAL | TQQQ @ 55.47 | BUY_L1 signal detected
