2026-02-01 19:28:26,308 - INFO - [WEBHOOK #1] SIGNAL | TQQQ @ 54.24 | BUY_L1 signal detected
2026-02-01 19:28:26,354 - INFO - [WEBHOOK #2] SIGNAL | TQQQ @ 54.58 | TAKE_PROFIT signal detected
2026-02-01 19:28:26,362 - INFO - [WEBHOOK #3] SIGNAL | TQQQ @ 53.66 | BUY_L1 signal detected
2026-02-01 19:28:26,647 - INFO - [WEBHOOK #4] SIGNAL | TQQQ @ 54.64 | BUY_L1 signal detected
2026-02-01 19:28:26,681 - INFO - [WEBHOOK #5] SIGNAL | TQQQ @ 54.96 | TAKE_PROFIT signal detected
2026-02-01 19:28:26,687 - INFO - [WEBHOOK #6] SIGNAL | TQQQ @ 54.38 | BUY_L1 signal detected
2026-02-01 19:28:26,779 - INFO - [WEBHOOK #7] SIGNAL | TQQQ @ 54.35 | BUY_L1 signal detected
2026-02-01 19:28:26,784 - INFO - [WEBHOOK #8] SIGNAL | TQQQ @ 54.68 | TAKE_PROFIT signal detected
2026-02-01 19:28:26,790 - INFO - [WEBHOOK #9] SIGNAL | TQQQ @ 53.96 | BUY_L1 signal detected
2026-02-01 19:28:26,792 - INFO - [WEBHOOK #10] SIGNAL | TQQQ @ 54.61 | TAKE_PROFIT signal detected
2026-02-01 19:28:26,928 - INFO - [WEBHOOK #11] SIGNAL | TQQQ @ 55.47 | BUY_L1 signal detected
