2026-02-01 19:52:13,728 - INFO - [WEBHOOK #1] SIGNAL | TQQQ @ 54.24 | BUY_L1 signal detected
2026-02-01 19:52:13,773 - INFO - [WEBHOOK #2] SIGNAL | TQQQ @ 54.58 | TAKE_PROFIT signal detected
2026-02-01 19:52:13,778 - INFO - [WEBHOOK #3] SIGNAL | TQQQ @ 53.66 | BUY_L1 signal detected
2026-02-01 19:52:13,797 - INFO - [WEBHOOK #4] ALERT | TQQQ @ 52.93 | Stop loss triggered at -1.36%
2026-02-01 19:52:14,035 - INFO - [WEBHOOK #5] SIGNAL | TQQQ @ 54.70 | BUY_L1 signal detected
2026-02-01 19:52:14,084 - INFO - [WEBHOOK #6] SIGNAL | TQQQ @ 54.98 | TAKE_PROFIT signal detected
2026-02-01 19:52:14,092 - INFO - [WEBHOOK #7] SIGNAL | TQQQ @ 54.38 | BUY_L1 signal detected
2026-02-01 19:52:14,107 - INFO - [WEBHOOK #8] ALERT | TQQQ @ 53.82 | Stop loss triggered at -1.02%
2026-02-01 19:52:14,188 - INFO - [WEBHOOK #9] SIGNAL | TQQQ @ 54.35 | BUY_L1 signal detected
2026-02-01 19:52:14,193 - INFO - [WEBHOOK #10] SIGNAL | TQQQ @ 54.68 | TAKE_PROFIT signal detected
2026-02-01 19:52:14,198 - INFO - [WEBHOOK #11] SIGNAL | TQQQ @ 53.96 | BUY_L1 signal detected
2026-02-01 19:52:14,202 - INFO - [WEBHOOK #12] SIGNAL | TQQQ @ 54.61 | TAKE_PROFIT signal detected
2026-02-01 19:52:14,403 - INFO - [WEBHOOK #13] SIGNAL | TQQQ @ 55.47 | BUY_L1 signal detected
