2026-02-01 19:55:12,820 - INFO - [WEBHOOK #1] SIGNAL | TQQQ @ 54.24 | BUY_L1 signal detected
2026-02-01 19:55:12,873 - INFO - [WEBHOOK #2] SIGNAL | TQQQ @ 54.58 | TAKE_PROFIT signal detected
2026-02-01 19:55:12,882 - INFO - [WEBHOOK #3] SIGNAL | TQQQ @ 53.66 | BUY_L1 signal detected
2026-02-01 19:55:12,899 - INFO - [WEBHOOK #4] ALERT | TQQQ @ 52.93 | Stop loss triggered at -1.36%
2026-02-01 19:55:13,202 - INFO - [WEBHOOK #5] SIGNAL | TQQQ @ 54.70 | BUY_L1 signal detected
2026-02-01 19:55:13,246 - INFO - [WEBHOOK #6] SIGNAL | TQQQ @ 54.98 | TAKE_PROFIT signal detected
2026-02-01 19:55:13,256 - INFO - [WEBHOOK #7] SIGNAL | TQQQ @ 54.38 | BUY_L1 signal detected
2026-02-01 19:55:13,272 - INFO - [WEBHOOK #8] ALERT | TQQQ @ 53.71 | Stop loss triggered at -1.22%
2026-02-01 19:55:13,351 - INFO - [WEBHOOK #9] SIGNAL | TQQQ @ 54.35 | BUY_L1 signal detected
2026-02-01 19:55:13,355 - INFO - [WEBHOOK #10] SIGNAL | TQQQ @ 54.68 | TAKE_PROFIT signal detected
2026-02-01 19:55:13,356 - INFO - [WEBHOOK #11] SIGNAL | TQQQ @ 53.96 | BUY_L1 signal detected
2026-02-01 19:55:13,361 - INFO - [WEBHOOK #12] SIGNAL | TQQQ @ 54.61 | TAKE_PROFIT signal detected
2026-02-01 19:55:13,478 - INFO - [WEBHOOK #13] SIGNAL | TQQQ @ 55.47 | BUY_L1 signal detected
