2026-02-01 19:57:06,573 - INFO - [WEBHOOK #1] SIGNAL | TQQQ @ 54.24 | BUY_L1 signal detected
2026-02-01 19:57:06,651 - INFO - [WEBHOOK #2] SIGNAL | TQQQ @ 54.58 | TAKE_PROFIT signal detected
2026-02-01 19:57:06,661 - INFO - [WEBHOOK #3] SIGNAL | TQQQ @ 53.66 | BUY_L1 signal detected
2026-02-01 19:57:06,667 - INFO - [WEBHOOK #4] ALERT | TQQQ @ 52.93 | Stop loss triggered at -1.36%
2026-02-01 19:57:06,670 - INFO - [WEBHOOK #5] SIGNAL | TQQQ @ 52.97 | BUY_L1 signal detected
2026-02-01 19:57:07,037 - INFO - [WEBHOOK #6] SIGNAL | TQQQ @ 54.38 | BUY_L1 signal detected
2026-02-01 19:57:07,047 - INFO - [WEBHOOK #7] ALERT | TQQQ @ 53.71 | Stop loss triggered at -1.22%
2026-02-01 19:57:07,050 - INFO - [WEBHOOK #8] SIGNAL | TQQQ @ 53.75 | BUY_L1 signal detected
2026-02-01 19:57:07,137 - INFO - [WEBHOOK #9] SIGNAL | TQQQ @ 54.16 | BUY_L1 signal detected
2026-02-01 19:57:07,142 - INFO - [WEBHOOK #10] SIGNAL | TQQQ @ 54.68 | TAKE_PROFIT signal detected
2026-02-01 19:57:07,262 - INFO - [WEBHOOK #11] SIGNAL | TQQQ @ 55.18 | BUY_L1 signal detected
