2026-02-01 20:12:49,069 - INFO - [WEBHOOK #1] SIGNAL | TQQQ @ 54.24 | BUY_L1 signal detected
2026-02-01 20:12:49,121 - INFO - [WEBHOOK #2] SIGNAL | TQQQ @ 54.58 | TAKE_PROFIT signal detected
2026-02-01 20:12:49,129 - INFO - [WEBHOOK #3] SIGNAL | TQQQ @ 53.66 | BUY_L1 signal detected
2026-02-01 20:12:49,411 - INFO - [WEBHOOK #4] SIGNAL | TQQQ @ 54.64 | BUY_L1 signal detected
2026-02-01 20:12:49,446 - INFO - [WEBHOOK #5] SIGNAL | TQQQ @ 54.96 | TAKE_PROFIT signal detected
2026-02-01 20:12:49,449 - INFO - [WEBHOOK #6] SIGNAL | TQQQ @ 54.38 | BUY_L1 signal detected
2026-02-01 20:12:49,526 - INFO - [WEBHOOK #7] SIGNAL | TQQQ @ 54.35 | BUY_L1 signal detected
2026-02-01 20:12:49,530 - INFO - [WEBHOOK #8] SIGNAL | TQQQ @ 54.68 | TAKE_PROFIT signal detected
2026-02-01 20:12:49,535 - INFO - [WEBHOOK #9] SIGNAL | TQQQ @ 53.96 | BUY_L1 signal detected
2026-02-01 20:12:49,538 - INFO - [WEBHOOK #10] SIGNAL | TQQQ @ 54.61 | TAKE_PROFIT signal detected
2026-02-01 20:12:49,656 - INFO - [WEBHOOK #11] SIGNAL | TQQQ @ 55.47 | BUY_L1 signal detected
