2026-02-01 20:13:50,855 - INFO - [WEBHOOK #1] SIGNAL | TQQQ @ 54.24 | BUY_L1 signal detected
2026-02-01 20:13:50,927 - INFO - [WEBHOOK #2] SIGNAL | TQQQ @ 54.58 | TAKE_PROFIT signal detected
2026-02-01 20:13:50,936 - INFO - [WEBHOOK #3] SIGNAL | TQQQ @ 53.66 | BUY_L1 signal detected
2026-02-01 20:13:50,946 - INFO - [WEBHOOK #4] ALERT | TQQQ @ 52.93 | Stop loss triggered at -1.36%
2026-02-01 20:13:50,949 - INFO - [WEBHOOK #5] SIGNAL | TQQQ @ 52.97 | BUY_L1 signal detected
2026-02-01 20:13:51,278 - INFO - [WEBHOOK #6] SIGNAL | TQQQ @ 54.38 | BUY_L1 signal detected
2026-02-01 20:13:51,371 - INFO - [WEBHOOK #7] SIGNAL | TQQQ @ 54.35 | BUY_L1 signal detected
2026-02-01 20:13:51,380 - INFO - [WEBHOOK #8] SIGNAL | TQQQ @ 54.68 | TAKE_PROFIT signal detected
2026-02-01 20:13:51,383 - INFO - [WEBHOOK #9] SIGNAL | TQQQ @ 53.96 | BUY_L1 signal detected
2026-02-01 20:13:51,388 - INFO - [WEBHOOK #10] SIGNAL | TQQQ @ 54.61 | TAKE_PROFIT signal detected
2026-02-01 20:13:51,524 - INFO - [WEBHOOK #11] SIGNAL | TQQQ @ 55.18 | BUY_L1 signal detected
