OutcomeId,BacktestId,StrategyId,StartDate,EndDate,TradingDays,ParametersJson,TotalReturn,CAGR,SharpeRatio,SortinoRatio,CalmarRatio,MaxDrawdown,MaxDrawdownDuration,Volatility,VaR_95,TotalTrades,WinningTrades,LosingTrades,WinRate,ProfitFactor,TotalProfit,TotalLoss,AverageWin,AverageLoss,LargestWin,LargestLoss,Expectancy,ExpectancyRatio,PrimaryRegime,RegimeBreakdown,PerformanceGrade,IsSuccessful,ExecutionTimeSeconds,CreatedAt,Notes,OptimizationRunId
13283,POSTREND_20260209_224737_72721704,POSITION_TREND,1/1/2018,2/1/2026,NULL,"{""sma_fast"": 50, ""sma_slow"": 250, ""bull_allocation"": 0.9, ""bear_allocation"": 0.0, ""use_cash_zone"": true, ""mixed_allocation"": 0.0, ""mixed_instrument"": ""tqqq"", ""rebalance_threshold"": 0.05, ""max_drawdown_exit"": 0.0, ""confirmation_days"": 1, ""data_resolution"": ""minute"", ""algorithm_name"": ""TQQQPositionTrendAlgorithm""}",6.2678,0.278,0.1957,0.8794,4.8165,0.427,NULL,0.003,NULL,57,24,33,0.4211,2.2016,1142839.49,519093.32,47618.3121,15730.1006,298255.86,54829.02,10945.916,0.6959,NULL,NULL,C ,0,43,48:21.2,Profitable (626.8%) | Grade:C,OPT_20260209_223748
13277,POSTREND_20260209_224215_d8220c14,POSITION_TREND,1/1/2018,2/1/2026,NULL,"{""sma_fast"": 50, ""sma_slow"": 200, ""bull_allocation"": 0.9, ""bear_allocation"": 0.0, ""use_cash_zone"": true, ""mixed_allocation"": 0.0, ""mixed_instrument"": ""tqqq"", ""rebalance_threshold"": 0.05, ""max_drawdown_exit"": 0.0, ""confirmation_days"": 1, ""data_resolution"": ""minute"", ""algorithm_name"": ""TQQQPositionTrendAlgorithm""}",4.5415,0.2358,0.1945,0.7663,5.2936,0.409,NULL,0.003,NULL,57,24,33,0.4211,2.0848,868363.58,416520.66,36181.8158,12621.8382,165890.48,47757.48,7929.3805,0.6282,NULL,NULL,C ,0,63,43:18.9,Profitable (454.2%) | Grade:C,OPT_20260209_223748
13288,POSTREND_20260209_225058_a1980fef,POSITION_TREND,1/1/2018,2/1/2026,NULL,"{""sma_fast"": 20, ""sma_slow"": 200, ""bull_allocation"": 0.9, ""bear_allocation"": 0.5, ""use_cash_zone"": false, ""mixed_allocation"": 0.3, ""mixed_instrument"": ""tqqq"", ""rebalance_threshold"": 0.05, ""max_drawdown_exit"": 0.0, ""confirmation_days"": 1, ""data_resolution"": ""minute"", ""algorithm_name"": ""TQQQPositionTrendAlgorithm""}",4.2953,0.2289,0.1585,0.3132,2.4027,0.532,NULL,0.0034,NULL,239,117,122,0.4895,1.6353,1121122.25,685574.95,9582.2415,5619.4668,76686.94,35964,1821.7694,0.3242,NULL,NULL,C ,0,43,51:41.6,Profitable (429.5%) | Grade:C,OPT_20260209_223748
13291,POSTREND_20260209_225248_fab1e1d7,POSITION_TREND,1/1/2018,2/1/2026,NULL,"{""sma_fast"": 20, ""sma_slow"": 250, ""bull_allocation"": 0.9, ""bear_allocation"": 0.5, ""use_cash_zone"": true, ""mixed_allocation"": 0.3, ""mixed_instrument"": ""tqqq"", ""rebalance_threshold"": 0.05, ""max_drawdown_exit"": 0.0, ""confirmation_days"": 3, ""data_resolution"": ""minute"", ""algorithm_name"": ""TQQQPositionTrendAlgorithm""}",4.0516,0.2218,0.1579,0.311,2.5172,0.512,NULL,0.0034,NULL,65,36,29,0.5538,1.6507,1069372.42,647814.34,29704.7894,22338.4255,125397.81,81457.13,6483.1069,0.2902,NULL,NULL,C ,0,37,53:25.3,Profitable (405.2%) | Grade:C,OPT_20260209_223748
13272,POSTREND_20260209_223906_3282ecdf,POSITION_TREND,1/1/2018,2/1/2026,NULL,"{""sma_fast"": 50, ""sma_slow"": 200, ""bull_allocation"": 0.9, ""bear_allocation"": 0.5, ""use_cash_zone"": false, ""mixed_allocation"": 0.3, ""mixed_instrument"": ""tqqq"", ""rebalance_threshold"": 0.05, ""max_drawdown_exit"": 0.0, ""confirmation_days"": 1, ""data_resolution"": ""minute"", ""algorithm_name"": ""TQQQPositionTrendAlgorithm""}",3.9666,0.2192,0.1809,0.4781,4.0909,0.501,NULL,0.0036,NULL,160,75,85,0.4688,1.963,812184.3,413755.99,10829.124,4867.7175,72894.36,26680.5,2490.9618,0.5117,NULL,NULL,C ,0,39,39:46.0,Profitable (396.7%) | Grade:C,OPT_20260209_223748
13280,POSTREND_20260209_224457_843c12d8,POSITION_TREND,1/1/2018,2/1/2026,NULL,"{""sma_fast"": 50, ""sma_slow"": 250, ""bull_allocation"": 0.9, ""bear_allocation"": 0.5, ""use_cash_zone"": false, ""mixed_allocation"": 0.3, ""mixed_instrument"": ""tqqq"", ""rebalance_threshold"": 0.05, ""max_drawdown_exit"": 0.0, ""confirmation_days"": 1, ""data_resolution"": ""minute"", ""algorithm_name"": ""TQQQPositionTrendAlgorithm""}",3.5477,0.206,0.1522,0.3174,2.5339,0.557,NULL,0.0036,NULL,167,78,89,0.4671,1.6815,879313.27,522918.66,11273.2471,5875.4906,65397.96,36652.2,2134.6848,0.3633,NULL,NULL,C ,0,69,46:07.4,Profitable (354.8%) | Grade:C,OPT_20260209_223748
13300,POSTREND_20260209_225827_b3908b51,POSITION_TREND,1/1/2018,2/1/2026,NULL,"{""sma_fast"": 50, ""sma_slow"": 200, ""bull_allocation"": 1.0, ""bear_allocation"": 0.5, ""use_cash_zone"": true, ""mixed_allocation"": 0.3, ""mixed_instrument"": ""tqqq"", ""rebalance_threshold"": 0.05, ""max_drawdown_exit"": 0.0, ""confirmation_days"": 1, ""data_resolution"": ""minute"", ""algorithm_name"": ""TQQQPositionTrendAlgorithm""}",3.0378,0.1884,0.126,0.4138,3.2567,0.489,NULL,0.0038,NULL,86,33,53,0.3837,1.6489,767208.27,465296.25,23248.7355,8779.1745,131559.72,40994.37,3509.9346,0.3998,NULL,NULL,C ,0,37,59:04.5,Profitable (303.8%) | Grade:C,OPT_20260209_223748
13287,POSTREND_20260209_225015_611038d3,POSITION_TREND,1/1/2018,2/1/2026,NULL,"{""sma_fast"": 20, ""sma_slow"": 200, ""bull_allocation"": 0.9, ""bear_allocation"": 0.5, ""use_cash_zone"": true, ""mixed_allocation"": 0.3, ""mixed_instrument"": ""tqqq"", ""rebalance_threshold"": 0.05, ""max_drawdown_exit"": 0.0, ""confirmation_days"": 3, ""data_resolution"": ""minute"", ""algorithm_name"": ""TQQQPositionTrendAlgorithm""}",3.0169,0.1876,0.1717,0.3421,3.0325,0.565,NULL,0.0033,NULL,60,32,28,0.5333,1.6979,765661.29,450937.2,23926.9153,16104.9,97960.4,63635.84,5244.0671,0.3256,NULL,NULL,C ,0,43,50:58.4,Profitable (301.7%) | Grade:C,OPT_20260209_223748
13299,POSTREND_20260209_225750_7941844c,POSITION_TREND,1/1/2018,2/1/2026,NULL,"{""sma_fast"": 50, ""sma_slow"": 150, ""bull_allocation"": 0.95, ""bear_allocation"": 0.6, ""use_cash_zone"": false, ""mixed_allocation"": 0.3, ""mixed_instrument"": ""tqqq"", ""rebalance_threshold"": 0.05, ""max_drawdown_exit"": 0.0, ""confirmation_days"": 1, ""data_resolution"": ""minute"", ""algorithm_name"": ""TQQQPositionTrendAlgorithm""}",2.9256,0.1842,0.1543,0.3309,3.7859,0.594,NULL,0.004,NULL,159,77,82,0.4843,1.6638,736590.11,442723.74,9566.1053,5399.07,55195.01,33412.5,1848.5644,0.3424,NULL,NULL,C ,0,37,58:27.3,Profitable (292.6%) | Grade:C,OPT_20260209_223748
13278,POSTREND_20260209_224318_5d554e2d,POSITION_TREND,1/1/2018,2/1/2026,NULL,"{""sma_fast"": 50, ""sma_slow"": 250, ""bull_allocation"": 0.9, ""bear_allocation"": 0.5, ""use_cash_zone"": true, ""mixed_allocation"": 0.3, ""mixed_instrument"": ""tqqq"", ""rebalance_threshold"": 0.05, ""max_drawdown_exit"": 0.0, ""confirmation_days"": 1, ""data_resolution"": ""minute"", ""algorithm_name"": ""TQQQPositionTrendAlgorithm""}",2.8797,0.1825,0.1163,0.3943,2.3357,0.515,NULL,0.0035,NULL,88,34,54,0.3864,1.573,786055.44,499703.44,23119.2776,9253.7674,159219.6,34079.28,3255.1772,0.3518,NULL,NULL,C ,0,49,44:08.3,Profitable (288.0%) | Grade:C,OPT_20260209_223748
13282,POSTREND_20260209_224656_4587b2f3,POSITION_TREND,1/1/2018,2/1/2026,NULL,"{""sma_fast"": 50, ""sma_slow"": 250, ""bull_allocation"": 0.8, ""bear_allocation"": 0.4, ""use_cash_zone"": true, ""mixed_allocation"": 0.3, ""mixed_instrument"": ""tqqq"", ""rebalance_threshold"": 0.05, ""max_drawdown_exit"": 0.0, ""confirmation_days"": 1, ""data_resolution"": ""minute"", ""algorithm_name"": ""TQQQPositionTrendAlgorithm""}",2.8456,0.1812,0.1319,0.4417,2.8316,0.452,NULL,0.003,NULL,96,44,52,0.4583,1.6686,706632.84,423493.74,16059.8373,8144.1104,127920.53,29372.37,2948.5588,0.362,NULL,NULL,C ,0,41,47:38.0,Profitable (284.6%) | Grade:C,OPT_20260209_223748
13286,POSTREND_20260209_224937_eeafff3f,POSITION_TREND,1/1/2018,2/1/2026,NULL,"{""sma_fast"": 20, ""sma_slow"": 200, ""bull_allocation"": 0.9, ""bear_allocation"": 0.5, ""use_cash_zone"": true, ""mixed_allocation"": 0.3, ""mixed_instrument"": ""tqqq"", ""rebalance_threshold"": 0.05, ""max_drawdown_exit"": 0.0, ""confirmation_days"": 1, ""data_resolution"": ""minute"", ""algorithm_name"": ""TQQQPositionTrendAlgorithm""}",2.8379,0.1809,0.1174,0.2956,2.0988,0.456,NULL,0.0033,NULL,126,54,72,0.4286,1.4429,933310.4,646837.88,17283.5259,8983.8594,75573.79,36408,2274.3419,0.2532,NULL,NULL,C ,0,37,50:15.1,Profitable (283.8%) | Grade:C,OPT_20260209_223748
13289,POSTREND_20260209_225141_3dcd697c,POSITION_TREND,1/1/2018,2/1/2026,NULL,"{""sma_fast"": 20, ""sma_slow"": 200, ""bull_allocation"": 0.95, ""bear_allocation"": 0.6, ""use_cash_zone"": true, ""mixed_allocation"": 0.3, ""mixed_instrument"": ""tqqq"", ""rebalance_threshold"": 0.05, ""max_drawdown_exit"": 0.0, ""confirmation_days"": 1, ""data_resolution"": ""minute"", ""algorithm_name"": ""TQQQPositionTrendAlgorithm""}",2.8112,0.1799,0.1088,0.2621,1.8198,0.496,NULL,0.0036,NULL,126,55,71,0.4365,1.4021,990095.86,706160.82,18001.7429,9945.927,78689.87,44400,2253.2309,0.2265,NULL,NULL,C ,0,35,52:16.8,Profitable (281.1%) | Grade:C,OPT_20260209_223748
13294,POSTREND_20260209_225441_04ebb0b8,POSITION_TREND,1/1/2018,2/1/2026,NULL,"{""sma_fast"": 100, ""sma_slow"": 200, ""bull_allocation"": 0.9, ""bear_allocation"": 0.5, ""use_cash_zone"": false, ""mixed_allocation"": 0.5, ""mixed_instrument"": ""tqqq"", ""rebalance_threshold"": 0.05, ""max_drawdown_exit"": 0.0, ""confirmation_days"": 1, ""data_resolution"": ""minute"", ""algorithm_name"": ""TQQQPositionTrendAlgorithm""}",2.7628,0.1781,0.1635,0.2346,1.9063,0.594,NULL,0.0041,NULL,129,72,57,0.5581,1.7284,472781.59,273529.51,6566.411,4798.7633,40887.79,38529.6,1544.1405,0.3218,NULL,NULL,C ,0,39,55:20.9,Profitable (276.3%) | Grade:C,OPT_20260209_223748
13297,POSTREND_20260209_225633_efe21286,POSITION_TREND,1/1/2018,2/1/2026,NULL,"{""sma_fast"": 50, ""sma_slow"": 150, ""bull_allocation"": 0.9, ""bear_allocation"": 0.5, ""use_cash_zone"": true, ""mixed_allocation"": 0.3, ""mixed_instrument"": ""tqqq"", ""rebalance_threshold"": 0.05, ""max_drawdown_exit"": 0.0, ""confirmation_days"": 1, ""data_resolution"": ""minute"", ""algorithm_name"": ""TQQQPositionTrendAlgorithm""}",2.6641,0.1742,0.1203,0.3806,3.3308,0.481,NULL,0.0036,NULL,88,38,50,0.4318,1.5743,726071.89,461192.37,19107.155,9223.8474,109679.54,33492.87,3009.4794,0.3263,NULL,NULL,C ,0,35,57:08.6,Profitable (266.4%) | Grade:C,OPT_20260209_223748
13301,POSTREND_20260209_225904_17525e49,POSITION_TREND,1/1/2018,2/1/2026,NULL,"{""sma_fast"": 50, ""sma_slow"": 200, ""bull_allocation"": 0.9, ""bear_allocation"": 0.5, ""use_cash_zone"": true, ""mixed_allocation"": 0.5, ""mixed_instrument"": ""sqqq"", ""rebalance_threshold"": 0.05, ""max_drawdown_exit"": 0.0, ""confirmation_days"": 1, ""data_resolution"": ""minute"", ""algorithm_name"": ""TQQQPositionTrendAlgorithm""}",2.6462,0.1735,0.1288,0.4318,3.2862,0.455,NULL,0.0035,NULL,85,34,51,0.4,1.6495,668198.94,405097.25,19652.91,7943.0833,109151.6,33462.42,3095.314,0.3897,NULL,NULL,C ,0,33,59:37.8,Profitable (264.6%) | Grade:C,OPT_20260209_223748
13270,POSTREND_20260209_223748_0e3c5aca,POSITION_TREND,1/1/2018,2/1/2026,NULL,"{""sma_fast"": 50, ""sma_slow"": 200, ""bull_allocation"": 0.9, ""bear_allocation"": 0.5, ""use_cash_zone"": true, ""mixed_allocation"": 0.3, ""mixed_instrument"": ""tqqq"", ""rebalance_threshold"": 0.05, ""max_drawdown_exit"": 0.0, ""confirmation_days"": 1, ""data_resolution"": ""minute"", ""algorithm_name"": ""TQQQPositionTrendAlgorithm""}",2.6462,0.1735,0.1288,0.4318,3.2862,0.455,NULL,0.0035,NULL,85,34,51,0.4,1.6495,668198.94,405097.25,19652.91,7943.0833,109151.6,33462.42,3095.314,0.3897,NULL,NULL,C ,0,47,38:35.5,Profitable (264.6%) | Grade:C,OPT_20260209_223748
13274,POSTREND_20260209_224029_c04c1364,POSITION_TREND,1/1/2018,2/1/2026,NULL,"{""sma_fast"": 50, ""sma_slow"": 200, ""bull_allocation"": 0.8, ""bear_allocation"": 0.4, ""use_cash_zone"": true, ""mixed_allocation"": 0.3, ""mixed_instrument"": ""tqqq"", ""rebalance_threshold"": 0.05, ""max_drawdown_exit"": 0.0, ""confirmation_days"": 1, ""data_resolution"": ""minute"", ""algorithm_name"": ""TQQQPositionTrendAlgorithm""}",2.5505,0.1696,0.142,0.4686,3.5287,0.415,NULL,0.0031,NULL,91,42,49,0.4615,1.7288,601862.13,348131.17,14330.0507,7104.7178,90747.02,28612.47,2787.4279,0.3923,NULL,NULL,C ,0,39,41:08.8,Profitable (255.1%) | Grade:C,OPT_20260209_223748
13281,POSTREND_20260209_224607_cb6be851,POSITION_TREND,1/1/2018,2/1/2026,NULL,"{""sma_fast"": 50, ""sma_slow"": 250, ""bull_allocation"": 0.95, ""bear_allocation"": 0.6, ""use_cash_zone"": true, ""mixed_allocation"": 0.3, ""mixed_instrument"": ""tqqq"", ""rebalance_threshold"": 0.05, ""max_drawdown_exit"": 0.0, ""confirmation_days"": 1, ""data_resolution"": ""minute"", ""algorithm_name"": ""TQQQPositionTrendAlgorithm""}",2.5247,0.1686,0.1049,0.3419,1.9464,0.551,NULL,0.0038,NULL,87,33,54,0.3793,1.4845,768854.55,517937.28,23298.6227,9591.4311,150251.44,37806.6,2883.7663,0.3007,NULL,NULL,C ,0,49,46:56.8,Profitable (252.5%) | Grade:C,OPT_20260209_223748
13273,POSTREND_20260209_223946_513327a3,POSITION_TREND,1/1/2018,2/1/2026,NULL,"{""sma_fast"": 50, ""sma_slow"": 200, ""bull_allocation"": 0.95, ""bear_allocation"": 0.6, ""use_cash_zone"": true, ""mixed_allocation"": 0.3, ""mixed_instrument"": ""tqqq"", ""rebalance_threshold"": 0.05, ""max_drawdown_exit"": 0.0, ""confirmation_days"": 1, ""data_resolution"": ""minute"", ""algorithm_name"": ""TQQQPositionTrendAlgorithm""}",2.4641,0.1661,0.12,0.3934,2.8323,0.489,NULL,0.0038,NULL,84,32,52,0.381,1.5775,668924.18,424043.17,20903.8806,8154.6763,108315.69,33998.82,2916.6339,0.3577,NULL,NULL,C ,0,43,40:29.4,Profitable (246.4%) | Grade:C,OPT_20260209_223748
13290,POSTREND_20260209_225216_c7482bfc,POSITION_TREND,1/1/2018,2/1/2026,NULL,"{""sma_fast"": 20, ""sma_slow"": 250, ""bull_allocation"": 0.9, ""bear_allocation"": 0.5, ""use_cash_zone"": true, ""mixed_allocation"": 0.3, ""mixed_instrument"": ""tqqq"", ""rebalance_threshold"": 0.05, ""max_drawdown_exit"": 0.0, ""confirmation_days"": 1, ""data_resolution"": ""minute"", ""algorithm_name"": ""TQQQPositionTrendAlgorithm""}",2.3801,0.1625,0.0926,0.2473,1.3359,0.55,NULL,0.0033,NULL,128,54,74,0.4219,1.3446,937928.29,697552.89,17369.0424,9426.3904,107120.25,36852,1878.6027,0.1993,NULL,NULL,C ,0,31,52:48.0,Profitable (238.0%) | Grade:C,OPT_20260209_223748
