OutcomeId,BacktestId,StrategyId,StartDate,EndDate,TradingDays,ParametersJson,TotalReturn,CAGR,SharpeRatio,SortinoRatio,CalmarRatio,MaxDrawdown,MaxDrawdownDuration,Volatility,VaR_95,TotalTrades,WinningTrades,LosingTrades,WinRate,ProfitFactor,TotalProfit,TotalLoss,AverageWin,AverageLoss,LargestWin,LargestLoss,Expectancy,ExpectancyRatio,PrimaryRegime,RegimeBreakdown,PerformanceGrade,IsSuccessful,ExecutionTimeSeconds,CreatedAt,Notes,OptimizationRunId
13365,GLDTREND_20260210_072118_41398888,GLD_POSITION_TREND,1/1/2010,12/31/2018,NULL,"{""sma_fast"": 100, ""sma_slow"": 200, ""bull_allocation"": 0.9, ""bear_allocation"": 0, ""use_cash_zone"": true, ""mixed_allocation"": 0, ""rebalance_threshold"": 0.05, ""max_drawdown_exit"": 0, ""confirmation_days"": 1, ""signal_mode"": ""breakout"", ""breakout_lookback"": 20, ""data_resolution"": ""minute"", ""algorithm_name"": ""GLDPositionTrendAlgorithm""}",0.1052,0.0112,0.1379,0.3173,0.5379,0.263,NULL,0.0007,NULL,14,8,6,0.5714,1.4025,36649.47,26131.46,4581.1837,4355.2433,11523.6,6706.4,751.0311,0.1724,NULL,NULL,C ,0,47,22:05.6,Profitable (10.5%) | Grade:C,GLD_OPT_20260210_071246
13363,GLDTREND_20260210_072019_01436064,GLD_POSITION_TREND,1/1/2010,12/31/2018,NULL,"{""sma_fast"": 20, ""sma_slow"": 200, ""bull_allocation"": 0.9, ""bear_allocation"": 0, ""use_cash_zone"": true, ""mixed_allocation"": 0, ""rebalance_threshold"": 0.05, ""max_drawdown_exit"": 0, ""confirmation_days"": 1, ""signal_mode"": ""breakout"", ""breakout_lookback"": 20, ""data_resolution"": ""minute"", ""algorithm_name"": ""GLDPositionTrendAlgorithm""}",0.0872,0.0093,0.1141,0.275,0.4325,0.278,NULL,0.0007,NULL,16,8,8,0.5,1.3538,33376.43,24654.58,4172.0537,3081.8225,11523.6,5927.04,545.1156,0.1769,NULL,NULL,C ,0,29,20:49.2,Profitable (8.7%) | Grade:C,GLD_OPT_20260210_071246
13354,GLDTREND_20260210_071529_d8f64a26,GLD_POSITION_TREND,1/1/2010,12/31/2018,NULL,"{""sma_fast"": 50, ""sma_slow"": 200, ""bull_allocation"": 0.9, ""bear_allocation"": 0, ""use_cash_zone"": true, ""mixed_allocation"": 0, ""rebalance_threshold"": 0.05, ""max_drawdown_exit"": 0, ""confirmation_days"": 1, ""signal_mode"": ""breakout"", ""breakout_lookback"": 10, ""data_resolution"": ""minute"", ""algorithm_name"": ""GLDPositionTrendAlgorithm""}",0.0829,0.0089,0.0519,0.1597,0.2241,0.285,NULL,0.0006,NULL,32,12,20,0.375,1.155,61755.95,53468.01,5146.3292,2673.4005,17480.62,6196.78,258.9981,0.0969,NULL,NULL,C ,0,27,15:56.4,Profitable (8.3%) | Grade:C,GLD_OPT_20260210_071246
13362,GLDTREND_20260210_071928_7a4c1a8d,GLD_POSITION_TREND,1/1/2010,12/31/2018,NULL,"{""sma_fast"": 20, ""sma_slow"": 200, ""bull_allocation"": 0.9, ""bear_allocation"": 0, ""use_cash_zone"": true, ""mixed_allocation"": 0, ""rebalance_threshold"": 0.05, ""max_drawdown_exit"": 0, ""confirmation_days"": 1, ""signal_mode"": ""breakout"", ""breakout_lookback"": 10, ""data_resolution"": ""minute"", ""algorithm_name"": ""GLDPositionTrendAlgorithm""}",0.0824,0.0088,0.0571,0.1893,0.2821,0.251,NULL,0.0006,NULL,31,11,20,0.3548,1.1884,51984.43,43741.5,4725.8573,2187.075,17480.62,6114.55,265.6334,0.1215,NULL,NULL,C ,0,51,20:20.0,Profitable (8.2%) | Grade:C,GLD_OPT_20260210_071246
13349,GLDTREND_20260210_071246_610449a0,GLD_POSITION_TREND,1/1/2010,12/31/2018,NULL,"{""sma_fast"": 50, ""sma_slow"": 150, ""bull_allocation"": 0.9, ""bear_allocation"": 0, ""use_cash_zone"": true, ""mixed_allocation"": 0, ""rebalance_threshold"": 0.05, ""max_drawdown_exit"": 0, ""confirmation_days"": 1, ""signal_mode"": ""breakout"", ""breakout_lookback"": 10, ""data_resolution"": ""minute"", ""algorithm_name"": ""GLDPositionTrendAlgorithm""}",0.0757,0.0081,0.0498,0.1483,0.2938,0.226,NULL,0.0006,NULL,34,14,20,0.4118,1.1547,56409.11,48850.11,4029.2221,2442.5055,16794.14,6301.42,222.5519,0.0911,NULL,NULL,C ,0,31,13:18.2,Profitable (7.6%) | Grade:C,GLD_OPT_20260210_071246
13366,GLDTREND_20260210_072205_cb424b55,GLD_POSITION_TREND,1/1/2010,12/31/2018,NULL,"{""sma_fast"": 100, ""sma_slow"": 200, ""bull_allocation"": 0.9, ""bear_allocation"": 0, ""use_cash_zone"": true, ""mixed_allocation"": 0, ""rebalance_threshold"": 0.05, ""max_drawdown_exit"": 0, ""confirmation_days"": 1, ""signal_mode"": ""breakout"", ""breakout_lookback"": 40, ""data_resolution"": ""minute"", ""algorithm_name"": ""GLDPositionTrendAlgorithm""}",0.0655,0.0071,0.1976,0.5973,0.8338,0.255,NULL,0.0007,NULL,8,4,4,0.5,1.7253,15576.15,9028.14,3894.0375,2257.035,8431.46,4033.98,818.5013,0.3626,NULL,NULL,C ,0,25,22:30.9,Profitable (6.6%) | Grade:C,GLD_OPT_20260210_071246
13355,GLDTREND_20260210_071556_638d6fcf,GLD_POSITION_TREND,1/1/2010,12/31/2018,NULL,"{""sma_fast"": 50, ""sma_slow"": 200, ""bull_allocation"": 0.9, ""bear_allocation"": 0, ""use_cash_zone"": true, ""mixed_allocation"": 0, ""rebalance_threshold"": 0.05, ""max_drawdown_exit"": 0, ""confirmation_days"": 1, ""signal_mode"": ""breakout"", ""breakout_lookback"": 20, ""data_resolution"": ""minute"", ""algorithm_name"": ""GLDPositionTrendAlgorithm""}",0.0424,0.0046,0.051,0.1328,0.1653,0.305,NULL,0.0007,NULL,16,8,8,0.5,1.1322,36355.71,32110.99,4544.4637,4013.8738,11523.6,6496.32,265.295,0.0661,NULL,NULL,C ,0,31,16:27.6,Profitable (4.2%) | Grade:C,GLD_OPT_20260210_071246
13360,GLDTREND_20260210_071834_fa2de6da,GLD_POSITION_TREND,1/1/2010,12/31/2018,NULL,"{""sma_fast"": 20, ""sma_slow"": 100, ""bull_allocation"": 0.9, ""bear_allocation"": 0, ""use_cash_zone"": true, ""mixed_allocation"": 0, ""rebalance_threshold"": 0.05, ""max_drawdown_exit"": 0, ""confirmation_days"": 1, ""signal_mode"": ""breakout"", ""breakout_lookback"": 20, ""data_resolution"": ""minute"", ""algorithm_name"": ""GLDPositionTrendAlgorithm""}",0.0306,0.0034,-0.0015,-0.0037,-0.0057,0.287,NULL,0.0007,NULL,17,8,9,0.4706,0.9964,33262.01,33381.58,4157.7512,3709.0644,10082.32,7842.25,-6.941,-0.0019,NULL,NULL,D ,0,25,18:59.5,Profitable (3.1%) | Grade:D,GLD_OPT_20260210_071246
13359,GLDTREND_20260210_071749_25fd0ff9,GLD_POSITION_TREND,1/1/2010,12/31/2018,NULL,"{""sma_fast"": 20, ""sma_slow"": 100, ""bull_allocation"": 0.9, ""bear_allocation"": 0, ""use_cash_zone"": true, ""mixed_allocation"": 0, ""rebalance_threshold"": 0.05, ""max_drawdown_exit"": 0, ""confirmation_days"": 1, ""signal_mode"": ""breakout"", ""breakout_lookback"": 10, ""data_resolution"": ""minute"", ""algorithm_name"": ""GLDPositionTrendAlgorithm""}",0.0179,0.002,-0.0096,-0.03,-0.0492,0.252,NULL,0.0007,NULL,33,13,20,0.3939,0.9733,47971.54,49285.97,3690.1185,2464.2985,15936.05,5808.08,-40.0736,-0.0163,NULL,NULL,D ,0,45,18:34.4,Profitable (1.8%) | Grade:D,GLD_OPT_20260210_071246
13352,GLDTREND_20260210_071414_bcc85ce8,GLD_POSITION_TREND,1/1/2010,12/31/2018,NULL,"{""sma_fast"": 50, ""sma_slow"": 150, ""bull_allocation"": 0.9, ""bear_allocation"": 0, ""use_cash_zone"": true, ""mixed_allocation"": 0, ""rebalance_threshold"": 0.05, ""max_drawdown_exit"": 0, ""confirmation_days"": 1, ""signal_mode"": ""breakout"", ""breakout_lookback"": 40, ""data_resolution"": ""minute"", ""algorithm_name"": ""GLDPositionTrendAlgorithm""}",-0.0084,-0.0009,-0.0206,-0.0476,-0.0559,0.273,NULL,0.0007,NULL,9,4,5,0.4444,0.9481,15567.18,16419.52,3891.795,3283.904,8431.46,5542.8,-95.0234,-0.0289,NULL,NULL,D ,0,27,14:41.7,Loss (-0.8%) | Grade:D,GLD_OPT_20260210_071246
