OutcomeId,BacktestId,StrategyId,StartDate,EndDate,TradingDays,ParametersJson,TotalReturn,CAGR,SharpeRatio,SortinoRatio,CalmarRatio,MaxDrawdown,MaxDrawdownDuration,Volatility,VaR_95,TotalTrades,WinningTrades,LosingTrades,WinRate,ProfitFactor,TotalProfit,TotalLoss,AverageWin,AverageLoss,LargestWin,LargestLoss,Expectancy,ExpectancyRatio,PrimaryRegime,RegimeBreakdown,PerformanceGrade,IsSuccessful,ExecutionTimeSeconds,CreatedAt,Notes,OptimizationRunId
13334,GLDTREND_20260210_014722_2c3253b2,GLD_POSITION_TREND,1/1/2010,12/31/2018,NULL,"{""sma_fast"": 20, ""sma_slow"": 200, ""bull_allocation"": 0.9, ""bear_allocation"": 0, ""use_cash_zone"": true, ""mixed_allocation"": 0, ""rebalance_threshold"": 0.05, ""max_drawdown_exit"": 0, ""confirmation_days"": 1, ""signal_mode"": ""price"", ""data_resolution"": ""minute"", ""algorithm_name"": ""GLDPositionTrendAlgorithm""}",0.2928,0.0289,0.0971,0.3495,1.8332,0.134,NULL,0.0007,NULL,82,33,49,0.4024,1.4197,90839.5,63982.78,2752.7121,1305.771,19460.35,4088.13,327.3626,0.2507,NULL,NULL,C ,0,31,47:54.1,Profitable (29.3%) | Grade:C,GLD_OPT_20260210_014139
13346,GLDTREND_20260210_015352_63b67d01,GLD_POSITION_TREND,1/1/2010,12/31/2018,NULL,"{""sma_fast"": 50, ""sma_slow"": 150, ""bull_allocation"": 0.9, ""bear_allocation"": 0, ""use_cash_zone"": true, ""mixed_allocation"": 0, ""rebalance_threshold"": 0.05, ""max_drawdown_exit"": 0, ""confirmation_days"": 1, ""signal_mode"": ""crossover"", ""data_resolution"": ""minute"", ""algorithm_name"": ""GLDPositionTrendAlgorithm""}",0.2837,0.0281,0.2088,1.4686,1.8185,0.22,NULL,0.0008,NULL,9,3,6,0.3333,2.3534,48858.88,20761.21,16286.2933,3460.2017,41895.76,6624.07,3121.3051,0.9021,NULL,NULL,C ,0,31,54:23.2,Profitable (28.4%) | Grade:C,GLD_OPT_20260210_014139
13333,GLDTREND_20260210_014655_16ee175b,GLD_POSITION_TREND,1/1/2010,12/31/2018,NULL,"{""sma_fast"": 20, ""sma_slow"": 100, ""bull_allocation"": 0.9, ""bear_allocation"": 0, ""use_cash_zone"": true, ""mixed_allocation"": 0, ""rebalance_threshold"": 0.05, ""max_drawdown_exit"": 0, ""confirmation_days"": 1, ""signal_mode"": ""price"", ""data_resolution"": ""minute"", ""algorithm_name"": ""GLDPositionTrendAlgorithm""}",0.2557,0.0256,0.0705,0.2609,1.3085,0.156,NULL,0.0007,NULL,91,32,59,0.3516,1.2945,89173.64,68887.15,2786.6762,1167.5788,18780.12,3980.83,222.7373,0.1908,NULL,NULL,C ,0,27,47:22.9,Profitable (25.6%) | Grade:C,GLD_OPT_20260210_014139
13340,GLDTREND_20260210_015024_9dd48e42,GLD_POSITION_TREND,1/1/2010,12/31/2018,NULL,"{""sma_fast"": 100, ""sma_slow"": 200, ""bull_allocation"": 0.9, ""bear_allocation"": 0, ""use_cash_zone"": true, ""mixed_allocation"": 0, ""rebalance_threshold"": 0.05, ""max_drawdown_exit"": 0, ""confirmation_days"": 1, ""signal_mode"": ""crossover"", ""data_resolution"": ""minute"", ""algorithm_name"": ""GLDPositionTrendAlgorithm""}",0.1795,0.0185,0.1739,1.3048,0.804,0.285,NULL,0.0008,NULL,5,1,4,0.2,1.804,40273.92,22324.42,40273.92,5581.105,40273.92,9141.68,3589.9,0.6432,NULL,NULL,C ,0,33,50:57.7,Profitable (17.9%) | Grade:C,GLD_OPT_20260210_014139
13336,GLDTREND_20260210_014823_6090feda,GLD_POSITION_TREND,1/1/2010,12/31/2018,NULL,"{""sma_fast"": 50, ""sma_slow"": 200, ""bull_allocation"": 0.9, ""bear_allocation"": 0, ""use_cash_zone"": true, ""mixed_allocation"": 0, ""rebalance_threshold"": 0.05, ""max_drawdown_exit"": 0, ""confirmation_days"": 1, ""signal_mode"": ""crossover"", ""data_resolution"": ""minute"", ""algorithm_name"": ""GLDPositionTrendAlgorithm""}",0.1461,0.0153,0.122,0.5024,0.5158,0.324,NULL,0.0008,NULL,6,2,4,0.3333,1.5158,42935.28,28324.82,21467.64,7081.205,41888.52,13087.4,2434.125,0.3437,NULL,NULL,C ,0,25,48:48.8,Profitable (14.6%) | Grade:C,GLD_OPT_20260210_014139
13341,GLDTREND_20260210_015057_c07bf42c,GLD_POSITION_TREND,1/1/2010,12/31/2018,NULL,"{""sma_fast"": 100, ""sma_slow"": 200, ""bull_allocation"": 0.9, ""bear_allocation"": 0, ""use_cash_zone"": true, ""mixed_allocation"": 0, ""rebalance_threshold"": 0.05, ""max_drawdown_exit"": 0, ""confirmation_days"": 3, ""signal_mode"": ""crossover"", ""data_resolution"": ""minute"", ""algorithm_name"": ""GLDPositionTrendAlgorithm""}",0.1455,0.0152,0.1308,0.9856,0.5218,0.303,NULL,0.0008,NULL,5,1,4,0.2,1.5218,42437.9,27886.52,42437.9,6971.63,42437.9,9345.78,2910.276,0.4174,NULL,NULL,C ,0,33,51:31.1,Profitable (14.6%) | Grade:C,GLD_OPT_20260210_014139
13335,GLDTREND_20260210_014754_3ca81478,GLD_POSITION_TREND,1/1/2010,12/31/2018,NULL,"{""sma_fast"": 50, ""sma_slow"": 150, ""bull_allocation"": 0.9, ""bear_allocation"": 0, ""use_cash_zone"": true, ""mixed_allocation"": 0, ""rebalance_threshold"": 0.05, ""max_drawdown_exit"": 0, ""confirmation_days"": 1, ""signal_mode"": ""price"", ""data_resolution"": ""minute"", ""algorithm_name"": ""GLDPositionTrendAlgorithm""}",0.1421,0.0149,0.0655,0.1943,0.3934,0.306,NULL,0.0008,NULL,49,15,34,0.3061,1.2264,57927.87,47233.32,3861.858,1389.2153,11694.32,5557.76,218.1382,0.157,NULL,NULL,C ,0,29,48:23.3,Profitable (14.2%) | Grade:C,GLD_OPT_20260210_014139
13323,GLDTREND_20260210_014139_c8d71326,GLD_POSITION_TREND,1/1/2010,12/31/2018,NULL,"{""sma_fast"": 50, ""sma_slow"": 200, ""bull_allocation"": 0.9, ""bear_allocation"": 0, ""use_cash_zone"": true, ""mixed_allocation"": 0, ""rebalance_threshold"": 0.05, ""max_drawdown_exit"": 0, ""confirmation_days"": 1, ""signal_mode"": ""price"", ""data_resolution"": ""minute"", ""algorithm_name"": ""GLDPositionTrendAlgorithm""}",0.1177,0.0124,0.0605,0.151,0.3608,0.301,NULL,0.0008,NULL,45,17,28,0.3778,1.1984,58456.32,48778.62,3438.6071,1742.0936,12025.86,5724.16,215.1751,0.1235,NULL,NULL,C ,0,25,42:04.9,Profitable (11.8%) | Grade:C,GLD_OPT_20260210_014139
13325,GLDTREND_20260210_014236_68c8a297,GLD_POSITION_TREND,1/1/2010,12/31/2018,NULL,"{""sma_fast"": 50, ""sma_slow"": 200, ""bull_allocation"": 0.9, ""bear_allocation"": 0, ""use_cash_zone"": false, ""mixed_allocation"": 0, ""rebalance_threshold"": 0.05, ""max_drawdown_exit"": 0, ""confirmation_days"": 1, ""signal_mode"": ""price"", ""data_resolution"": ""minute"", ""algorithm_name"": ""GLDPositionTrendAlgorithm""}",0.1177,0.0124,0.0605,0.151,0.3608,0.301,NULL,0.0008,NULL,45,17,28,0.3778,1.1984,58456.32,48778.62,3438.6071,1742.0936,12025.86,5724.16,215.1751,0.1235,NULL,NULL,C ,0,29,43:05.2,Profitable (11.8%) | Grade:C,GLD_OPT_20260210_014139
13329,GLDTREND_20260210_014454_4906af3b,GLD_POSITION_TREND,1/1/2010,12/31/2018,NULL,"{""sma_fast"": 100, ""sma_slow"": 200, ""bull_allocation"": 0.9, ""bear_allocation"": 0, ""use_cash_zone"": true, ""mixed_allocation"": 0, ""rebalance_threshold"": 0.05, ""max_drawdown_exit"": 0, ""confirmation_days"": 1, ""signal_mode"": ""price"", ""data_resolution"": ""minute"", ""algorithm_name"": ""GLDPositionTrendAlgorithm""}",0.1166,0.0123,0.0542,0.1726,0.3392,0.281,NULL,0.0008,NULL,47,17,30,0.3617,1.2239,52303.89,42736.73,3076.6994,1424.5577,19344.82,4685.34,203.547,0.1429,NULL,NULL,C ,0,33,45:28.0,Profitable (11.7%) | Grade:C,GLD_OPT_20260210_014139
