OutcomeId,BacktestId,StrategyId,StartDate,EndDate,TradingDays,ParametersJson,TotalReturn,CAGR,SharpeRatio,SortinoRatio,CalmarRatio,MaxDrawdown,MaxDrawdownDuration,Volatility,VaR_95,TotalTrades,WinningTrades,LosingTrades,WinRate,ProfitFactor,TotalProfit,TotalLoss,AverageWin,AverageLoss,LargestWin,LargestLoss,Expectancy,ExpectancyRatio,PrimaryRegime,RegimeBreakdown,PerformanceGrade,IsSuccessful,ExecutionTimeSeconds,CreatedAt,Notes,OptimizationRunId
12716,BT_20260206_165735_f18a7158,TQQQ_SCALPING,1/2/2025,1/13/2026,NULL,"{""algorithm_name"": ""TQQQSQQQPairsAlgorithm"", ""zscore_lookback"": 50, ""entry_zscore"": 1.5, ""exit_zscore"": 0.3, ""stop_zscore"": 3.0, ""position_size"": 0.5, ""stop_loss_pct"": 0.02, ""max_hold_minutes"": 0, ""min_bars_between"": 3, ""trailing_activation_pct"": 0.01, ""trailing_stop_pct"": 0.005, ""exit_confirmation_bars"": 5, ""enable_partial_exit"": true, ""partial_exit_pct"": 0.008, ""partial_exit_fraction"": 0.5, ""rsi_period"": 14, ""rsi_oversold"": 28.0, ""rsi_overbought"": 72.0, ""bb_period"": 20, ""bb_std_dev"": 2.0, ""position_size_level1"": 0.5, ""position_size_level2"": 0.3, ""position_size_level3"": 0.2, ""ema_fast_period"": 9, ""ema_slow_period"": 21, ""_hash"": ""5da246bbfd84"", ""_optimization_run_id"": ""OPT_20260206_163919""}",0.0843,0.0816,0.0143,0.0156,0.5183,0.134,NULL,0.0014,NULL,1216,788,428,0.648,1.0405,216371.81,-207943.53,274.5835,485.8494,2615.95,3049.83,NULL,NULL,NULL,NULL,NULL,NULL,NULL,57:59.1,NULL,OPT_20260206_163919
12750,BT_20260206_171314_e9efc4ab,TQQQ_SCALPING,1/2/2025,1/13/2026,NULL,"{""algorithm_name"": ""TQQQSQQQPairsAlgorithm"", ""zscore_lookback"": 45, ""entry_zscore"": 1.4, ""exit_zscore"": 0.2, ""stop_zscore"": 3.0, ""position_size"": 0.5, ""stop_loss_pct"": 0.02, ""max_hold_minutes"": 0, ""min_bars_between"": 3, ""trailing_activation_pct"": 0.008, ""trailing_stop_pct"": 0.003, ""exit_confirmation_bars"": 1, ""enable_partial_exit"": true, ""partial_exit_pct"": 0.006, ""partial_exit_fraction"": 0.5, ""rsi_period"": 14, ""rsi_oversold"": 28.0, ""rsi_overbought"": 72.0, ""bb_period"": 20, ""bb_std_dev"": 2.0, ""position_size_level1"": 0.5, ""position_size_level2"": 0.3, ""position_size_level3"": 0.2, ""ema_fast_period"": 9, ""ema_slow_period"": 21, ""_hash"": ""04d14aacb93a"", ""_optimization_run_id"": ""OPT_20260206_163919""}",0.0405,0.0393,0.0063,0.0058,0.2886,0.128,NULL,0.0014,NULL,1704,1155,549,0.6778,1.0198,208700.65,-204648,180.6932,372.765,2863.8,2825.64,NULL,NULL,NULL,NULL,NULL,NULL,NULL,13:41.4,NULL,OPT_20260206_163919
12747,BT_20260206_171130_cc12ef3a,TQQQ_SCALPING,1/2/2025,1/13/2026,NULL,"{""algorithm_name"": ""TQQQSQQQPairsAlgorithm"", ""zscore_lookback"": 50, ""entry_zscore"": 1.5, ""exit_zscore"": 0.3, ""stop_zscore"": 3.0, ""position_size"": 0.5, ""stop_loss_pct"": 0.02, ""max_hold_minutes"": 0, ""min_bars_between"": 3, ""trailing_activation_pct"": 0.01, ""trailing_stop_pct"": 0.005, ""exit_confirmation_bars"": 1, ""enable_partial_exit"": false, ""partial_exit_pct"": 0.008, ""partial_exit_fraction"": 0.5, ""rsi_period"": 14, ""rsi_oversold"": 28.0, ""rsi_overbought"": 72.0, ""bb_period"": 20, ""bb_std_dev"": 2.0, ""position_size_level1"": 0.5, ""position_size_level2"": 0.3, ""position_size_level3"": 0.2, ""ema_fast_period"": 9, ""ema_slow_period"": 21, ""_hash"": ""8530aa27791e"", ""_optimization_run_id"": ""OPT_20260206_163919""}",0.0358,0.0347,0.0048,0.0058,0.1971,0.156,NULL,0.0017,NULL,1543,901,642,0.5839,1.0167,217805.24,-214226.56,241.7372,333.6862,5185.6,2859.48,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12:00.3,NULL,OPT_20260206_163919
12714,BT_20260206_165637_84fb739a,TQQQ_SCALPING,1/2/2025,1/13/2026,NULL,"{""algorithm_name"": ""TQQQSQQQPairsAlgorithm"", ""zscore_lookback"": 50, ""entry_zscore"": 1.5, ""exit_zscore"": 0.3, ""stop_zscore"": 3.0, ""position_size"": 0.5, ""stop_loss_pct"": 0.02, ""max_hold_minutes"": 0, ""min_bars_between"": 3, ""trailing_activation_pct"": 0.01, ""trailing_stop_pct"": 0.005, ""exit_confirmation_bars"": 0, ""enable_partial_exit"": true, ""partial_exit_pct"": 0.008, ""partial_exit_fraction"": 0.5, ""rsi_period"": 14, ""rsi_oversold"": 28.0, ""rsi_overbought"": 72.0, ""bb_period"": 20, ""bb_std_dev"": 2.0, ""position_size_level1"": 0.5, ""position_size_level2"": 0.3, ""position_size_level3"": 0.2, ""ema_fast_period"": 9, ""ema_slow_period"": 21, ""_hash"": ""802f71ae244c"", ""_optimization_run_id"": ""OPT_20260206_163919""}",0.0352,0.034,0.0054,0.0053,0.19,0.16,NULL,0.0015,NULL,1722,1080,642,0.6272,1.0168,213395.95,-209880.08,197.5888,326.916,2546.5,2842.56,NULL,NULL,NULL,NULL,NULL,NULL,NULL,57:06.4,NULL,OPT_20260206_163919
12680,BT_20260206_164132_36c59aa6,TQQQ_SCALPING,1/2/2025,1/13/2026,NULL,"{""algorithm_name"": ""TQQQSQQQPairsAlgorithm"", ""zscore_lookback"": 50, ""entry_zscore"": 1.5, ""exit_zscore"": 0.3, ""stop_zscore"": 3.0, ""position_size"": 0.5, ""stop_loss_pct"": 0.02, ""max_hold_minutes"": 0, ""min_bars_between"": 3, ""trailing_activation_pct"": 0.01, ""trailing_stop_pct"": 0.005, ""exit_confirmation_bars"": 1, ""enable_partial_exit"": true, ""partial_exit_pct"": 0.008, ""partial_exit_fraction"": 0.5, ""rsi_period"": 14, ""rsi_oversold"": 28.0, ""rsi_overbought"": 72.0, ""bb_period"": 20, ""bb_std_dev"": 2.0, ""position_size_level1"": 0.5, ""position_size_level2"": 0.3, ""position_size_level3"": 0.2, ""ema_fast_period"": 9, ""ema_slow_period"": 21, ""_hash"": ""d1ba01b658d7"", ""_optimization_run_id"": ""OPT_20260206_163919""}",0.0352,0.034,0.0054,0.0053,0.19,0.16,NULL,0.0015,NULL,1722,1080,642,0.6272,1.0168,213395.95,-209880.08,197.5888,326.916,2546.5,2842.56,NULL,NULL,NULL,NULL,NULL,NULL,NULL,41:58.7,NULL,OPT_20260206_163919
12695,BT_20260206_164821_4d0132a6,TQQQ_SCALPING,1/2/2025,1/13/2026,NULL,"{""algorithm_name"": ""TQQQSQQQPairsAlgorithm"", ""zscore_lookback"": 50, ""entry_zscore"": 1.5, ""exit_zscore"": 0.3, ""stop_zscore"": 3.0, ""position_size"": 0.5, ""stop_loss_pct"": 0.02, ""max_hold_minutes"": 0, ""min_bars_between"": 3, ""trailing_activation_pct"": 999.0, ""trailing_stop_pct"": 999.0, ""exit_confirmation_bars"": 0, ""enable_partial_exit"": false, ""partial_exit_pct"": 999.0, ""partial_exit_fraction"": 0.5, ""rsi_period"": 14, ""rsi_oversold"": 28.0, ""rsi_overbought"": 72.0, ""bb_period"": 20, ""bb_std_dev"": 2.0, ""position_size_level1"": 0.5, ""position_size_level2"": 0.3, ""position_size_level3"": 0.2, ""ema_fast_period"": 9, ""ema_slow_period"": 21, ""_hash"": ""247483786a7b"", ""_optimization_run_id"": ""OPT_20260206_163919""}",0.0296,0.0286,0.0037,0.0041,0.1589,0.155,NULL,0.0014,NULL,1573,908,665,0.5772,1.0131,228982.9,-226027.69,252.1838,339.8913,4192.5,6261.75,NULL,NULL,NULL,NULL,NULL,NULL,NULL,48:44.4,NULL,OPT_20260206_163919
12736,BT_20260206_170647_e0e66a5f,TQQQ_SCALPING,1/2/2025,1/13/2026,NULL,"{""algorithm_name"": ""TQQQSQQQPairsAlgorithm"", ""zscore_lookback"": 45, ""entry_zscore"": 1.5, ""exit_zscore"": 0.2, ""stop_zscore"": 3.0, ""position_size"": 0.5, ""stop_loss_pct"": 0.02, ""max_hold_minutes"": 0, ""min_bars_between"": 3, ""trailing_activation_pct"": 0.01, ""trailing_stop_pct"": 0.005, ""exit_confirmation_bars"": 2, ""enable_partial_exit"": true, ""partial_exit_pct"": 0.008, ""partial_exit_fraction"": 0.5, ""rsi_period"": 14, ""rsi_oversold"": 28.0, ""rsi_overbought"": 72.0, ""bb_period"": 20, ""bb_std_dev"": 2.0, ""position_size_level1"": 0.5, ""position_size_level2"": 0.3, ""position_size_level3"": 0.2, ""ema_fast_period"": 9, ""ema_slow_period"": 21, ""_hash"": ""db12b350b351"", ""_optimization_run_id"": ""OPT_20260206_163919""}",0.0244,0.0236,0.0039,0.0041,0.1236,0.167,NULL,0.0014,NULL,1389,895,494,0.6443,1.0114,216124.38,-213685.23,241.4798,432.5612,2569.65,2893.32,NULL,NULL,NULL,NULL,NULL,NULL,NULL,07:12.5,NULL,OPT_20260206_163919
12691,BT_20260206_164631_ca0b7bc2,TQQQ_SCALPING,1/2/2025,1/13/2026,NULL,"{""algorithm_name"": ""TQQQSQQQPairsAlgorithm"", ""zscore_lookback"": 50, ""entry_zscore"": 1.5, ""exit_zscore"": 0.3, ""stop_zscore"": 3.0, ""position_size"": 0.5, ""stop_loss_pct"": 0.02, ""max_hold_minutes"": 0, ""min_bars_between"": 3, ""trailing_activation_pct"": 0.008, ""trailing_stop_pct"": 0.003, ""exit_confirmation_bars"": 1, ""enable_partial_exit"": true, ""partial_exit_pct"": 0.006, ""partial_exit_fraction"": 0.5, ""rsi_period"": 14, ""rsi_oversold"": 28.0, ""rsi_overbought"": 72.0, ""bb_period"": 20, ""bb_std_dev"": 2.0, ""position_size_level1"": 0.5, ""position_size_level2"": 0.3, ""position_size_level3"": 0.2, ""ema_fast_period"": 9, ""ema_slow_period"": 21, ""_hash"": ""fbcf65875a40"", ""_optimization_run_id"": ""OPT_20260206_163919""}",0.0164,0.0159,0.0025,0.0023,0.0951,0.153,NULL,0.0014,NULL,1819,1173,646,0.6449,1.008,206373.51,-204735.53,175.9365,316.9281,2838,2796.03,NULL,NULL,NULL,NULL,NULL,NULL,NULL,46:57.1,NULL,OPT_20260206_163919
12698,BT_20260206_164934_80960a13,TQQQ_SCALPING,1/2/2025,1/13/2026,NULL,"{""algorithm_name"": ""TQQQSQQQPairsAlgorithm"", ""zscore_lookback"": 45, ""entry_zscore"": 1.5, ""exit_zscore"": 0.3, ""stop_zscore"": 3.0, ""position_size"": 0.5, ""stop_loss_pct"": 0.02, ""max_hold_minutes"": 0, ""min_bars_between"": 3, ""trailing_activation_pct"": 0.01, ""trailing_stop_pct"": 0.005, ""exit_confirmation_bars"": 2, ""enable_partial_exit"": true, ""partial_exit_pct"": 0.008, ""partial_exit_fraction"": 0.5, ""rsi_period"": 14, ""rsi_oversold"": 28.0, ""rsi_overbought"": 72.0, ""bb_period"": 20, ""bb_std_dev"": 2.0, ""position_size_level1"": 0.5, ""position_size_level2"": 0.3, ""position_size_level3"": 0.2, ""ema_fast_period"": 9, ""ema_slow_period"": 21, ""_hash"": ""d8bbb08dce8e"", ""_optimization_run_id"": ""OPT_20260206_163919""}",0.0134,0.013,0.0022,0.0022,0.0924,0.132,NULL,0.0014,NULL,1484,954,530,0.6429,1.0065,208376.37,-207036.3,218.4239,390.6345,2477.05,2796.03,NULL,NULL,NULL,NULL,NULL,NULL,NULL,49:58.1,NULL,OPT_20260206_163919
12735,BT_20260206_170622_06e0c834,TQQQ_SCALPING,1/2/2025,1/13/2026,NULL,"{""algorithm_name"": ""TQQQSQQQPairsAlgorithm"", ""zscore_lookback"": 45, ""entry_zscore"": 1.4, ""exit_zscore"": 0.3, ""stop_zscore"": 3.0, ""position_size"": 0.5, ""stop_loss_pct"": 0.02, ""max_hold_minutes"": 0, ""min_bars_between"": 3, ""trailing_activation_pct"": 0.01, ""trailing_stop_pct"": 0.005, ""exit_confirmation_bars"": 2, ""enable_partial_exit"": true, ""partial_exit_pct"": 0.008, ""partial_exit_fraction"": 0.5, ""rsi_period"": 14, ""rsi_oversold"": 28.0, ""rsi_overbought"": 72.0, ""bb_period"": 20, ""bb_std_dev"": 2.0, ""position_size_level1"": 0.5, ""position_size_level2"": 0.3, ""position_size_level3"": 0.2, ""ema_fast_period"": 9, ""ema_slow_period"": 21, ""_hash"": ""6405b703cd82"", ""_optimization_run_id"": ""OPT_20260206_163919""}",0.0134,0.013,0.0022,0.0022,0.0924,0.132,NULL,0.0014,NULL,1484,954,530,0.6429,1.0065,208376.37,-207036.3,218.4239,390.6345,2477.05,2796.03,NULL,NULL,NULL,NULL,NULL,NULL,NULL,06:47.3,NULL,OPT_20260206_163919
