OutcomeId,BacktestId,StrategyId,StartDate,EndDate,TradingDays,ParametersJson,TotalReturn,CAGR,SharpeRatio,SortinoRatio,CalmarRatio,MaxDrawdown,MaxDrawdownDuration,Volatility,VaR_95,TotalTrades,WinningTrades,LosingTrades,WinRate,ProfitFactor,TotalProfit,TotalLoss,AverageWin,AverageLoss,LargestWin,LargestLoss,Expectancy,ExpectancyRatio,PrimaryRegime,RegimeBreakdown,PerformanceGrade,IsSuccessful,ExecutionTimeSeconds,CreatedAt,Notes,OptimizationRunId
12639,BT_20260206_154509_ec889e65,TQQQ_SCALPING,1/2/2025,1/13/2026,NULL,"{""algorithm_name"": ""TQQQSQQQPairsAlgorithm"", ""zscore_lookback"": 45, ""entry_zscore"": 1.4, ""exit_zscore"": 0.3, ""stop_zscore"": 3.0, ""position_size"": 0.5, ""stop_loss_pct"": 0.02, ""max_hold_minutes"": 0, ""min_bars_between"": 3, ""rsi_period"": 14, ""rsi_oversold"": 28.0, ""rsi_overbought"": 72.0, ""bb_period"": 20, ""bb_std_dev"": 2.0, ""position_size_level1"": 0.5, ""position_size_level2"": 0.3, ""position_size_level3"": 0.2, ""ema_fast_period"": 9, ""ema_slow_period"": 21, ""_hash"": ""32e9d55a2dd1"", ""_optimization_run_id"": ""OPT_20260206_154509""}",0.077,0.0745,0.0107,0.0119,0.6074,0.113,NULL,0.0015,NULL,1610,978,632,0.6075,1.0358,222890.8,-215191.5,227.9047,340.4929,4056,2889.09,NULL,NULL,NULL,NULL,NULL,NULL,NULL,45:38.9,NULL,OPT_20260206_154509
12640,BT_20260206_154538_3d9c4971,TQQQ_SCALPING,1/2/2025,1/13/2026,NULL,"{""algorithm_name"": ""TQQQSQQQPairsAlgorithm"", ""zscore_lookback"": 45, ""entry_zscore"": 1.5, ""exit_zscore"": 0.3, ""stop_zscore"": 3.0, ""position_size"": 0.5, ""stop_loss_pct"": 0.02, ""max_hold_minutes"": 0, ""min_bars_between"": 3, ""rsi_period"": 14, ""rsi_oversold"": 28.0, ""rsi_overbought"": 72.0, ""bb_period"": 20, ""bb_std_dev"": 2.0, ""position_size_level1"": 0.5, ""position_size_level2"": 0.3, ""position_size_level3"": 0.2, ""ema_fast_period"": 9, ""ema_slow_period"": 21, ""_hash"": ""cc340db1da4c"", ""_optimization_run_id"": ""OPT_20260206_154509""}",0.077,0.0745,0.0107,0.0119,0.6074,0.113,NULL,0.0015,NULL,1610,978,632,0.6075,1.0358,222890.8,-215191.5,227.9047,340.4929,4056,2889.09,NULL,NULL,NULL,NULL,NULL,NULL,NULL,46:04.1,NULL,OPT_20260206_154509
12641,BT_20260206_154604_bc675f97,TQQQ_SCALPING,1/2/2025,1/13/2026,NULL,"{""algorithm_name"": ""TQQQSQQQPairsAlgorithm"", ""zscore_lookback"": 45, ""entry_zscore"": 1.6, ""exit_zscore"": 0.3, ""stop_zscore"": 3.0, ""position_size"": 0.5, ""stop_loss_pct"": 0.02, ""max_hold_minutes"": 0, ""min_bars_between"": 3, ""rsi_period"": 14, ""rsi_oversold"": 28.0, ""rsi_overbought"": 72.0, ""bb_period"": 20, ""bb_std_dev"": 2.0, ""position_size_level1"": 0.5, ""position_size_level2"": 0.3, ""position_size_level3"": 0.2, ""ema_fast_period"": 9, ""ema_slow_period"": 21, ""_hash"": ""76dded059ceb"", ""_optimization_run_id"": ""OPT_20260206_154509""}",0.077,0.0745,0.0107,0.0119,0.6074,0.113,NULL,0.0015,NULL,1610,978,632,0.6075,1.0358,222890.8,-215191.5,227.9047,340.4929,4056,2889.09,NULL,NULL,NULL,NULL,NULL,NULL,NULL,46:27.3,NULL,OPT_20260206_154509
12642,BT_20260206_154627_fe3a6c6d,TQQQ_SCALPING,1/2/2025,1/13/2026,NULL,"{""algorithm_name"": ""TQQQSQQQPairsAlgorithm"", ""zscore_lookback"": 50, ""entry_zscore"": 1.4, ""exit_zscore"": 0.3, ""stop_zscore"": 3.0, ""position_size"": 0.5, ""stop_loss_pct"": 0.02, ""max_hold_minutes"": 0, ""min_bars_between"": 3, ""rsi_period"": 14, ""rsi_oversold"": 28.0, ""rsi_overbought"": 72.0, ""bb_period"": 20, ""bb_std_dev"": 2.0, ""position_size_level1"": 0.5, ""position_size_level2"": 0.3, ""position_size_level3"": 0.2, ""ema_fast_period"": 9, ""ema_slow_period"": 21, ""_hash"": ""01fa784754ac"", ""_optimization_run_id"": ""OPT_20260206_154509""}",0.0296,0.0286,0.0037,0.0041,0.1589,0.155,NULL,0.0014,NULL,1573,908,665,0.5772,1.0131,228982.9,-226027.69,252.1838,339.8913,4192.5,6261.75,NULL,NULL,NULL,NULL,NULL,NULL,NULL,46:56.5,NULL,OPT_20260206_154509
12643,BT_20260206_154656_e2986d68,TQQQ_SCALPING,1/2/2025,1/13/2026,NULL,"{""algorithm_name"": ""TQQQSQQQPairsAlgorithm"", ""zscore_lookback"": 50, ""entry_zscore"": 1.5, ""exit_zscore"": 0.3, ""stop_zscore"": 3.0, ""position_size"": 0.5, ""stop_loss_pct"": 0.02, ""max_hold_minutes"": 0, ""min_bars_between"": 3, ""rsi_period"": 14, ""rsi_oversold"": 28.0, ""rsi_overbought"": 72.0, ""bb_period"": 20, ""bb_std_dev"": 2.0, ""position_size_level1"": 0.5, ""position_size_level2"": 0.3, ""position_size_level3"": 0.2, ""ema_fast_period"": 9, ""ema_slow_period"": 21, ""_hash"": ""0b1a806da34b"", ""_optimization_run_id"": ""OPT_20260206_154509""}",0.0296,0.0286,0.0037,0.0041,0.1589,0.155,NULL,0.0014,NULL,1573,908,665,0.5772,1.0131,228982.9,-226027.69,252.1838,339.8913,4192.5,6261.75,NULL,NULL,NULL,NULL,NULL,NULL,NULL,47:22.2,NULL,OPT_20260206_154509
12644,BT_20260206_154722_a4845839,TQQQ_SCALPING,1/2/2025,1/13/2026,NULL,"{""algorithm_name"": ""TQQQSQQQPairsAlgorithm"", ""zscore_lookback"": 50, ""entry_zscore"": 1.6, ""exit_zscore"": 0.3, ""stop_zscore"": 3.0, ""position_size"": 0.5, ""stop_loss_pct"": 0.02, ""max_hold_minutes"": 0, ""min_bars_between"": 3, ""rsi_period"": 14, ""rsi_oversold"": 28.0, ""rsi_overbought"": 72.0, ""bb_period"": 20, ""bb_std_dev"": 2.0, ""position_size_level1"": 0.5, ""position_size_level2"": 0.3, ""position_size_level3"": 0.2, ""ema_fast_period"": 9, ""ema_slow_period"": 21, ""_hash"": ""2358c8bb512a"", ""_optimization_run_id"": ""OPT_20260206_154509""}",0.0296,0.0286,0.0037,0.0041,0.1589,0.155,NULL,0.0014,NULL,1573,908,665,0.5772,1.0131,228982.9,-226027.69,252.1838,339.8913,4192.5,6261.75,NULL,NULL,NULL,NULL,NULL,NULL,NULL,47:51.4,NULL,OPT_20260206_154509
12645,BT_20260206_154751_c4761044,TQQQ_SCALPING,1/2/2025,1/13/2026,NULL,"{""algorithm_name"": ""TQQQSQQQPairsAlgorithm"", ""zscore_lookback"": 55, ""entry_zscore"": 1.4, ""exit_zscore"": 0.3, ""stop_zscore"": 3.0, ""position_size"": 0.5, ""stop_loss_pct"": 0.02, ""max_hold_minutes"": 0, ""min_bars_between"": 3, ""rsi_period"": 14, ""rsi_oversold"": 28.0, ""rsi_overbought"": 72.0, ""bb_period"": 20, ""bb_std_dev"": 2.0, ""position_size_level1"": 0.5, ""position_size_level2"": 0.3, ""position_size_level3"": 0.2, ""ema_fast_period"": 9, ""ema_slow_period"": 21, ""_hash"": ""b2170dc3b026"", ""_optimization_run_id"": ""OPT_20260206_154509""}",0.0411,0.0398,0.0057,0.0067,0.241,0.149,NULL,0.0014,NULL,1518,880,638,0.5797,1.0193,217455.59,-213346.43,247.1086,334.3988,4646,2791.8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,48:16.6,NULL,OPT_20260206_154509
12646,BT_20260206_154816_7f7b4ce3,TQQQ_SCALPING,1/2/2025,1/13/2026,NULL,"{""algorithm_name"": ""TQQQSQQQPairsAlgorithm"", ""zscore_lookback"": 55, ""entry_zscore"": 1.5, ""exit_zscore"": 0.3, ""stop_zscore"": 3.0, ""position_size"": 0.5, ""stop_loss_pct"": 0.02, ""max_hold_minutes"": 0, ""min_bars_between"": 3, ""rsi_period"": 14, ""rsi_oversold"": 28.0, ""rsi_overbought"": 72.0, ""bb_period"": 20, ""bb_std_dev"": 2.0, ""position_size_level1"": 0.5, ""position_size_level2"": 0.3, ""position_size_level3"": 0.2, ""ema_fast_period"": 9, ""ema_slow_period"": 21, ""_hash"": ""beed728ae62c"", ""_optimization_run_id"": ""OPT_20260206_154509""}",0.0411,0.0398,0.0057,0.0067,0.241,0.149,NULL,0.0014,NULL,1518,880,638,0.5797,1.0193,217455.59,-213346.43,247.1086,334.3988,4646,2791.8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,48:44.0,NULL,OPT_20260206_154509
12647,BT_20260206_154843_c927713c,TQQQ_SCALPING,1/2/2025,1/13/2026,NULL,"{""algorithm_name"": ""TQQQSQQQPairsAlgorithm"", ""zscore_lookback"": 55, ""entry_zscore"": 1.6, ""exit_zscore"": 0.3, ""stop_zscore"": 3.0, ""position_size"": 0.5, ""stop_loss_pct"": 0.02, ""max_hold_minutes"": 0, ""min_bars_between"": 3, ""rsi_period"": 14, ""rsi_oversold"": 28.0, ""rsi_overbought"": 72.0, ""bb_period"": 20, ""bb_std_dev"": 2.0, ""position_size_level1"": 0.5, ""position_size_level2"": 0.3, ""position_size_level3"": 0.2, ""ema_fast_period"": 9, ""ema_slow_period"": 21, ""_hash"": ""7cde3dc07cd5"", ""_optimization_run_id"": ""OPT_20260206_154509""}",0.0411,0.0398,0.0057,0.0067,0.241,0.149,NULL,0.0014,NULL,1518,880,638,0.5797,1.0193,217455.59,-213346.43,247.1086,334.3988,4646,2791.8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,49:11.2,NULL,OPT_20260206_154509
12648,BT_20260206_154911_b239f473,TQQQ_SCALPING,1/2/2025,1/13/2026,NULL,"{""algorithm_name"": ""TQQQSQQQPairsAlgorithm"", ""zscore_lookback"": 45, ""entry_zscore"": 1.5, ""exit_zscore"": 0.25, ""stop_zscore"": 3.0, ""position_size"": 0.5, ""stop_loss_pct"": 0.02, ""max_hold_minutes"": 0, ""min_bars_between"": 3, ""rsi_period"": 14, ""rsi_oversold"": 28.0, ""rsi_overbought"": 72.0, ""bb_period"": 20, ""bb_std_dev"": 2.0, ""position_size_level1"": 0.5, ""position_size_level2"": 0.3, ""position_size_level3"": 0.2, ""ema_fast_period"": 9, ""ema_slow_period"": 21, ""_hash"": ""a026a956b398"", ""_optimization_run_id"": ""OPT_20260206_154509""}",0.0288,0.0279,0.0039,0.0041,0.2131,0.125,NULL,0.0014,NULL,1532,930,602,0.607,1.0131,223256.53,-220373.57,240.0608,366.0691,4692,5801.6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,49:36.5,NULL,OPT_20260206_154509
