OutcomeId,BacktestId,StrategyId,StartDate,EndDate,TradingDays,ParametersJson,TotalReturn,CAGR,SharpeRatio,SortinoRatio,CalmarRatio,MaxDrawdown,MaxDrawdownDuration,Volatility,VaR_95,TotalTrades,WinningTrades,LosingTrades,WinRate,ProfitFactor,TotalProfit,TotalLoss,AverageWin,AverageLoss,LargestWin,LargestLoss,Expectancy,ExpectancyRatio,PrimaryRegime,RegimeBreakdown,PerformanceGrade,IsSuccessful,ExecutionTimeSeconds,CreatedAt,Notes,OptimizationRunId
12913,DAILYMR_20260207_173852_78a7eafe,DAILY_MEAN_REVERSION,1/2/2025,1/14/2026,NULL,"{""zscore_lookback"": 30, ""entry_zscore"": 2.0, ""exit_target_zscore"": 0.0, ""stop_loss_pct"": 0.05, ""position_size"": 0.5, ""max_hold_days"": 20, ""min_days_between"": 1, ""trailing_stop_atr"": 0.0, ""atr_period"": 14, ""use_rsi_filter"": false, ""rsi_period"": 14, ""rsi_oversold"": 30, ""rsi_overbought"": 70, ""use_vol_scaling"": false, ""vol_scale_threshold"": 1.5, ""vol_scale_factor"": 0.5, ""algorithm_name"": ""TQQQDailyMeanReversionAlgorithm""}",0.0222,0.0215,0.0442,0.3126,0.2025,0.126,NULL,0.0017,NULL,13,5,8,0.3846,1.1061,23134.2,20914.41,4626.84,2614.3012,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,39:08.1,NULL,NULL
12914,DAILYMR_20260207_173908_1a886263,DAILY_MEAN_REVERSION,1/2/2025,1/14/2026,NULL,"{""zscore_lookback"": 20, ""entry_zscore"": 2.0, ""exit_target_zscore"": 0.0, ""stop_loss_pct"": 0.05, ""position_size"": 0.5, ""max_hold_days"": 20, ""min_days_between"": 1, ""trailing_stop_atr"": 0.0, ""atr_period"": 14, ""use_rsi_filter"": false, ""rsi_period"": 14, ""rsi_oversold"": 30, ""rsi_overbought"": 70, ""use_vol_scaling"": false, ""vol_scale_threshold"": 1.5, ""vol_scale_factor"": 0.5, ""algorithm_name"": ""TQQQDailyMeanReversionAlgorithm""}",-0.198,-0.192,-0.3698,-0.4783,-0.8702,0.234,NULL,0.0016,NULL,11,3,8,0.2727,0.3662,11441.05,31241.59,3813.6833,3905.1988,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,39:25.3,NULL,NULL
12915,DAILYMR_20260207_173925_85bafdb4,DAILY_MEAN_REVERSION,1/2/2025,1/14/2026,NULL,"{""zscore_lookback"": 40, ""entry_zscore"": 2.0, ""exit_target_zscore"": 0.0, ""stop_loss_pct"": 0.05, ""position_size"": 0.5, ""max_hold_days"": 20, ""min_days_between"": 1, ""trailing_stop_atr"": 0.0, ""atr_period"": 14, ""use_rsi_filter"": false, ""rsi_period"": 14, ""rsi_oversold"": 30, ""rsi_overbought"": 70, ""use_vol_scaling"": false, ""vol_scale_threshold"": 1.5, ""vol_scale_factor"": 0.5, ""algorithm_name"": ""TQQQDailyMeanReversionAlgorithm""}",-0.1755,-0.1702,-0.5248,-0.8756,-0.7217,0.257,NULL,0.0013,NULL,10,2,8,0.2,0.2783,6770.97,24325.79,3385.485,3040.7238,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,39:38.5,NULL,NULL
12916,DAILYMR_20260207_173938_cb955362,DAILY_MEAN_REVERSION,1/2/2025,1/14/2026,NULL,"{""zscore_lookback"": 60, ""entry_zscore"": 2.0, ""exit_target_zscore"": 0.0, ""stop_loss_pct"": 0.05, ""position_size"": 0.5, ""max_hold_days"": 20, ""min_days_between"": 1, ""trailing_stop_atr"": 0.0, ""atr_period"": 14, ""use_rsi_filter"": false, ""rsi_period"": 14, ""rsi_oversold"": 30, ""rsi_overbought"": 70, ""use_vol_scaling"": false, ""vol_scale_threshold"": 1.5, ""vol_scale_factor"": 0.5, ""algorithm_name"": ""TQQQDailyMeanReversionAlgorithm""}",0.0132,0.0128,0.0267,0.1415,0.1072,0.151,NULL,0.0017,NULL,10,3,7,0.3,1.0651,21633.52,20311.46,7211.1733,2901.6371,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,39:53.6,NULL,NULL
12917,DAILYMR_20260207_173953_d1e95723,DAILY_MEAN_REVERSION,1/2/2025,1/14/2026,NULL,"{""zscore_lookback"": 30, ""entry_zscore"": 1.5, ""exit_target_zscore"": 0.0, ""stop_loss_pct"": 0.05, ""position_size"": 0.5, ""max_hold_days"": 20, ""min_days_between"": 1, ""trailing_stop_atr"": 0.0, ""atr_period"": 14, ""use_rsi_filter"": false, ""rsi_period"": 14, ""rsi_oversold"": 30, ""rsi_overbought"": 70, ""use_vol_scaling"": false, ""vol_scale_threshold"": 1.5, ""vol_scale_factor"": 0.5, ""algorithm_name"": ""TQQQDailyMeanReversionAlgorithm""}",0.0306,0.0296,0.03,0.067,0.1233,0.205,NULL,0.0019,NULL,20,7,13,0.35,1.079,41806.9,38745,5972.4143,2980.3846,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,40:06.7,NULL,NULL
12918,DAILYMR_20260207_174006_a2ed1351,DAILY_MEAN_REVERSION,1/2/2025,1/14/2026,NULL,"{""zscore_lookback"": 30, ""entry_zscore"": 2.5, ""exit_target_zscore"": 0.0, ""stop_loss_pct"": 0.05, ""position_size"": 0.5, ""max_hold_days"": 20, ""min_days_between"": 1, ""trailing_stop_atr"": 0.0, ""atr_period"": 14, ""use_rsi_filter"": false, ""rsi_period"": 14, ""rsi_oversold"": 30, ""rsi_overbought"": 70, ""use_vol_scaling"": false, ""vol_scale_threshold"": 1.5, ""vol_scale_factor"": 0.5, ""algorithm_name"": ""TQQQDailyMeanReversionAlgorithm""}",-0.0952,-0.0921,-0.5849,-0.6631,-0.837,0.13,NULL,0.0008,NULL,4,1,3,0.25,0.163,1853.6,11372.28,1853.6,3790.76,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,40:23.9,NULL,NULL
12919,DAILYMR_20260207_174023_f8ade0f2,DAILY_MEAN_REVERSION,1/2/2025,1/14/2026,NULL,"{""zscore_lookback"": 30, ""entry_zscore"": 3.0, ""exit_target_zscore"": 0.0, ""stop_loss_pct"": 0.05, ""position_size"": 0.5, ""max_hold_days"": 20, ""min_days_between"": 1, ""trailing_stop_atr"": 0.0, ""atr_period"": 14, ""use_rsi_filter"": false, ""rsi_period"": 14, ""rsi_oversold"": 30, ""rsi_overbought"": 70, ""use_vol_scaling"": false, ""vol_scale_threshold"": 1.5, ""vol_scale_factor"": 0.5, ""algorithm_name"": ""TQQQDailyMeanReversionAlgorithm""}",0.0209,0.0202,0,0,10,0.043,NULL,0.0005,NULL,1,1,0,1,10,2091.6,0,2091.6,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,40:39.0,NULL,NULL
12920,DAILYMR_20260207_174039_3d4cabe2,DAILY_MEAN_REVERSION,1/2/2025,1/14/2026,NULL,"{""zscore_lookback"": 30, ""entry_zscore"": 2.0, ""exit_target_zscore"": 0.5, ""stop_loss_pct"": 0.05, ""position_size"": 0.5, ""max_hold_days"": 20, ""min_days_between"": 1, ""trailing_stop_atr"": 0.0, ""atr_period"": 14, ""use_rsi_filter"": false, ""rsi_period"": 14, ""rsi_oversold"": 30, ""rsi_overbought"": 70, ""use_vol_scaling"": false, ""vol_scale_threshold"": 1.5, ""vol_scale_factor"": 0.5, ""algorithm_name"": ""TQQQDailyMeanReversionAlgorithm""}",0.0609,0.0588,0.1132,0.652,0.4882,0.143,NULL,0.0014,NULL,13,5,8,0.3846,1.3037,26133.53,20045.94,5226.706,2505.7425,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,40:52.2,NULL,NULL
12921,DAILYMR_20260207_174052_af75e50d,DAILY_MEAN_REVERSION,1/2/2025,1/14/2026,NULL,"{""zscore_lookback"": 30, ""entry_zscore"": 2.0, ""exit_target_zscore"": -0.5, ""stop_loss_pct"": 0.05, ""position_size"": 0.5, ""max_hold_days"": 20, ""min_days_between"": 1, ""trailing_stop_atr"": 0.0, ""atr_period"": 14, ""use_rsi_filter"": false, ""rsi_period"": 14, ""rsi_oversold"": 30, ""rsi_overbought"": 70, ""use_vol_scaling"": false, ""vol_scale_threshold"": 1.5, ""vol_scale_factor"": 0.5, ""algorithm_name"": ""TQQQDailyMeanReversionAlgorithm""}",0.0566,0.0546,0.1008,0.7911,0.5097,0.126,NULL,0.0017,NULL,13,5,8,0.3846,1.2684,26736.81,21078.71,5347.362,2634.8388,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,41:09.3,NULL,NULL
12922,DAILYMR_20260207_174109_0560c22b,DAILY_MEAN_REVERSION,1/2/2025,1/14/2026,NULL,"{""zscore_lookback"": 30, ""entry_zscore"": 2.0, ""exit_target_zscore"": 0.0, ""stop_loss_pct"": 0.03, ""position_size"": 0.5, ""max_hold_days"": 20, ""min_days_between"": 1, ""trailing_stop_atr"": 0.0, ""atr_period"": 14, ""use_rsi_filter"": false, ""rsi_period"": 14, ""rsi_oversold"": 30, ""rsi_overbought"": 70, ""use_vol_scaling"": false, ""vol_scale_threshold"": 1.5, ""vol_scale_factor"": 0.5, ""algorithm_name"": ""TQQQDailyMeanReversionAlgorithm""}",0.0338,0.0326,0.0639,0.2194,0.2934,0.126,NULL,0.0016,NULL,15,5,10,0.3333,1.1692,23331.96,19955.05,4666.392,1995.505,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,41:30.4,NULL,NULL
