OutcomeId,BacktestId,StrategyId,StartDate,EndDate,TradingDays,ParametersJson,TotalReturn,CAGR,SharpeRatio,SortinoRatio,CalmarRatio,MaxDrawdown,MaxDrawdownDuration,Volatility,VaR_95,TotalTrades,WinningTrades,LosingTrades,WinRate,ProfitFactor,TotalProfit,TotalLoss,AverageWin,AverageLoss,LargestWin,LargestLoss,Expectancy,ExpectancyRatio,PrimaryRegime,RegimeBreakdown,PerformanceGrade,IsSuccessful,ExecutionTimeSeconds,CreatedAt,Notes,OptimizationRunId
12849,POSTREND_20260207_170117_82156879,POSITION_TREND,1/2/2025,1/14/2026,NULL,"{""sma_fast"": 50, ""sma_slow"": 200, ""bull_allocation"": 0.9, ""bear_allocation"": 0.5, ""use_cash_zone"": true, ""mixed_allocation"": 0.3, ""mixed_instrument"": ""tqqq"", ""rebalance_threshold"": 0.05, ""max_drawdown_exit"": 0.0, ""confirmation_days"": 1, ""algorithm_name"": ""TQQQPositionTrendAlgorithm""}",0.4041,0.3882,0.454,1.18,3.8303,0.281,NULL,0.0031,NULL,9,5,4,0.5556,3.6269,60784.37,16759.48,12156.874,4189.87,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,01:37.0,NULL,NULL
12850,POSTREND_20260207_170137_0e332998,POSITION_TREND,1/2/2025,1/14/2026,NULL,"{""sma_fast"": 50, ""sma_slow"": 200, ""bull_allocation"": 0.9, ""bear_allocation"": 0.5, ""use_cash_zone"": true, ""mixed_allocation"": 0.3, ""mixed_instrument"": ""tqqq"", ""rebalance_threshold"": 0.05, ""max_drawdown_exit"": 0.0, ""confirmation_days"": 3, ""algorithm_name"": ""TQQQPositionTrendAlgorithm""}",0.2208,0.2127,0.2444,1.2706,2.8061,0.312,NULL,0.0033,NULL,6,3,3,0.5,2.5954,44413.17,17112.48,14804.39,5704.16,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,01:56.2,NULL,NULL
12851,POSTREND_20260207_170156_fb9604aa,POSITION_TREND,1/2/2025,1/14/2026,NULL,"{""sma_fast"": 50, ""sma_slow"": 200, ""bull_allocation"": 0.9, ""bear_allocation"": 0.5, ""use_cash_zone"": false, ""mixed_allocation"": 0.3, ""mixed_instrument"": ""tqqq"", ""rebalance_threshold"": 0.05, ""max_drawdown_exit"": 0.0, ""confirmation_days"": 1, ""algorithm_name"": ""TQQQPositionTrendAlgorithm""}",0.4496,0.4316,0.5461,0.7434,4.2133,0.294,NULL,0.0032,NULL,15,11,4,0.7333,4.6713,61617.65,13190.8,5601.6045,3297.7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,02:11.4,NULL,NULL
12852,POSTREND_20260207_170211_91793117,POSITION_TREND,1/2/2025,1/14/2026,NULL,"{""sma_fast"": 50, ""sma_slow"": 200, ""bull_allocation"": 0.95, ""bear_allocation"": 0.6, ""use_cash_zone"": true, ""mixed_allocation"": 0.3, ""mixed_instrument"": ""tqqq"", ""rebalance_threshold"": 0.05, ""max_drawdown_exit"": 0.0, ""confirmation_days"": 1, ""algorithm_name"": ""TQQQPositionTrendAlgorithm""}",0.3984,0.3827,0.421,0.9359,3.17,0.328,NULL,0.0035,NULL,9,5,4,0.5556,3.2586,62967.52,19323.26,12593.504,4830.815,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,02:30.6,NULL,NULL
12853,POSTREND_20260207_170230_53a9fc72,POSITION_TREND,1/2/2025,1/14/2026,NULL,"{""sma_fast"": 50, ""sma_slow"": 200, ""bull_allocation"": 0.8, ""bear_allocation"": 0.4, ""use_cash_zone"": true, ""mixed_allocation"": 0.3, ""mixed_instrument"": ""tqqq"", ""rebalance_threshold"": 0.05, ""max_drawdown_exit"": 0.0, ""confirmation_days"": 1, ""algorithm_name"": ""TQQQPositionTrendAlgorithm""}",0.3752,0.3606,0.4785,1.4199,4.438,0.231,NULL,0.0027,NULL,9,5,4,0.5556,3.9645,54376.17,13715.69,10875.234,3428.9225,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,02:45.8,NULL,NULL
12854,POSTREND_20260207_170245_399f13f5,POSITION_TREND,1/2/2025,1/14/2026,NULL,"{""sma_fast"": 50, ""sma_slow"": 200, ""bull_allocation"": 0.9, ""bear_allocation"": 0.5, ""use_cash_zone"": true, ""mixed_allocation"": 0.3, ""mixed_instrument"": ""tqqq"", ""rebalance_threshold"": 0.05, ""max_drawdown_exit"": 0.25, ""confirmation_days"": 1, ""algorithm_name"": ""TQQQPositionTrendAlgorithm""}",-0.0359,-0.0347,-0.3167,-0.4194,-0.5902,0.248,NULL,0.0019,NULL,3,1,2,0.3333,0.4098,2489.4,6074.7,2489.4,3037.35,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,03:02.9,NULL,NULL
12855,POSTREND_20260207_170302_3af39a30,POSITION_TREND,1/2/2025,1/14/2026,NULL,"{""sma_fast"": 50, ""sma_slow"": 200, ""bull_allocation"": 0.9, ""bear_allocation"": 0.5, ""use_cash_zone"": true, ""mixed_allocation"": 0.3, ""mixed_instrument"": ""tqqq"", ""rebalance_threshold"": 0.05, ""max_drawdown_exit"": 0.3, ""confirmation_days"": 1, ""algorithm_name"": ""TQQQPositionTrendAlgorithm""}",0.4041,0.3882,0.454,1.18,3.8303,0.281,NULL,0.0031,NULL,9,5,4,0.5556,3.6269,60784.37,16759.48,12156.874,4189.87,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,03:22.1,NULL,NULL
12856,POSTREND_20260207_170322_332e551a,POSITION_TREND,1/2/2025,1/14/2026,NULL,"{""sma_fast"": 50, ""sma_slow"": 200, ""bull_allocation"": 0.9, ""bear_allocation"": 0.0, ""use_cash_zone"": true, ""mixed_allocation"": 0.0, ""mixed_instrument"": ""tqqq"", ""rebalance_threshold"": 0.05, ""max_drawdown_exit"": 0.0, ""confirmation_days"": 1, ""algorithm_name"": ""TQQQPositionTrendAlgorithm""}",0.543,0.5208,0.8265,2.7491,10.0697,0.184,NULL,0.0025,NULL,6,4,2,0.6667,11.0697,64064.07,5787.36,16016.0175,2893.68,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,03:39.2,NULL,NULL
12857,POSTREND_20260207_170339_b7a39437,POSITION_TREND,1/2/2025,1/14/2026,NULL,"{""sma_fast"": 50, ""sma_slow"": 250, ""bull_allocation"": 0.9, ""bear_allocation"": 0.5, ""use_cash_zone"": true, ""mixed_allocation"": 0.3, ""mixed_instrument"": ""tqqq"", ""rebalance_threshold"": 0.05, ""max_drawdown_exit"": 0.0, ""confirmation_days"": 1, ""algorithm_name"": ""TQQQPositionTrendAlgorithm""}",0.2172,0.2092,0.1942,0.3507,0.9517,0.297,NULL,0.003,NULL,8,3,5,0.375,1.8101,55543.3,30684.85,18514.4333,6136.97,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,03:56.3,NULL,NULL
12858,POSTREND_20260207_170356_44b0a3ae,POSITION_TREND,1/2/2025,1/14/2026,NULL,"{""sma_fast"": 50, ""sma_slow"": 250, ""bull_allocation"": 0.9, ""bear_allocation"": 0.5, ""use_cash_zone"": true, ""mixed_allocation"": 0.3, ""mixed_instrument"": ""tqqq"", ""rebalance_threshold"": 0.05, ""max_drawdown_exit"": 0.0, ""confirmation_days"": 3, ""algorithm_name"": ""TQQQPositionTrendAlgorithm""}",-0.0611,-0.0591,-0.0194,-0.035,-0.0701,0.333,NULL,0.0031,NULL,5,1,4,0.2,0.9411,33360.96,35448.6,33360.96,8862.15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,04:11.4,NULL,NULL
12859,POSTREND_20260207_170411_e7cc2b2b,POSITION_TREND,1/2/2025,1/14/2026,NULL,"{""sma_fast"": 50, ""sma_slow"": 250, ""bull_allocation"": 0.9, ""bear_allocation"": 0.5, ""use_cash_zone"": false, ""mixed_allocation"": 0.3, ""mixed_instrument"": ""tqqq"", ""rebalance_threshold"": 0.05, ""max_drawdown_exit"": 0.0, ""confirmation_days"": 1, ""algorithm_name"": ""TQQQPositionTrendAlgorithm""}",0.2463,0.2371,0.2249,0.2327,1.0799,0.301,NULL,0.003,NULL,14,8,6,0.5714,2.0217,54629.64,27021.81,6828.705,4503.635,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,04:30.6,NULL,NULL
12860,POSTREND_20260207_170430_8496c20f,POSITION_TREND,1/2/2025,1/14/2026,NULL,"{""sma_fast"": 50, ""sma_slow"": 250, ""bull_allocation"": 0.95, ""bear_allocation"": 0.6, ""use_cash_zone"": true, ""mixed_allocation"": 0.3, ""mixed_instrument"": ""tqqq"", ""rebalance_threshold"": 0.05, ""max_drawdown_exit"": 0.0, ""confirmation_days"": 1, ""algorithm_name"": ""TQQQPositionTrendAlgorithm""}",0.1744,0.1681,0.152,0.2397,0.6795,0.344,NULL,0.0033,NULL,8,3,5,0.375,1.5891,55680.04,35039.5,18560.0133,7007.9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,04:47.8,NULL,NULL
12861,POSTREND_20260207_170447_2205559c,POSITION_TREND,1/2/2025,1/14/2026,NULL,"{""sma_fast"": 50, ""sma_slow"": 250, ""bull_allocation"": 0.8, ""bear_allocation"": 0.4, ""use_cash_zone"": true, ""mixed_allocation"": 0.3, ""mixed_instrument"": ""tqqq"", ""rebalance_threshold"": 0.05, ""max_drawdown_exit"": 0.0, ""confirmation_days"": 1, ""algorithm_name"": ""TQQQPositionTrendAlgorithm""}",0.2294,0.2209,0.221,0.4107,1.1981,0.246,NULL,0.0026,NULL,9,4,5,0.4444,2.0073,51301.48,25558.05,12825.37,5111.61,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,05:09.1,NULL,NULL
12862,POSTREND_20260207_170509_6583473b,POSITION_TREND,1/2/2025,1/14/2026,NULL,"{""sma_fast"": 50, ""sma_slow"": 250, ""bull_allocation"": 0.9, ""bear_allocation"": 0.0, ""use_cash_zone"": true, ""mixed_allocation"": 0.0, ""mixed_instrument"": ""tqqq"", ""rebalance_threshold"": 0.05, ""max_drawdown_exit"": 0.0, ""confirmation_days"": 1, ""algorithm_name"": ""TQQQPositionTrendAlgorithm""}",0.5874,0.563,0.566,4.0266,10.5523,0.184,NULL,0.0026,NULL,6,3,3,0.5,7.533,72440.4,9616.42,24146.8,3205.4733,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,05:30.3,NULL,NULL
12863,POSTREND_20260207_170530_6d1ed69d,POSITION_TREND,1/2/2025,1/14/2026,NULL,"{""sma_fast"": 50, ""sma_slow"": 250, ""bull_allocation"": 0.9, ""bear_allocation"": 0.5, ""use_cash_zone"": true, ""mixed_allocation"": 0.3, ""mixed_instrument"": ""tqqq"", ""rebalance_threshold"": 0.05, ""max_drawdown_exit"": 0.25, ""confirmation_days"": 1, ""algorithm_name"": ""TQQQPositionTrendAlgorithm""}",-0.2248,-0.2181,-0.8096,-0.8096,-1,0.262,NULL,0.0015,NULL,2,0,2,0,0,0,22477.5,0,11238.75,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,05:47.6,NULL,NULL
12864,POSTREND_20260207_170547_d3ceb4b4,POSITION_TREND,1/2/2025,1/14/2026,NULL,"{""sma_fast"": 50, ""sma_slow"": 250, ""bull_allocation"": 0.9, ""bear_allocation"": 0.5, ""use_cash_zone"": true, ""mixed_allocation"": 0.3, ""mixed_instrument"": ""tqqq"", ""rebalance_threshold"": 0.05, ""max_drawdown_exit"": 0.3, ""confirmation_days"": 3, ""algorithm_name"": ""TQQQPositionTrendAlgorithm""}",-0.2977,-0.2893,-0.6903,-0.6903,-1,0.302,NULL,0.0014,NULL,3,0,3,0,0,0,29770.35,0,9923.45,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,06:04.8,NULL,NULL
