OutcomeId,BacktestId,StrategyId,StartDate,EndDate,TradingDays,ParametersJson,TotalReturn,CAGR,SharpeRatio,SortinoRatio,CalmarRatio,MaxDrawdown,MaxDrawdownDuration,Volatility,VaR_95,TotalTrades,WinningTrades,LosingTrades,WinRate,ProfitFactor,TotalProfit,TotalLoss,AverageWin,AverageLoss,LargestWin,LargestLoss,Expectancy,ExpectancyRatio,PrimaryRegime,RegimeBreakdown,PerformanceGrade,IsSuccessful,ExecutionTimeSeconds,CreatedAt,Notes,OptimizationRunId
12881,TURTLE_20260207_171754_69764170,TURTLE_TQQQ,1/2/2025,1/14/2026,NULL,"{""entry_period"": 20, ""exit_period"": 10, ""atr_period"": 20, ""risk_per_trade"": 0.005, ""atr_stop_multiple"": 2.0, ""leverage_factor"": 3.0, ""max_units"": 3, ""pyramid_atr_step"": 0.5, ""max_position_pct"": 0.8, ""max_hold_days"": 0, ""use_qqq_filter"": false, ""algorithm_name"": ""TQQQTurtleAlgorithm""}",0.0185,0.0179,0.1561,0.4022,1.3406,0.033,NULL,0.0003,NULL,22,12,10,0.5455,1.4303,6153.62,4302.43,512.8017,430.243,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,18:18.3,NULL,NULL
12882,TURTLE_20260207_171818_d8925438,TURTLE_TQQQ,1/2/2025,1/14/2026,NULL,"{""entry_period"": 20, ""exit_period"": 10, ""atr_period"": 20, ""risk_per_trade"": 0.01, ""atr_stop_multiple"": 2.0, ""leverage_factor"": 3.0, ""max_units"": 3, ""pyramid_atr_step"": 0.5, ""max_position_pct"": 0.8, ""max_hold_days"": 0, ""use_qqq_filter"": false, ""algorithm_name"": ""TQQQTurtleAlgorithm""}",0.0359,0.0346,0.1509,0.3885,1.3029,0.063,NULL,0.0007,NULL,22,12,10,0.5455,1.4129,12269.14,8683.53,1022.4283,868.353,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,18:35.5,NULL,NULL
12883,TURTLE_20260207_171835_761bcb48,TURTLE_TQQQ,1/2/2025,1/14/2026,NULL,"{""entry_period"": 20, ""exit_period"": 10, ""atr_period"": 20, ""risk_per_trade"": 0.005, ""atr_stop_multiple"": 1.5, ""leverage_factor"": 3.0, ""max_units"": 3, ""pyramid_atr_step"": 0.5, ""max_position_pct"": 0.8, ""max_hold_days"": 0, ""use_qqq_filter"": false, ""algorithm_name"": ""TQQQTurtleAlgorithm""}",-0.0044,-0.0043,-0.0393,-0.0805,-0.2907,0.029,NULL,0.0003,NULL,25,10,15,0.4,0.9068,4273.04,4712.28,427.304,314.152,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,18:50.7,NULL,NULL
12884,TURTLE_20260207_171850_1db0828b,TURTLE_TQQQ,1/2/2025,1/14/2026,NULL,"{""entry_period"": 20, ""exit_period"": 10, ""atr_period"": 20, ""risk_per_trade"": 0.005, ""atr_stop_multiple"": 2.5, ""leverage_factor"": 3.0, ""max_units"": 3, ""pyramid_atr_step"": 0.5, ""max_position_pct"": 0.8, ""max_hold_days"": 0, ""use_qqq_filter"": false, ""algorithm_name"": ""TQQQTurtleAlgorithm""}",0.0265,0.0256,0.2186,0.5475,1.8457,0.033,NULL,0.0003,NULL,22,13,9,0.5909,1.645,6760.78,4109.98,520.06,456.6644,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,19:07.8,NULL,NULL
12885,TURTLE_20260207_171907_021a1582,TURTLE_TQQQ,1/2/2025,1/14/2026,NULL,"{""entry_period"": 20, ""exit_period"": 10, ""atr_period"": 20, ""risk_per_trade"": 0.005, ""atr_stop_multiple"": 2.0, ""leverage_factor"": 3.0, ""max_units"": 2, ""pyramid_atr_step"": 0.5, ""max_position_pct"": 0.8, ""max_hold_days"": 0, ""use_qqq_filter"": false, ""algorithm_name"": ""TQQQTurtleAlgorithm""}",0.0059,0.0057,0.0552,0.1407,0.426,0.022,NULL,0.0003,NULL,20,10,10,0.5,1.1371,4878.34,4290.05,487.834,429.005,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,19:29.0,NULL,NULL
12886,TURTLE_20260207_171928_55f29d8f,TURTLE_TQQQ,1/2/2025,1/14/2026,NULL,"{""entry_period"": 20, ""exit_period"": 10, ""atr_period"": 20, ""risk_per_trade"": 0.005, ""atr_stop_multiple"": 2.0, ""leverage_factor"": 3.0, ""max_units"": 4, ""pyramid_atr_step"": 0.5, ""max_position_pct"": 0.8, ""max_hold_days"": 0, ""use_qqq_filter"": false, ""algorithm_name"": ""TQQQTurtleAlgorithm""}",-0.034,-0.0329,-0.2882,-0.5168,-0.9763,0.055,NULL,0.0003,NULL,34,12,22,0.3529,0.5048,3467.1,6867.87,288.925,312.1759,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,19:44.1,NULL,NULL
12887,TURTLE_20260207_171944_8c78b5d8,TURTLE_TQQQ,1/2/2025,1/14/2026,NULL,"{""entry_period"": 10, ""exit_period"": 5, ""atr_period"": 20, ""risk_per_trade"": 0.005, ""atr_stop_multiple"": 2.0, ""leverage_factor"": 3.0, ""max_units"": 3, ""pyramid_atr_step"": 0.5, ""max_position_pct"": 0.8, ""max_hold_days"": 0, ""use_qqq_filter"": false, ""algorithm_name"": ""TQQQTurtleAlgorithm""}",0.0076,0.0073,0.0515,0.118,0.5076,0.026,NULL,0.0003,NULL,37,19,18,0.5135,1.1213,7009.6,6251.27,368.9263,347.2928,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20:01.3,NULL,NULL
12888,TURTLE_20260207_172001_4579a6f7,TURTLE_TQQQ,1/2/2025,1/14/2026,NULL,"{""entry_period"": 10, ""exit_period"": 5, ""atr_period"": 20, ""risk_per_trade"": 0.01, ""atr_stop_multiple"": 2.0, ""leverage_factor"": 3.0, ""max_units"": 3, ""pyramid_atr_step"": 0.5, ""max_position_pct"": 0.8, ""max_hold_days"": 0, ""use_qqq_filter"": false, ""algorithm_name"": ""TQQQTurtleAlgorithm""}",0.0145,0.014,0.0492,0.1128,0.4888,0.051,NULL,0.0006,NULL,37,19,18,0.5135,1.1154,14053.27,12599.06,739.6458,699.9478,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20:16.5,NULL,NULL
12889,TURTLE_20260207_172016_8faa0ece,TURTLE_TQQQ,1/2/2025,1/14/2026,NULL,"{""entry_period"": 40, ""exit_period"": 20, ""atr_period"": 20, ""risk_per_trade"": 0.005, ""atr_stop_multiple"": 2.0, ""leverage_factor"": 3.0, ""max_units"": 3, ""pyramid_atr_step"": 0.5, ""max_position_pct"": 0.8, ""max_hold_days"": 0, ""use_qqq_filter"": false, ""algorithm_name"": ""TQQQTurtleAlgorithm""}",0.0406,0.0392,0.5585,0.8446,3.7419,0.049,NULL,0.0004,NULL,14,10,4,0.7143,4.7419,6307.36,1330.14,630.736,332.535,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20:35.7,NULL,NULL
12890,TURTLE_20260207_172035_07b22f52,TURTLE_TQQQ,1/2/2025,1/14/2026,NULL,"{""entry_period"": 40, ""exit_period"": 20, ""atr_period"": 20, ""risk_per_trade"": 0.01, ""atr_stop_multiple"": 2.0, ""leverage_factor"": 3.0, ""max_units"": 3, ""pyramid_atr_step"": 0.5, ""max_position_pct"": 0.8, ""max_hold_days"": 0, ""use_qqq_filter"": false, ""algorithm_name"": ""TQQQTurtleAlgorithm""}",0.0812,0.0784,0.5505,0.8098,3.6352,0.093,NULL,0.0008,NULL,14,10,4,0.7143,4.6352,12823.54,2766.56,1282.354,691.64,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20:50.9,NULL,NULL
12891,TURTLE_20260207_172050_ac4f6586,TURTLE_TQQQ,1/2/2025,1/14/2026,NULL,"{""entry_period"": 55, ""exit_period"": 20, ""atr_period"": 20, ""risk_per_trade"": 0.005, ""atr_stop_multiple"": 2.0, ""leverage_factor"": 3.0, ""max_units"": 3, ""pyramid_atr_step"": 0.5, ""max_position_pct"": 0.8, ""max_hold_days"": 0, ""use_qqq_filter"": false, ""algorithm_name"": ""TQQQTurtleAlgorithm""}",0.0537,0.0519,0.6914,0.6692,5.6242,0.041,NULL,0.0004,NULL,12,10,2,0.8333,6.6242,6326.44,955.05,632.644,477.525,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,21:10.0,NULL,NULL
12892,TURTLE_20260207_172110_7280971f,TURTLE_TQQQ,1/2/2025,1/14/2026,NULL,"{""entry_period"": 20, ""exit_period"": 10, ""atr_period"": 14, ""risk_per_trade"": 0.005, ""atr_stop_multiple"": 2.0, ""leverage_factor"": 3.0, ""max_units"": 3, ""pyramid_atr_step"": 0.5, ""max_position_pct"": 0.8, ""max_hold_days"": 0, ""use_qqq_filter"": false, ""algorithm_name"": ""TQQQTurtleAlgorithm""}",0.0255,0.0246,0.2142,0.6438,1.9845,0.033,NULL,0.0003,NULL,21,11,10,0.5238,1.6529,6447.31,3900.72,586.1191,390.072,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,21:29.1,NULL,NULL
12893,TURTLE_20260207_172129_3b87c60a,TURTLE_TQQQ,1/2/2025,1/14/2026,NULL,"{""entry_period"": 20, ""exit_period"": 10, ""atr_period"": 20, ""risk_per_trade"": 0.005, ""atr_stop_multiple"": 2.0, ""leverage_factor"": 3.0, ""max_units"": 3, ""pyramid_atr_step"": 1.0, ""max_position_pct"": 0.8, ""max_hold_days"": 0, ""use_qqq_filter"": false, ""algorithm_name"": ""TQQQTurtleAlgorithm""}",-0.0129,-0.0125,-0.1237,-0.2876,-0.4689,0.037,NULL,0.0002,NULL,21,7,14,0.3333,0.7443,3751.09,5039.51,535.87,359.965,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,21:46.3,NULL,NULL
12894,TURTLE_20260207_172146_d48660d3,TURTLE_TQQQ,1/2/2025,1/14/2026,NULL,"{""entry_period"": 20, ""exit_period"": 10, ""atr_period"": 20, ""risk_per_trade"": 0.005, ""atr_stop_multiple"": 2.0, ""leverage_factor"": 3.0, ""max_units"": 3, ""pyramid_atr_step"": 0.25, ""max_position_pct"": 0.8, ""max_hold_days"": 0, ""use_qqq_filter"": false, ""algorithm_name"": ""TQQQTurtleAlgorithm""}",0.0108,0.0104,0.0851,0.2357,0.6995,0.033,NULL,0.0004,NULL,24,12,12,0.5,1.2146,6105.81,5026.99,508.8175,418.9158,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22:03.5,NULL,NULL
