OutcomeId,BacktestId,StrategyId,StartDate,EndDate,TradingDays,ParametersJson,TotalReturn,CAGR,SharpeRatio,SortinoRatio,CalmarRatio,MaxDrawdown,MaxDrawdownDuration,Volatility,VaR_95,TotalTrades,WinningTrades,LosingTrades,WinRate,ProfitFactor,TotalProfit,TotalLoss,AverageWin,AverageLoss,LargestWin,LargestLoss,Expectancy,ExpectancyRatio,PrimaryRegime,RegimeBreakdown,PerformanceGrade,IsSuccessful,ExecutionTimeSeconds,CreatedAt,Notes,OptimizationRunId
13041,DAILYMR_20260207_194040_fc373753,DAILY_MEAN_REVERSION,6/1/2018,1/14/2026,NULL,"{""zscore_lookback"": 30, ""entry_zscore"": 2.0, ""exit_target_zscore"": 0.0, ""stop_loss_pct"": 0.05, ""position_size"": 0.5, ""max_hold_days"": 20, ""min_days_between"": 1, ""trailing_stop_atr"": 0.0, ""atr_period"": 14, ""use_rsi_filter"": false, ""rsi_period"": 14, ""rsi_oversold"": 30, ""rsi_overbought"": 70, ""use_vol_scaling"": false, ""vol_scale_threshold"": 1.5, ""vol_scale_factor"": 0.5, ""algorithm_name"": ""TQQQDailyMeanReversionAlgorithm""}",-0.4007,-0.0649,-0.1434,-0.2368,-0.7559,0.531,NULL,0.0015,NULL,86,33,53,0.3837,0.6989,93015.37,133083.5,2818.6476,2511.0094,6808.5,11078.8,-466.02,-0.1856,NULL,NULL,D ,0,35,41:15.9,Loss (-40.1%) | Grade:D,OPT_20260207_194040
13042,DAILYMR_20260207_194115_89d357e3,DAILY_MEAN_REVERSION,6/1/2018,1/14/2026,NULL,"{""zscore_lookback"": 20, ""entry_zscore"": 2.0, ""exit_target_zscore"": 0.0, ""stop_loss_pct"": 0.05, ""position_size"": 0.5, ""max_hold_days"": 20, ""min_days_between"": 1, ""trailing_stop_atr"": 0.0, ""atr_period"": 14, ""use_rsi_filter"": false, ""rsi_period"": 14, ""rsi_oversold"": 30, ""rsi_overbought"": 70, ""use_vol_scaling"": false, ""vol_scale_threshold"": 1.5, ""vol_scale_factor"": 0.5, ""algorithm_name"": ""TQQQDailyMeanReversionAlgorithm""}",-0.6223,-0.1198,-0.2225,-0.3414,-0.8337,0.674,NULL,0.0014,NULL,85,32,53,0.3765,0.5673,81579.93,143808.3,2549.3728,2713.3642,7405.67,10406.25,-731.9437,-0.2698,NULL,NULL,D ,0,27,41:43.0,Loss (-62.2%) | Grade:D,OPT_20260207_194040
13043,DAILYMR_20260207_194143_fab6ef74,DAILY_MEAN_REVERSION,6/1/2018,1/14/2026,NULL,"{""zscore_lookback"": 40, ""entry_zscore"": 2.0, ""exit_target_zscore"": 0.0, ""stop_loss_pct"": 0.05, ""position_size"": 0.5, ""max_hold_days"": 20, ""min_days_between"": 1, ""trailing_stop_atr"": 0.0, ""atr_period"": 14, ""use_rsi_filter"": false, ""rsi_period"": 14, ""rsi_oversold"": 30, ""rsi_overbought"": 70, ""use_vol_scaling"": false, ""vol_scale_threshold"": 1.5, ""vol_scale_factor"": 0.5, ""algorithm_name"": ""TQQQDailyMeanReversionAlgorithm""}",-0.2558,-0.038,-0.087,-0.1596,-0.5674,0.451,NULL,0.0014,NULL,72,28,44,0.3889,0.8037,104726.44,130309.85,3740.23,2961.5875,9830.07,12181.52,-355.2507,-0.12,NULL,NULL,D ,0,25,42:08.3,Loss (-25.6%) | Grade:D,OPT_20260207_194040
13044,DAILYMR_20260207_194208_aab5a28e,DAILY_MEAN_REVERSION,6/1/2018,1/14/2026,NULL,"{""zscore_lookback"": 60, ""entry_zscore"": 2.0, ""exit_target_zscore"": 0.0, ""stop_loss_pct"": 0.05, ""position_size"": 0.5, ""max_hold_days"": 20, ""min_days_between"": 1, ""trailing_stop_atr"": 0.0, ""atr_period"": 14, ""use_rsi_filter"": false, ""rsi_period"": 14, ""rsi_oversold"": 30, ""rsi_overbought"": 70, ""use_vol_scaling"": false, ""vol_scale_threshold"": 1.5, ""vol_scale_factor"": 0.5, ""algorithm_name"": ""TQQQDailyMeanReversionAlgorithm""}",-0.1624,-0.023,-0.0514,-0.1111,-0.466,0.349,NULL,0.0014,NULL,70,24,46,0.3429,0.8682,107029.64,123273.96,4459.5683,2679.8687,17437.5,12326.86,-231.7558,-0.0865,NULL,NULL,D ,0,27,42:35.4,Loss (-16.2%) | Grade:D,OPT_20260207_194040
13045,DAILYMR_20260207_194235_fc10b087,DAILY_MEAN_REVERSION,6/1/2018,1/14/2026,NULL,"{""zscore_lookback"": 30, ""entry_zscore"": 1.5, ""exit_target_zscore"": 0.0, ""stop_loss_pct"": 0.05, ""position_size"": 0.5, ""max_hold_days"": 20, ""min_days_between"": 1, ""trailing_stop_atr"": 0.0, ""atr_period"": 14, ""use_rsi_filter"": false, ""rsi_period"": 14, ""rsi_oversold"": 30, ""rsi_overbought"": 70, ""use_vol_scaling"": false, ""vol_scale_threshold"": 1.5, ""vol_scale_factor"": 0.5, ""algorithm_name"": ""TQQQDailyMeanReversionAlgorithm""}",-0.4259,-0.0701,-0.0958,-0.1506,-0.6082,0.635,NULL,0.0019,NULL,148,52,96,0.3514,0.7785,149679.35,192266.76,2878.449,2002.7788,6964.3,13259.45,-287.5154,-0.1436,NULL,NULL,D ,0,27,43:02.6,Loss (-42.6%) | Grade:D,OPT_20260207_194040
13046,DAILYMR_20260207_194302_6196fb0a,DAILY_MEAN_REVERSION,6/1/2018,1/14/2026,NULL,"{""zscore_lookback"": 30, ""entry_zscore"": 2.5, ""exit_target_zscore"": 0.0, ""stop_loss_pct"": 0.05, ""position_size"": 0.5, ""max_hold_days"": 20, ""min_days_between"": 1, ""trailing_stop_atr"": 0.0, ""atr_period"": 14, ""use_rsi_filter"": false, ""rsi_period"": 14, ""rsi_oversold"": 30, ""rsi_overbought"": 70, ""use_vol_scaling"": false, ""vol_scale_threshold"": 1.5, ""vol_scale_factor"": 0.5, ""algorithm_name"": ""TQQQDailyMeanReversionAlgorithm""}",-0.1405,-0.0197,-0.0998,-0.2148,-0.6274,0.245,NULL,0.001,NULL,28,12,16,0.4286,0.7844,51125.82,65175.04,4260.485,4073.44,11814.75,8347.65,-501.5197,-0.1231,NULL,NULL,D ,0,27,43:29.8,Loss (-14.1%) | Grade:D,OPT_20260207_194040
13047,DAILYMR_20260207_194329_40b804b9,DAILY_MEAN_REVERSION,6/1/2018,1/14/2026,NULL,"{""zscore_lookback"": 30, ""entry_zscore"": 3.0, ""exit_target_zscore"": 0.0, ""stop_loss_pct"": 0.05, ""position_size"": 0.5, ""max_hold_days"": 20, ""min_days_between"": 1, ""trailing_stop_atr"": 0.0, ""atr_period"": 14, ""use_rsi_filter"": false, ""rsi_period"": 14, ""rsi_oversold"": 30, ""rsi_overbought"": 70, ""use_vol_scaling"": false, ""vol_scale_threshold"": 1.5, ""vol_scale_factor"": 0.5, ""algorithm_name"": ""TQQQDailyMeanReversionAlgorithm""}",0.1435,0.0177,0.5264,0,2.3079,0.092,NULL,0.0004,NULL,5,4,1,0.8,3.3079,20564.24,6216.75,5141.06,6216.75,7935.64,6216.75,2869.498,0.4616,NULL,NULL,C+,0,25,43:55.0,Profitable (14.3%) | Grade:C+,OPT_20260207_194040
13048,DAILYMR_20260207_194355_a402e83a,DAILY_MEAN_REVERSION,6/1/2018,1/14/2026,NULL,"{""zscore_lookback"": 30, ""entry_zscore"": 2.0, ""exit_target_zscore"": 0.5, ""stop_loss_pct"": 0.05, ""position_size"": 0.5, ""max_hold_days"": 20, ""min_days_between"": 1, ""trailing_stop_atr"": 0.0, ""atr_period"": 14, ""use_rsi_filter"": false, ""rsi_period"": 14, ""rsi_oversold"": 30, ""rsi_overbought"": 70, ""use_vol_scaling"": false, ""vol_scale_threshold"": 1.5, ""vol_scale_factor"": 0.5, ""algorithm_name"": ""TQQQDailyMeanReversionAlgorithm""}",-0.4134,-0.0675,-0.1556,-0.2336,-0.6679,0.579,NULL,0.0014,NULL,86,33,53,0.3837,0.6766,86500.78,127840.42,2621.2358,2412.0834,5429.5,11620.02,-480.7988,-0.1993,NULL,NULL,D ,0,27,44:22.3,Loss (-41.3%) | Grade:D,OPT_20260207_194040
13049,DAILYMR_20260207_194422_ea2743ae,DAILY_MEAN_REVERSION,6/1/2018,1/14/2026,NULL,"{""zscore_lookback"": 30, ""entry_zscore"": 2.0, ""exit_target_zscore"": -0.5, ""stop_loss_pct"": 0.05, ""position_size"": 0.5, ""max_hold_days"": 20, ""min_days_between"": 1, ""trailing_stop_atr"": 0.0, ""atr_period"": 14, ""use_rsi_filter"": false, ""rsi_period"": 14, ""rsi_oversold"": 30, ""rsi_overbought"": 70, ""use_vol_scaling"": false, ""vol_scale_threshold"": 1.5, ""vol_scale_factor"": 0.5, ""algorithm_name"": ""TQQQDailyMeanReversionAlgorithm""}",-0.4396,-0.0731,-0.1539,-0.2608,-0.7265,0.575,NULL,0.0015,NULL,85,30,55,0.3529,0.679,93000.65,136960.05,3100.0217,2490.1827,7360,11439.61,-517.3996,-0.2078,NULL,NULL,D ,0,27,44:49.4,Loss (-44.0%) | Grade:D,OPT_20260207_194040
13050,DAILYMR_20260207_194449_0f97e7cf,DAILY_MEAN_REVERSION,6/1/2018,1/14/2026,NULL,"{""zscore_lookback"": 30, ""entry_zscore"": 2.0, ""exit_target_zscore"": 0.0, ""stop_loss_pct"": 0.03, ""position_size"": 0.5, ""max_hold_days"": 20, ""min_days_between"": 1, ""trailing_stop_atr"": 0.0, ""atr_period"": 14, ""use_rsi_filter"": false, ""rsi_period"": 14, ""rsi_oversold"": 30, ""rsi_overbought"": 70, ""use_vol_scaling"": false, ""vol_scale_threshold"": 1.5, ""vol_scale_factor"": 0.5, ""algorithm_name"": ""TQQQDailyMeanReversionAlgorithm""}",-0.2107,-0.0305,-0.0636,-0.1128,-0.4584,0.458,NULL,0.0014,NULL,96,33,63,0.3438,0.8447,114625.15,135692.42,3473.4894,2153.8479,8730,10485.82,-219.1693,-0.1018,NULL,NULL,D ,0,25,45:14.7,Loss (-21.1%) | Grade:D,OPT_20260207_194040
