OutcomeId,BacktestId,StrategyId,StartDate,EndDate,TradingDays,ParametersJson,TotalReturn,CAGR,SharpeRatio,SortinoRatio,CalmarRatio,MaxDrawdown,MaxDrawdownDuration,Volatility,VaR_95,TotalTrades,WinningTrades,LosingTrades,WinRate,ProfitFactor,TotalProfit,TotalLoss,AverageWin,AverageLoss,LargestWin,LargestLoss,Expectancy,ExpectancyRatio,PrimaryRegime,RegimeBreakdown,PerformanceGrade,IsSuccessful,ExecutionTimeSeconds,CreatedAt,Notes,OptimizationRunId
13009,TURTLE_20260207_190645_b258f14c,TURTLE_TQQQ,6/1/2018,1/14/2026,NULL,"{""entry_period"": 20, ""exit_period"": 10, ""atr_period"": 20, ""risk_per_trade"": 0.005, ""atr_stop_multiple"": 2.0, ""leverage_factor"": 3.0, ""max_units"": 3, ""pyramid_atr_step"": 0.5, ""max_position_pct"": 0.8, ""max_hold_days"": 0, ""use_qqq_filter"": false, ""algorithm_name"": ""TQQQTurtleAlgorithm""}",0.094,0.0119,0.1002,0.2877,1.1418,0.092,NULL,0.0003,NULL,160,73,87,0.4562,1.329,37972.55,28572.38,520.1719,328.4182,2551.71,918.5,58.7086,0.1788,NULL,NULL,C ,0,41,07:26.6,Profitable (9.4%) | Grade:C,OPT_20260207_190645
13010,TURTLE_20260207_190726_49dd54b8,TURTLE_TQQQ,6/1/2018,1/14/2026,NULL,"{""entry_period"": 20, ""exit_period"": 10, ""atr_period"": 20, ""risk_per_trade"": 0.01, ""atr_stop_multiple"": 2.0, ""leverage_factor"": 3.0, ""max_units"": 3, ""pyramid_atr_step"": 0.5, ""max_position_pct"": 0.8, ""max_hold_days"": 0, ""use_qqq_filter"": false, ""algorithm_name"": ""TQQQTurtleAlgorithm""}",0.1737,0.0212,0.0874,0.2388,0.9695,0.174,NULL,0.0007,NULL,162,73,89,0.4506,1.2776,79951.13,62581.53,1095.221,703.1633,5347.02,1920.5,107.1887,0.1524,NULL,NULL,C ,0,43,08:10.0,Profitable (17.4%) | Grade:C,OPT_20260207_190645
13011,TURTLE_20260207_190810_d5d96a85,TURTLE_TQQQ,6/1/2018,1/14/2026,NULL,"{""entry_period"": 20, ""exit_period"": 10, ""atr_period"": 20, ""risk_per_trade"": 0.005, ""atr_stop_multiple"": 1.5, ""leverage_factor"": 3.0, ""max_units"": 3, ""pyramid_atr_step"": 0.5, ""max_position_pct"": 0.8, ""max_hold_days"": 0, ""use_qqq_filter"": false, ""algorithm_name"": ""TQQQTurtleAlgorithm""}",-0.0072,-0.0009,-0.009,-0.0216,-0.0825,0.106,NULL,0.0003,NULL,179,72,107,0.4022,0.9739,26926.66,27647.99,373.9814,258.3924,2356.83,835,-4.0517,-0.0157,NULL,NULL,D ,0,37,08:47.5,Loss (-0.7%) | Grade:D,OPT_20260207_190645
13012,TURTLE_20260207_190847_2dda1abb,TURTLE_TQQQ,6/1/2018,1/14/2026,NULL,"{""entry_period"": 20, ""exit_period"": 10, ""atr_period"": 20, ""risk_per_trade"": 0.005, ""atr_stop_multiple"": 2.5, ""leverage_factor"": 3.0, ""max_units"": 3, ""pyramid_atr_step"": 0.5, ""max_position_pct"": 0.8, ""max_hold_days"": 0, ""use_qqq_filter"": false, ""algorithm_name"": ""TQQQTurtleAlgorithm""}",0.137,0.017,0.1447,0.4087,2.1468,0.076,NULL,0.0004,NULL,153,74,79,0.4837,1.4861,41891.9,28188.86,566.1068,356.821,2582.16,918.5,89.5992,0.2511,NULL,NULL,C ,0,31,09:18.7,Profitable (13.7%) | Grade:C,OPT_20260207_190645
13013,TURTLE_20260207_190918_c4305cf9,TURTLE_TQQQ,6/1/2018,1/14/2026,NULL,"{""entry_period"": 20, ""exit_period"": 10, ""atr_period"": 20, ""risk_per_trade"": 0.005, ""atr_stop_multiple"": 2.0, ""leverage_factor"": 3.0, ""max_units"": 2, ""pyramid_atr_step"": 0.5, ""max_position_pct"": 0.8, ""max_hold_days"": 0, ""use_qqq_filter"": false, ""algorithm_name"": ""TQQQTurtleAlgorithm""}",0.0721,0.0092,0.1006,0.2719,1.4627,0.057,NULL,0.0003,NULL,130,64,66,0.4923,1.3167,29996.68,22781.84,468.6981,345.1794,2431.44,918.5,55.4925,0.1608,NULL,NULL,C ,0,37,09:55.9,Profitable (7.2%) | Grade:C,OPT_20260207_190645
13014,TURTLE_20260207_190955_32a6dc00,TURTLE_TQQQ,6/1/2018,1/14/2026,NULL,"{""entry_period"": 20, ""exit_period"": 10, ""atr_period"": 20, ""risk_per_trade"": 0.005, ""atr_stop_multiple"": 2.0, ""leverage_factor"": 3.0, ""max_units"": 4, ""pyramid_atr_step"": 0.5, ""max_position_pct"": 0.8, ""max_hold_days"": 0, ""use_qqq_filter"": false, ""algorithm_name"": ""TQQQTurtleAlgorithm""}",0.0927,0.0117,0.0842,0.2464,0.782,0.124,NULL,0.0004,NULL,187,84,103,0.4492,1.2823,42096.84,32828.57,501.1529,318.724,2661.33,918.5,49.5647,0.1555,NULL,NULL,C ,0,35,10:31.1,Profitable (9.3%) | Grade:C,OPT_20260207_190645
13015,TURTLE_20260207_191031_175a3961,TURTLE_TQQQ,6/1/2018,1/14/2026,NULL,"{""entry_period"": 10, ""exit_period"": 5, ""atr_period"": 20, ""risk_per_trade"": 0.005, ""atr_stop_multiple"": 2.0, ""leverage_factor"": 3.0, ""max_units"": 3, ""pyramid_atr_step"": 0.5, ""max_position_pct"": 0.8, ""max_hold_days"": 0, ""use_qqq_filter"": false, ""algorithm_name"": ""TQQQTurtleAlgorithm""}",0.1423,0.0176,0.1241,0.3214,2.6066,0.063,NULL,0.0003,NULL,238,128,110,0.5378,1.4298,47338.87,33108.11,369.8349,300.9828,2900.16,944,59.783,0.1986,NULL,NULL,C ,0,37,11:08.4,Profitable (14.2%) | Grade:C,OPT_20260207_190645
13016,TURTLE_20260207_191108_a29e9518,TURTLE_TQQQ,6/1/2018,1/14/2026,NULL,"{""entry_period"": 10, ""exit_period"": 5, ""atr_period"": 20, ""risk_per_trade"": 0.01, ""atr_stop_multiple"": 2.0, ""leverage_factor"": 3.0, ""max_units"": 3, ""pyramid_atr_step"": 0.5, ""max_position_pct"": 0.8, ""max_hold_days"": 0, ""use_qqq_filter"": false, ""algorithm_name"": ""TQQQTurtleAlgorithm""}",0.2919,0.0341,0.116,0.285,2.3278,0.125,NULL,0.0006,NULL,240,128,112,0.5333,1.3923,103616.5,74423.06,809.5039,664.4916,6231.24,2183,121.5902,0.183,NULL,NULL,C ,0,33,11:41.6,Profitable (29.2%) | Grade:C,OPT_20260207_190645
13017,TURTLE_20260207_191141_b40458ed,TURTLE_TQQQ,6/1/2018,1/14/2026,NULL,"{""entry_period"": 40, ""exit_period"": 20, ""atr_period"": 20, ""risk_per_trade"": 0.005, ""atr_stop_multiple"": 2.0, ""leverage_factor"": 3.0, ""max_units"": 3, ""pyramid_atr_step"": 0.5, ""max_position_pct"": 0.8, ""max_hold_days"": 0, ""use_qqq_filter"": false, ""algorithm_name"": ""TQQQTurtleAlgorithm""}",0.1536,0.0189,0.2648,0.6865,3.6936,0.103,NULL,0.0004,NULL,82,43,39,0.5244,2.1335,30847.54,14458.82,717.3847,370.739,2277.92,1134,199.8731,0.5391,NULL,NULL,C ,0,35,12:16.8,Profitable (15.4%) | Grade:C,OPT_20260207_190645
13018,TURTLE_20260207_191216_09d5cda2,TURTLE_TQQQ,6/1/2018,1/14/2026,NULL,"{""entry_period"": 40, ""exit_period"": 20, ""atr_period"": 20, ""risk_per_trade"": 0.01, ""atr_stop_multiple"": 2.0, ""leverage_factor"": 3.0, ""max_units"": 3, ""pyramid_atr_step"": 0.5, ""max_position_pct"": 0.8, ""max_hold_days"": 0, ""use_qqq_filter"": false, ""algorithm_name"": ""TQQQTurtleAlgorithm""}",0.3081,0.0358,0.249,0.597,3.3589,0.189,NULL,0.0008,NULL,82,43,39,0.5244,2.0136,65876.21,32715.47,1532.0049,838.8582,4722.97,2520,404.4224,0.4821,NULL,NULL,C ,0,35,12:52.0,Profitable (30.8%) | Grade:C,OPT_20260207_190645
