TradeId,Symbol,Direction,EntryTime,EntryPrice,ExitPrice,EntryQuantity,ExitTime,ExitQuantity,ExitReason,GrossPnL,Commission,NetPnL,PnLPercent,NumEntries,MaxQuantity,HighestPrice,LowestPrice,MAE,MFE,DurationMinutes,SessionId,AlgorithmVersion,CreatedAt
916800,TQQQ,BUY,50:00.0,6.2813,6.3137,00:00.0,50:00.0,14328,regime_change_flat,465.66,0,465.66,0.5174,1,NULL,NULL,NULL,NULL,NULL,4320,POSTREND_20260207_184652_2d0df58a,NULL,47:06.7
916801,TQQQ,BUY,50:00.0,6.5187,6.4437,00:00.0,50:00.0,13870,regime_change_flat,-1040.25,0,-1040.25,-1.1505,1,NULL,NULL,NULL,NULL,NULL,20160,POSTREND_20260207_184652_2d0df58a,NULL,47:06.8
916802,TQQQ,BUY,50:00.0,6.6463,6.8688,00:00.0,50:00.0,13463,regime_change_flat,2995.5175,0,2995.5175,3.3478,1,NULL,NULL,NULL,NULL,NULL,89280,POSTREND_20260207_184652_2d0df58a,NULL,47:07.6
916803,TQQQ,BUY,50:00.0,7.51,7.1813,00:00.0,50:00.0,12274,regime_change_flat,-4035.0775,0,-4035.0775,-4.3775,1,NULL,NULL,NULL,NULL,NULL,5760,POSTREND_20260207_184652_2d0df58a,NULL,47:07.7
916804,TQQQ,BUY,50:00.0,7.305,7.1738,00:00.0,50:00.0,12121,regime_change_flat,-1590.8812,0,-1590.8812,-1.7967,1,NULL,NULL,NULL,NULL,NULL,1440,POSTREND_20260207_184652_2d0df58a,NULL,47:07.9
916805,TQQQ,BUY,50:00.0,7.7038,7.0313,00:00.0,50:00.0,11308,regime_change_flat,-7604.63,0,-7604.63,-8.7295,1,NULL,NULL,NULL,NULL,NULL,70560,POSTREND_20260207_184652_2d0df58a,NULL,47:08.5
916806,TQQQ,BUY,50:00.0,7.4562,7.4488,00:00.0,50:00.0,10765,regime_change_flat,-80.7375,0,-80.7375,-0.1006,1,NULL,NULL,NULL,NULL,NULL,4320,POSTREND_20260207_184652_2d0df58a,NULL,47:08.6
916807,TQQQ,BUY,50:00.0,7.1638,7.025,00:00.0,50:00.0,11195,regime_change_flat,-1553.3062,0,-1553.3062,-1.9368,1,NULL,NULL,NULL,NULL,NULL,1440,POSTREND_20260207_184652_2d0df58a,NULL,47:08.6
916808,TQQQ,BUY,50:00.0,7.5938,7.1688,00:00.0,50:00.0,10377,regime_change_flat,-4410.225,0,-4410.225,-5.5967,1,NULL,NULL,NULL,NULL,NULL,1440,POSTREND_20260207_184652_2d0df58a,NULL,47:08.7
916809,TQQQ,BUY,50:00.0,8.0762,7.6463,00:00.0,50:00.0,9265,regime_change_flat,-3983.95,0,-3983.95,-5.3243,1,NULL,NULL,NULL,NULL,NULL,28800,POSTREND_20260207_184652_2d0df58a,NULL,47:09.0
