OutcomeId,BacktestId,StrategyId,StartDate,EndDate,TradingDays,ParametersJson,TotalReturn,CAGR,SharpeRatio,SortinoRatio,CalmarRatio,MaxDrawdown,MaxDrawdownDuration,Volatility,VaR_95,TotalTrades,WinningTrades,LosingTrades,WinRate,ProfitFactor,TotalProfit,TotalLoss,AverageWin,AverageLoss,LargestWin,LargestLoss,Expectancy,ExpectancyRatio,PrimaryRegime,RegimeBreakdown,PerformanceGrade,IsSuccessful,ExecutionTimeSeconds,CreatedAt,Notes,OptimizationRunId
13137,POSTREND_20260208_022550_148aca40,POSITION_TREND,6/1/2018,1/14/2026,NULL,"{""sma_fast"": 50, ""sma_slow"": 200, ""bull_allocation"": 0.9, ""bear_allocation"": 0.0, ""use_cash_zone"": true, ""mixed_allocation"": 0.3, ""mixed_instrument"": ""tqqq"", ""rebalance_threshold"": 0.05, ""max_drawdown_exit"": 0.0, ""confirmation_days"": 1, ""bear_confirmation_days"": 5, ""bear_sma_margin"": 0.02, ""bear_momentum_lookback"": 10, ""dynamic_allocation"": false, ""bull_alloc_min"": 0.3, ""bull_alloc_max"": 1.0, ""alloc_scale_max_pct"": 0.1, ""algorithm_name"": ""TQQQPositionTrendAlgorithm""}",8.0157,0.3341,0.3509,1.3833,12.8358,0.388,NULL,0.003,NULL,51,26,25,0.5098,3.7172,1128341.87,303546.52,43397.7642,12141.8608,160670.25,37694.98,16172.24,1.3319,NULL,NULL,C ,0,39,26:30.1,Profitable (801.6%) | Grade:C,OPT_20260208_022550
13138,POSTREND_20260208_022630_33ec3d2a,POSITION_TREND,6/1/2018,1/14/2026,NULL,"{""sma_fast"": 50, ""sma_slow"": 300, ""bull_allocation"": 0.9, ""bear_allocation"": 0.0, ""use_cash_zone"": true, ""mixed_allocation"": 0.3, ""mixed_instrument"": ""tqqq"", ""rebalance_threshold"": 0.05, ""max_drawdown_exit"": 0.0, ""confirmation_days"": 1, ""bear_confirmation_days"": 5, ""bear_sma_margin"": 0.02, ""bear_momentum_lookback"": 10, ""dynamic_allocation"": false, ""bull_alloc_min"": 0.3, ""bull_alloc_max"": 1.0, ""alloc_scale_max_pct"": 0.1, ""algorithm_name"": ""TQQQPositionTrendAlgorithm""}",6.921,0.3116,0.341,1.5279,12.1943,0.344,NULL,0.0029,NULL,44,22,22,0.5,3.6098,985502.26,273004.96,44795.5573,12409.3164,214410.13,31228.2,16193.1205,1.3049,NULL,NULL,C ,0,31,27:01.3,Profitable (692.1%) | Grade:C,OPT_20260208_022550
13139,POSTREND_20260208_022701_461d2f75,POSITION_TREND,6/1/2018,1/14/2026,NULL,"{""sma_fast"": 50, ""sma_slow"": 200, ""bull_allocation"": 0.9, ""bear_allocation"": 0.0, ""use_cash_zone"": true, ""mixed_allocation"": 0.3, ""mixed_instrument"": ""tqqq"", ""rebalance_threshold"": 0.05, ""max_drawdown_exit"": 0.0, ""confirmation_days"": 1, ""bear_confirmation_days"": 5, ""bear_sma_margin"": 0.02, ""bear_momentum_lookback"": 10, ""dynamic_allocation"": true, ""bull_alloc_min"": 0.2, ""bull_alloc_max"": 1.0, ""alloc_scale_max_pct"": 0.05, ""algorithm_name"": ""TQQQPositionTrendAlgorithm""}",6.8729,0.3106,0.2618,0.6681,7.4637,0.441,NULL,0.0032,NULL,105,51,54,0.4857,2.9675,1070683.36,360800.57,20993.7914,6681.492,137464.6,38666.94,6760.3931,1.0118,NULL,NULL,C ,0,35,27:36.4,Profitable (687.3%) | Grade:C,OPT_20260208_022550
13140,POSTREND_20260208_022736_e401ee11,POSITION_TREND,6/1/2018,1/14/2026,NULL,"{""sma_fast"": 50, ""sma_slow"": 200, ""bull_allocation"": 0.9, ""bear_allocation"": 0.0, ""use_cash_zone"": true, ""mixed_allocation"": 0.3, ""mixed_instrument"": ""tqqq"", ""rebalance_threshold"": 0.05, ""max_drawdown_exit"": 0.0, ""confirmation_days"": 1, ""bear_confirmation_days"": 5, ""bear_sma_margin"": 0.02, ""bear_momentum_lookback"": 10, ""dynamic_allocation"": true, ""bull_alloc_min"": 0.3, ""bull_alloc_max"": 1.0, ""alloc_scale_max_pct"": 0.05, ""algorithm_name"": ""TQQQPositionTrendAlgorithm""}",7.1907,0.3174,0.2631,0.6724,8.0935,0.433,NULL,0.0032,NULL,108,52,56,0.4815,3.037,1107122.44,364549.65,21290.8162,6509.8152,141722.5,39867.28,6876.1888,1.0563,NULL,NULL,C ,0,33,28:09.6,Profitable (719.1%) | Grade:C,OPT_20260208_022550
13141,POSTREND_20260208_022809_3593e78a,POSITION_TREND,6/1/2018,1/14/2026,NULL,"{""sma_fast"": 50, ""sma_slow"": 200, ""bull_allocation"": 0.9, ""bear_allocation"": 0.0, ""use_cash_zone"": true, ""mixed_allocation"": 0.3, ""mixed_instrument"": ""tqqq"", ""rebalance_threshold"": 0.05, ""max_drawdown_exit"": 0.0, ""confirmation_days"": 1, ""bear_confirmation_days"": 5, ""bear_sma_margin"": 0.02, ""bear_momentum_lookback"": 10, ""dynamic_allocation"": true, ""bull_alloc_min"": 0.4, ""bull_alloc_max"": 1.0, ""alloc_scale_max_pct"": 0.05, ""algorithm_name"": ""TQQQPositionTrendAlgorithm""}",7.5336,0.3245,0.2684,0.6916,8.951,0.425,NULL,0.0032,NULL,107,52,55,0.486,3.1288,1143250.68,365398.69,21985.59,6643.6125,146121.5,41101.03,7270.1799,1.0943,NULL,NULL,C ,0,29,28:38.9,Profitable (753.4%) | Grade:C,OPT_20260208_022550
13142,POSTREND_20260208_022838_95d7d5d5,POSITION_TREND,6/1/2018,1/14/2026,NULL,"{""sma_fast"": 50, ""sma_slow"": 200, ""bull_allocation"": 0.9, ""bear_allocation"": 0.0, ""use_cash_zone"": true, ""mixed_allocation"": 0.3, ""mixed_instrument"": ""tqqq"", ""rebalance_threshold"": 0.05, ""max_drawdown_exit"": 0.0, ""confirmation_days"": 1, ""bear_confirmation_days"": 5, ""bear_sma_margin"": 0.02, ""bear_momentum_lookback"": 10, ""dynamic_allocation"": true, ""bull_alloc_min"": 0.5, ""bull_alloc_max"": 1.0, ""alloc_scale_max_pct"": 0.05, ""algorithm_name"": ""TQQQPositionTrendAlgorithm""}",7.8381,0.3306,0.2755,0.723,9.7275,0.419,NULL,0.0032,NULL,102,51,51,0.5,3.2008,1176851.11,367674.04,23075.512,7209.2949,150022.5,42201.1,7933.1085,1.1004,NULL,NULL,C ,0,35,29:14.1,Profitable (783.8%) | Grade:C,OPT_20260208_022550
13143,POSTREND_20260208_022914_d92546f2,POSITION_TREND,6/1/2018,1/14/2026,NULL,"{""sma_fast"": 50, ""sma_slow"": 200, ""bull_allocation"": 0.9, ""bear_allocation"": 0.0, ""use_cash_zone"": true, ""mixed_allocation"": 0.3, ""mixed_instrument"": ""tqqq"", ""rebalance_threshold"": 0.05, ""max_drawdown_exit"": 0.0, ""confirmation_days"": 1, ""bear_confirmation_days"": 5, ""bear_sma_margin"": 0.02, ""bear_momentum_lookback"": 10, ""dynamic_allocation"": true, ""bull_alloc_min"": 0.2, ""bull_alloc_max"": 1.0, ""alloc_scale_max_pct"": 0.1, ""algorithm_name"": ""TQQQPositionTrendAlgorithm""}",5.3502,0.2742,0.1905,0.3523,8.1265,0.374,NULL,0.003,NULL,240,145,95,0.6042,2.5664,906445.15,353196.93,6251.3459,3717.8624,103716.8,27833.25,2305.5333,0.6201,NULL,NULL,C ,0,31,29:45.3,Profitable (535.0%) | Grade:C,OPT_20260208_022550
13144,POSTREND_20260208_022945_8ab76557,POSITION_TREND,6/1/2018,1/14/2026,NULL,"{""sma_fast"": 50, ""sma_slow"": 200, ""bull_allocation"": 0.9, ""bear_allocation"": 0.0, ""use_cash_zone"": true, ""mixed_allocation"": 0.3, ""mixed_instrument"": ""tqqq"", ""rebalance_threshold"": 0.05, ""max_drawdown_exit"": 0.0, ""confirmation_days"": 1, ""bear_confirmation_days"": 5, ""bear_sma_margin"": 0.02, ""bear_momentum_lookback"": 10, ""dynamic_allocation"": true, ""bull_alloc_min"": 0.3, ""bull_alloc_max"": 1.0, ""alloc_scale_max_pct"": 0.1, ""algorithm_name"": ""TQQQPositionTrendAlgorithm""}",5.9852,0.2902,0.2021,0.3661,9.8721,0.372,NULL,0.0031,NULL,231,146,85,0.632,2.7149,979283.53,360712.66,6707.4214,4243.6784,113170.5,30862.16,2677.4167,0.6309,NULL,NULL,C ,0,35,30:20.7,Profitable (598.5%) | Grade:C,OPT_20260208_022550
13145,POSTREND_20260208_023020_7d0968ac,POSITION_TREND,6/1/2018,1/14/2026,NULL,"{""sma_fast"": 50, ""sma_slow"": 200, ""bull_allocation"": 0.9, ""bear_allocation"": 0.0, ""use_cash_zone"": true, ""mixed_allocation"": 0.3, ""mixed_instrument"": ""tqqq"", ""rebalance_threshold"": 0.05, ""max_drawdown_exit"": 0.0, ""confirmation_days"": 1, ""bear_confirmation_days"": 5, ""bear_sma_margin"": 0.02, ""bear_momentum_lookback"": 10, ""dynamic_allocation"": true, ""bull_alloc_min"": 0.4, ""bull_alloc_max"": 1.0, ""alloc_scale_max_pct"": 0.1, ""algorithm_name"": ""TQQQPositionTrendAlgorithm""}",6.4399,0.3009,0.2149,0.3989,11.1684,0.382,NULL,0.0031,NULL,210,132,78,0.6286,2.8473,1025521.45,360174.08,7769.1019,4617.6164,120159.1,33275.18,3168.6747,0.6862,NULL,NULL,C ,0,35,30:55.9,Profitable (644.0%) | Grade:C,OPT_20260208_022550
13146,POSTREND_20260208_023055_a71dfcf4,POSITION_TREND,6/1/2018,1/14/2026,NULL,"{""sma_fast"": 50, ""sma_slow"": 200, ""bull_allocation"": 0.9, ""bear_allocation"": 0.0, ""use_cash_zone"": true, ""mixed_allocation"": 0.3, ""mixed_instrument"": ""tqqq"", ""rebalance_threshold"": 0.05, ""max_drawdown_exit"": 0.0, ""confirmation_days"": 1, ""bear_confirmation_days"": 5, ""bear_sma_margin"": 0.02, ""bear_momentum_lookback"": 10, ""dynamic_allocation"": true, ""bull_alloc_min"": 0.5, ""bull_alloc_max"": 1.0, ""alloc_scale_max_pct"": 0.1, ""algorithm_name"": ""TQQQPositionTrendAlgorithm""}",7.1241,0.316,0.2308,0.4491,12.1946,0.381,NULL,0.0031,NULL,178,114,64,0.6404,2.9975,1104053.62,368325.98,9684.6809,5755.0934,132136,36433.37,4132.5381,0.7181,NULL,NULL,C ,0,31,31:27.1,Profitable (712.4%) | Grade:C,OPT_20260208_022550
13147,POSTREND_20260208_023127_3d7e4a54,POSITION_TREND,6/1/2018,1/14/2026,NULL,"{""sma_fast"": 50, ""sma_slow"": 200, ""bull_allocation"": 0.9, ""bear_allocation"": 0.0, ""use_cash_zone"": true, ""mixed_allocation"": 0.3, ""mixed_instrument"": ""tqqq"", ""rebalance_threshold"": 0.05, ""max_drawdown_exit"": 0.0, ""confirmation_days"": 1, ""bear_confirmation_days"": 5, ""bear_sma_margin"": 0.02, ""bear_momentum_lookback"": 10, ""dynamic_allocation"": true, ""bull_alloc_min"": 0.2, ""bull_alloc_max"": 1.0, ""alloc_scale_max_pct"": 0.15, ""algorithm_name"": ""TQQQPositionTrendAlgorithm""}",3.698,0.2248,0.2166,0.2936,7.7671,0.368,NULL,0.0027,NULL,311,195,116,0.627,2.1746,703984.41,323723.98,3610.1765,2790.724,42290.1,22938.91,1222.6406,0.4381,NULL,NULL,C ,0,29,31:56.3,Profitable (369.8%) | Grade:C,OPT_20260208_022550
13148,POSTREND_20260208_023156_8464826f,POSITION_TREND,6/1/2018,1/14/2026,NULL,"{""sma_fast"": 50, ""sma_slow"": 200, ""bull_allocation"": 0.9, ""bear_allocation"": 0.0, ""use_cash_zone"": true, ""mixed_allocation"": 0.3, ""mixed_instrument"": ""tqqq"", ""rebalance_threshold"": 0.05, ""max_drawdown_exit"": 0.0, ""confirmation_days"": 1, ""bear_confirmation_days"": 5, ""bear_sma_margin"": 0.02, ""bear_momentum_lookback"": 10, ""dynamic_allocation"": true, ""bull_alloc_min"": 0.3, ""bull_alloc_max"": 1.0, ""alloc_scale_max_pct"": 0.15, ""algorithm_name"": ""TQQQPositionTrendAlgorithm""}",4.4979,0.2503,0.2469,0.345,8.2022,0.372,NULL,0.0028,NULL,278,172,106,0.6187,2.3605,802395.94,339924.48,4665.0927,3206.8347,44215.06,23983,1663.5268,0.5187,NULL,NULL,C ,0,35,32:31.5,Profitable (449.8%) | Grade:C,OPT_20260208_022550
13149,POSTREND_20260208_023231_db49e420,POSITION_TREND,6/1/2018,1/14/2026,NULL,"{""sma_fast"": 50, ""sma_slow"": 200, ""bull_allocation"": 0.9, ""bear_allocation"": 0.0, ""use_cash_zone"": true, ""mixed_allocation"": 0.3, ""mixed_instrument"": ""tqqq"", ""rebalance_threshold"": 0.05, ""max_drawdown_exit"": 0.0, ""confirmation_days"": 1, ""bear_confirmation_days"": 5, ""bear_sma_margin"": 0.02, ""bear_momentum_lookback"": 10, ""dynamic_allocation"": true, ""bull_alloc_min"": 0.4, ""bull_alloc_max"": 1.0, ""alloc_scale_max_pct"": 0.15, ""algorithm_name"": ""TQQQPositionTrendAlgorithm""}",5.0451,0.266,0.2577,0.3705,7.6959,0.368,NULL,0.0028,NULL,245,156,89,0.6367,2.4686,872300.15,353358.47,5591.6676,3970.3199,47906.56,24257.98,2117.7975,0.5334,NULL,NULL,C ,0,29,33:00.9,Profitable (504.5%) | Grade:C,OPT_20260208_022550
