OutcomeId,BacktestId,StrategyId,StartDate,EndDate,TradingDays,ParametersJson,TotalReturn,CAGR,SharpeRatio,SortinoRatio,CalmarRatio,MaxDrawdown,MaxDrawdownDuration,Volatility,VaR_95,TotalTrades,WinningTrades,LosingTrades,WinRate,ProfitFactor,TotalProfit,TotalLoss,AverageWin,AverageLoss,LargestWin,LargestLoss,Expectancy,ExpectancyRatio,PrimaryRegime,RegimeBreakdown,PerformanceGrade,IsSuccessful,ExecutionTimeSeconds,CreatedAt,Notes,OptimizationRunId
13073,POSTREND_20260207_212908_d6f0a086,POSITION_TREND,6/1/2018,1/14/2026,NULL,"{""sma_fast"": 50, ""sma_slow"": 200, ""bull_allocation"": 0.9, ""bear_allocation"": 0.0, ""use_cash_zone"": true, ""mixed_allocation"": 0.3, ""mixed_instrument"": ""tqqq"", ""rebalance_threshold"": 0.05, ""max_drawdown_exit"": 0.0, ""confirmation_days"": 1, ""bear_confirmation_days"": 5, ""bear_sma_margin"": 0.02, ""bear_momentum_lookback"": 10, ""algorithm_name"": ""TQQQPositionTrendAlgorithm""}",8.0157,0.3341,0.3509,1.3833,12.8358,0.388,NULL,0.003,NULL,51,26,25,0.5098,3.7172,1128341.87,303546.52,43397.7642,12141.8608,160670.25,37694.98,16172.24,1.3319,NULL,NULL,C ,0,35,29:44.0,Profitable (801.6%) | Grade:C,OPT_20260207_212908
13074,POSTREND_20260207_212944_a2ec2c64,POSITION_TREND,6/1/2018,1/14/2026,NULL,"{""sma_fast"": 50, ""sma_slow"": 200, ""bull_allocation"": 0.9, ""bear_allocation"": 0.3, ""use_cash_zone"": true, ""mixed_allocation"": 0.3, ""mixed_instrument"": ""tqqq"", ""rebalance_threshold"": 0.05, ""max_drawdown_exit"": 0.0, ""confirmation_days"": 1, ""bear_confirmation_days"": 3, ""bear_sma_margin"": 0.02, ""bear_momentum_lookback"": 10, ""algorithm_name"": ""TQQQPositionTrendAlgorithm""}",7.2955,0.3196,0.2938,1.1224,10.5024,0.388,NULL,0.0031,NULL,68,35,33,0.5147,3.0583,1115740.22,364824.7,31878.292,11055.2939,147839.25,34132.96,11042.6228,0.9989,NULL,NULL,C ,0,35,30:19.2,Profitable (729.5%) | Grade:C,OPT_20260207_212908
13075,POSTREND_20260207_213019_303f5e98,POSITION_TREND,6/1/2018,1/14/2026,NULL,"{""sma_fast"": 50, ""sma_slow"": 200, ""bull_allocation"": 0.9, ""bear_allocation"": 0.3, ""use_cash_zone"": true, ""mixed_allocation"": 0.3, ""mixed_instrument"": ""tqqq"", ""rebalance_threshold"": 0.05, ""max_drawdown_exit"": 0.0, ""confirmation_days"": 1, ""bear_confirmation_days"": 5, ""bear_sma_margin"": 0.02, ""bear_momentum_lookback"": 10, ""algorithm_name"": ""TQQQPositionTrendAlgorithm""}",7.1007,0.3155,0.2847,1.1052,10.9495,0.388,NULL,0.0031,NULL,67,33,34,0.4925,2.9705,1101869.24,370933.66,33389.977,10909.8135,146940.26,35505.96,10907.8333,0.9998,NULL,NULL,C ,0,39,30:58.5,Profitable (710.1%) | Grade:C,OPT_20260207_212908
13076,POSTREND_20260207_213058_9e67efd8,POSITION_TREND,6/1/2018,1/14/2026,NULL,"{""sma_fast"": 50, ""sma_slow"": 200, ""bull_allocation"": 0.9, ""bear_allocation"": 0.3, ""use_cash_zone"": true, ""mixed_allocation"": 0.3, ""mixed_instrument"": ""tqqq"", ""rebalance_threshold"": 0.05, ""max_drawdown_exit"": 0.0, ""confirmation_days"": 1, ""bear_confirmation_days"": 7, ""bear_sma_margin"": 0.02, ""bear_momentum_lookback"": 10, ""algorithm_name"": ""TQQQPositionTrendAlgorithm""}",8.0866,0.3354,0.3064,1.2269,11.7363,0.388,NULL,0.0031,NULL,64,32,32,0.5,3.3779,1181978.74,349919.5,36936.8356,10934.9844,164648.36,39786.51,13000.9256,1.1889,NULL,NULL,C ,0,37,31:35.9,Profitable (808.7%) | Grade:C,OPT_20260207_212908
13077,POSTREND_20260207_213135_bbc87579,POSITION_TREND,6/1/2018,1/14/2026,NULL,"{""sma_fast"": 50, ""sma_slow"": 200, ""bull_allocation"": 0.9, ""bear_allocation"": 0.3, ""use_cash_zone"": true, ""mixed_allocation"": 0.3, ""mixed_instrument"": ""tqqq"", ""rebalance_threshold"": 0.05, ""max_drawdown_exit"": 0.0, ""confirmation_days"": 1, ""bear_confirmation_days"": 5, ""bear_sma_margin"": 0.0, ""bear_momentum_lookback"": 10, ""algorithm_name"": ""TQQQPositionTrendAlgorithm""}",6.7431,0.3077,0.2759,1.0591,9.6312,0.388,NULL,0.0031,NULL,68,33,35,0.4853,2.8336,1072881.71,378626.82,32511.567,10817.9091,142526.42,34439.31,10209.8857,0.9438,NULL,NULL,C ,0,31,32:07.1,Profitable (674.3%) | Grade:C,OPT_20260207_212908
13078,POSTREND_20260207_213207_fa43ee59,POSITION_TREND,6/1/2018,1/14/2026,NULL,"{""sma_fast"": 50, ""sma_slow"": 200, ""bull_allocation"": 0.9, ""bear_allocation"": 0.3, ""use_cash_zone"": true, ""mixed_allocation"": 0.3, ""mixed_instrument"": ""tqqq"", ""rebalance_threshold"": 0.05, ""max_drawdown_exit"": 0.0, ""confirmation_days"": 1, ""bear_confirmation_days"": 5, ""bear_sma_margin"": 0.03, ""bear_momentum_lookback"": 10, ""algorithm_name"": ""TQQQPositionTrendAlgorithm""}",7.5226,0.3243,0.3,1.1602,12.3015,0.388,NULL,0.0031,NULL,66,33,33,0.5,3.2425,1119446.48,345239.61,33922.6206,10461.8064,151885.5,35634.08,11730.4071,1.1213,NULL,NULL,C ,0,27,32:34.3,Profitable (752.3%) | Grade:C,OPT_20260207_212908
13079,POSTREND_20260207_213234_49cb5f6d,POSITION_TREND,6/1/2018,1/14/2026,NULL,"{""sma_fast"": 50, ""sma_slow"": 200, ""bull_allocation"": 0.9, ""bear_allocation"": 0.3, ""use_cash_zone"": true, ""mixed_allocation"": 0.3, ""mixed_instrument"": ""tqqq"", ""rebalance_threshold"": 0.05, ""max_drawdown_exit"": 0.0, ""confirmation_days"": 1, ""bear_confirmation_days"": 5, ""bear_sma_margin"": 0.05, ""bear_momentum_lookback"": 10, ""algorithm_name"": ""TQQQPositionTrendAlgorithm""}",7.127,0.316,0.2887,1.0683,11.1306,0.388,NULL,0.0031,NULL,65,33,32,0.5077,2.9895,1102380.13,368744.51,33405.4585,11523.2659,147766.76,35706.48,11287.0475,0.9795,NULL,NULL,C ,0,31,33:05.5,Profitable (712.7%) | Grade:C,OPT_20260207_212908
13080,POSTREND_20260207_213305_ccfea04e,POSITION_TREND,6/1/2018,1/14/2026,NULL,"{""sma_fast"": 50, ""sma_slow"": 200, ""bull_allocation"": 0.9, ""bear_allocation"": 0.3, ""use_cash_zone"": true, ""mixed_allocation"": 0.3, ""mixed_instrument"": ""tqqq"", ""rebalance_threshold"": 0.05, ""max_drawdown_exit"": 0.0, ""confirmation_days"": 1, ""bear_confirmation_days"": 5, ""bear_sma_margin"": 0.02, ""bear_momentum_lookback"": 5, ""algorithm_name"": ""TQQQPositionTrendAlgorithm""}",7.1688,0.3169,0.29,1.0844,8.9658,0.411,NULL,0.0031,NULL,69,33,36,0.4783,3.2352,1068069.65,330144.98,32365.747,9170.6939,145577.25,33676.22,10696.1858,1.1663,NULL,NULL,C ,0,31,33:36.8,Profitable (716.9%) | Grade:C,OPT_20260207_212908
13081,POSTREND_20260207_213336_39aefd9a,POSITION_TREND,6/1/2018,1/14/2026,NULL,"{""sma_fast"": 50, ""sma_slow"": 200, ""bull_allocation"": 0.9, ""bear_allocation"": 0.3, ""use_cash_zone"": true, ""mixed_allocation"": 0.3, ""mixed_instrument"": ""tqqq"", ""rebalance_threshold"": 0.05, ""max_drawdown_exit"": 0.0, ""confirmation_days"": 1, ""bear_confirmation_days"": 5, ""bear_sma_margin"": 0.02, ""bear_momentum_lookback"": 20, ""algorithm_name"": ""TQQQPositionTrendAlgorithm""}",5.7523,0.2844,0.2604,0.9,7.512,0.405,NULL,0.0031,NULL,67,31,36,0.4627,2.6999,941243.45,348621.63,30362.6919,9683.9342,129539.9,33840.9,8845.6397,0.9134,NULL,NULL,C ,0,39,34:16.0,Profitable (575.2%) | Grade:C,OPT_20260207_212908
13082,POSTREND_20260207_213416_5f96d43f,POSITION_TREND,6/1/2018,1/14/2026,NULL,"{""sma_fast"": 50, ""sma_slow"": 200, ""bull_allocation"": 0.9, ""bear_allocation"": 0.5, ""use_cash_zone"": true, ""mixed_allocation"": 0.3, ""mixed_instrument"": ""tqqq"", ""rebalance_threshold"": 0.05, ""max_drawdown_exit"": 0.0, ""confirmation_days"": 1, ""bear_confirmation_days"": 3, ""bear_sma_margin"": 0.02, ""bear_momentum_lookback"": 10, ""algorithm_name"": ""TQQQPositionTrendAlgorithm""}",6.6017,0.3046,0.2812,0.9789,8.6573,0.412,NULL,0.0033,NULL,68,36,32,0.5294,2.7072,1077904.94,398157.59,29941.8039,12442.4247,135476.25,32427.15,9995.7859,0.8034,NULL,NULL,C ,0,29,34:45.4,Profitable (660.2%) | Grade:C,OPT_20260207_212908
