OutcomeId,BacktestId,StrategyId,StartDate,EndDate,TradingDays,ParametersJson,TotalReturn,CAGR,SharpeRatio,SortinoRatio,CalmarRatio,MaxDrawdown,MaxDrawdownDuration,Volatility,VaR_95,TotalTrades,WinningTrades,LosingTrades,WinRate,ProfitFactor,TotalProfit,TotalLoss,AverageWin,AverageLoss,LargestWin,LargestLoss,Expectancy,ExpectancyRatio,PrimaryRegime,RegimeBreakdown,PerformanceGrade,IsSuccessful,ExecutionTimeSeconds,CreatedAt,Notes,OptimizationRunId
13417,QQQMREV_20260210_130454_576ea1db,QQQ_MEAN_REVERSION,1/1/2000,2/5/2026,NULL,"{""rsi_period"": 2, ""rsi_entry"": 20, ""rsi_exit"": 75, ""trend_sma"": 200, ""use_trend_filter"": false, ""allocation"": 0.9, ""max_hold_days"": 0, ""data_resolution"": ""minute"", ""algorithm_name"": ""QQQMeanReversionAlgorithm""}",4.2931,0.0659,0.1925,0.1932,6.4131,0.31,NULL,0.0014,NULL,329,227,102,0.69,1.7473,1057477.38,605215.67,4658.4907,5933.487,23310.9,45235.3,1374.9776,0.2317,NULL,NULL,C ,0,99,06:33.9,Profitable (429.3%) | Grade:C,QQQ_OPT_20260210_123611
13410,QQQMREV_20260210_125606_fbf6c106,QQQ_MEAN_REVERSION,1/1/2000,2/5/2026,NULL,"{""rsi_period"": 2, ""rsi_entry"": 20, ""rsi_exit"": 90, ""trend_sma"": 200, ""use_trend_filter"": true, ""allocation"": 0.9, ""max_hold_days"": 0, ""data_resolution"": ""minute"", ""algorithm_name"": ""QQQMeanReversionAlgorithm""}",3.5878,0.0601,0.3235,0.3068,8.5666,0.203,NULL,0.0008,NULL,166,124,42,0.747,2.4422,641261.07,262575.63,5171.4602,6251.8007,18727.74,36869.22,2281.3752,0.3649,NULL,NULL,C ,0,63,57:10.6,Profitable (358.8%) | Grade:C,QQQ_OPT_20260210_123611
13415,QQQMREV_20260210_130216_7db0c607,QQQ_MEAN_REVERSION,1/1/2000,2/5/2026,NULL,"{""rsi_period"": 2, ""rsi_entry"": 10, ""rsi_exit"": 75, ""trend_sma"": 200, ""use_trend_filter"": false, ""allocation"": 0.9, ""max_hold_days"": 0, ""data_resolution"": ""minute"", ""algorithm_name"": ""QQQMeanReversionAlgorithm""}",3.4083,0.0584,0.2285,0.2366,6.1083,0.329,NULL,0.0012,NULL,220,152,68,0.6909,1.8838,725495.69,385125.37,4772.998,5663.6084,19578.9,35752.82,1547.043,0.2732,NULL,NULL,C ,0,94,03:50.6,Profitable (340.8%) | Grade:C,QQQ_OPT_20260210_123611
13414,QQQMREV_20260210_130107_922ad6fb,QQQ_MEAN_REVERSION,1/1/2000,2/5/2026,NULL,"{""rsi_period"": 2, ""rsi_entry"": 25, ""rsi_exit"": 90, ""trend_sma"": 200, ""use_trend_filter"": true, ""allocation"": 0.9, ""max_hold_days"": 0, ""data_resolution"": ""minute"", ""algorithm_name"": ""QQQMeanReversionAlgorithm""}",3.184,0.0563,0.2939,0.2754,9.1479,0.203,NULL,0.0008,NULL,173,128,45,0.7399,2.2754,600456.18,263891.69,4691.0639,5864.2598,17068.32,33856.56,1945.6242,0.3318,NULL,NULL,C ,0,68,02:16.5,Profitable (318.4%) | Grade:C,QQQ_OPT_20260210_123611
13406,QQQMREV_20260210_125055_948fa522,QQQ_MEAN_REVERSION,1/1/2000,2/5/2026,NULL,"{""rsi_period"": 2, ""rsi_entry"": 15, ""rsi_exit"": 90, ""trend_sma"": 200, ""use_trend_filter"": true, ""allocation"": 0.9, ""max_hold_days"": 0, ""data_resolution"": ""minute"", ""algorithm_name"": ""QQQMeanReversionAlgorithm""}",3.153,0.056,0.3602,0.3603,12.2031,0.198,NULL,0.0007,NULL,147,114,33,0.7755,2.5782,544523.62,211202.31,4776.523,6400.07,17305.38,21200.4,2267.3779,0.3543,NULL,NULL,C ,0,104,52:39.9,Profitable (315.3%) | Grade:C,QQQ_OPT_20260210_123611
13409,QQQMREV_20260210_125503_9ce5269d,QQQ_MEAN_REVERSION,1/1/2000,2/5/2026,NULL,"{""rsi_period"": 2, ""rsi_entry"": 20, ""rsi_exit"": 85, ""trend_sma"": 200, ""use_trend_filter"": true, ""allocation"": 0.9, ""max_hold_days"": 0, ""data_resolution"": ""minute"", ""algorithm_name"": ""QQQMeanReversionAlgorithm""}",2.9189,0.0537,0.2917,0.2705,9.978,0.161,NULL,0.0007,NULL,190,141,49,0.7421,2.2679,552526.78,243629.58,3918.6296,4972.0322,16014.72,30700.44,1625.7279,0.327,NULL,NULL,C ,0,63,56:06.9,Profitable (291.9%) | Grade:C,QQQ_OPT_20260210_123611
13408,QQQMREV_20260210_125338_7886d1fd,QQQ_MEAN_REVERSION,1/1/2000,2/5/2026,NULL,"{""rsi_period"": 2, ""rsi_entry"": 20, ""rsi_exit"": 75, ""trend_sma"": 200, ""use_trend_filter"": true, ""allocation"": 0.9, ""max_hold_days"": 0, ""data_resolution"": ""minute"", ""algorithm_name"": ""QQQMeanReversionAlgorithm""}",2.7512,0.0519,0.2823,0.2867,9.0299,0.143,NULL,0.0006,NULL,232,168,64,0.7241,2.2072,532790.95,241387.23,3171.3747,3771.6755,15883.02,19466.72,1255.7871,0.333,NULL,NULL,C ,0,84,55:03.1,Profitable (275.1%) | Grade:C,QQQ_OPT_20260210_123611
13418,QQQMREV_20260210_130633_fd5b94d0,QQQ_MEAN_REVERSION,1/1/2000,2/5/2026,NULL,"{""rsi_period"": 2, ""rsi_entry"": 20, ""rsi_exit"": 85, ""trend_sma"": 200, ""use_trend_filter"": false, ""allocation"": 0.9, ""max_hold_days"": 0, ""data_resolution"": ""minute"", ""algorithm_name"": ""QQQMeanReversionAlgorithm""}",2.6906,0.0513,0.1899,0.1687,3.6016,0.612,NULL,0.0015,NULL,255,184,71,0.7216,1.7623,659048.38,373964.93,3581.7847,5267.1117,18265.32,34131.5,1118.2519,0.2123,NULL,NULL,C ,0,63,07:37.9,Profitable (269.1%) | Grade:C,QQQ_OPT_20260210_123611
13407,QQQMREV_20260210_125239_44373774,QQQ_MEAN_REVERSION,1/1/2000,2/5/2026,NULL,"{""rsi_period"": 2, ""rsi_entry"": 20, ""rsi_exit"": 65, ""trend_sma"": 200, ""use_trend_filter"": true, ""allocation"": 0.9, ""max_hold_days"": 0, ""data_resolution"": ""minute"", ""algorithm_name"": ""QQQMeanReversionAlgorithm""}",2.5603,0.0498,0.2742,0.2822,13.727,0.139,NULL,0.0006,NULL,259,182,77,0.7027,2.1492,507681.78,236216.06,2789.4603,3067.741,10838.88,18611.04,1048.1144,0.3417,NULL,NULL,C ,0,58,53:38.8,Profitable (256.0%) | Grade:C,QQQ_OPT_20260210_123611
13413,QQQMREV_20260210_125923_96de41ea,QQQ_MEAN_REVERSION,1/1/2000,2/5/2026,NULL,"{""rsi_period"": 2, ""rsi_entry"": 25, ""rsi_exit"": 85, ""trend_sma"": 200, ""use_trend_filter"": true, ""allocation"": 0.9, ""max_hold_days"": 0, ""data_resolution"": ""minute"", ""algorithm_name"": ""QQQMeanReversionAlgorithm""}",2.4914,0.049,0.2602,0.2354,9.8342,0.182,NULL,0.0008,NULL,201,150,51,0.7463,2.0973,505147.36,240854.97,3367.6491,4722.6465,14276.28,26874.84,1315.1411,0.2785,NULL,NULL,C ,0,104,01:07.7,Profitable (249.1%) | Grade:C,QQQ_OPT_20260210_123611
13411,QQQMREV_20260210_125710_1b5faf56,QQQ_MEAN_REVERSION,1/1/2000,2/5/2026,NULL,"{""rsi_period"": 2, ""rsi_entry"": 25, ""rsi_exit"": 65, ""trend_sma"": 200, ""use_trend_filter"": true, ""allocation"": 0.9, ""max_hold_days"": 0, ""data_resolution"": ""minute"", ""algorithm_name"": ""QQQMeanReversionAlgorithm""}",2.4457,0.0485,0.2328,0.2206,11.0177,0.172,NULL,0.0006,NULL,291,204,87,0.701,1.9928,520919.17,261398.99,2553.5253,3004.5861,10483.2,20620.26,891.65,0.2968,NULL,NULL,C ,0,58,58:09.5,Profitable (244.6%) | Grade:C,QQQ_OPT_20260210_123611
