OutcomeId,BacktestId,StrategyId,StartDate,EndDate,TradingDays,ParametersJson,TotalReturn,CAGR,SharpeRatio,SortinoRatio,CalmarRatio,MaxDrawdown,MaxDrawdownDuration,Volatility,VaR_95,TotalTrades,WinningTrades,LosingTrades,WinRate,ProfitFactor,TotalProfit,TotalLoss,AverageWin,AverageLoss,LargestWin,LargestLoss,Expectancy,ExpectancyRatio,PrimaryRegime,RegimeBreakdown,PerformanceGrade,IsSuccessful,ExecutionTimeSeconds,CreatedAt,Notes,OptimizationRunId
12467,BT_20260206_032542_ab01cc9b,TQQQ_SCALPING,1/2/2025,1/13/2026,NULL,"{""algorithm_name"": ""TQQQSQQQPairsAlgorithm"", ""zscore_lookback"": 46, ""entry_zscore"": 1.5, ""exit_zscore"": 0.32, ""stop_zscore"": 3.0, ""position_size"": 0.57, ""stop_loss_pct"": 0.02, ""max_hold_minutes"": 0, ""min_bars_between"": 3, ""trend_filter_enabled"": true, ""sma_fast_period"": 50, ""sma_slow_period"": 200, ""daily_loss_limit_pct"": 0.02, ""max_drawdown_pct"": 0.25, ""drawdown_position_scale"": 0.5, ""enable_vol_scaling"": false, ""vol_scale_high_thresh"": 30.0, ""vol_scale_med_thresh"": 20.0, ""vol_scale_high_factor"": 0.44, ""vol_scale_med_factor"": 0.7, ""warmup_days"": 210, ""rsi_period"": 14, ""rsi_oversold"": 28.0, ""rsi_overbought"": 72.0, ""bb_period"": 20, ""bb_std_dev"": 2.0, ""position_size_level1"": 0.5, ""position_size_level2"": 0.3, ""position_size_level3"": 0.2, ""ema_fast_period"": 9, ""ema_slow_period"": 21, ""_hash"": ""c29a24a7249b"", ""_optimization_run_id"": ""OPT_20260206_032542""}",0.0621,0.0601,1.0395,0.5556,0.4889,0.123,NULL,0.0579,NULL,801,516,285,0.6442,1.0541,120973.55,-114766.01,234.4449,402.6878,4699.5,2455.04,NULL,NULL,NULL,NULL,NULL,NULL,NULL,26:05.9,NULL,OPT_20260206_032542
12468,BT_20260206_032606_acbe4760,TQQQ_SCALPING,1/2/2025,1/13/2026,NULL,"{""algorithm_name"": ""TQQQSQQQPairsAlgorithm"", ""zscore_lookback"": 46, ""entry_zscore"": 1.5, ""exit_zscore"": 0.32, ""stop_zscore"": 3.0, ""position_size"": 0.57, ""stop_loss_pct"": 0.02, ""max_hold_minutes"": 0, ""min_bars_between"": 3, ""trend_filter_enabled"": false, ""sma_fast_period"": 50, ""sma_slow_period"": 200, ""daily_loss_limit_pct"": 0.02, ""max_drawdown_pct"": 0.25, ""drawdown_position_scale"": 0.5, ""enable_vol_scaling"": false, ""vol_scale_high_thresh"": 30.0, ""vol_scale_med_thresh"": 20.0, ""vol_scale_high_factor"": 0.44, ""vol_scale_med_factor"": 0.7, ""warmup_days"": 210, ""rsi_period"": 14, ""rsi_oversold"": 28.0, ""rsi_overbought"": 72.0, ""bb_period"": 20, ""bb_std_dev"": 2.0, ""position_size_level1"": 0.5, ""position_size_level2"": 0.3, ""position_size_level3"": 0.2, ""ema_fast_period"": 9, ""ema_slow_period"": 21, ""_hash"": ""c3fbc6669418"", ""_optimization_run_id"": ""OPT_20260206_032542""}",2.1343,2.0276,2.0382,18.27,11.1406,0.182,NULL,0.9948,NULL,1608,962,646,0.5983,1.8356,468847.19,-255421.48,487.3671,395.3893,192932.28,5662.8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,26:31.4,NULL,OPT_20260206_032542
12469,BT_20260206_032632_0521be47,TQQQ_SCALPING,1/2/2025,1/13/2026,NULL,"{""algorithm_name"": ""TQQQSQQQPairsAlgorithm"", ""zscore_lookback"": 44, ""entry_zscore"": 1.5, ""exit_zscore"": 0.32, ""stop_zscore"": 3.0, ""position_size"": 0.57, ""stop_loss_pct"": 0.02, ""max_hold_minutes"": 0, ""min_bars_between"": 3, ""trend_filter_enabled"": true, ""sma_fast_period"": 50, ""sma_slow_period"": 200, ""daily_loss_limit_pct"": 0.02, ""max_drawdown_pct"": 0.25, ""drawdown_position_scale"": 0.5, ""enable_vol_scaling"": false, ""vol_scale_high_thresh"": 30.0, ""vol_scale_med_thresh"": 20.0, ""vol_scale_high_factor"": 0.44, ""vol_scale_med_factor"": 0.7, ""warmup_days"": 210, ""rsi_period"": 14, ""rsi_oversold"": 28.0, ""rsi_overbought"": 72.0, ""bb_period"": 20, ""bb_std_dev"": 2.0, ""position_size_level1"": 0.5, ""position_size_level2"": 0.3, ""position_size_level3"": 0.2, ""ema_fast_period"": 9, ""ema_slow_period"": 21, ""_hash"": ""9e1b7b491522"", ""_optimization_run_id"": ""OPT_20260206_032542""}",0.0607,0.0588,1.0132,0.5405,0.4359,0.135,NULL,0.0581,NULL,801,523,278,0.6529,1.0541,118315.98,-112242.57,226.2256,403.7503,4738.5,2438.46,NULL,NULL,NULL,NULL,NULL,NULL,NULL,26:57.6,NULL,OPT_20260206_032542
12470,BT_20260206_032658_fa53f421,TQQQ_SCALPING,1/2/2025,1/13/2026,NULL,"{""algorithm_name"": ""TQQQSQQQPairsAlgorithm"", ""zscore_lookback"": 45, ""entry_zscore"": 1.5, ""exit_zscore"": 0.32, ""stop_zscore"": 3.0, ""position_size"": 0.57, ""stop_loss_pct"": 0.02, ""max_hold_minutes"": 0, ""min_bars_between"": 3, ""trend_filter_enabled"": true, ""sma_fast_period"": 50, ""sma_slow_period"": 200, ""daily_loss_limit_pct"": 0.02, ""max_drawdown_pct"": 0.25, ""drawdown_position_scale"": 0.5, ""enable_vol_scaling"": false, ""vol_scale_high_thresh"": 30.0, ""vol_scale_med_thresh"": 20.0, ""vol_scale_high_factor"": 0.44, ""vol_scale_med_factor"": 0.7, ""warmup_days"": 210, ""rsi_period"": 14, ""rsi_oversold"": 28.0, ""rsi_overbought"": 72.0, ""bb_period"": 20, ""bb_std_dev"": 2.0, ""position_size_level1"": 0.5, ""position_size_level2"": 0.3, ""position_size_level3"": 0.2, ""ema_fast_period"": 9, ""ema_slow_period"": 21, ""_hash"": ""02e92e80c49a"", ""_optimization_run_id"": ""OPT_20260206_032542""}",0.0785,0.076,1.3078,0.7087,0.594,0.128,NULL,0.0581,NULL,802,522,280,0.6509,1.0688,121875.84,-114026.51,233.4786,407.2375,4758,2484.16,NULL,NULL,NULL,NULL,NULL,NULL,NULL,27:21.4,NULL,OPT_20260206_032542
12471,BT_20260206_032722_ccfb1df7,TQQQ_SCALPING,1/2/2025,1/13/2026,NULL,"{""algorithm_name"": ""TQQQSQQQPairsAlgorithm"", ""zscore_lookback"": 48, ""entry_zscore"": 1.5, ""exit_zscore"": 0.32, ""stop_zscore"": 3.0, ""position_size"": 0.57, ""stop_loss_pct"": 0.02, ""max_hold_minutes"": 0, ""min_bars_between"": 3, ""trend_filter_enabled"": true, ""sma_fast_period"": 50, ""sma_slow_period"": 200, ""daily_loss_limit_pct"": 0.02, ""max_drawdown_pct"": 0.25, ""drawdown_position_scale"": 0.5, ""enable_vol_scaling"": false, ""vol_scale_high_thresh"": 30.0, ""vol_scale_med_thresh"": 20.0, ""vol_scale_high_factor"": 0.44, ""vol_scale_med_factor"": 0.7, ""warmup_days"": 210, ""rsi_period"": 14, ""rsi_oversold"": 28.0, ""rsi_overbought"": 72.0, ""bb_period"": 20, ""bb_std_dev"": 2.0, ""position_size_level1"": 0.5, ""position_size_level2"": 0.3, ""position_size_level3"": 0.2, ""ema_fast_period"": 9, ""ema_slow_period"": 21, ""_hash"": ""4bd8e40b9a5b"", ""_optimization_run_id"": ""OPT_20260206_032542""}",0.0997,0.0966,1.5905,0.8422,0.8046,0.12,NULL,0.0607,NULL,794,503,291,0.6335,1.0879,123438.52,-113466.55,245.4046,389.9194,4687.8,2411.55,NULL,NULL,NULL,NULL,NULL,NULL,NULL,27:47.3,NULL,OPT_20260206_032542
12472,BT_20260206_032747_39c98409,TQQQ_SCALPING,1/2/2025,1/13/2026,NULL,"{""algorithm_name"": ""TQQQSQQQPairsAlgorithm"", ""zscore_lookback"": 50, ""entry_zscore"": 1.5, ""exit_zscore"": 0.32, ""stop_zscore"": 3.0, ""position_size"": 0.57, ""stop_loss_pct"": 0.02, ""max_hold_minutes"": 0, ""min_bars_between"": 3, ""trend_filter_enabled"": true, ""sma_fast_period"": 50, ""sma_slow_period"": 200, ""daily_loss_limit_pct"": 0.02, ""max_drawdown_pct"": 0.25, ""drawdown_position_scale"": 0.5, ""enable_vol_scaling"": false, ""vol_scale_high_thresh"": 30.0, ""vol_scale_med_thresh"": 20.0, ""vol_scale_high_factor"": 0.44, ""vol_scale_med_factor"": 0.7, ""warmup_days"": 210, ""rsi_period"": 14, ""rsi_oversold"": 28.0, ""rsi_overbought"": 72.0, ""bb_period"": 20, ""bb_std_dev"": 2.0, ""position_size_level1"": 0.5, ""position_size_level2"": 0.3, ""position_size_level3"": 0.2, ""ema_fast_period"": 9, ""ema_slow_period"": 21, ""_hash"": ""21837b25d4c2"", ""_optimization_run_id"": ""OPT_20260206_032542""}",0.0821,0.0795,1.3125,0.7309,0.4908,0.162,NULL,0.0606,NULL,767,474,293,0.618,1.0707,124377.47,-116167.44,262.3997,396.4759,4691.7,2413.62,NULL,NULL,NULL,NULL,NULL,NULL,NULL,28:11.1,NULL,OPT_20260206_032542
12473,BT_20260206_032811_c4755bd8,TQQQ_SCALPING,1/2/2025,1/13/2026,NULL,"{""algorithm_name"": ""TQQQSQQQPairsAlgorithm"", ""zscore_lookback"": 46, ""entry_zscore"": 1.4, ""exit_zscore"": 0.32, ""stop_zscore"": 3.0, ""position_size"": 0.57, ""stop_loss_pct"": 0.02, ""max_hold_minutes"": 0, ""min_bars_between"": 3, ""trend_filter_enabled"": true, ""sma_fast_period"": 50, ""sma_slow_period"": 200, ""daily_loss_limit_pct"": 0.02, ""max_drawdown_pct"": 0.25, ""drawdown_position_scale"": 0.5, ""enable_vol_scaling"": false, ""vol_scale_high_thresh"": 30.0, ""vol_scale_med_thresh"": 20.0, ""vol_scale_high_factor"": 0.44, ""vol_scale_med_factor"": 0.7, ""warmup_days"": 210, ""rsi_period"": 14, ""rsi_oversold"": 28.0, ""rsi_overbought"": 72.0, ""bb_period"": 20, ""bb_std_dev"": 2.0, ""position_size_level1"": 0.5, ""position_size_level2"": 0.3, ""position_size_level3"": 0.2, ""ema_fast_period"": 9, ""ema_slow_period"": 21, ""_hash"": ""8885d3dceae4"", ""_optimization_run_id"": ""OPT_20260206_032542""}",0.0621,0.0601,1.0395,0.5556,0.4889,0.123,NULL,0.0579,NULL,801,516,285,0.6442,1.0541,120973.55,-114766.01,234.4449,402.6878,4699.5,2455.04,NULL,NULL,NULL,NULL,NULL,NULL,NULL,28:37.0,NULL,OPT_20260206_032542
12474,BT_20260206_032837_85543a7a,TQQQ_SCALPING,1/2/2025,1/13/2026,NULL,"{""algorithm_name"": ""TQQQSQQQPairsAlgorithm"", ""zscore_lookback"": 46, ""entry_zscore"": 1.6, ""exit_zscore"": 0.32, ""stop_zscore"": 3.0, ""position_size"": 0.57, ""stop_loss_pct"": 0.02, ""max_hold_minutes"": 0, ""min_bars_between"": 3, ""trend_filter_enabled"": true, ""sma_fast_period"": 50, ""sma_slow_period"": 200, ""daily_loss_limit_pct"": 0.02, ""max_drawdown_pct"": 0.25, ""drawdown_position_scale"": 0.5, ""enable_vol_scaling"": false, ""vol_scale_high_thresh"": 30.0, ""vol_scale_med_thresh"": 20.0, ""vol_scale_high_factor"": 0.44, ""vol_scale_med_factor"": 0.7, ""warmup_days"": 210, ""rsi_period"": 14, ""rsi_oversold"": 28.0, ""rsi_overbought"": 72.0, ""bb_period"": 20, ""bb_std_dev"": 2.0, ""position_size_level1"": 0.5, ""position_size_level2"": 0.3, ""position_size_level3"": 0.2, ""ema_fast_period"": 9, ""ema_slow_period"": 21, ""_hash"": ""5b2767d5b7ee"", ""_optimization_run_id"": ""OPT_20260206_032542""}",0.0621,0.0601,1.0395,0.5556,0.4889,0.123,NULL,0.0579,NULL,801,516,285,0.6442,1.0541,120973.55,-114766.01,234.4449,402.6878,4699.5,2455.04,NULL,NULL,NULL,NULL,NULL,NULL,NULL,29:00.3,NULL,OPT_20260206_032542
12475,BT_20260206_032900_7e4d7475,TQQQ_SCALPING,1/2/2025,1/13/2026,NULL,"{""algorithm_name"": ""TQQQSQQQPairsAlgorithm"", ""zscore_lookback"": 46, ""entry_zscore"": 1.5, ""exit_zscore"": 0.25, ""stop_zscore"": 3.0, ""position_size"": 0.57, ""stop_loss_pct"": 0.02, ""max_hold_minutes"": 0, ""min_bars_between"": 3, ""trend_filter_enabled"": true, ""sma_fast_period"": 50, ""sma_slow_period"": 200, ""daily_loss_limit_pct"": 0.02, ""max_drawdown_pct"": 0.25, ""drawdown_position_scale"": 0.5, ""enable_vol_scaling"": false, ""vol_scale_high_thresh"": 30.0, ""vol_scale_med_thresh"": 20.0, ""vol_scale_high_factor"": 0.44, ""vol_scale_med_factor"": 0.7, ""warmup_days"": 210, ""rsi_period"": 14, ""rsi_oversold"": 28.0, ""rsi_overbought"": 72.0, ""bb_period"": 20, ""bb_std_dev"": 2.0, ""position_size_level1"": 0.5, ""position_size_level2"": 0.3, ""position_size_level3"": 0.2, ""ema_fast_period"": 9, ""ema_slow_period"": 21, ""_hash"": ""e1dcb5db3c23"", ""_optimization_run_id"": ""OPT_20260206_032542""}",0.0837,0.081,1.3416,0.7518,0.6641,0.122,NULL,0.0604,NULL,751,481,270,0.6405,1.0736,122111.27,-113745.12,253.8696,421.2782,5612,2517.76,NULL,NULL,NULL,NULL,NULL,NULL,NULL,29:23.7,NULL,OPT_20260206_032542
12476,BT_20260206_032924_e8e28569,TQQQ_SCALPING,1/2/2025,1/13/2026,NULL,"{""algorithm_name"": ""TQQQSQQQPairsAlgorithm"", ""zscore_lookback"": 46, ""entry_zscore"": 1.5, ""exit_zscore"": 0.4, ""stop_zscore"": 3.0, ""position_size"": 0.57, ""stop_loss_pct"": 0.02, ""max_hold_minutes"": 0, ""min_bars_between"": 3, ""trend_filter_enabled"": true, ""sma_fast_period"": 50, ""sma_slow_period"": 200, ""daily_loss_limit_pct"": 0.02, ""max_drawdown_pct"": 0.25, ""drawdown_position_scale"": 0.5, ""enable_vol_scaling"": false, ""vol_scale_high_thresh"": 30.0, ""vol_scale_med_thresh"": 20.0, ""vol_scale_high_factor"": 0.44, ""vol_scale_med_factor"": 0.7, ""warmup_days"": 210, ""rsi_period"": 14, ""rsi_oversold"": 28.0, ""rsi_overbought"": 72.0, ""bb_period"": 20, ""bb_std_dev"": 2.0, ""position_size_level1"": 0.5, ""position_size_level2"": 0.3, ""position_size_level3"": 0.2, ""ema_fast_period"": 9, ""ema_slow_period"": 21, ""_hash"": ""749010bfa340"", ""_optimization_run_id"": ""OPT_20260206_032542""}",0.0574,0.0556,1.0007,0.5409,0.4593,0.121,NULL,0.0555,NULL,864,534,330,0.6181,1.0504,119484.37,-113748.25,223.7535,344.6917,4715.1,2461.76,NULL,NULL,NULL,NULL,NULL,NULL,NULL,29:49.4,NULL,OPT_20260206_032542
