OutcomeId,BacktestId,StrategyId,StartDate,EndDate,TradingDays,ParametersJson,TotalReturn,CAGR,SharpeRatio,SortinoRatio,CalmarRatio,MaxDrawdown,MaxDrawdownDuration,Volatility,VaR_95,TotalTrades,WinningTrades,LosingTrades,WinRate,ProfitFactor,TotalProfit,TotalLoss,AverageWin,AverageLoss,LargestWin,LargestLoss,Expectancy,ExpectancyRatio,PrimaryRegime,RegimeBreakdown,PerformanceGrade,IsSuccessful,ExecutionTimeSeconds,CreatedAt,Notes,OptimizationRunId
12574,BT_20260206_140345_45020ab2,TQQQ_SCALPING,1/2/2025,1/13/2026,NULL,"{""algorithm_name"": ""TQQQSQQQPairsAlgorithm"", ""zscore_lookback"": 46, ""entry_zscore"": 2.0, ""exit_zscore"": 0.32, ""stop_zscore"": 3, ""position_size"": 0.57, ""stop_loss_pct"": 0.02, ""max_hold_minutes"": 0, ""min_bars_between"": 6, ""bar_period_minutes"": 5, ""take_profit_pct"": 0.0, ""trailing_activation_pct"": 0.01, ""trailing_stop_pct"": 0.0, ""trend_filter_enabled"": true, ""sma_fast_period"": 20, ""sma_slow_period"": 50, ""daily_loss_limit_pct"": 0.02, ""max_drawdown_pct"": 0.25, ""drawdown_position_scale"": 0.5, ""enable_vol_scaling"": false, ""vol_scale_high_thresh"": 2.5, ""vol_scale_med_thresh"": 1.5, ""vol_scale_high_factor"": 0.44, ""vol_scale_med_factor"": 0.7, ""warmup_days"": 210, ""rsi_period"": 14, ""rsi_oversold"": 28.0, ""rsi_overbought"": 72.0, ""bb_period"": 20, ""bb_std_dev"": 2.0, ""position_size_level1"": 0.5, ""position_size_level2"": 0.3, ""position_size_level3"": 0.2, ""ema_fast_period"": 9, ""ema_slow_period"": 21, ""_hash"": ""3fddab04d898"", ""_optimization_run_id"": ""OPT_20260206_140345""}",0.1107,0.1072,2.1012,1.1997,1.2759,0.084,NULL,0.051,NULL,329,164,165,0.4985,1.1651,78119.97,-67049.13,476.3413,406.3584,4481.1,3637.8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,04:10.4,NULL,OPT_20260206_140345
12575,BT_20260206_140410_3a1aa7a5,TQQQ_SCALPING,1/2/2025,1/13/2026,NULL,"{""algorithm_name"": ""TQQQSQQQPairsAlgorithm"", ""zscore_lookback"": 46, ""entry_zscore"": 1.5, ""exit_zscore"": 0.32, ""stop_zscore"": 3, ""position_size"": 0.57, ""stop_loss_pct"": 0.02, ""max_hold_minutes"": 0, ""min_bars_between"": 3, ""bar_period_minutes"": 5, ""take_profit_pct"": 0.0, ""trailing_activation_pct"": 0.01, ""trailing_stop_pct"": 0.0, ""trend_filter_enabled"": true, ""sma_fast_period"": 20, ""sma_slow_period"": 50, ""daily_loss_limit_pct"": 0.02, ""max_drawdown_pct"": 0.25, ""drawdown_position_scale"": 0.5, ""enable_vol_scaling"": false, ""vol_scale_high_thresh"": 2.5, ""vol_scale_med_thresh"": 1.5, ""vol_scale_high_factor"": 0.44, ""vol_scale_med_factor"": 0.7, ""warmup_days"": 210, ""rsi_period"": 14, ""rsi_oversold"": 28.0, ""rsi_overbought"": 72.0, ""bb_period"": 20, ""bb_std_dev"": 2.0, ""position_size_level1"": 0.5, ""position_size_level2"": 0.3, ""position_size_level3"": 0.2, ""ema_fast_period"": 9, ""ema_slow_period"": 21, ""_hash"": ""6ef19715186d"", ""_optimization_run_id"": ""OPT_20260206_140345""}",-0.0522,-0.0507,-0.7585,-0.3789,-0.4056,0.125,NULL,0.0668,NULL,484,245,239,0.5062,0.9472,93790.17,-99014.83,382.817,414.288,2004.85,6369.92,NULL,NULL,NULL,NULL,NULL,NULL,NULL,04:33.9,NULL,OPT_20260206_140345
12576,BT_20260206_140434_e4bc0e5e,TQQQ_SCALPING,1/2/2025,1/13/2026,NULL,"{""algorithm_name"": ""TQQQSQQQPairsAlgorithm"", ""zscore_lookback"": 46, ""entry_zscore"": 2.0, ""exit_zscore"": 0.32, ""stop_zscore"": 3, ""position_size"": 0.57, ""stop_loss_pct"": 0.02, ""max_hold_minutes"": 0, ""min_bars_between"": 6, ""bar_period_minutes"": 5, ""take_profit_pct"": 0.02, ""trailing_activation_pct"": 0.01, ""trailing_stop_pct"": 0.0, ""trend_filter_enabled"": true, ""sma_fast_period"": 20, ""sma_slow_period"": 50, ""daily_loss_limit_pct"": 0.02, ""max_drawdown_pct"": 0.25, ""drawdown_position_scale"": 0.5, ""enable_vol_scaling"": false, ""vol_scale_high_thresh"": 2.5, ""vol_scale_med_thresh"": 1.5, ""vol_scale_high_factor"": 0.44, ""vol_scale_med_factor"": 0.7, ""warmup_days"": 210, ""rsi_period"": 14, ""rsi_oversold"": 28.0, ""rsi_overbought"": 72.0, ""bb_period"": 20, ""bb_std_dev"": 2.0, ""position_size_level1"": 0.5, ""position_size_level2"": 0.3, ""position_size_level3"": 0.2, ""ema_fast_period"": 9, ""ema_slow_period"": 21, ""_hash"": ""fcbf781240b8"", ""_optimization_run_id"": ""OPT_20260206_140345""}",0.0817,0.0792,1.6655,0.8812,0.9423,0.084,NULL,0.0475,NULL,329,164,165,0.4985,1.1244,73876.62,-65704.26,450.4672,398.2076,2364.88,3544.74,NULL,NULL,NULL,NULL,NULL,NULL,NULL,04:59.6,NULL,OPT_20260206_140345
12577,BT_20260206_140459_e8d1b9ad,TQQQ_SCALPING,1/2/2025,1/13/2026,NULL,"{""algorithm_name"": ""TQQQSQQQPairsAlgorithm"", ""zscore_lookback"": 46, ""entry_zscore"": 2.0, ""exit_zscore"": 0.32, ""stop_zscore"": 3, ""position_size"": 0.57, ""stop_loss_pct"": 0.02, ""max_hold_minutes"": 0, ""min_bars_between"": 6, ""bar_period_minutes"": 5, ""take_profit_pct"": 0.03, ""trailing_activation_pct"": 0.01, ""trailing_stop_pct"": 0.0, ""trend_filter_enabled"": true, ""sma_fast_period"": 20, ""sma_slow_period"": 50, ""daily_loss_limit_pct"": 0.02, ""max_drawdown_pct"": 0.25, ""drawdown_position_scale"": 0.5, ""enable_vol_scaling"": false, ""vol_scale_high_thresh"": 2.5, ""vol_scale_med_thresh"": 1.5, ""vol_scale_high_factor"": 0.44, ""vol_scale_med_factor"": 0.7, ""warmup_days"": 210, ""rsi_period"": 14, ""rsi_oversold"": 28.0, ""rsi_overbought"": 72.0, ""bb_period"": 20, ""bb_std_dev"": 2.0, ""position_size_level1"": 0.5, ""position_size_level2"": 0.3, ""position_size_level3"": 0.2, ""ema_fast_period"": 9, ""ema_slow_period"": 21, ""_hash"": ""a97b38418edb"", ""_optimization_run_id"": ""OPT_20260206_140345""}",0.0878,0.085,1.7749,0.9516,1.0123,0.084,NULL,0.0479,NULL,329,164,165,0.4985,1.1331,74751.89,-65971.65,455.8042,399.8282,2366.94,3565.89,NULL,NULL,NULL,NULL,NULL,NULL,NULL,05:27.1,NULL,OPT_20260206_140345
12578,BT_20260206_140527_1b8c8c85,TQQQ_SCALPING,1/2/2025,1/13/2026,NULL,"{""algorithm_name"": ""TQQQSQQQPairsAlgorithm"", ""zscore_lookback"": 46, ""entry_zscore"": 2.0, ""exit_zscore"": 0.32, ""stop_zscore"": 3, ""position_size"": 0.57, ""stop_loss_pct"": 0.02, ""max_hold_minutes"": 0, ""min_bars_between"": 6, ""bar_period_minutes"": 5, ""take_profit_pct"": 0.05, ""trailing_activation_pct"": 0.01, ""trailing_stop_pct"": 0.0, ""trend_filter_enabled"": true, ""sma_fast_period"": 20, ""sma_slow_period"": 50, ""daily_loss_limit_pct"": 0.02, ""max_drawdown_pct"": 0.25, ""drawdown_position_scale"": 0.5, ""enable_vol_scaling"": false, ""vol_scale_high_thresh"": 2.5, ""vol_scale_med_thresh"": 1.5, ""vol_scale_high_factor"": 0.44, ""vol_scale_med_factor"": 0.7, ""warmup_days"": 210, ""rsi_period"": 14, ""rsi_oversold"": 28.0, ""rsi_overbought"": 72.0, ""bb_period"": 20, ""bb_std_dev"": 2.0, ""position_size_level1"": 0.5, ""position_size_level2"": 0.3, ""position_size_level3"": 0.2, ""ema_fast_period"": 9, ""ema_slow_period"": 21, ""_hash"": ""e463c42600ce"", ""_optimization_run_id"": ""OPT_20260206_140345""}",0.1107,0.1072,2.1012,1.1997,1.2759,0.084,NULL,0.051,NULL,329,164,165,0.4985,1.1651,78119.97,-67049.13,476.3413,406.3584,4481.1,3637.8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,05:48.3,NULL,OPT_20260206_140345
12579,BT_20260206_140548_0fd6333c,TQQQ_SCALPING,1/2/2025,1/13/2026,NULL,"{""algorithm_name"": ""TQQQSQQQPairsAlgorithm"", ""zscore_lookback"": 46, ""entry_zscore"": 2.0, ""exit_zscore"": 0.32, ""stop_zscore"": 3, ""position_size"": 0.57, ""stop_loss_pct"": 0.02, ""max_hold_minutes"": 0, ""min_bars_between"": 6, ""bar_period_minutes"": 5, ""take_profit_pct"": 0.0, ""trailing_activation_pct"": 0.005, ""trailing_stop_pct"": 0.003, ""trend_filter_enabled"": true, ""sma_fast_period"": 20, ""sma_slow_period"": 50, ""daily_loss_limit_pct"": 0.02, ""max_drawdown_pct"": 0.25, ""drawdown_position_scale"": 0.5, ""enable_vol_scaling"": false, ""vol_scale_high_thresh"": 2.5, ""vol_scale_med_thresh"": 1.5, ""vol_scale_high_factor"": 0.44, ""vol_scale_med_factor"": 0.7, ""warmup_days"": 210, ""rsi_period"": 14, ""rsi_oversold"": 28.0, ""rsi_overbought"": 72.0, ""bb_period"": 20, ""bb_std_dev"": 2.0, ""position_size_level1"": 0.5, ""position_size_level2"": 0.3, ""position_size_level3"": 0.2, ""ema_fast_period"": 9, ""ema_slow_period"": 21, ""_hash"": ""e2e20e75dc9f"", ""_optimization_run_id"": ""OPT_20260206_140345""}",-0.0148,-0.0143,-0.3291,-0.165,-0.1304,0.11,NULL,0.0436,NULL,326,156,170,0.4785,0.9752,58160.92,-59640.15,372.8264,350.8244,1530.54,3261.33,NULL,NULL,NULL,NULL,NULL,NULL,NULL,06:13.7,NULL,OPT_20260206_140345
12580,BT_20260206_140613_539c2ec1,TQQQ_SCALPING,1/2/2025,1/13/2026,NULL,"{""algorithm_name"": ""TQQQSQQQPairsAlgorithm"", ""zscore_lookback"": 46, ""entry_zscore"": 2.0, ""exit_zscore"": 0.32, ""stop_zscore"": 3, ""position_size"": 0.57, ""stop_loss_pct"": 0.02, ""max_hold_minutes"": 0, ""min_bars_between"": 6, ""bar_period_minutes"": 5, ""take_profit_pct"": 0.0, ""trailing_activation_pct"": 0.01, ""trailing_stop_pct"": 0.005, ""trend_filter_enabled"": true, ""sma_fast_period"": 20, ""sma_slow_period"": 50, ""daily_loss_limit_pct"": 0.02, ""max_drawdown_pct"": 0.25, ""drawdown_position_scale"": 0.5, ""enable_vol_scaling"": false, ""vol_scale_high_thresh"": 2.5, ""vol_scale_med_thresh"": 1.5, ""vol_scale_high_factor"": 0.44, ""vol_scale_med_factor"": 0.7, ""warmup_days"": 210, ""rsi_period"": 14, ""rsi_oversold"": 28.0, ""rsi_overbought"": 72.0, ""bb_period"": 20, ""bb_std_dev"": 2.0, ""position_size_level1"": 0.5, ""position_size_level2"": 0.3, ""position_size_level3"": 0.2, ""ema_fast_period"": 9, ""ema_slow_period"": 21, ""_hash"": ""2dee63e89c2f"", ""_optimization_run_id"": ""OPT_20260206_140345""}",0.0432,0.0419,0.9784,0.5329,0.6066,0.069,NULL,0.0428,NULL,328,161,167,0.4909,1.0715,64694.43,-60375.43,401.8288,361.5295,2410.25,1438.42,NULL,NULL,NULL,NULL,NULL,NULL,NULL,06:39.1,NULL,OPT_20260206_140345
12581,BT_20260206_140639_bee978d5,TQQQ_SCALPING,1/2/2025,1/13/2026,NULL,"{""algorithm_name"": ""TQQQSQQQPairsAlgorithm"", ""zscore_lookback"": 46, ""entry_zscore"": 2.0, ""exit_zscore"": 0.32, ""stop_zscore"": 3, ""position_size"": 0.57, ""stop_loss_pct"": 0.02, ""max_hold_minutes"": 0, ""min_bars_between"": 6, ""bar_period_minutes"": 5, ""take_profit_pct"": 0.0, ""trailing_activation_pct"": 0.01, ""trailing_stop_pct"": 0.007, ""trend_filter_enabled"": true, ""sma_fast_period"": 20, ""sma_slow_period"": 50, ""daily_loss_limit_pct"": 0.02, ""max_drawdown_pct"": 0.25, ""drawdown_position_scale"": 0.5, ""enable_vol_scaling"": false, ""vol_scale_high_thresh"": 2.5, ""vol_scale_med_thresh"": 1.5, ""vol_scale_high_factor"": 0.44, ""vol_scale_med_factor"": 0.7, ""warmup_days"": 210, ""rsi_period"": 14, ""rsi_oversold"": 28.0, ""rsi_overbought"": 72.0, ""bb_period"": 20, ""bb_std_dev"": 2.0, ""position_size_level1"": 0.5, ""position_size_level2"": 0.3, ""position_size_level3"": 0.2, ""ema_fast_period"": 9, ""ema_slow_period"": 21, ""_hash"": ""eeaf266c9004"", ""_optimization_run_id"": ""OPT_20260206_140345""}",0.0258,0.025,0.5851,0.3172,0.3161,0.079,NULL,0.0427,NULL,328,160,168,0.4878,1.0433,62067.57,-59490.92,387.9223,354.1126,2383.9,1423.08,NULL,NULL,NULL,NULL,NULL,NULL,NULL,07:08.6,NULL,OPT_20260206_140345
12582,BT_20260206_140708_41b39fde,TQQQ_SCALPING,1/2/2025,1/13/2026,NULL,"{""algorithm_name"": ""TQQQSQQQPairsAlgorithm"", ""zscore_lookback"": 46, ""entry_zscore"": 2.0, ""exit_zscore"": 0.32, ""stop_zscore"": 3, ""position_size"": 0.57, ""stop_loss_pct"": 0.02, ""max_hold_minutes"": 0, ""min_bars_between"": 6, ""bar_period_minutes"": 5, ""take_profit_pct"": 0.0, ""trailing_activation_pct"": 0.015, ""trailing_stop_pct"": 0.01, ""trend_filter_enabled"": true, ""sma_fast_period"": 20, ""sma_slow_period"": 50, ""daily_loss_limit_pct"": 0.02, ""max_drawdown_pct"": 0.25, ""drawdown_position_scale"": 0.5, ""enable_vol_scaling"": false, ""vol_scale_high_thresh"": 2.5, ""vol_scale_med_thresh"": 1.5, ""vol_scale_high_factor"": 0.44, ""vol_scale_med_factor"": 0.7, ""warmup_days"": 210, ""rsi_period"": 14, ""rsi_oversold"": 28.0, ""rsi_overbought"": 72.0, ""bb_period"": 20, ""bb_std_dev"": 2.0, ""position_size_level1"": 0.5, ""position_size_level2"": 0.3, ""position_size_level3"": 0.2, ""ema_fast_period"": 9, ""ema_slow_period"": 21, ""_hash"": ""bbfc0c8467b9"", ""_optimization_run_id"": ""OPT_20260206_140345""}",0.0773,0.0748,1.5077,0.8328,0.8409,0.089,NULL,0.0496,NULL,328,163,165,0.497,1.1176,73420.39,-65693.56,450.4318,398.1428,4335.78,3527.82,NULL,NULL,NULL,NULL,NULL,NULL,NULL,07:46.1,NULL,OPT_20260206_140345
12583,BT_20260206_140746_23dfba93,TQQQ_SCALPING,1/2/2025,1/13/2026,NULL,"{""algorithm_name"": ""TQQQSQQQPairsAlgorithm"", ""zscore_lookback"": 46, ""entry_zscore"": 2.0, ""exit_zscore"": 0.32, ""stop_zscore"": 3, ""position_size"": 0.57, ""stop_loss_pct"": 0.02, ""max_hold_minutes"": 0, ""min_bars_between"": 6, ""bar_period_minutes"": 5, ""take_profit_pct"": 0.0, ""trailing_activation_pct"": 0.02, ""trailing_stop_pct"": 0.01, ""trend_filter_enabled"": true, ""sma_fast_period"": 20, ""sma_slow_period"": 50, ""daily_loss_limit_pct"": 0.02, ""max_drawdown_pct"": 0.25, ""drawdown_position_scale"": 0.5, ""enable_vol_scaling"": false, ""vol_scale_high_thresh"": 2.5, ""vol_scale_med_thresh"": 1.5, ""vol_scale_high_factor"": 0.44, ""vol_scale_med_factor"": 0.7, ""warmup_days"": 210, ""rsi_period"": 14, ""rsi_oversold"": 28.0, ""rsi_overbought"": 72.0, ""bb_period"": 20, ""bb_std_dev"": 2.0, ""position_size_level1"": 0.5, ""position_size_level2"": 0.3, ""position_size_level3"": 0.2, ""ema_fast_period"": 9, ""ema_slow_period"": 21, ""_hash"": ""c8923a5661cb"", ""_optimization_run_id"": ""OPT_20260206_140345""}",0.0907,0.0878,1.7751,0.981,1.0214,0.086,NULL,0.0495,NULL,329,164,165,0.4985,1.1371,75214.41,-66143.95,458.6245,400.8724,4351.02,3574.35,NULL,NULL,NULL,NULL,NULL,NULL,NULL,08:29.6,NULL,OPT_20260206_140345
