OutcomeId,BacktestId,StrategyId,StartDate,EndDate,TradingDays,ParametersJson,TotalReturn,CAGR,SharpeRatio,SortinoRatio,CalmarRatio,MaxDrawdown,MaxDrawdownDuration,Volatility,VaR_95,TotalTrades,WinningTrades,LosingTrades,WinRate,ProfitFactor,TotalProfit,TotalLoss,AverageWin,AverageLoss,LargestWin,LargestLoss,Expectancy,ExpectancyRatio,PrimaryRegime,RegimeBreakdown,PerformanceGrade,IsSuccessful,ExecutionTimeSeconds,CreatedAt,Notes,OptimizationRunId
12267,BT_20260203_014857_9cee4d7a,TQQQ_SCALPING,1/2/2025,1/13/2026,NULL,"{""rsi_period"": 18.0, ""rsi_oversold"": 28.0, ""rsi_overbought"": 72.0, ""bb_period"": 29.0, ""bb_std_dev"": 1.5, ""stop_loss_pct"": 0.012, ""take_profit_pct"": 0.018, ""ema_fast_period"": 8.0, ""ema_slow_period"": 20.0, ""position_size_level1"": 0.55, ""position_size_level2"": 0.28, ""position_size_level3"": 0.17, ""trailing_stop_pct"": 0.0, ""_hash"": ""72b00b2098fc"", ""_optimization_run_id"": ""OPT_20260203_014857""}",0.0326,0.0316,0.1944,0.3152,0.8791,0.036,NULL,0.0003,NULL,31,20,11,0.6452,1.5526,9167.8,-5904.8,458.39,536.8,740.15,1125.78,NULL,NULL,NULL,NULL,NULL,NULL,NULL,50:17.1,NULL,OPT_20260203_014857
12268,BT_20260203_015017_161cde24,TQQQ_SCALPING,1/2/2025,1/13/2026,NULL,"{""rsi_period"": 18.0, ""rsi_oversold"": 30.0, ""rsi_overbought"": 70.0, ""bb_period"": 29.0, ""bb_std_dev"": 1.5, ""stop_loss_pct"": 0.012, ""take_profit_pct"": 0.018, ""ema_fast_period"": 8.0, ""ema_slow_period"": 20.0, ""position_size_level1"": 0.55, ""position_size_level2"": 0.28, ""position_size_level3"": 0.17, ""trailing_stop_pct"": 0.0, ""_hash"": ""aaad40a30ddd"", ""_optimization_run_id"": ""OPT_20260203_014857""}",-0.0406,-0.0394,-0.1273,-0.2728,-0.514,0.077,NULL,0.0004,NULL,53,29,24,0.5472,0.752,12318.55,-16381.77,424.7776,682.5737,734.5,1152.76,NULL,NULL,NULL,NULL,NULL,NULL,NULL,51:42.3,NULL,OPT_20260203_014857
12269,BT_20260203_015142_7c1d622c,TQQQ_SCALPING,1/2/2025,1/13/2026,NULL,"{""rsi_period"": 18.0, ""rsi_oversold"": 32.0, ""rsi_overbought"": 68.0, ""bb_period"": 29.0, ""bb_std_dev"": 1.5, ""stop_loss_pct"": 0.012, ""take_profit_pct"": 0.018, ""ema_fast_period"": 8.0, ""ema_slow_period"": 20.0, ""position_size_level1"": 0.55, ""position_size_level2"": 0.28, ""position_size_level3"": 0.17, ""trailing_stop_pct"": 0.0, ""_hash"": ""a9862bc8ed98"", ""_optimization_run_id"": ""OPT_20260203_014857""}",-0.0163,-0.0158,-0.0385,-0.0767,-0.1755,0.088,NULL,0.0004,NULL,73,44,29,0.6027,0.9172,18089.15,-19722.3,411.117,680.0793,735.63,1208.7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,53:07.5,NULL,OPT_20260203_014857
12270,BT_20260203_015307_e5c51b45,TQQQ_SCALPING,1/2/2025,1/13/2026,NULL,"{""rsi_period"": 18.0, ""rsi_oversold"": 28.0, ""rsi_overbought"": 72.0, ""bb_period"": 29.0, ""bb_std_dev"": 1.5, ""stop_loss_pct"": 0.015, ""take_profit_pct"": 0.022, ""ema_fast_period"": 8.0, ""ema_slow_period"": 20.0, ""position_size_level1"": 0.55, ""position_size_level2"": 0.28, ""position_size_level3"": 0.17, ""trailing_stop_pct"": 0.0, ""_hash"": ""8f33049fc143"", ""_optimization_run_id"": ""OPT_20260203_014857""}",0.0214,0.0207,0.1155,0.1699,0.4641,0.045,NULL,0.0003,NULL,31,20,11,0.6452,1.3069,9118.42,-6977.2,455.921,634.2909,740.15,1120.56,NULL,NULL,NULL,NULL,NULL,NULL,NULL,54:30.7,NULL,OPT_20260203_014857
12271,BT_20260203_015430_63fcb101,TQQQ_SCALPING,1/2/2025,1/13/2026,NULL,"{""rsi_period"": 18.0, ""rsi_oversold"": 30.0, ""rsi_overbought"": 70.0, ""bb_period"": 29.0, ""bb_std_dev"": 1.5, ""stop_loss_pct"": 0.015, ""take_profit_pct"": 0.022, ""ema_fast_period"": 8.0, ""ema_slow_period"": 20.0, ""position_size_level1"": 0.55, ""position_size_level2"": 0.28, ""position_size_level3"": 0.17, ""trailing_stop_pct"": 0.0, ""_hash"": ""f3501d267e86"", ""_optimization_run_id"": ""OPT_20260203_014857""}",-0.0553,-0.0536,-0.1637,-0.3177,-0.6123,0.089,NULL,0.0004,NULL,53,29,24,0.5472,0.6884,12213.53,-17741.38,421.1562,739.2242,733.37,1205.6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,55:57.8,NULL,OPT_20260203_014857
12272,BT_20260203_015557_063deabd,TQQQ_SCALPING,1/2/2025,1/13/2026,NULL,"{""rsi_period"": 18.0, ""rsi_oversold"": 32.0, ""rsi_overbought"": 68.0, ""bb_period"": 29.0, ""bb_std_dev"": 1.5, ""stop_loss_pct"": 0.015, ""take_profit_pct"": 0.022, ""ema_fast_period"": 8.0, ""ema_slow_period"": 20.0, ""position_size_level1"": 0.55, ""position_size_level2"": 0.28, ""position_size_level3"": 0.17, ""trailing_stop_pct"": 0.0, ""_hash"": ""1c3a43f3f93e"", ""_optimization_run_id"": ""OPT_20260203_014857""}",-0.0393,-0.0381,-0.0865,-0.1546,-0.3628,0.104,NULL,0.0004,NULL,73,44,29,0.6027,0.8195,17852.99,-21785.88,405.7498,751.2372,734.5,1236.48,NULL,NULL,NULL,NULL,NULL,NULL,NULL,57:51.0,NULL,OPT_20260203_014857
12273,BT_20260203_015751_c9c1db79,TQQQ_SCALPING,1/2/2025,1/13/2026,NULL,"{""rsi_period"": 18.0, ""rsi_oversold"": 28.0, ""rsi_overbought"": 72.0, ""bb_period"": 29.0, ""bb_std_dev"": 1.5, ""stop_loss_pct"": 0.012, ""take_profit_pct"": 0.018, ""ema_fast_period"": 8.0, ""ema_slow_period"": 20.0, ""position_size_level1"": 0.55, ""position_size_level2"": 0.28, ""position_size_level3"": 0.17, ""trailing_stop_pct"": 0.015, ""_hash"": ""8da5ffb0ac68"", ""_optimization_run_id"": ""OPT_20260203_014857""}",0.0336,0.0325,0.2034,0.3578,0.9894,0.033,NULL,0.0003,NULL,31,20,11,0.6452,1.5762,9184.14,-5826.64,459.207,529.6945,740.15,1010.88,NULL,NULL,NULL,NULL,NULL,NULL,NULL,00:10.3,NULL,OPT_20260203_014857
12274,BT_20260203_020010_374a5683,TQQQ_SCALPING,1/2/2025,1/13/2026,NULL,"{""rsi_period"": 18.0, ""rsi_oversold"": 30.0, ""rsi_overbought"": 70.0, ""bb_period"": 29.0, ""bb_std_dev"": 1.5, ""stop_loss_pct"": 0.012, ""take_profit_pct"": 0.018, ""ema_fast_period"": 8.0, ""ema_slow_period"": 20.0, ""position_size_level1"": 0.55, ""position_size_level2"": 0.28, ""position_size_level3"": 0.17, ""trailing_stop_pct"": 0.015, ""_hash"": ""7abc423ecbac"", ""_optimization_run_id"": ""OPT_20260203_014857""}",-0.0302,-0.0293,-0.0983,-0.2334,-0.3951,0.074,NULL,0.0004,NULL,53,29,24,0.5472,0.8047,12436.51,-15455.09,428.8452,643.9621,734.5,1126.15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,02:19.5,NULL,OPT_20260203_014857
12275,BT_20260203_020219_c5a0f1a2,TQQQ_SCALPING,1/2/2025,1/13/2026,NULL,"{""rsi_period"": 18.0, ""rsi_oversold"": 32.0, ""rsi_overbought"": 68.0, ""bb_period"": 29.0, ""bb_std_dev"": 1.5, ""stop_loss_pct"": 0.012, ""take_profit_pct"": 0.018, ""ema_fast_period"": 8.0, ""ema_slow_period"": 20.0, ""position_size_level1"": 0.55, ""position_size_level2"": 0.28, ""position_size_level3"": 0.17, ""trailing_stop_pct"": 0.015, ""_hash"": ""cee9e25484f9"", ""_optimization_run_id"": ""OPT_20260203_014857""}",-0.0122,-0.0118,-0.0307,-0.0681,-0.1371,0.084,NULL,0.0004,NULL,73,42,31,0.5753,0.9346,17433.9,-18654.36,415.0929,601.7535,735.63,1150.68,NULL,NULL,NULL,NULL,NULL,NULL,NULL,04:08.8,NULL,OPT_20260203_014857
12276,BT_20260203_020408_1d13b8ee,TQQQ_SCALPING,1/2/2025,1/13/2026,NULL,"{""rsi_period"": 18.0, ""rsi_oversold"": 28.0, ""rsi_overbought"": 72.0, ""bb_period"": 29.0, ""bb_std_dev"": 1.5, ""stop_loss_pct"": 0.015, ""take_profit_pct"": 0.022, ""ema_fast_period"": 8.0, ""ema_slow_period"": 20.0, ""position_size_level1"": 0.55, ""position_size_level2"": 0.28, ""position_size_level3"": 0.17, ""trailing_stop_pct"": 0.015, ""_hash"": ""3bed10fa66fc"", ""_optimization_run_id"": ""OPT_20260203_014857""}",0.0293,0.0284,0.1707,0.2836,0.7711,0.037,NULL,0.0003,NULL,31,20,11,0.6452,1.4706,9169.67,-6235.14,458.4835,566.8309,740.15,1010.88,NULL,NULL,NULL,NULL,NULL,NULL,NULL,05:36.0,NULL,OPT_20260203_014857
