rsi_period,rsi_oversold,rsi_overbought,bb_period,bb_std_dev,ema_fast_period,ema_slow_period,stop_loss_pct,take_profit_pct,position_size_level1,position_size_level2,position_size_level3
15,25.1,72.0,18,1.8,14,22,0.025,0.035,0.53,0.37,0.14
17,21.08,78.71,24,2.1,11,24,0.023,0.04,0.56,0.26,0.15
12,28.8,72.2,27,1.8,15,29,0.028,0.038,0.56,0.3,0.15
15,25.8,79.7,23,2.1,7,23,0.026,0.034,0.48,0.31,0.2
14,33.7,75.1,27,2.2,11,28,0.024,0.03,0.5,0.33,0.15
12,27.4,65.7,25,2.2,5,28,0.011,0.036,0.49,0.3,0.24
11,31.5,68.7,16,1.5,12,19,0.024,0.031,0.43,0.31,0.24
11,28.54,71.9,18,2.0,10,23,0.016,0.026,0.45,0.3,0.21
17,32.4,78.1,17,2.0,12,17,0.028,0.045,0.55,0.26,0.15
18,31.6,66.8,16,1.7,8,27,0.03,0.049,0.45,0.24,0.28
14,34.8,68.0,18,1.7,7,26,0.02,0.032,0.55,0.39,0.1
14,30.8,65.1,18,2.1,6,27,0.026,0.029,0.57,0.25,0.15
18,28.9,68.9,18,1.7,8,28,0.019,0.042,0.5,0.24,0.23
14,20.3,66.5,28,1.5,11,25,0.019,0.035,0.67,0.25,0.13
14,26.3,73.1,29,2.4,14,22,0.014,0.021,0.54,0.31,0.11
21,24.0,66.1,16,1.5,11,20,0.016,0.026,0.47,0.34,0.18
19,22.6,65.9,29,1.7,15,24,0.015,0.026,0.59,0.3,0.15
12,34.8,79.1,25,1.8,10,21,0.023,0.035,0.44,0.36,0.17
19,23.3,72.8,28,2.3,14,23,0.016,0.026,0.38,0.36,0.28
12,31.4,74.6,22,1.7,12,16,0.027,0.044,0.54,0.32,0.17
16,26.4,78.7,21,1.9,5,30,0.019,0.05,0.47,0.29,0.23
11,25.6,65.5,20,2.1,7,22,0.023,0.047,0.47,0.34,0.21
14,35.0,74.2,27,2.4,8,24,0.015,0.038,0.38,0.36,0.27
14,25.1,72.7,25,2.2,6,29,0.024,0.03,0.5,0.3,0.22
16,32.2,65.4,18,2.0,9,26,0.015,0.026,0.51,0.32,0.21
20,27.0,78.7,18,1.9,7,29,0.017,0.023,0.54,0.29,0.15
14,29.4,75.7,20,2.3,7,20,0.03,0.048,0.55,0.31,0.2
15,26.2,77.3,28,2.4,13,21,0.022,0.028,0.39,0.38,0.22
16,24.9,68.7,18,2.4,10,29,0.026,0.027,0.59,0.29,0.16
18,22.2,73.9,26,1.8,12,17,0.016,0.027,0.42,0.3,0.23
11,30.8,66.1,28,1.6,6,26,0.029,0.034,0.46,0.3,0.21
11,21.7,67.9,20,1.9,11,26,0.016,0.028,0.44,0.27,0.27
16,30.0,65.8,26,2.0,11,23,0.02,0.033,0.47,0.3,0.2
17,21.9,68.8,19,2.2,7,17,0.018,0.048,0.56,0.24,0.24
18,34.2,74.5,15,1.9,6,25,0.013,0.034,0.45,0.38,0.2
12,26.7,70.6,17,1.8,15,22,0.012,0.04,0.35,0.36,0.33
13,23.7,79.8,17,1.8,11,25,0.012,0.047,0.59,0.23,0.17
21,27.6,72.0,20,1.6,8,29,0.03,0.04,0.48,0.25,0.29
11,27.0,70.8,21,2.1,10,26,0.018,0.047,0.44,0.28,0.26
14,21.3,68.1,20,2.2,13,16,0.012,0.048,0.34,0.43,0.27
13,30.4,75.5,19,2.2,8,17,0.024,0.034,0.6,0.24,0.14
20,23.7,79.1,29,1.9,11,25,0.013,0.022,0.51,0.31,0.19
20,27.9,69.1,15,2.3,11,24,0.017,0.028,0.45,0.37,0.16
15,26.6,78.7,27,1.7,15,28,0.016,0.02,0.56,0.3,0.12
15,24.9,79.5,29,2.0,8,27,0.017,0.032,0.54,0.31,0.16
17,25.1,66.6,22,1.8,12,23,0.029,0.042,0.45,0.26,0.31
16,25.5,76.8,21,2.3,8,19,0.014,0.046,0.52,0.28,0.23
10,21.7,75.1,16,2.3,12,28,0.02,0.035,0.4,0.32,0.24
20,22.3,65.3,26,1.9,6,26,0.03,0.05,0.34,0.36,0.28
18,20.1,78.9,29,1.5,8,20,0.01,0.042,0.34,0.39,0.27
18,32.5,80.0,25,2.2,7,25,0.015,0.034,0.47,0.32,0.2
15,33.5,79.3,16,2.2,9,27,0.012,0.037,0.45,0.36,0.23
14,33.2,76.1,16,1.8,8,24,0.011,0.031,0.55,0.35,0.13
14,29.7,79.9,23,1.8,6,21,0.013,0.027,0.39,0.46,0.14
10,25.4,73.7,26,1.9,7,25,0.028,0.035,0.54,0.22,0.28
20,21.8,67.6,30,1.8,8,19,0.026,0.041,0.47,0.29,0.25
16,31.4,74.1,23,2.4,11,21,0.012,0.045,0.36,0.38,0.25
10,20.6,79.9,16,2.3,8,21,0.021,0.044,0.64,0.23,0.15
12,28.6,74.4,15,1.7,8,17,0.013,0.021,0.41,0.34,0.25
14,24.9,65.9,15,2.0,9,17,0.016,0.03,0.52,0.24,0.22
19,21.6,73.8,27,1.9,14,26,0.014,0.048,0.46,0.43,0.12
20,27.9,73.8,26,2.1,13,18,0.019,0.044,0.36,0.36,0.28
14,28.9,74.7,23,2.4,6,16,0.026,0.036,0.58,0.25,0.18
12,27.1,65.8,20,1.7,13,29,0.014,0.029,0.53,0.28,0.16
14,20.2,71.5,30,1.5,7,29,0.01,0.026,0.47,0.35,0.2
21,33.0,79.6,16,2.4,7,24,0.021,0.023,0.5,0.3,0.23
16,28.2,72.6,20,2.1,15,16,0.02,0.039,0.41,0.34,0.21
16,31.1,66.6,22,1.9,9,22,0.013,0.043,0.37,0.35,0.24
11,26.7,75.6,16,1.9,15,21,0.028,0.036,0.47,0.32,0.24
15,34.0,72.9,19,2.1,5,17,0.015,0.046,0.39,0.33,0.28
14,32.4,66.0,28,1.6,11,18,0.024,0.042,0.4,0.33,0.22
15,21.1,72.3,21,1.7,10,28,0.028,0.03,0.57,0.33,0.15
18,31.0,67.7,23,2.0,8,19,0.024,0.043,0.46,0.3,0.18
17,29.8,70.2,29,2.1,9,24,0.029,0.039,0.34,0.41,0.27
