OutcomeId,BacktestId,StrategyId,StartDate,EndDate,TradingDays,ParametersJson,TotalReturn,CAGR,SharpeRatio,SortinoRatio,CalmarRatio,MaxDrawdown,MaxDrawdownDuration,Volatility,VaR_95,TotalTrades,WinningTrades,LosingTrades,WinRate,ProfitFactor,TotalProfit,TotalLoss,AverageWin,AverageLoss,LargestWin,LargestLoss,Expectancy,ExpectancyRatio,PrimaryRegime,RegimeBreakdown,PerformanceGrade,IsSuccessful,ExecutionTimeSeconds,CreatedAt,Notes,OptimizationRunId
12380,BT_20260203_135928_ef2f38bd,TQQQ_SCALPING,1/2/2025,1/13/2026,NULL,"{""algorithm_name"": ""TQQQSQQQPairsAlgorithm"", ""zscore_lookback"": 30, ""entry_zscore"": 1.5, ""exit_zscore"": 0.3, ""stop_zscore"": 3.0, ""position_size"": 0.5, ""stop_loss_pct"": 0.03, ""max_hold_minutes"": 0, ""min_bars_between"": 3, ""rsi_period"": 14, ""rsi_oversold"": 28.0, ""rsi_overbought"": 72.0, ""bb_period"": 20, ""bb_std_dev"": 2.0, ""position_size_level1"": 0.5, ""position_size_level2"": 0.3, ""position_size_level3"": 0.2, ""ema_fast_period"": 9, ""ema_slow_period"": 21, ""_hash"": ""e3082b13c380"", ""_optimization_run_id"": ""OPT_20260203_135928""}",1.9714,1.8728,0.0259,0.2076,12.6819,0.143,NULL,0.0153,NULL,1713,1073,640,0.6264,1.8166,438567.5,-241428.31,408.7302,377.2317,182313.18,6261.75,NULL,NULL,NULL,NULL,NULL,NULL,NULL,59:51.9,NULL,OPT_20260203_135928
12381,BT_20260203_135951_d88481e2,TQQQ_SCALPING,1/2/2025,1/13/2026,NULL,"{""algorithm_name"": ""TQQQSQQQPairsAlgorithm"", ""zscore_lookback"": 50, ""entry_zscore"": 1.5, ""exit_zscore"": 0.3, ""stop_zscore"": 3.0, ""position_size"": 0.5, ""stop_loss_pct"": 0.03, ""max_hold_minutes"": 0, ""min_bars_between"": 3, ""rsi_period"": 14, ""rsi_oversold"": 28.0, ""rsi_overbought"": 72.0, ""bb_period"": 20, ""bb_std_dev"": 2.0, ""position_size_level1"": 0.5, ""position_size_level2"": 0.3, ""position_size_level3"": 0.2, ""ema_fast_period"": 9, ""ema_slow_period"": 21, ""_hash"": ""7b3989efaeb0"", ""_optimization_run_id"": ""OPT_20260203_135928""}",1.7329,1.6491,0.0258,0.2031,10.2076,0.155,NULL,0.0154,NULL,1548,899,649,0.5807,1.7357,408842.25,-235554.15,454.7745,362.9494,169626.15,6421.88,NULL,NULL,NULL,NULL,NULL,NULL,NULL,00:13.2,NULL,OPT_20260203_135928
12382,BT_20260203_140013_384e0362,TQQQ_SCALPING,1/2/2025,1/13/2026,NULL,"{""algorithm_name"": ""TQQQSQQQPairsAlgorithm"", ""zscore_lookback"": 78, ""entry_zscore"": 1.5, ""exit_zscore"": 0.3, ""stop_zscore"": 3.0, ""position_size"": 0.5, ""stop_loss_pct"": 0.03, ""max_hold_minutes"": 0, ""min_bars_between"": 3, ""rsi_period"": 14, ""rsi_oversold"": 28.0, ""rsi_overbought"": 72.0, ""bb_period"": 20, ""bb_std_dev"": 2.0, ""position_size_level1"": 0.5, ""position_size_level2"": 0.3, ""position_size_level3"": 0.2, ""ema_fast_period"": 9, ""ema_slow_period"": 21, ""_hash"": ""eb6aadec22ed"", ""_optimization_run_id"": ""OPT_20260203_135928""}",0.0742,0.0719,0.011,0.0115,0.4013,0.177,NULL,0.0016,NULL,1320,789,531,0.5977,1.0413,187162.23,-179738.34,237.2145,338.4903,4921.84,2356.69,NULL,NULL,NULL,NULL,NULL,NULL,NULL,00:36.3,NULL,OPT_20260203_135928
12383,BT_20260203_140036_662ed269,TQQQ_SCALPING,1/2/2025,1/13/2026,NULL,"{""algorithm_name"": ""TQQQSQQQPairsAlgorithm"", ""zscore_lookback"": 50, ""entry_zscore"": 1.0, ""exit_zscore"": 0.3, ""stop_zscore"": 2.5, ""position_size"": 0.5, ""stop_loss_pct"": 0.03, ""max_hold_minutes"": 0, ""min_bars_between"": 3, ""rsi_period"": 14, ""rsi_oversold"": 28.0, ""rsi_overbought"": 72.0, ""bb_period"": 20, ""bb_std_dev"": 2.0, ""position_size_level1"": 0.5, ""position_size_level2"": 0.3, ""position_size_level3"": 0.2, ""ema_fast_period"": 9, ""ema_slow_period"": 21, ""_hash"": ""2cdaf275920c"", ""_optimization_run_id"": ""OPT_20260203_135928""}",-0.0098,-0.0095,-0.0013,-0.0014,-0.0582,0.149,NULL,0.0012,NULL,1768,969,799,0.5481,0.9952,203118.45,-204096.98,209.6166,255.4405,3673.8,6487.04,NULL,NULL,NULL,NULL,NULL,NULL,NULL,00:57.6,NULL,OPT_20260203_135928
12384,BT_20260203_140057_e714e15a,TQQQ_SCALPING,1/2/2025,1/13/2026,NULL,"{""algorithm_name"": ""TQQQSQQQPairsAlgorithm"", ""zscore_lookback"": 50, ""entry_zscore"": 2.0, ""exit_zscore"": 0.5, ""stop_zscore"": 3.5, ""position_size"": 0.5, ""stop_loss_pct"": 0.03, ""max_hold_minutes"": 0, ""min_bars_between"": 3, ""rsi_period"": 14, ""rsi_oversold"": 28.0, ""rsi_overbought"": 72.0, ""bb_period"": 20, ""bb_std_dev"": 2.0, ""position_size_level1"": 0.5, ""position_size_level2"": 0.3, ""position_size_level3"": 0.2, ""ema_fast_period"": 9, ""ema_slow_period"": 21, ""_hash"": ""f20c0d5b95e2"", ""_optimization_run_id"": ""OPT_20260203_135928""}",1.8785,1.7857,0.0253,0.2009,12.3155,0.148,NULL,0.0154,NULL,1769,1032,737,0.5834,1.8714,403410.41,-215565.05,390.9016,292.4899,175550.49,6653.56,NULL,NULL,NULL,NULL,NULL,NULL,NULL,01:22.8,NULL,OPT_20260203_135928
12385,BT_20260203_140122_5652cd5d,TQQQ_SCALPING,1/2/2025,1/13/2026,NULL,"{""algorithm_name"": ""TQQQSQQQPairsAlgorithm"", ""zscore_lookback"": 50, ""entry_zscore"": 1.5, ""exit_zscore"": 0.0, ""stop_zscore"": 3.0, ""position_size"": 0.5, ""stop_loss_pct"": 0.03, ""max_hold_minutes"": 0, ""min_bars_between"": 3, ""rsi_period"": 14, ""rsi_oversold"": 28.0, ""rsi_overbought"": 72.0, ""bb_period"": 20, ""bb_std_dev"": 2.0, ""position_size_level1"": 0.5, ""position_size_level2"": 0.3, ""position_size_level3"": 0.2, ""ema_fast_period"": 9, ""ema_slow_period"": 21, ""_hash"": ""917d6d2bf236"", ""_optimization_run_id"": ""OPT_20260203_135928""}",1.145,1.0949,0.0246,0.1939,3.4717,0.312,NULL,0.0154,NULL,1159,661,498,0.5703,1.5421,325739.71,-211235.49,492.7984,424.1677,135533.25,4901.76,NULL,NULL,NULL,NULL,NULL,NULL,NULL,01:42.0,NULL,OPT_20260203_135928
12386,BT_20260203_140142_ad0f303a,TQQQ_SCALPING,1/2/2025,1/13/2026,NULL,"{""algorithm_name"": ""TQQQSQQQPairsAlgorithm"", ""zscore_lookback"": 50, ""entry_zscore"": 1.5, ""exit_zscore"": 0.3, ""stop_zscore"": 3.0, ""position_size"": 0.6, ""stop_loss_pct"": 0.03, ""max_hold_minutes"": 0, ""min_bars_between"": 3, ""rsi_period"": 14, ""rsi_oversold"": 28.0, ""rsi_overbought"": 72.0, ""bb_period"": 20, ""bb_std_dev"": 2.0, ""position_size_level1"": 0.5, ""position_size_level2"": 0.3, ""position_size_level3"": 0.2, ""ema_fast_period"": 9, ""ema_slow_period"": 21, ""_hash"": ""19557d9566d0"", ""_optimization_run_id"": ""OPT_20260203_135928""}",2.0487,1.9452,0.0259,0.1928,10.0347,0.186,NULL,0.0186,NULL,1548,899,649,0.5807,1.7099,493463.8,-288598.23,548.903,444.6814,199191.96,7630.96,NULL,NULL,NULL,NULL,NULL,NULL,NULL,02:03.2,NULL,OPT_20260203_135928
12387,BT_20260203_140203_feb46d52,TQQQ_SCALPING,1/2/2025,1/13/2026,NULL,"{""algorithm_name"": ""TQQQSQQQPairsAlgorithm"", ""zscore_lookback"": 50, ""entry_zscore"": 1.5, ""exit_zscore"": 0.3, ""stop_zscore"": 3.0, ""position_size"": 0.4, ""stop_loss_pct"": 0.03, ""max_hold_minutes"": 0, ""min_bars_between"": 3, ""rsi_period"": 14, ""rsi_oversold"": 28.0, ""rsi_overbought"": 72.0, ""bb_period"": 20, ""bb_std_dev"": 2.0, ""position_size_level1"": 0.5, ""position_size_level2"": 0.3, ""position_size_level3"": 0.2, ""ema_fast_period"": 9, ""ema_slow_period"": 21, ""_hash"": ""420e2615c231"", ""_optimization_run_id"": ""OPT_20260203_135928""}",1.4053,1.3408,0.0256,0.2134,10.375,0.124,NULL,0.0123,NULL,1548,899,649,0.5807,1.7631,324699.87,-184167.36,361.1789,283.771,138495.42,5183.84,NULL,NULL,NULL,NULL,NULL,NULL,NULL,02:24.4,NULL,OPT_20260203_135928
12388,BT_20260203_140224_282a6180,TQQQ_SCALPING,1/2/2025,1/13/2026,NULL,"{""algorithm_name"": ""TQQQSQQQPairsAlgorithm"", ""zscore_lookback"": 50, ""entry_zscore"": 1.5, ""exit_zscore"": 0.3, ""stop_zscore"": 3.0, ""position_size"": 0.5, ""stop_loss_pct"": 0.02, ""max_hold_minutes"": 0, ""min_bars_between"": 3, ""rsi_period"": 14, ""rsi_oversold"": 28.0, ""rsi_overbought"": 72.0, ""bb_period"": 20, ""bb_std_dev"": 2.0, ""position_size_level1"": 0.5, ""position_size_level2"": 0.3, ""position_size_level3"": 0.2, ""ema_fast_period"": 9, ""ema_slow_period"": 21, ""_hash"": ""0b1a806da34b"", ""_optimization_run_id"": ""OPT_20260203_135928""}",2.0289,1.9266,0.027,0.2337,13.6727,0.124,NULL,0.0155,NULL,1575,911,664,0.5784,1.7736,465137.37,-262252.36,510.5789,394.9584,188181.63,6261.75,NULL,NULL,NULL,NULL,NULL,NULL,NULL,02:49.7,NULL,OPT_20260203_135928
12389,BT_20260203_140249_9cc689c1,TQQQ_SCALPING,1/2/2025,1/13/2026,NULL,"{""algorithm_name"": ""TQQQSQQQPairsAlgorithm"", ""zscore_lookback"": 50, ""entry_zscore"": 1.5, ""exit_zscore"": 0.3, ""stop_zscore"": 3.0, ""position_size"": 0.5, ""stop_loss_pct"": 0.04, ""max_hold_minutes"": 0, ""min_bars_between"": 3, ""rsi_period"": 14, ""rsi_oversold"": 28.0, ""rsi_overbought"": 72.0, ""bb_period"": 20, ""bb_std_dev"": 2.0, ""position_size_level1"": 0.5, ""position_size_level2"": 0.3, ""position_size_level3"": 0.2, ""ema_fast_period"": 9, ""ema_slow_period"": 21, ""_hash"": ""63d68626f2fa"", ""_optimization_run_id"": ""OPT_20260203_135928""}",1.7347,1.6508,0.0258,0.2045,9.7604,0.165,NULL,0.0154,NULL,1541,893,648,0.5795,1.7445,406465.93,-232995.18,455.169,359.5605,169737.93,5452.32,NULL,NULL,NULL,NULL,NULL,NULL,NULL,03:11.0,NULL,OPT_20260203_135928
