OutcomeId,BacktestId,StrategyId,StartDate,EndDate,TradingDays,ParametersJson,TotalReturn,CAGR,SharpeRatio,SortinoRatio,CalmarRatio,MaxDrawdown,MaxDrawdownDuration,Volatility,VaR_95,TotalTrades,WinningTrades,LosingTrades,WinRate,ProfitFactor,TotalProfit,TotalLoss,AverageWin,AverageLoss,LargestWin,LargestLoss,Expectancy,ExpectancyRatio,PrimaryRegime,RegimeBreakdown,PerformanceGrade,IsSuccessful,ExecutionTimeSeconds,CreatedAt,Notes,OptimizationRunId
12435,BT_20260203_143948_75e3762f,TQQQ_SCALPING,1/2/2025,1/13/2026,NULL,"{""algorithm_name"": ""TQQQSQQQPairsAlgorithm"", ""zscore_lookback"": 43, ""entry_zscore"": 1.5, ""exit_zscore"": 0.3, ""stop_zscore"": 3.0, ""position_size"": 0.55, ""stop_loss_pct"": 0.02, ""max_hold_minutes"": 0, ""min_bars_between"": 3, ""rsi_period"": 14, ""rsi_oversold"": 28.0, ""rsi_overbought"": 72.0, ""bb_period"": 20, ""bb_std_dev"": 2.0, ""position_size_level1"": 0.5, ""position_size_level2"": 0.3, ""position_size_level3"": 0.2, ""ema_fast_period"": 9, ""ema_slow_period"": 21, ""_hash"": ""143ad91867e0"", ""_optimization_run_id"": ""OPT_20260203_143948""}",2.2173,2.1029,0.027,0.2456,15.7756,0.128,NULL,0.0169,NULL,1606,992,614,0.6177,1.8006,498688.38,-276960.92,502.7101,451.0764,203327.82,5771.04,NULL,NULL,NULL,NULL,NULL,NULL,NULL,40:06.1,NULL,OPT_20260203_143948
12436,BT_20260203_144006_1f56e00b,TQQQ_SCALPING,1/2/2025,1/13/2026,NULL,"{""algorithm_name"": ""TQQQSQQQPairsAlgorithm"", ""zscore_lookback"": 44, ""entry_zscore"": 1.5, ""exit_zscore"": 0.3, ""stop_zscore"": 3.0, ""position_size"": 0.55, ""stop_loss_pct"": 0.02, ""max_hold_minutes"": 0, ""min_bars_between"": 3, ""rsi_period"": 14, ""rsi_oversold"": 28.0, ""rsi_overbought"": 72.0, ""bb_period"": 20, ""bb_std_dev"": 2.0, ""position_size_level1"": 0.5, ""position_size_level2"": 0.3, ""position_size_level3"": 0.2, ""ema_fast_period"": 9, ""ema_slow_period"": 21, ""_hash"": ""c1f88877c5f8"", ""_optimization_run_id"": ""OPT_20260203_143948""}",2.3056,2.1854,0.027,0.2475,16.6204,0.117,NULL,0.0169,NULL,1608,984,624,0.6119,1.8124,514348.31,-283793.16,522.7117,454.7967,211096.53,5963.76,NULL,NULL,NULL,NULL,NULL,NULL,NULL,40:29.3,NULL,OPT_20260203_143948
12437,BT_20260203_144029_96b60040,TQQQ_SCALPING,1/2/2025,1/13/2026,NULL,"{""algorithm_name"": ""TQQQSQQQPairsAlgorithm"", ""zscore_lookback"": 46, ""entry_zscore"": 1.5, ""exit_zscore"": 0.3, ""stop_zscore"": 3.0, ""position_size"": 0.55, ""stop_loss_pct"": 0.02, ""max_hold_minutes"": 0, ""min_bars_between"": 3, ""rsi_period"": 14, ""rsi_oversold"": 28.0, ""rsi_overbought"": 72.0, ""bb_period"": 20, ""bb_std_dev"": 2.0, ""position_size_level1"": 0.5, ""position_size_level2"": 0.3, ""position_size_level3"": 0.2, ""ema_fast_period"": 9, ""ema_slow_period"": 21, ""_hash"": ""d07963951710"", ""_optimization_run_id"": ""OPT_20260203_143948""}",2.3346,2.2125,0.0282,0.2415,16.9777,0.124,NULL,0.0169,NULL,1603,960,643,0.5989,1.8321,514040.47,-280581.83,535.4588,436.3637,205172.19,6411.36,NULL,NULL,NULL,NULL,NULL,NULL,NULL,40:48.6,NULL,OPT_20260203_143948
12438,BT_20260203_144048_d71c9752,TQQQ_SCALPING,1/2/2025,1/13/2026,NULL,"{""algorithm_name"": ""TQQQSQQQPairsAlgorithm"", ""zscore_lookback"": 47, ""entry_zscore"": 1.5, ""exit_zscore"": 0.3, ""stop_zscore"": 3.0, ""position_size"": 0.55, ""stop_loss_pct"": 0.02, ""max_hold_minutes"": 0, ""min_bars_between"": 3, ""rsi_period"": 14, ""rsi_oversold"": 28.0, ""rsi_overbought"": 72.0, ""bb_period"": 20, ""bb_std_dev"": 2.0, ""position_size_level1"": 0.5, ""position_size_level2"": 0.3, ""position_size_level3"": 0.2, ""ema_fast_period"": 9, ""ema_slow_period"": 21, ""_hash"": ""c5f602c69e35"", ""_optimization_run_id"": ""OPT_20260203_143948""}",2.3946,2.2685,0.0282,0.2369,16.3841,0.127,NULL,0.0169,NULL,1607,962,645,0.5986,1.8357,525990.36,-286532.61,546.7675,444.2366,209922.84,6660,NULL,NULL,NULL,NULL,NULL,NULL,NULL,41:07.8,NULL,OPT_20260203_143948
12439,BT_20260203_144107_3becb8c7,TQQQ_SCALPING,1/2/2025,1/13/2026,NULL,"{""algorithm_name"": ""TQQQSQQQPairsAlgorithm"", ""zscore_lookback"": 45, ""entry_zscore"": 1.5, ""exit_zscore"": 0.3, ""stop_zscore"": 3.0, ""position_size"": 0.52, ""stop_loss_pct"": 0.02, ""max_hold_minutes"": 0, ""min_bars_between"": 3, ""rsi_period"": 14, ""rsi_oversold"": 28.0, ""rsi_overbought"": 72.0, ""bb_period"": 20, ""bb_std_dev"": 2.0, ""position_size_level1"": 0.5, ""position_size_level2"": 0.3, ""position_size_level3"": 0.2, ""ema_fast_period"": 9, ""ema_slow_period"": 21, ""_hash"": ""26895e99d981"", ""_optimization_run_id"": ""OPT_20260203_143948""}",2.2429,2.1269,0.0278,0.2621,17.5344,0.11,NULL,0.016,NULL,1610,980,630,0.6087,1.8575,485866.31,-261573.96,495.7819,415.1968,199694.97,5493.84,NULL,NULL,NULL,NULL,NULL,NULL,NULL,41:29.0,NULL,OPT_20260203_143948
12440,BT_20260203_144129_cca395ff,TQQQ_SCALPING,1/2/2025,1/13/2026,NULL,"{""algorithm_name"": ""TQQQSQQQPairsAlgorithm"", ""zscore_lookback"": 45, ""entry_zscore"": 1.5, ""exit_zscore"": 0.3, ""stop_zscore"": 3.0, ""position_size"": 0.53, ""stop_loss_pct"": 0.02, ""max_hold_minutes"": 0, ""min_bars_between"": 3, ""rsi_period"": 14, ""rsi_oversold"": 28.0, ""rsi_overbought"": 72.0, ""bb_period"": 20, ""bb_std_dev"": 2.0, ""position_size_level1"": 0.5, ""position_size_level2"": 0.3, ""position_size_level3"": 0.2, ""ema_fast_period"": 9, ""ema_slow_period"": 21, ""_hash"": ""43ea2975cb98"", ""_optimization_run_id"": ""OPT_20260203_143948""}",2.2886,2.1695,0.0278,0.2605,17.3237,0.112,NULL,0.0163,NULL,1610,980,630,0.6087,1.8554,496384.14,-267529.04,506.5144,424.6493,203551.38,5676,NULL,NULL,NULL,NULL,NULL,NULL,NULL,41:48.2,NULL,OPT_20260203_143948
12441,BT_20260203_144148_fadd96a5,TQQQ_SCALPING,1/2/2025,1/13/2026,NULL,"{""algorithm_name"": ""TQQQSQQQPairsAlgorithm"", ""zscore_lookback"": 45, ""entry_zscore"": 1.5, ""exit_zscore"": 0.3, ""stop_zscore"": 3.0, ""position_size"": 0.57, ""stop_loss_pct"": 0.02, ""max_hold_minutes"": 0, ""min_bars_between"": 3, ""rsi_period"": 14, ""rsi_oversold"": 28.0, ""rsi_overbought"": 72.0, ""bb_period"": 20, ""bb_std_dev"": 2.0, ""position_size_level1"": 0.5, ""position_size_level2"": 0.3, ""position_size_level3"": 0.2, ""ema_fast_period"": 9, ""ema_slow_period"": 21, ""_hash"": ""9541bc50f0d6"", ""_optimization_run_id"": ""OPT_20260203_143948""}",2.4758,2.3443,0.0279,0.2542,16.5456,0.12,NULL,0.0175,NULL,1611,980,631,0.6083,1.8485,539371.3,-291787.84,550.3789,462.4213,219256.47,6436.32,NULL,NULL,NULL,NULL,NULL,NULL,NULL,42:11.5,NULL,OPT_20260203_143948
12442,BT_20260203_144211_d4464c3e,TQQQ_SCALPING,1/2/2025,1/13/2026,NULL,"{""algorithm_name"": ""TQQQSQQQPairsAlgorithm"", ""zscore_lookback"": 45, ""entry_zscore"": 1.5, ""exit_zscore"": 0.3, ""stop_zscore"": 3.0, ""position_size"": 0.58, ""stop_loss_pct"": 0.02, ""max_hold_minutes"": 0, ""min_bars_between"": 3, ""rsi_period"": 14, ""rsi_oversold"": 28.0, ""rsi_overbought"": 72.0, ""bb_period"": 20, ""bb_std_dev"": 2.0, ""position_size_level1"": 0.5, ""position_size_level2"": 0.3, ""position_size_level3"": 0.2, ""ema_fast_period"": 9, ""ema_slow_period"": 21, ""_hash"": ""7028584ae728"", ""_optimization_run_id"": ""OPT_20260203_143948""}",2.5235,2.3887,0.028,0.2528,16.3637,0.122,NULL,0.0178,NULL,1611,980,631,0.6083,1.847,550306.45,-297953.94,561.5372,472.1932,223224.66,6634.32,NULL,NULL,NULL,NULL,NULL,NULL,NULL,42:36.8,NULL,OPT_20260203_143948
12443,BT_20260203_144236_10b579e7,TQQQ_SCALPING,1/2/2025,1/13/2026,NULL,"{""algorithm_name"": ""TQQQSQQQPairsAlgorithm"", ""zscore_lookback"": 45, ""entry_zscore"": 1.5, ""exit_zscore"": 0.32, ""stop_zscore"": 3.0, ""position_size"": 0.55, ""stop_loss_pct"": 0.02, ""max_hold_minutes"": 0, ""min_bars_between"": 3, ""rsi_period"": 14, ""rsi_oversold"": 28.0, ""rsi_overbought"": 72.0, ""bb_period"": 20, ""bb_std_dev"": 2.0, ""position_size_level1"": 0.5, ""position_size_level2"": 0.3, ""position_size_level3"": 0.2, ""ema_fast_period"": 9, ""ema_slow_period"": 21, ""_hash"": ""330ddebb114a"", ""_optimization_run_id"": ""OPT_20260203_143948""}",2.4023,2.2757,0.0279,0.2534,17.0143,0.116,NULL,0.0169,NULL,1638,1001,637,0.6111,1.8491,523159.18,-282932.64,522.6365,444.1643,211599.54,6069.36,NULL,NULL,NULL,NULL,NULL,NULL,NULL,42:58.0,NULL,OPT_20260203_143948
12444,BT_20260203_144258_5af10c38,TQQQ_SCALPING,1/2/2025,1/13/2026,NULL,"{""algorithm_name"": ""TQQQSQQQPairsAlgorithm"", ""zscore_lookback"": 45, ""entry_zscore"": 1.5, ""exit_zscore"": 0.33, ""stop_zscore"": 3.0, ""position_size"": 0.55, ""stop_loss_pct"": 0.02, ""max_hold_minutes"": 0, ""min_bars_between"": 3, ""rsi_period"": 14, ""rsi_oversold"": 28.0, ""rsi_overbought"": 72.0, ""bb_period"": 20, ""bb_std_dev"": 2.0, ""position_size_level1"": 0.5, ""position_size_level2"": 0.3, ""position_size_level3"": 0.2, ""ema_fast_period"": 9, ""ema_slow_period"": 21, ""_hash"": ""2fed5016b9e9"", ""_optimization_run_id"": ""OPT_20260203_143948""}",2.4365,2.3076,0.0274,0.2516,17.0311,0.114,NULL,0.0169,NULL,1651,1008,643,0.6105,1.8482,530908.91,-287256.41,526.6953,446.744,217188.54,6151.2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,43:23.2,NULL,OPT_20260203_143948
