sma_fast,sma_slow,bull_allocation,bear_allocation,use_cash_zone,mixed_allocation,mixed_instrument,rebalance_threshold,max_drawdown_exit,confirmation_days
50,200,0.90,0.50,true,0.30,tqqq,0.05,0.0,1
50,200,0.90,0.50,true,0.30,tqqq,0.05,0.0,3
50,200,0.90,0.50,false,0.30,tqqq,0.05,0.0,1
50,200,0.95,0.60,true,0.30,tqqq,0.05,0.0,1
50,200,0.80,0.40,true,0.30,tqqq,0.05,0.0,1
50,200,0.90,0.50,true,0.30,tqqq,0.05,0.25,1
50,200,0.90,0.50,true,0.30,tqqq,0.05,0.30,1
50,200,0.90,0.00,true,0.00,tqqq,0.05,0.0,1
50,250,0.90,0.50,true,0.30,tqqq,0.05,0.0,1
50,250,0.90,0.50,true,0.30,tqqq,0.05,0.0,3
50,250,0.90,0.50,false,0.30,tqqq,0.05,0.0,1
50,250,0.95,0.60,true,0.30,tqqq,0.05,0.0,1
50,250,0.80,0.40,true,0.30,tqqq,0.05,0.0,1
50,250,0.90,0.00,true,0.00,tqqq,0.05,0.0,1
50,250,0.90,0.50,true,0.30,tqqq,0.05,0.25,1
50,250,0.90,0.50,true,0.30,tqqq,0.05,0.30,3
20,200,0.90,0.50,true,0.30,tqqq,0.05,0.0,1
20,200,0.90,0.50,true,0.30,tqqq,0.05,0.0,3
20,200,0.90,0.50,false,0.30,tqqq,0.05,0.0,1
20,200,0.95,0.60,true,0.30,tqqq,0.05,0.0,1
20,250,0.90,0.50,true,0.30,tqqq,0.05,0.0,1
20,250,0.90,0.50,true,0.30,tqqq,0.05,0.0,3
100,200,0.90,0.50,true,0.30,tqqq,0.05,0.0,1
100,200,0.90,0.50,true,0.30,tqqq,0.05,0.0,5
100,200,0.90,0.50,false,0.50,tqqq,0.05,0.0,1
100,250,0.90,0.50,true,0.30,tqqq,0.05,0.0,1
100,250,0.90,0.50,true,0.30,tqqq,0.05,0.0,3
50,150,0.90,0.50,true,0.30,tqqq,0.05,0.0,1
50,150,0.90,0.50,true,0.30,tqqq,0.05,0.0,3
50,150,0.95,0.60,false,0.30,tqqq,0.05,0.0,1
50,200,1.00,0.50,true,0.30,tqqq,0.05,0.0,1
50,200,0.90,0.50,true,0.50,sqqq,0.05,0.0,1
