sma_fast,sma_slow,bull_allocation,bear_allocation,use_cash_zone,mixed_allocation,mixed_instrument,rebalance_threshold,max_drawdown_exit,confirmation_days,bear_confirmation_days,bear_sma_margin,bear_momentum_lookback
50,200,0.90,0.00,True,0.30,tqqq,0.05,0.0,1,5,0.02,10
20,200,0.90,0.00,True,0.30,tqqq,0.05,0.0,1,5,0.02,10
35,200,0.90,0.00,True,0.30,tqqq,0.05,0.0,1,5,0.02,10
75,200,0.90,0.00,True,0.30,tqqq,0.05,0.0,1,5,0.02,10
100,200,0.90,0.00,True,0.30,tqqq,0.05,0.0,1,5,0.02,10
20,225,0.90,0.00,True,0.30,tqqq,0.05,0.0,1,5,0.02,10
35,225,0.90,0.00,True,0.30,tqqq,0.05,0.0,1,5,0.02,10
50,225,0.90,0.00,True,0.30,tqqq,0.05,0.0,1,5,0.02,10
75,225,0.90,0.00,True,0.30,tqqq,0.05,0.0,1,5,0.02,10
100,225,0.90,0.00,True,0.30,tqqq,0.05,0.0,1,5,0.02,10
20,250,0.90,0.00,True,0.30,tqqq,0.05,0.0,1,5,0.02,10
35,250,0.90,0.00,True,0.30,tqqq,0.05,0.0,1,5,0.02,10
50,250,0.90,0.00,True,0.30,tqqq,0.05,0.0,1,5,0.02,10
75,250,0.90,0.00,True,0.30,tqqq,0.05,0.0,1,5,0.02,10
100,250,0.90,0.00,True,0.30,tqqq,0.05,0.0,1,5,0.02,10
20,275,0.90,0.00,True,0.30,tqqq,0.05,0.0,1,5,0.02,10
35,275,0.90,0.00,True,0.30,tqqq,0.05,0.0,1,5,0.02,10
50,275,0.90,0.00,True,0.30,tqqq,0.05,0.0,1,5,0.02,10
75,275,0.90,0.00,True,0.30,tqqq,0.05,0.0,1,5,0.02,10
100,275,0.90,0.00,True,0.30,tqqq,0.05,0.0,1,5,0.02,10
20,300,0.90,0.00,True,0.30,tqqq,0.05,0.0,1,5,0.02,10
35,300,0.90,0.00,True,0.30,tqqq,0.05,0.0,1,5,0.02,10
50,300,0.90,0.00,True,0.30,tqqq,0.05,0.0,1,5,0.02,10
75,300,0.90,0.00,True,0.30,tqqq,0.05,0.0,1,5,0.02,10
100,300,0.90,0.00,True,0.30,tqqq,0.05,0.0,1,5,0.02,10
50,200,0.90,0.30,True,0.30,tqqq,0.05,0.0,1,7,0.02,10
50,225,0.90,0.30,True,0.30,tqqq,0.05,0.0,1,7,0.02,10
50,250,0.90,0.30,True,0.30,tqqq,0.05,0.0,1,7,0.02,10
50,275,0.90,0.30,True,0.30,tqqq,0.05,0.0,1,7,0.02,10
50,300,0.90,0.30,True,0.30,tqqq,0.05,0.0,1,7,0.02,10
