sma_fast,sma_slow,bull_allocation,bear_allocation,use_cash_zone,mixed_allocation,rebalance_threshold,confirmation_days,bear_confirmation_days,bear_sma_margin,bear_momentum_lookback,dynamic_allocation,bull_alloc_min,bull_alloc_max,alloc_scale_max_pct
# CONTROLS: Static allocation (dynamic=false) - reproduces v1.2 winners
50,200,0.90,0.0,true,0.30,0.05,1,5,0.02,10,false,0.30,1.00,0.10
50,300,0.90,0.0,true,0.30,0.05,1,5,0.02,10,false,0.30,1.00,0.10
# DYNAMIC ON SMA 50/200: Vary min allocation (floor), max stays 1.0, scale_max=5%
50,200,0.90,0.0,true,0.30,0.05,1,5,0.02,10,true,0.20,1.00,0.05
50,200,0.90,0.0,true,0.30,0.05,1,5,0.02,10,true,0.30,1.00,0.05
50,200,0.90,0.0,true,0.30,0.05,1,5,0.02,10,true,0.40,1.00,0.05
50,200,0.90,0.0,true,0.30,0.05,1,5,0.02,10,true,0.50,1.00,0.05
# DYNAMIC ON SMA 50/200: Vary min allocation, scale_max=10%
50,200,0.90,0.0,true,0.30,0.05,1,5,0.02,10,true,0.20,1.00,0.10
50,200,0.90,0.0,true,0.30,0.05,1,5,0.02,10,true,0.30,1.00,0.10
50,200,0.90,0.0,true,0.30,0.05,1,5,0.02,10,true,0.40,1.00,0.10
50,200,0.90,0.0,true,0.30,0.05,1,5,0.02,10,true,0.50,1.00,0.10
# DYNAMIC ON SMA 50/200: Vary min allocation, scale_max=15% (more gradual)
50,200,0.90,0.0,true,0.30,0.05,1,5,0.02,10,true,0.20,1.00,0.15
50,200,0.90,0.0,true,0.30,0.05,1,5,0.02,10,true,0.30,1.00,0.15
50,200,0.90,0.0,true,0.30,0.05,1,5,0.02,10,true,0.40,1.00,0.15
50,200,0.90,0.0,true,0.30,0.05,1,5,0.02,10,true,0.50,1.00,0.15
# DYNAMIC ON SMA 50/200: Cap max at 0.90 (same as static ceiling)
50,200,0.90,0.0,true,0.30,0.05,1,5,0.02,10,true,0.30,0.90,0.05
50,200,0.90,0.0,true,0.30,0.05,1,5,0.02,10,true,0.30,0.90,0.10
50,200,0.90,0.0,true,0.30,0.05,1,5,0.02,10,true,0.50,0.90,0.05
50,200,0.90,0.0,true,0.30,0.05,1,5,0.02,10,true,0.50,0.90,0.10
# DYNAMIC ON SMA 50/300: Same key combos on the lower-DD SMA config
50,300,0.90,0.0,true,0.30,0.05,1,5,0.02,10,true,0.20,1.00,0.05
50,300,0.90,0.0,true,0.30,0.05,1,5,0.02,10,true,0.30,1.00,0.05
50,300,0.90,0.0,true,0.30,0.05,1,5,0.02,10,true,0.40,1.00,0.05
50,300,0.90,0.0,true,0.30,0.05,1,5,0.02,10,true,0.50,1.00,0.05
50,300,0.90,0.0,true,0.30,0.05,1,5,0.02,10,true,0.20,1.00,0.10
50,300,0.90,0.0,true,0.30,0.05,1,5,0.02,10,true,0.30,1.00,0.10
50,300,0.90,0.0,true,0.30,0.05,1,5,0.02,10,true,0.40,1.00,0.10
50,300,0.90,0.0,true,0.30,0.05,1,5,0.02,10,true,0.50,1.00,0.10
50,300,0.90,0.0,true,0.30,0.05,1,5,0.02,10,true,0.30,0.90,0.05
50,300,0.90,0.0,true,0.30,0.05,1,5,0.02,10,true,0.30,0.90,0.10
50,300,0.90,0.0,true,0.30,0.05,1,5,0.02,10,true,0.50,0.90,0.10
