OutcomeId,BacktestId,StrategyId,StartDate,EndDate,TradingDays,ParametersJson,TotalReturn,CAGR,SharpeRatio,SortinoRatio,CalmarRatio,MaxDrawdown,MaxDrawdownDuration,Volatility,VaR_95,TotalTrades,WinningTrades,LosingTrades,WinRate,ProfitFactor,TotalProfit,TotalLoss,AverageWin,AverageLoss,LargestWin,LargestLoss,Expectancy,ExpectancyRatio,PrimaryRegime,RegimeBreakdown,PerformanceGrade,IsSuccessful,ExecutionTimeSeconds,CreatedAt,Notes,OptimizationRunId
13195,POSTREND_20260208_035210_93609e0e,POSITION_TREND,6/1/2018,1/14/2026,NULL,"{""sma_fast"": 50, ""sma_slow"": 200, ""bull_allocation"": 0.9, ""bear_allocation"": 0.0, ""use_cash_zone"": true, ""mixed_allocation"": 0.0, ""mixed_instrument"": ""tqqq"", ""rebalance_threshold"": 0.05, ""max_drawdown_exit"": 0.0, ""confirmation_days"": 1, ""bear_confirmation_days"": 5, ""bear_sma_margin"": 0.02, ""bear_momentum_lookback"": 10, ""dynamic_allocation"": false, ""bull_alloc_min"": 0.3, ""bull_alloc_max"": 1.0, ""alloc_scale_max_pct"": 0.1, ""roc_exit_enabled"": false, ""roc_exit_lookback"": 20, ""roc_decel_threshold"": 0.03, ""roc_exit_threshold"": -0.01, ""roc_reduce_alloc"": 0.5, ""voting_enabled"": false, ""vote_threshold_full"": 5, ""vote_threshold_half"": 3, ""vote_mode"": ""binary"", ""sub_ema_enabled"": true, ""sub_macd_enabled"": true, ""sub_rsi_enabled"": true, ""sub_roc_enabled"": true, ""sub_bbands_enabled"": true, ""sub_adx_enabled"": true, ""rsi_period"": 14, ""rsi_bull_threshold"": 50, ""rsi_bear_threshold"": 40, ""roc_vote_lookback"": 20, ""adx_threshold"": 25, ""bb_period"": 20, ""algorithm_name"": ""TQQQPositionTrendAlgorithm""}",8.0157,0.3341,0.3509,1.3833,12.8358,0.388,NULL,0.003,NULL,51,26,25,0.5098,3.7172,1128341.87,303546.52,43397.7642,12141.8608,160670.25,37694.98,16172.24,1.3319,NULL,NULL,C ,0,35,52:45.4,Profitable (801.6%) | Grade:C,OPT_20260208_035210
13196,POSTREND_20260208_035245_85ac40ae,POSITION_TREND,6/1/2018,1/14/2026,NULL,"{""sma_fast"": 50, ""sma_slow"": 200, ""bull_allocation"": 0.9, ""bear_allocation"": 0.0, ""use_cash_zone"": true, ""mixed_allocation"": 0.0, ""mixed_instrument"": ""tqqq"", ""rebalance_threshold"": 0.05, ""max_drawdown_exit"": 0.0, ""confirmation_days"": 1, ""bear_confirmation_days"": 5, ""bear_sma_margin"": 0.02, ""bear_momentum_lookback"": 10, ""dynamic_allocation"": false, ""bull_alloc_min"": 0.3, ""bull_alloc_max"": 1.0, ""alloc_scale_max_pct"": 0.1, ""roc_exit_enabled"": false, ""roc_exit_lookback"": 20, ""roc_decel_threshold"": 0.03, ""roc_exit_threshold"": -0.01, ""roc_reduce_alloc"": 0.5, ""voting_enabled"": true, ""vote_threshold_full"": 3, ""vote_threshold_half"": 2, ""vote_mode"": ""binary"", ""sub_ema_enabled"": true, ""sub_macd_enabled"": true, ""sub_rsi_enabled"": true, ""sub_roc_enabled"": true, ""sub_bbands_enabled"": true, ""sub_adx_enabled"": true, ""rsi_period"": 14, ""rsi_bull_threshold"": 50, ""rsi_bear_threshold"": 40, ""roc_vote_lookback"": 20, ""adx_threshold"": 25, ""bb_period"": 20, ""algorithm_name"": ""TQQQPositionTrendAlgorithm""}",6.7212,0.3072,0.1788,0.4213,4.2233,0.449,NULL,0.003,NULL,79,43,36,0.5443,1.9027,1458624.01,766618.12,33921.4886,21294.9478,284606,97218.33,8759.3585,0.4113,NULL,NULL,C ,0,31,53:16.5,Profitable (672.1%) | Grade:C,OPT_20260208_035210
13197,POSTREND_20260208_035316_d73d0517,POSITION_TREND,6/1/2018,1/14/2026,NULL,"{""sma_fast"": 50, ""sma_slow"": 200, ""bull_allocation"": 0.9, ""bear_allocation"": 0.0, ""use_cash_zone"": true, ""mixed_allocation"": 0.0, ""mixed_instrument"": ""tqqq"", ""rebalance_threshold"": 0.05, ""max_drawdown_exit"": 0.0, ""confirmation_days"": 1, ""bear_confirmation_days"": 5, ""bear_sma_margin"": 0.02, ""bear_momentum_lookback"": 10, ""dynamic_allocation"": false, ""bull_alloc_min"": 0.3, ""bull_alloc_max"": 1.0, ""alloc_scale_max_pct"": 0.1, ""roc_exit_enabled"": false, ""roc_exit_lookback"": 20, ""roc_decel_threshold"": 0.03, ""roc_exit_threshold"": -0.01, ""roc_reduce_alloc"": 0.5, ""voting_enabled"": true, ""vote_threshold_full"": 4, ""vote_threshold_half"": 3, ""vote_mode"": ""binary"", ""sub_ema_enabled"": true, ""sub_macd_enabled"": true, ""sub_rsi_enabled"": true, ""sub_roc_enabled"": true, ""sub_bbands_enabled"": true, ""sub_adx_enabled"": true, ""rsi_period"": 14, ""rsi_bull_threshold"": 50, ""rsi_bear_threshold"": 40, ""roc_vote_lookback"": 20, ""adx_threshold"": 25, ""bb_period"": 20, ""algorithm_name"": ""TQQQPositionTrendAlgorithm""}",4.5611,0.2522,0.1572,0.282,2.822,0.469,NULL,0.0029,NULL,93,49,44,0.5269,1.6193,1230064.77,759630.45,25103.3627,17264.3284,138708.72,96499.48,5059.208,0.293,NULL,NULL,C ,0,35,53:51.7,Profitable (456.1%) | Grade:C,OPT_20260208_035210
13198,POSTREND_20260208_035351_dfab2997,POSITION_TREND,6/1/2018,1/14/2026,NULL,"{""sma_fast"": 50, ""sma_slow"": 200, ""bull_allocation"": 0.9, ""bear_allocation"": 0.0, ""use_cash_zone"": true, ""mixed_allocation"": 0.0, ""mixed_instrument"": ""tqqq"", ""rebalance_threshold"": 0.05, ""max_drawdown_exit"": 0.0, ""confirmation_days"": 1, ""bear_confirmation_days"": 5, ""bear_sma_margin"": 0.02, ""bear_momentum_lookback"": 10, ""dynamic_allocation"": false, ""bull_alloc_min"": 0.3, ""bull_alloc_max"": 1.0, ""alloc_scale_max_pct"": 0.1, ""roc_exit_enabled"": false, ""roc_exit_lookback"": 20, ""roc_decel_threshold"": 0.03, ""roc_exit_threshold"": -0.01, ""roc_reduce_alloc"": 0.5, ""voting_enabled"": true, ""vote_threshold_full"": 5, ""vote_threshold_half"": 3, ""vote_mode"": ""binary"", ""sub_ema_enabled"": true, ""sub_macd_enabled"": true, ""sub_rsi_enabled"": true, ""sub_roc_enabled"": true, ""sub_bbands_enabled"": true, ""sub_adx_enabled"": true, ""rsi_period"": 14, ""rsi_bull_threshold"": 50, ""rsi_bear_threshold"": 40, ""roc_vote_lookback"": 20, ""adx_threshold"": 25, ""bb_period"": 20, ""algorithm_name"": ""TQQQPositionTrendAlgorithm""}",1.1424,0.105,0.1209,0.2377,1.9665,0.344,NULL,0.0022,NULL,79,42,37,0.5316,1.4216,403777.41,284024.1,9613.7479,7676.327,63841.71,22438.54,1515.0768,0.1974,NULL,NULL,C ,0,33,54:24.9,Profitable (114.2%) | Grade:C,OPT_20260208_035210
13199,POSTREND_20260208_035424_5836f9f6,POSITION_TREND,6/1/2018,1/14/2026,NULL,"{""sma_fast"": 50, ""sma_slow"": 200, ""bull_allocation"": 0.9, ""bear_allocation"": 0.0, ""use_cash_zone"": true, ""mixed_allocation"": 0.0, ""mixed_instrument"": ""tqqq"", ""rebalance_threshold"": 0.05, ""max_drawdown_exit"": 0.0, ""confirmation_days"": 1, ""bear_confirmation_days"": 5, ""bear_sma_margin"": 0.02, ""bear_momentum_lookback"": 10, ""dynamic_allocation"": false, ""bull_alloc_min"": 0.3, ""bull_alloc_max"": 1.0, ""alloc_scale_max_pct"": 0.1, ""roc_exit_enabled"": false, ""roc_exit_lookback"": 20, ""roc_decel_threshold"": 0.03, ""roc_exit_threshold"": -0.01, ""roc_reduce_alloc"": 0.5, ""voting_enabled"": true, ""vote_threshold_full"": 6, ""vote_threshold_half"": 4, ""vote_mode"": ""binary"", ""sub_ema_enabled"": true, ""sub_macd_enabled"": true, ""sub_rsi_enabled"": true, ""sub_roc_enabled"": true, ""sub_bbands_enabled"": true, ""sub_adx_enabled"": true, ""rsi_period"": 14, ""rsi_bull_threshold"": 50, ""rsi_bear_threshold"": 40, ""roc_vote_lookback"": 20, ""adx_threshold"": 25, ""bb_period"": 20, ""algorithm_name"": ""TQQQPositionTrendAlgorithm""}",1.0215,0.0966,0.1621,0.3013,2.1062,0.272,NULL,0.0017,NULL,68,38,30,0.5588,1.614,287204.31,177940.46,7558.0082,5931.3487,43235.42,17274.92,1606.5039,0.2708,NULL,NULL,C ,0,31,54:56.2,Profitable (102.2%) | Grade:C,OPT_20260208_035210
13200,POSTREND_20260208_035456_e2ec86c1,POSITION_TREND,6/1/2018,1/14/2026,NULL,"{""sma_fast"": 50, ""sma_slow"": 200, ""bull_allocation"": 0.9, ""bear_allocation"": 0.0, ""use_cash_zone"": true, ""mixed_allocation"": 0.0, ""mixed_instrument"": ""tqqq"", ""rebalance_threshold"": 0.05, ""max_drawdown_exit"": 0.0, ""confirmation_days"": 1, ""bear_confirmation_days"": 5, ""bear_sma_margin"": 0.02, ""bear_momentum_lookback"": 10, ""dynamic_allocation"": false, ""bull_alloc_min"": 0.3, ""bull_alloc_max"": 1.0, ""alloc_scale_max_pct"": 0.1, ""roc_exit_enabled"": false, ""roc_exit_lookback"": 20, ""roc_decel_threshold"": 0.03, ""roc_exit_threshold"": -0.01, ""roc_reduce_alloc"": 0.5, ""voting_enabled"": true, ""vote_threshold_full"": 7, ""vote_threshold_half"": 5, ""vote_mode"": ""binary"", ""sub_ema_enabled"": true, ""sub_macd_enabled"": true, ""sub_rsi_enabled"": true, ""sub_roc_enabled"": true, ""sub_bbands_enabled"": true, ""sub_adx_enabled"": true, ""rsi_period"": 14, ""rsi_bull_threshold"": 50, ""rsi_bear_threshold"": 40, ""roc_vote_lookback"": 20, ""adx_threshold"": 25, ""bb_period"": 20, ""algorithm_name"": ""TQQQPositionTrendAlgorithm""}",-0.3166,-0.0487,-0.2668,-0.2965,-0.8904,0.404,NULL,0.0011,NULL,23,9,14,0.3913,0.4467,25561.73,57218.98,2840.1922,4087.07,8487.76,12770.42,-1376.4323,-0.3368,NULL,NULL,D ,0,31,55:27.4,Loss (-31.7%) | Grade:D,OPT_20260208_035210
13201,POSTREND_20260208_035527_3a7237a9,POSITION_TREND,6/1/2018,1/14/2026,NULL,"{""sma_fast"": 50, ""sma_slow"": 200, ""bull_allocation"": 0.9, ""bear_allocation"": 0.0, ""use_cash_zone"": true, ""mixed_allocation"": 0.0, ""mixed_instrument"": ""tqqq"", ""rebalance_threshold"": 0.05, ""max_drawdown_exit"": 0.0, ""confirmation_days"": 1, ""bear_confirmation_days"": 5, ""bear_sma_margin"": 0.02, ""bear_momentum_lookback"": 10, ""dynamic_allocation"": false, ""bull_alloc_min"": 0.3, ""bull_alloc_max"": 1.0, ""alloc_scale_max_pct"": 0.1, ""roc_exit_enabled"": false, ""roc_exit_lookback"": 20, ""roc_decel_threshold"": 0.03, ""roc_exit_threshold"": -0.01, ""roc_reduce_alloc"": 0.5, ""voting_enabled"": true, ""vote_threshold_full"": 5, ""vote_threshold_half"": 3, ""vote_mode"": ""graduated"", ""sub_ema_enabled"": true, ""sub_macd_enabled"": true, ""sub_rsi_enabled"": true, ""sub_roc_enabled"": true, ""sub_bbands_enabled"": true, ""sub_adx_enabled"": true, ""rsi_period"": 14, ""rsi_bull_threshold"": 50, ""rsi_bear_threshold"": 40, ""roc_vote_lookback"": 20, ""adx_threshold"": 25, ""bb_period"": 20, ""algorithm_name"": ""TQQQPositionTrendAlgorithm""}",3.2924,0.2104,0.1582,0.2767,4.0321,0.344,NULL,0.0024,NULL,180,105,75,0.5833,1.6822,839136.74,498837.41,7991.7785,6651.1655,67679.04,34613.73,1890.0637,0.2842,NULL,NULL,C ,0,33,56:00.6,Profitable (329.2%) | Grade:C,OPT_20260208_035210
13202,POSTREND_20260208_035600_dcbb2b81,POSITION_TREND,6/1/2018,1/14/2026,NULL,"{""sma_fast"": 50, ""sma_slow"": 200, ""bull_allocation"": 0.9, ""bear_allocation"": 0.0, ""use_cash_zone"": true, ""mixed_allocation"": 0.0, ""mixed_instrument"": ""tqqq"", ""rebalance_threshold"": 0.05, ""max_drawdown_exit"": 0.0, ""confirmation_days"": 1, ""bear_confirmation_days"": 5, ""bear_sma_margin"": 0.02, ""bear_momentum_lookback"": 10, ""dynamic_allocation"": false, ""bull_alloc_min"": 0.3, ""bull_alloc_max"": 1.0, ""alloc_scale_max_pct"": 0.1, ""roc_exit_enabled"": false, ""roc_exit_lookback"": 20, ""roc_decel_threshold"": 0.03, ""roc_exit_threshold"": -0.01, ""roc_reduce_alloc"": 0.5, ""voting_enabled"": true, ""vote_threshold_full"": 4, ""vote_threshold_half"": 2, ""vote_mode"": ""graduated"", ""sub_ema_enabled"": true, ""sub_macd_enabled"": true, ""sub_rsi_enabled"": true, ""sub_roc_enabled"": true, ""sub_bbands_enabled"": true, ""sub_adx_enabled"": true, ""rsi_period"": 14, ""rsi_bull_threshold"": 50, ""rsi_bear_threshold"": 40, ""roc_vote_lookback"": 20, ""adx_threshold"": 25, ""bb_period"": 20, ""algorithm_name"": ""TQQQPositionTrendAlgorithm""}",5.7393,0.2841,0.1619,0.3017,2.8219,0.518,NULL,0.0029,NULL,172,92,80,0.5349,1.6996,1436463.07,845174.93,15613.729,10564.6866,99552.72,49050.84,3438.1479,0.3254,NULL,NULL,C ,0,37,56:37.9,Profitable (573.9%) | Grade:C,OPT_20260208_035210
13203,POSTREND_20260208_035637_47a6ca4d,POSITION_TREND,6/1/2018,1/14/2026,NULL,"{""sma_fast"": 50, ""sma_slow"": 200, ""bull_allocation"": 0.9, ""bear_allocation"": 0.0, ""use_cash_zone"": true, ""mixed_allocation"": 0.0, ""mixed_instrument"": ""tqqq"", ""rebalance_threshold"": 0.05, ""max_drawdown_exit"": 0.0, ""confirmation_days"": 1, ""bear_confirmation_days"": 5, ""bear_sma_margin"": 0.02, ""bear_momentum_lookback"": 10, ""dynamic_allocation"": false, ""bull_alloc_min"": 0.3, ""bull_alloc_max"": 1.0, ""alloc_scale_max_pct"": 0.1, ""roc_exit_enabled"": false, ""roc_exit_lookback"": 20, ""roc_decel_threshold"": 0.03, ""roc_exit_threshold"": -0.01, ""roc_reduce_alloc"": 0.5, ""voting_enabled"": true, ""vote_threshold_full"": 6, ""vote_threshold_half"": 4, ""vote_mode"": ""graduated"", ""sub_ema_enabled"": true, ""sub_macd_enabled"": true, ""sub_rsi_enabled"": true, ""sub_roc_enabled"": true, ""sub_bbands_enabled"": true, ""sub_adx_enabled"": true, ""rsi_period"": 14, ""rsi_bull_threshold"": 50, ""rsi_bear_threshold"": 40, ""roc_vote_lookback"": 20, ""adx_threshold"": 25, ""bb_period"": 20, ""algorithm_name"": ""TQQQPositionTrendAlgorithm""}",2.5584,0.181,0.145,0.253,3.2793,0.298,NULL,0.0021,NULL,202,119,83,0.5891,1.6323,688441.46,421766.76,5785.2224,5081.5272,59554.94,29707.26,1320.075,0.2598,NULL,NULL,C ,0,33,57:11.1,Profitable (255.8%) | Grade:C,OPT_20260208_035210
13204,POSTREND_20260208_035711_becb653b,POSITION_TREND,6/1/2018,1/14/2026,NULL,"{""sma_fast"": 50, ""sma_slow"": 200, ""bull_allocation"": 0.9, ""bear_allocation"": 0.0, ""use_cash_zone"": true, ""mixed_allocation"": 0.0, ""mixed_instrument"": ""tqqq"", ""rebalance_threshold"": 0.05, ""max_drawdown_exit"": 0.0, ""confirmation_days"": 1, ""bear_confirmation_days"": 5, ""bear_sma_margin"": 0.02, ""bear_momentum_lookback"": 10, ""dynamic_allocation"": false, ""bull_alloc_min"": 0.3, ""bull_alloc_max"": 1.0, ""alloc_scale_max_pct"": 0.1, ""roc_exit_enabled"": false, ""roc_exit_lookback"": 20, ""roc_decel_threshold"": 0.03, ""roc_exit_threshold"": -0.01, ""roc_reduce_alloc"": 0.5, ""voting_enabled"": true, ""vote_threshold_full"": 3, ""vote_threshold_half"": 1, ""vote_mode"": ""graduated"", ""sub_ema_enabled"": true, ""sub_macd_enabled"": true, ""sub_rsi_enabled"": true, ""sub_roc_enabled"": true, ""sub_bbands_enabled"": true, ""sub_adx_enabled"": true, ""rsi_period"": 14, ""rsi_bull_threshold"": 50, ""rsi_bear_threshold"": 40, ""roc_vote_lookback"": 20, ""adx_threshold"": 25, ""bb_period"": 20, ""algorithm_name"": ""TQQQPositionTrendAlgorithm""}",7.1098,0.3157,0.1694,0.3592,2.427,0.562,NULL,0.0031,NULL,144,79,65,0.5486,1.7795,1670776.28,938911.57,21149.0668,14444.7934,161762.75,57818.1,5081.9983,0.3518,NULL,NULL,C ,0,31,57:42.3,Profitable (711.0%) | Grade:C,OPT_20260208_035210
